date,open,high,low,close
30-10-2023,950.0,950.0,950.0,950.0
16-11-2023,950.0,950.0,950.0,950.0
17-11-2023,950.0,950.0,950.0,950.0
29-11-2023,930.0,940.0,930.0,935.0
01-12-2023,961.95,961.95,961.95,961.95
04-12-2023,961.95,961.95,961.95,961.95
12-12-2023,950.0,961.95,933.1,933.11
13-12-2023,934.0,934.0,934.0,934.0
18-12-2023,934.2,934.2,934.2,934.2
19-12-2023,934.2,934.2,934.2,934.2
20-12-2023,962.68,962.68,962.68,962.68
21-12-2023,989.8,989.8,989.8,989.8
27-12-2023,950.0,950.0,950.0,950.0
29-12-2023,983.5,983.5,983.5,983.5
02-01-2024,983.5,983.5,983.5,983.5
04-01-2024,990.0,990.0,990.0,990.0
08-01-2024,965.25,972.68,965.25,972.68
09-01-2024,990.0,990.0,990.0,990.0
10-01-2024,994.0,994.0,994.0,994.0
11-01-2024,982.0,982.0,982.0,982.0
12-01-2024,975.0,982.2,975.0,982.2
15-01-2024,957.65,980.0,957.65,980.0
19-01-2024,995.0,995.0,995.0,995.0
25-01-2024,993.0,993.0,993.0,993.0
07-02-2024,968.18,978.65,968.18,978.65
08-02-2024,999.9,1000.0,999.9,999.95
09-02-2024,974.96,974.96,974.96,974.96
14-02-2024,999.9,999.9,999.9,999.9
15-02-2024,930.2,1080.0,930.2,1080.0
26-02-2024,987.63,987.63,984.19,984.19
27-02-2024,984.0,984.0,984.0,984.0
01-03-2024,989.0,994.43,989.0,994.43
04-03-2024,995.42,995.42,993.0,993.0
05-03-2024,993.0,993.0,986.9,993.0
06-03-2024,968.18,982.5,968.18,975.34
07-03-2024,975.0,975.0,975.0,975.0
19-03-2024,975.0,975.0,975.0,975.0
24-04-2024,1000.73,1000.73,997.86,997.86
25-04-2024,997.86,997.86,997.86,997.86
26-04-2024,997.86,997.86,997.86,997.86
30-04-2024,1004.0,1004.0,1004.0,1004.0
02-05-2024,1004.0,1004.0,1004.0,1004.0
06-05-2024,1002.0,1002.0,1002.0,1002.0
09-05-2024,1015.55,1015.55,1014.0,1014.0
10-05-2024,1014.0,1014.0,1014.0,1014.0
14-05-2024,990.0,990.0,980.0,980.0
17-05-2024,982.2,982.2,980.0,980.0
23-05-2024,1026.0,1026.0,1026.0,1026.0
05-06-2024,1015.0,1015.0,1015.0,1015.0
11-06-2024,1015.0,1029.0,1015.0,1016.36
