date,open,high,low,close
22-07-2019,567.65,589.4,551.95,584.65
23-07-2019,582.95,587.05,565.65,571.0
24-07-2019,574.95,578.85,540.2,545.25
25-07-2019,550.0,559.15,538.4,545.55
26-07-2019,550.9,570.25,546.85,556.55
29-07-2019,512.55,533.8,488.35,498.9
30-07-2019,489.35,516.85,460.15,467.0
31-07-2019,471.7,485.25,451.05,477.45
01-08-2019,477.0,484.8,458.2,465.25
02-08-2019,460.75,469.9,423.6,436.45
05-08-2019,418.75,435.6,407.7,424.95
06-08-2019,424.3,463.25,423.4,458.2
07-08-2019,445.7,445.7,393.2,397.0
08-08-2019,402.0,409.15,379.3,396.1
09-08-2019,398.45,464.4,398.45,450.35
13-08-2019,463.5,532.65,450.15,510.85
14-08-2019,523.25,551.75,483.8,491.45
16-08-2019,464.85,501.4,443.9,490.95
19-08-2019,500.7,510.45,473.25,478.55
20-08-2019,480.45,481.55,450.35,464.75
21-08-2019,463.5,464.25,420.4,431.05
22-08-2019,418.95,418.95,390.7,401.6
23-08-2019,401.1,427.5,388.65,417.05
26-08-2019,442.15,451.95,415.5,434.75
27-08-2019,442.15,445.55,417.15,420.3
28-08-2019,414.55,421.95,398.9,407.6
29-08-2019,385.1,406.2,375.1,400.5
30-08-2019,401.1,411.3,387.75,405.9
03-09-2019,396.65,414.1,387.75,405.2
04-09-2019,398.45,415.4,394.75,408.5
05-09-2019,408.5,417.7,394.95,399.3
06-09-2019,376.15,390.45,361.0,379.45
09-09-2019,383.25,387.2,375.35,378.5
11-09-2019,378.95,390.15,376.3,384.6
12-09-2019,388.05,409.1,387.95,400.6
13-09-2019,402.0,405.1,385.1,394.2
16-09-2019,396.65,407.1,383.95,388.0
17-09-2019,378.85,389.8,374.95,382.55
18-09-2019,388.65,391.05,366.65,373.7
19-09-2019,375.2,376.7,337.95,351.85
20-09-2019,358.35,386.85,352.4,381.85
23-09-2019,390.4,401.1,382.0,390.15
24-09-2019,390.0,396.15,380.8,387.75
25-09-2019,379.75,386.7,373.75,377.85
26-09-2019,380.75,389.2,361.0,368.8
27-09-2019,366.15,369.5,341.75,347.75
30-09-2019,321.45,322.6,214.0,228.1
01-10-2019,225.5,253.05,201.15,238.55
03-10-2019,246.9,272.85,224.75,237.25
04-10-2019,237.3,242.45,215.3,218.6
07-10-2019,218.6,220.8,190.3,208.8
09-10-2019,213.05,219.85,206.85,213.75
10-10-2019,204.15,214.6,165.15,174.15
11-10-2019,169.85,194.3,157.35,187.1
14-10-2019,188.1,192.2,172.55,176.3
