date,open,high,low,close
22-07-2019,5.0,5.2,4.8,5.0
23-07-2019,4.85,5.25,4.85,5.05
24-07-2019,5.25,5.3,5.05,5.05
25-07-2019,5.25,5.3,4.9,5.2
26-07-2019,5.45,5.45,5.0,5.0
29-07-2019,5.0,5.25,4.8,5.0
30-07-2019,4.75,4.95,4.75,4.75
31-07-2019,4.75,4.75,4.55,4.55
01-08-2019,4.55,4.65,4.35,4.35
02-08-2019,4.35,4.35,4.15,4.15
05-08-2019,4.15,4.35,3.95,3.95
06-08-2019,3.9,4.1,3.8,4.0
07-08-2019,4.0,4.2,3.8,3.9
08-08-2019,3.9,4.05,3.75,3.75
09-08-2019,3.75,3.9,3.65,3.9
13-08-2019,3.9,3.9,3.75,3.75
14-08-2019,3.75,3.9,3.6,3.6
16-08-2019,3.75,3.75,3.45,3.7
19-08-2019,3.7,3.7,3.55,3.7
20-08-2019,3.6,3.85,3.55,3.8
21-08-2019,3.85,3.85,3.65,3.65
22-08-2019,3.6,3.6,3.5,3.55
23-08-2019,3.4,3.4,3.4,3.4
26-08-2019,3.4,3.55,3.25,3.25
27-08-2019,3.1,3.4,3.1,3.35
28-08-2019,3.5,3.5,3.2,3.2
29-08-2019,3.05,3.35,3.05,3.25
30-08-2019,3.25,3.4,3.1,3.25
03-09-2019,3.2,3.35,3.1,3.3
04-09-2019,3.4,3.4,3.15,3.15
05-09-2019,3.0,3.3,3.0,3.3
06-09-2019,3.2,3.45,3.15,3.2
09-09-2019,3.35,3.35,3.2,3.2
11-09-2019,3.2,3.35,3.2,3.35
12-09-2019,3.5,3.5,3.5,3.5
13-09-2019,3.65,3.65,3.5,3.65
16-09-2019,3.8,3.8,3.75,3.8
17-09-2019,3.95,3.95,3.8,3.95
18-09-2019,4.1,4.1,3.95,4.1
19-09-2019,4.3,4.3,3.9,4.0
20-09-2019,4.0,4.2,3.8,4.2
23-09-2019,4.2,4.4,4.0,4.35
24-09-2019,4.55,4.55,4.15,4.25
25-09-2019,4.15,4.45,4.05,4.4
26-09-2019,4.4,4.6,4.2,4.3
27-09-2019,4.1,4.5,4.1,4.1
30-09-2019,4.1,4.3,3.9,4.1
01-10-2019,4.0,4.0,3.9,3.9
03-10-2019,4.05,4.05,3.75,3.8
04-10-2019,3.8,3.95,3.75,3.8
07-10-2019,3.85,3.95,3.75,3.95
09-10-2019,3.95,4.0,3.8,3.85
10-10-2019,3.85,3.95,3.7,3.75
11-10-2019,3.65,3.8,3.6,3.65
14-10-2019,3.65,3.8,3.5,3.55
15-10-2019,3.55,3.7,3.4,3.4
16-10-2019,3.25,3.35,3.25,3.35
17-10-2019,3.2,3.2,3.2,3.2
18-10-2019,3.15,3.3,3.05,3.05
22-10-2019,3.15,3.15,2.9,2.95
23-10-2019,3.0,3.0,2.85,2.9
24-10-2019,2.9,3.0,2.9,3.0
25-10-2019,2.85,3.0,2.85,2.95
27-10-2019,2.85,3.05,2.85,2.9
29-10-2019,3.0,3.0,2.8,2.85
30-10-2019,2.8,2.85,2.75,2.75
31-10-2019,2.65,2.7,2.65,2.65
01-11-2019,2.55,2.55,2.55,2.55
04-11-2019,2.45,2.45,2.45,2.45
05-11-2019,2.35,2.45,2.35,2.45
06-11-2019,2.35,2.5,2.35,2.5
07-11-2019,2.5,2.5,2.45,2.5
08-11-2019,2.5,2.5,2.4,2.5
11-11-2019,2.55,2.6,2.5,2.6
13-11-2019,2.65,2.7,2.5,2.6
14-11-2019,2.7,2.7,2.5,2.5
15-11-2019,2.6,2.6,2.4,2.45
18-11-2019,2.35,2.55,2.35,2.35
19-11-2019,2.25,2.45,2.25,2.45
20-11-2019,2.55,2.55,2.35,2.35
21-11-2019,2.35,2.45,2.3,2.4
22-11-2019,2.3,2.4,2.3,2.3
25-11-2019,2.4,2.4,2.2,2.4
26-11-2019,2.3,2.45,2.3,2.3
27-11-2019,2.25,2.4,2.2,2.25
28-11-2019,2.25,2.25,2.15,2.25
29-11-2019,2.35,2.35,2.25,2.35
02-12-2019,2.25,2.4,2.25,2.3
03-12-2019,2.25,2.35,2.2,2.35
04-12-2019,2.25,2.35,2.25,2.25
05-12-2019,2.3,2.3,2.15,2.25
06-12-2019,2.15,2.3,2.15,2.2
09-12-2019,2.25,2.25,2.1,2.1
10-12-2019,2.05,2.1,2.0,2.0
11-12-2019,2.0,2.0,1.9,2.0
12-12-2019,2.0,2.0,1.9,1.9
13-12-2019,1.85,1.95,1.85,1.9
16-12-2019,1.9,1.95,1.9,1.9
17-12-2019,1.9,1.95,1.9,1.95
18-12-2019,2.0,2.0,1.95,1.95
19-12-2019,2.0,2.0,1.95,2.0
20-12-2019,2.05,2.05,1.95,2.05
23-12-2019,2.0,2.0,1.95,2.0
24-12-2019,1.95,2.0,1.9,1.9
26-12-2019,1.9,1.95,1.85,1.95
27-12-2019,2.0,2.0,1.9,1.9
30-12-2019,1.9,1.95,1.9,1.95
31-12-2019,1.95,2.0,1.9,1.9
01-01-2020,1.95,1.95,1.9,1.9
02-01-2020,1.9,1.95,1.85,1.95
03-01-2020,2.0,2.0,1.95,2.0
06-01-2020,2.0,2.1,1.9,1.9
07-01-2020,1.95,1.95,1.95,1.95
