date,open,high,low,close
21-02-2023,252.7,254.5,250.15,251.99
22-02-2023,251.0,253.9,251.0,251.05
23-02-2023,251.05,254.46,249.62,251.89
24-02-2023,251.5,254.0,251.5,252.59
27-02-2023,251.5,254.4,251.11,253.74
28-02-2023,251.0,253.75,250.1,253.75
01-03-2023,254.6,254.6,253.0,253.0
02-03-2023,250.76,253.0,250.76,253.0
03-03-2023,254.69,254.69,252.0,252.4
06-03-2023,250.1,252.99,250.1,250.77
08-03-2023,250.7,254.26,245.1,253.39
09-03-2023,253.9,253.9,251.2,252.0
10-03-2023,250.5,253.7,250.5,252.44
13-03-2023,252.44,253.0,251.2,251.24
14-03-2023,251.3,252.5,251.3,252.5
15-03-2023,252.2,253.0,252.2,253.0
16-03-2023,253.0,253.0,252.2,252.5
17-03-2023,252.0,253.8,251.59,253.8
20-03-2023,252.1,253.8,252.1,252.55
21-03-2023,253.25,256.99,253.0,256.99
22-03-2023,253.1,253.1,253.05,253.08
23-03-2023,253.0,284.0,252.0,256.0
24-03-2023,253.2,259.53,253.2,254.0
27-03-2023,253.5,253.5,253.5,253.5
28-03-2023,253.0,253.0,252.5,252.5
29-03-2023,253.0,253.0,253.0,253.0
31-03-2023,253.5,253.5,253.5,253.5
03-04-2023,253.0,255.0,253.0,255.0
05-04-2023,250.1,256.35,250.1,256.0
06-04-2023,256.0,256.0,253.2,253.2
10-04-2023,253.25,257.0,252.83,257.0
11-04-2023,254.05,259.0,253.15,259.0
12-04-2023,254.0,257.2,254.0,257.2
17-04-2023,255.2,259.64,253.12,253.83
19-04-2023,254.0,254.0,253.35,253.55
20-04-2023,253.39,259.0,253.39,255.5
21-04-2023,253.56,254.0,253.56,254.0
24-04-2023,255.1,258.5,254.51,254.51
25-04-2023,254.51,259.43,254.51,256.06
27-04-2023,255.11,258.4,255.11,258.4
28-04-2023,254.01,256.1,254.01,256.1
02-05-2023,255.0,255.0,252.05,252.05
03-05-2023,253.6,254.06,253.6,254.06
04-05-2023,254.41,254.41,254.4,254.4
05-05-2023,254.51,254.51,254.51,254.51
08-05-2023,254.51,255.01,254.51,255.0
09-05-2023,254.58,255.5,254.56,255.0
10-05-2023,256.0,257.99,256.0,256.0
11-05-2023,256.0,256.0,254.0,254.0
12-05-2023,254.55,256.8,254.55,255.0
15-05-2023,255.0,258.0,255.0,256.85
16-05-2023,254.0,255.01,250.43,254.0
18-05-2023,254.5,254.5,254.5,254.5
22-05-2023,255.05,255.45,255.0,255.45
23-05-2023,261.83,261.83,251.51,254.0
24-05-2023,255.0,257.89,255.0,257.89
25-05-2023,254.8,258.7,254.8,258.7
26-05-2023,252.6,255.0,252.6,255.0
29-05-2023,252.0,258.3,252.0,255.0
30-05-2023,255.02,255.02,255.01,255.01
31-05-2023,255.01,255.1,255.01,255.1
01-06-2023,256.5,256.5,255.0,255.0
02-06-2023,255.01,255.25,255.01,255.25
05-06-2023,252.5,259.89,252.5,259.89
06-06-2023,253.4,260.0,253.4,255.55
07-06-2023,254.81,260.26,254.81,260.0
08-06-2023,260.0,260.0,255.55,255.86
09-06-2023,252.2,252.2,252.2,252.2
12-06-2023,253.3,255.01,253.3,255.01
14-06-2023,255.3,255.3,255.3,255.3
15-06-2023,255.01,256.11,255.01,256.11
16-06-2023,256.05,256.05,256.01,256.01
19-06-2023,252.0,252.35,252.0,252.35
20-06-2023,253.61,254.12,253.61,254.12
21-06-2023,255.31,255.47,255.31,255.47
22-06-2023,251.62,255.0,251.62,255.0
26-06-2023,248.63,253.1,248.63,253.1
27-06-2023,255.0,255.1,253.15,253.93
28-06-2023,258.0,259.0,256.0,258.0
30-06-2023,251.55,258.74,251.55,258.74
03-07-2023,258.74,259.0,258.0,259.0
04-07-2023,252.53,258.84,252.53,258.84
05-07-2023,258.84,258.84,258.84,258.84
06-07-2023,258.0,258.84,258.0,258.5
07-07-2023,259.0,259.0,259.0,259.0
11-07-2023,262.98,262.98,252.29,255.0
13-07-2023,259.99,259.99,259.99,259.99
14-07-2023,254.23,254.23,254.23,254.23
17-07-2023,259.99,259.99,255.75,255.75
18-07-2023,259.98,259.99,259.92,259.99
19-07-2023,259.99,259.99,253.8,253.8
21-07-2023,259.0,259.0,253.6,255.23
24-07-2023,254.5,257.5,254.5,257.0
25-07-2023,257.06,257.06,257.0,257.0
26-07-2023,256.1,256.1,256.1,256.1
28-07-2023,252.1,260.0,252.1,260.0
31-07-2023,260.0,260.0,260.0,260.0
01-08-2023,258.1,258.1,258.1,258.1
03-08-2023,251.3,259.95,251.3,259.95
08-08-2023,255.0,255.0,255.0,255.0
09-08-2023,248.63,248.63,248.63,248.63
11-08-2023,252.8,252.8,252.17,252.35
14-08-2023,251.5,251.5,251.5,251.5
16-08-2023,251.08,251.08,251.08,251.08
17-08-2023,244.81,252.05,244.81,252.05
18-08-2023,245.75,245.75,245.75,245.75
21-08-2023,250.25,251.28,250.25,251.28
22-08-2023,251.28,252.0,247.5,251.0
23-08-2023,249.0,251.9,248.17,251.5
24-08-2023,251.5,251.5,251.5,251.5
25-08-2023,251.0,251.0,251.0,251.0
29-08-2023,249.98,249.98,249.85,249.98
31-08-2023,250.0,250.0,250.0,250.0
01-09-2023,251.0,251.0,249.98,249.98
04-09-2023,243.74,249.0,243.74,249.0
05-09-2023,252.0,252.0,245.7,249.0
06-09-2023,251.5,251.5,247.25,248.04
07-09-2023,251.75,251.75,250.84,250.84
08-09-2023,249.8,250.0,249.8,250.0
11-09-2023,249.5,250.0,245.0,250.0
12-09-2023,243.75,248.0,243.75,247.5
14-09-2023,246.55,246.55,246.55,246.55
15-09-2023,246.36,246.51,246.0,246.3
20-09-2023,242.25,248.2,242.25,248.2
21-09-2023,248.0,248.0,248.0,248.0
22-09-2023,241.8,249.95,241.8,249.95
25-09-2023,249.95,250.0,249.95,249.99
26-09-2023,250.0,250.0,250.0,250.0
03-10-2023,244.0,249.9,244.0,249.9
04-10-2023,250.0,250.0,247.1,247.4
05-10-2023,247.6,250.0,247.6,250.0
09-10-2023,250.0,250.0,250.0,250.0
10-10-2023,249.0,250.01,249.0,250.01
11-10-2023,243.76,252.0,243.76,252.0
12-10-2023,256.0,256.0,251.0,251.0
17-10-2023,251.0,251.0,251.0,251.0
18-10-2023,251.0,251.0,251.0,251.0
27-10-2023,244.73,244.73,244.73,244.73
31-10-2023,251.0,251.0,246.0,246.0
02-11-2023,250.0,250.0,250.0,250.0
03-11-2023,250.0,250.0,250.0,250.0
07-11-2023,245.6,246.6,245.6,246.6
08-11-2023,256.98,256.98,256.98,256.98
09-11-2023,249.0,255.22,249.0,250.0
10-11-2023,250.0,250.0,250.0,250.0
15-11-2023,243.75,250.2,243.75,250.2
16-11-2023,245.02,245.02,245.02,245.02
20-11-2023,243.26,254.21,243.26,254.21
21-11-2023,249.0,253.99,249.0,249.0
22-11-2023,249.0,257.27,249.0,251.24
23-11-2023,244.96,245.04,244.96,245.03
28-11-2023,245.03,245.03,245.03,245.03
30-11-2023,246.25,250.0,246.25,250.0
01-12-2023,245.6,256.9,245.6,255.11
05-12-2023,246.46,247.51,246.46,247.51
06-12-2023,249.01,249.49,249.01,249.49
07-12-2023,249.49,249.49,249.49,249.49
11-12-2023,250.2,251.0,250.2,251.0
12-12-2023,251.1,251.14,251.1,251.14
14-12-2023,251.14,252.0,247.5,252.0
15-12-2023,251.0,251.0,251.0,251.0
18-12-2023,251.02,251.02,251.0,251.0
19-12-2023,251.9,252.0,251.9,252.0
20-12-2023,253.0,253.0,253.0,253.0
21-12-2023,253.0,253.0,253.0,253.0
26-12-2023,253.0,253.0,253.0,253.0
28-12-2023,255.0,255.0,255.0,255.0
29-12-2023,253.0,253.0,253.0,253.0
01-01-2024,253.0,253.0,253.0,253.0
02-01-2024,261.5,261.5,250.0,252.62
03-01-2024,262.0,262.0,260.0,261.77
05-01-2024,255.23,260.0,251.2,260.0
08-01-2024,253.5,253.5,253.5,253.5
10-01-2024,255.0,255.0,255.0,255.0
11-01-2024,255.0,255.0,255.0,255.0
12-01-2024,255.1,255.1,255.1,255.1
16-01-2024,260.99,261.0,255.5,261.0
17-01-2024,254.48,255.1,254.48,255.1
19-01-2024,255.22,256.0,255.22,256.0
23-01-2024,255.0,255.98,250.0,255.62
24-01-2024,249.23,249.23,249.23,249.23
29-01-2024,251.02,251.02,251.02,251.02
01-02-2024,250.0,250.0,250.0,250.0
02-02-2024,250.5,252.65,243.75,252.65
05-02-2024,246.0,249.6,246.0,249.5
06-02-2024,249.5,251.8,249.5,251.8
08-02-2024,245.51,245.51,245.51,245.51
09-02-2024,245.51,245.88,245.51,245.88
12-02-2024,255.0,255.0,248.63,250.0
13-02-2024,248.02,248.02,248.02,248.02
14-02-2024,250.0,252.98,250.0,250.0
19-02-2024,246.0,248.0,246.0,248.0
20-02-2024,247.1,249.0,247.1,248.8
21-02-2024,250.0,252.0,247.03,247.56
22-02-2024,250.0,252.0,248.6,251.74
23-02-2024,250.0,250.0,247.02,250.0
26-02-2024,250.0,251.0,248.6,251.0
