date,open,high,low,close
22-07-2019,86.7,86.7,82.1,84.2
23-07-2019,83.0,85.95,82.5,83.45
24-07-2019,83.65,83.95,79.3,80.9
25-07-2019,80.1,81.8,78.55,78.95
26-07-2019,78.95,86.4,78.0,83.55
29-07-2019,82.6,83.5,78.6,80.45
30-07-2019,80.5,81.25,76.95,77.45
31-07-2019,78.5,78.5,74.4,77.7
01-08-2019,77.3,78.25,74.05,75.6
02-08-2019,73.95,77.0,73.5,76.3
05-08-2019,75.3,75.3,73.0,74.35
06-08-2019,74.35,79.8,74.35,77.75
07-08-2019,77.95,78.7,75.05,75.45
08-08-2019,77.35,77.55,73.0,75.45
09-08-2019,75.25,78.5,75.25,77.05
13-08-2019,77.5,78.0,75.5,75.65
14-08-2019,75.1,77.8,75.1,76.25
16-08-2019,76.95,77.55,75.5,76.55
19-08-2019,75.65,78.9,75.65,76.9
20-08-2019,76.15,76.7,75.65,76.35
21-08-2019,76.05,76.45,75.0,75.4
22-08-2019,75.15,76.0,72.0,73.4
23-08-2019,72.9,75.45,70.5,73.7
26-08-2019,74.3,76.0,73.0,73.55
27-08-2019,74.0,78.9,73.95,78.25
28-08-2019,78.0,81.5,77.1,78.4
29-08-2019,80.95,80.95,76.15,77.35
30-08-2019,78.15,80.0,77.25,79.3
03-09-2019,79.9,79.9,75.05,75.85
04-09-2019,75.25,79.0,75.25,78.1
05-09-2019,79.7,81.5,78.35,78.85
06-09-2019,81.75,84.95,78.5,82.45
09-09-2019,82.45,89.6,82.45,87.15
11-09-2019,87.55,92.0,87.5,91.15
12-09-2019,92.4,94.45,91.15,93.55
13-09-2019,93.55,95.3,92.0,94.45
16-09-2019,93.85,98.65,92.5,98.05
17-09-2019,98.05,99.75,92.5,93.35
18-09-2019,96.3,96.9,93.65,94.85
19-09-2019,97.0,97.0,90.1,91.5
20-09-2019,94.0,97.0,89.3,94.45
23-09-2019,94.55,97.2,93.45,96.1
24-09-2019,96.5,96.5,92.7,95.0
25-09-2019,93.5,94.6,92.55,92.95
26-09-2019,91.55,94.95,90.1,93.75
27-09-2019,95.0,96.0,91.9,93.35
30-09-2019,93.4,93.5,87.0,89.7
01-10-2019,89.7,90.8,86.25,88.0
03-10-2019,85.8,90.0,84.4,88.2
04-10-2019,87.5,91.25,86.8,87.2
07-10-2019,87.3,88.45,85.75,86.3
09-10-2019,86.5,94.0,84.05,91.45
10-10-2019,93.0,93.0,87.7,89.0
11-10-2019,91.0,92.0,88.5,89.6
14-10-2019,88.1,91.15,88.1,89.7
15-10-2019,89.85,91.45,87.5,89.2
16-10-2019,92.35,92.35,88.05,89.75
17-10-2019,87.65,92.0,87.65,90.25
18-10-2019,90.0,94.55,90.0,91.9
22-10-2019,90.25,93.9,85.6,91.7
23-10-2019,87.35,89.0,84.65,86.4
24-10-2019,85.2,87.5,83.05,83.6
25-10-2019,85.5,86.95,83.5,85.85
27-10-2019,87.5,89.0,84.25,87.2
29-10-2019,87.15,91.85,86.15,90.0
30-10-2019,88.65,92.9,88.65,91.0
31-10-2019,89.4,93.0,89.4,91.55
01-11-2019,92.9,93.0,89.8,92.15
04-11-2019,91.0,99.45,91.0,96.5
05-11-2019,98.7,98.7,94.05,94.55
06-11-2019,95.0,96.2,92.5,93.55
07-11-2019,95.35,100.5,92.7,99.3
08-11-2019,99.3,99.85,96.15,98.4
11-11-2019,101.5,101.5,96.3,98.25
13-11-2019,101.35,101.35,96.0,96.9
14-11-2019,97.0,97.5,94.65,96.05
15-11-2019,95.0,99.9,94.0,97.25
18-11-2019,99.75,103.25,95.45,100.1
19-11-2019,100.55,101.85,98.1,99.15
20-11-2019,101.45,101.45,97.25,98.1
21-11-2019,97.0,99.2,95.25,95.6
22-11-2019,96.0,99.25,94.9,97.55
25-11-2019,102.95,102.95,95.55,100.15
26-11-2019,101.45,101.45,97.5,99.1
27-11-2019,100.45,100.45,98.05,98.55
28-11-2019,100.0,100.0,98.25,98.85
29-11-2019,101.0,101.0,96.1,97.05
02-12-2019,97.05,99.5,94.35,96.0
03-12-2019,97.45,97.45,92.5,92.95
04-12-2019,95.45,95.45,90.6,93.6
05-12-2019,95.5,95.5,92.5,92.95
06-12-2019,94.95,94.95,89.65,90.85
09-12-2019,93.0,93.0,89.65,90.1
10-12-2019,91.4,91.4,85.55,87.6
11-12-2019,89.9,89.9,85.75,87.4
12-12-2019,89.45,89.45,86.05,87.55
13-12-2019,89.4,89.4,87.5,87.8
16-12-2019,89.35,89.35,86.55,86.65
17-12-2019,86.15,94.4,85.65,89.35
18-12-2019,91.9,92.2,89.5,89.85
19-12-2019,90.5,90.5,88.9,89.45
20-12-2019,90.5,90.5,88.55,89.45
23-12-2019,90.75,92.7,90.0,91.05
24-12-2019,88.5,90.85,88.5,89.0
26-12-2019,89.9,93.9,88.75,90.9
27-12-2019,92.95,92.95,91.0,91.4
30-12-2019,91.15,93.45,89.7,92.75
31-12-2019,93.0,96.7,91.9,94.85
01-01-2020,97.4,97.4,95.5,96.35
02-01-2020,96.85,112.7,96.85,108.35
03-01-2020,108.15,113.35,105.25,107.2
06-01-2020,105.5,105.6,102.0,102.35
07-01-2020,102.55,108.0,102.55,103.95
08-01-2020,103.1,107.5,102.5,104.8
09-01-2020,107.35,108.15,105.15,106.45
10-01-2020,106.5,115.9,106.5,108.6
13-01-2020,109.0,114.35,109.0,110.15
14-01-2020,115.0,115.0,110.5,110.95
15-01-2020,110.5,121.0,110.5,116.9
16-01-2020,117.35,122.0,117.35,119.4
17-01-2020,119.85,119.85,116.5,117.35
20-01-2020,116.5,118.5,112.75,113.55
21-01-2020,116.5,116.5,112.5,114.0
22-01-2020,115.0,116.75,111.0,112.3
23-01-2020,113.7,113.95,111.75,112.05
24-01-2020,111.8,119.7,111.15,115.85
27-01-2020,115.45,115.45,111.95,112.75
28-01-2020,115.4,115.4,108.55,109.7
29-01-2020,111.0,113.3,106.05,108.25
30-01-2020,107.75,109.65,104.75,106.15
31-01-2020,107.0,109.45,105.05,106.55
01-02-2020,106.55,106.65,100.6,101.95
03-02-2020,100.8,101.2,97.0,99.5
04-02-2020,100.5,103.75,100.5,102.75
05-02-2020,104.35,104.4,101.0,102.4
06-02-2020,102.5,107.0,102.5,104.95
07-02-2020,105.0,106.8,102.45,104.2
10-02-2020,102.8,103.85,97.0,101.2
11-02-2020,101.15,104.45,100.75,103.15
12-02-2020,105.0,105.0,100.65,101.55
13-02-2020,102.6,103.0,100.25,100.75
14-02-2020,102.45,104.85,100.25,102.9
17-02-2020,102.5,102.55,100.0,101.35
18-02-2020,101.3,101.3,98.7,99.7
19-02-2020,99.5,102.1,98.7,101.7
20-02-2020,102.85,106.75,100.35,103.05
24-02-2020,104.05,104.05,101.5,101.6
25-02-2020,102.65,105.0,101.5,102.1
26-02-2020,104.25,104.25,100.0,101.1
27-02-2020,100.95,100.95,99.25,99.75
28-02-2020,98.05,99.75,95.5,96.35
02-03-2020,94.3,99.0,94.05,94.75
03-03-2020,95.7,95.7,92.5,94.8
04-03-2020,94.3,95.1,89.55,92.1
05-03-2020,94.45,94.45,91.4,93.05
06-03-2020,88.5,90.15,82.65,88.7
09-03-2020,82.0,94.6,81.55,85.15
11-03-2020,87.75,88.85,82.0,83.9
12-03-2020,75.5,81.1,71.2,73.4
13-03-2020,62.55,77.5,59.05,75.8
16-03-2020,75.1,75.1,67.0,68.6
17-03-2020,70.95,71.0,64.15,67.55
18-03-2020,67.65,68.2,61.4,63.55
19-03-2020,60.4,63.85,57.1,60.4
20-03-2020,63.9,71.25,60.0,64.7
23-03-2020,60.0,60.0,51.75,52.65
24-03-2020,52.65,54.6,46.0,50.9
25-03-2020,49.0,55.5,45.95,52.4
26-03-2020,56.75,57.5,51.0,53.35
27-03-2020,57.0,57.5,53.5,55.25
30-03-2020,54.85,54.85,49.75,52.8
31-03-2020,57.0,57.0,51.0,55.55
01-04-2020,57.45,57.45,52.6,55.35
03-04-2020,54.75,60.5,52.5,56.75
07-04-2020,56.75,61.75,54.0,60.25
08-04-2020,58.95,64.45,55.5,60.05
09-04-2020,61.5,65.95,61.5,63.5
13-04-2020,63.5,64.7,60.5,62.1
15-04-2020,66.45,66.45,62.55,63.55
16-04-2020,63.55,64.45,62.95,64.1
17-04-2020,65.5,70.5,65.0,66.5
20-04-2020,68.5,69.15,65.55,67.05
21-04-2020,64.3,65.3,60.35,62.85
22-04-2020,62.75,65.15,61.25,64.15
