date,open,high,low,close
22-07-2019,92.3,96.8,92.15,92.15
23-07-2019,96.3,96.3,91.25,92.1
24-07-2019,96.0,96.25,88.75,95.4
25-07-2019,90.8,99.4,90.8,93.55
26-07-2019,90.15,97.8,90.15,91.15
29-07-2019,91.0,92.75,87.0,90.1
30-07-2019,90.0,92.0,86.1,87.6
31-07-2019,91.35,91.35,84.5,86.0
01-08-2019,89.9,90.3,83.8,90.3
02-08-2019,90.3,90.3,85.8,86.1
05-08-2019,89.95,89.95,88.1,89.05
06-08-2019,85.1,89.0,85.1,89.0
07-08-2019,86.3,93.95,85.0,86.5
08-08-2019,85.75,85.75,85.75,85.75
09-08-2019,94.0,94.0,86.5,87.8
13-08-2019,85.75,92.95,81.0,82.4
14-08-2019,90.45,90.45,86.0,90.3
16-08-2019,94.0,95.0,85.05,91.9
19-08-2019,91.5,91.5,86.15,88.6
20-08-2019,85.0,94.35,85.0,86.5
21-08-2019,90.9,90.9,85.1,90.5
22-08-2019,85.0,85.0,82.05,83.5
23-08-2019,82.15,87.95,82.0,82.55
26-08-2019,90.8,90.8,86.0,88.8
27-08-2019,93.95,97.65,84.3,91.8
28-08-2019,85.35,100.95,85.25,100.9
29-08-2019,100.0,109.0,100.0,107.3
30-08-2019,111.5,112.65,110.0,111.2
03-09-2019,110.0,116.75,110.0,113.9
04-09-2019,111.2,119.45,108.5,119.45
05-09-2019,119.45,123.0,113.6,118.6
06-09-2019,115.0,119.7,113.3,113.55
09-09-2019,115.0,119.2,112.6,113.4
11-09-2019,118.0,119.05,118.0,119.05
12-09-2019,121.0,125.0,117.65,117.9
13-09-2019,123.0,123.0,114.55,118.05
16-09-2019,114.55,123.0,114.1,117.1
17-09-2019,120.0,122.95,119.5,122.95
18-09-2019,116.85,128.5,116.85,120.0
19-09-2019,116.75,122.0,116.25,117.85
20-09-2019,116.75,120.7,112.55,112.85
23-09-2019,110.5,117.8,110.5,115.2
24-09-2019,119.8,120.95,112.6,112.6
25-09-2019,113.0,116.5,113.0,116.5
26-09-2019,115.05,119.85,115.05,116.7
27-09-2019,111.0,118.95,111.0,113.25
30-09-2019,111.35,111.55,111.35,111.55
01-10-2019,116.6,116.6,106.6,115.9
03-10-2019,110.15,110.15,110.15,110.15
04-10-2019,115.0,115.0,106.55,113.75
07-10-2019,108.1,108.1,108.1,108.1
09-10-2019,102.7,112.95,102.7,112.95
10-10-2019,107.5,116.0,107.5,116.0
11-10-2019,110.2,110.2,110.2,110.2
14-10-2019,105.65,109.0,105.0,109.0
15-10-2019,103.65,108.5,103.65,108.5
16-10-2019,103.1,107.7,103.1,104.3
17-10-2019,108.9,109.0,104.4,109.0
18-10-2019,105.1,112.95,105.05,107.65
22-10-2019,103.0,105.1,103.0,105.1
23-10-2019,103.0,108.4,102.0,103.9
24-10-2019,103.05,106.95,99.0,104.95
25-10-2019,100.0,100.0,99.75,99.75
27-10-2019,100.1,100.15,100.1,100.1
29-10-2019,100.1,104.8,96.05,102.7
30-10-2019,98.1,105.9,98.1,105.9
31-10-2019,109.4,109.4,101.05,103.05
01-11-2019,103.0,103.0,98.1,102.0
04-11-2019,100.1,104.85,100.0,100.05
06-11-2019,95.5,105.0,95.5,103.0
07-11-2019,100.2,107.95,100.2,104.65
08-11-2019,101.05,106.5,101.05,101.4
11-11-2019,106.0,106.45,106.0,106.45
13-11-2019,106.45,110.45,106.0,110.45
14-11-2019,105.0,115.45,104.95,110.0
15-11-2019,104.95,115.5,104.95,114.25
18-11-2019,115.0,119.9,108.6,109.1
19-11-2019,107.0,112.0,106.55,110.9
20-11-2019,114.0,114.0,105.55,110.0
21-11-2019,105.1,105.1,105.1,105.1
22-11-2019,109.0,109.0,101.0,101.15
25-11-2019,97.2,105.5,97.2,101.45
26-11-2019,105.0,105.0,99.0,103.55
27-11-2019,98.55,102.0,98.55,99.55
28-11-2019,100.0,104.1,98.55,99.05
29-11-2019,99.05,103.9,99.05,99.1
02-12-2019,102.0,102.0,98.7,102.0
03-12-2019,97.65,103.0,97.05,97.05
05-12-2019,96.15,97.05,96.15,97.05
06-12-2019,97.05,97.7,97.05,97.7
10-12-2019,96.1,96.1,95.9,95.9
11-12-2019,94.1,97.95,94.1,96.1
12-12-2019,96.1,100.9,92.7,100.9
13-12-2019,100.6,105.9,100.6,101.45
16-12-2019,102.05,105.0,101.5,103.95
17-12-2019,105.0,105.0,103.0,103.0
18-12-2019,106.0,106.0,101.15,104.85
19-12-2019,103.5,108.85,100.5,108.2
20-12-2019,103.6,106.95,103.6,105.95
23-12-2019,105.3,105.3,103.2,103.4
24-12-2019,100.15,108.55,100.15,103.0
26-12-2019,105.0,105.0,102.8,102.8
27-12-2019,101.1,103.5,101.1,103.3
30-12-2019,102.0,108.45,102.0,102.6
31-12-2019,101.15,107.7,101.15,104.8
01-01-2020,102.75,108.9,102.75,107.55
02-01-2020,107.55,108.0,107.55,107.9
03-01-2020,103.55,113.25,103.55,108.6
06-01-2020,106.0,112.45,105.9,111.1
07-01-2020,111.05,113.8,110.5,110.5
08-01-2020,106.3,112.45,106.25,106.55
09-01-2020,104.5,111.25,104.5,108.6
10-01-2020,111.0,111.0,105.5,107.05
13-01-2020,108.0,112.4,104.1,112.4
14-01-2020,111.0,114.8,111.0,113.05
15-01-2020,107.4,118.7,107.4,116.45
16-01-2020,122.25,122.25,116.3,122.0
17-01-2020,122.0,128.1,122.0,124.45
20-01-2020,123.35,130.65,122.3,127.6
21-01-2020,121.65,128.75,121.65,124.35
22-01-2020,123.0,130.0,119.25,124.35
23-01-2020,124.35,130.0,121.5,126.05
24-01-2020,131.45,132.35,122.35,132.35
27-01-2020,136.3,136.3,126.1,132.1
28-01-2020,134.0,134.0,125.65,125.95
29-01-2020,122.5,122.5,122.0,122.5
30-01-2020,116.6,127.9,116.6,124.55
31-01-2020,127.0,127.0,119.05,121.0
03-02-2020,115.1,125.9,114.95,121.15
04-02-2020,115.25,122.5,115.25,122.5
05-02-2020,116.5,121.0,116.4,116.4
06-02-2020,115.0,122.0,115.0,120.55
07-02-2020,115.0,119.0,115.0,116.4
10-02-2020,115.3,119.95,115.1,118.6
11-02-2020,115.2,122.0,115.1,118.1
12-02-2020,112.6,120.0,112.6,113.35
13-02-2020,118.8,119.0,108.1,117.2
14-02-2020,117.9,117.9,116.0,116.9
17-02-2020,116.9,117.0,112.1,112.75
18-02-2020,116.55,116.55,112.8,112.8
19-02-2020,110.75,118.35,110.75,113.35
20-02-2020,117.0,117.9,113.05,114.55
24-02-2020,114.55,117.0,108.9,116.85
25-02-2020,115.0,115.0,111.45,112.3
26-02-2020,114.5,114.5,108.45,109.0
27-02-2020,104.1,107.5,104.0,107.25
28-02-2020,102.0,109.0,102.0,102.5
