date,open,high,low,close
29-03-2022,132.6,150.0,132.6,147.9
30-03-2022,150.0,159.0,147.0,149.15
31-03-2022,149.0,151.7,142.35,143.4
01-04-2022,144.0,158.05,144.0,153.9
04-04-2022,156.75,184.65,154.9,162.95
05-04-2022,164.8,177.0,163.0,174.0
06-04-2022,175.9,177.0,165.0,166.9
07-04-2022,166.6,171.2,162.0,164.75
08-04-2022,166.8,166.8,158.1,160.35
11-04-2022,164.0,166.75,160.35,162.4
12-04-2022,161.4,164.2,155.25,160.5
13-04-2022,164.95,165.9,155.3,160.8
18-04-2022,163.95,163.95,154.5,155.95
19-04-2022,160.0,160.0,153.7,155.3
20-04-2022,159.0,161.0,150.0,154.15
21-04-2022,151.3,158.4,151.0,154.95
22-04-2022,152.5,165.0,152.5,158.1
25-04-2022,158.4,158.4,152.0,152.65
26-04-2022,153.5,156.05,152.0,152.7
27-04-2022,155.75,155.75,142.3,144.05
28-04-2022,145.0,161.35,145.0,156.15
29-04-2022,158.7,158.75,150.85,153.4
02-05-2022,145.6,151.55,142.55,150.45
04-05-2022,154.0,160.0,140.1,142.3
05-05-2022,149.0,149.0,143.4,144.45
06-05-2022,143.5,144.5,122.3,136.1
09-05-2022,141.0,141.0,129.0,133.0
10-05-2022,130.15,139.9,115.7,125.05
11-05-2022,125.0,131.8,119.05,127.85
12-05-2022,126.9,134.7,122.85,131.2
13-05-2022,131.2,137.0,131.05,133.55
16-05-2022,135.4,135.4,130.05,133.35
17-05-2022,135.2,137.0,132.1,134.3
18-05-2022,136.9,144.65,128.5,135.35
19-05-2022,132.0,132.8,127.45,131.2
20-05-2022,136.0,136.0,130.6,131.65
23-05-2022,145.7,145.7,130.0,133.6
24-05-2022,137.9,142.05,132.8,139.2
25-05-2022,141.9,141.9,131.0,136.0
26-05-2022,139.0,139.0,127.85,132.6
27-05-2022,132.65,135.1,131.25,132.95
30-05-2022,139.9,139.9,131.0,132.6
31-05-2022,136.0,136.0,109.5,110.6
01-06-2022,112.75,114.55,109.0,109.95
02-06-2022,111.85,118.8,111.0,117.0
03-06-2022,118.25,118.45,110.1,111.85
06-06-2022,113.9,113.95,110.1,111.2
07-06-2022,113.7,113.7,110.2,111.4
08-06-2022,112.95,114.15,110.5,111.1
09-06-2022,113.5,113.5,109.05,110.6
10-06-2022,112.4,112.4,109.0,110.65
13-06-2022,114.7,114.7,100.25,108.75
14-06-2022,105.0,112.4,105.0,109.75
15-06-2022,112.0,114.25,107.0,107.85
16-06-2022,110.9,111.0,102.55,104.05
17-06-2022,106.7,111.0,101.45,105.0
20-06-2022,105.0,105.0,95.1,96.8
21-06-2022,95.1,103.0,95.1,101.25
22-06-2022,101.9,107.0,95.55,104.4
23-06-2022,106.45,109.0,101.0,102.35
24-06-2022,104.4,107.25,102.0,104.15
27-06-2022,109.95,109.95,105.5,107.65
28-06-2022,107.65,112.0,102.3,111.65
29-06-2022,107.0,114.7,107.0,113.45
30-06-2022,111.75,113.9,104.0,106.0
01-07-2022,107.95,108.95,103.4,104.85
04-07-2022,108.7,112.9,105.7,109.5
05-07-2022,111.5,113.0,105.35,108.5
06-07-2022,110.7,111.85,108.05,110.15
07-07-2022,113.45,113.45,108.0,110.35
08-07-2022,112.9,112.9,109.0,109.85
11-07-2022,108.1,112.75,108.0,111.0
12-07-2022,112.4,113.7,109.35,110.05
13-07-2022,113.4,113.4,109.85,110.35
14-07-2022,110.65,112.05,109.0,109.9
15-07-2022,109.1,112.0,109.1,110.25
18-07-2022,112.0,114.7,111.0,112.95
19-07-2022,114.65,116.9,111.0,115.45
20-07-2022,117.0,129.0,116.35,126.1
21-07-2022,126.95,130.0,121.0,125.95
22-07-2022,124.55,134.2,124.55,128.2
25-07-2022,130.15,130.8,124.2,125.05
26-07-2022,126.8,126.8,116.8,118.25
27-07-2022,121.8,124.45,112.0,121.15
28-07-2022,121.0,128.9,119.5,125.65
29-07-2022,128.3,129.9,125.25,126.2
01-08-2022,126.2,127.65,124.0,125.15
02-08-2022,124.0,127.8,123.05,125.65
03-08-2022,125.0,127.5,121.85,122.55
04-08-2022,124.9,126.0,119.65,124.35
05-08-2022,122.25,125.7,122.25,124.2
08-08-2022,126.5,126.5,122.3,122.75
10-08-2022,122.0,126.9,120.0,122.45
11-08-2022,123.0,125.0,122.35,123.9
12-08-2022,123.9,141.95,123.9,138.55
16-08-2022,144.9,144.9,138.45,141.15
17-08-2022,147.75,147.75,138.7,140.45
18-08-2022,139.9,139.9,135.2,136.2
19-08-2022,139.7,139.7,132.25,134.65
22-08-2022,136.0,136.0,131.25,133.35
