date,open,high,low,close
22-07-2019,30.4,33.0,30.05,32.25
23-07-2019,32.7,33.45,32.15,32.95
24-07-2019,33.5,33.6,32.3,32.75
25-07-2019,32.7,33.2,31.25,31.4
26-07-2019,31.3,32.55,31.25,31.7
29-07-2019,31.7,32.9,30.3,30.85
30-07-2019,31.45,32.5,31.1,32.0
31-07-2019,32.3,35.65,31.8,34.4
01-08-2019,35.25,35.25,32.35,32.6
02-08-2019,33.9,33.95,31.7,32.6
05-08-2019,32.5,33.0,31.35,32.1
06-08-2019,32.35,33.9,31.8,32.6
07-08-2019,32.95,34.4,32.55,33.65
08-08-2019,34.45,34.5,32.35,32.95
09-08-2019,33.55,34.5,33.35,33.85
13-08-2019,34.2,35.0,32.75,34.55
14-08-2019,34.5,35.0,33.9,34.7
16-08-2019,34.5,36.0,34.2,35.7
19-08-2019,35.6,36.7,34.75,36.15
20-08-2019,36.3,37.0,35.95,36.3
21-08-2019,36.4,36.9,34.2,35.7
22-08-2019,35.3,35.5,32.3,33.15
23-08-2019,33.25,35.45,32.2,33.9
26-08-2019,34.1,35.45,33.55,34.35
27-08-2019,35.0,41.2,34.55,40.45
28-08-2019,39.9,42.45,38.6,39.35
29-08-2019,38.3,42.0,38.05,38.7
30-08-2019,37.7,39.15,37.55,37.8
03-09-2019,37.5,37.9,36.65,36.8
04-09-2019,38.05,38.85,37.5,38.3
05-09-2019,38.7,40.0,37.95,39.8
06-09-2019,40.95,47.75,38.65,46.75
09-09-2019,47.0,49.6,43.95,45.0
11-09-2019,45.0,45.7,44.95,45.1
12-09-2019,45.55,46.75,43.25,45.0
13-09-2019,45.15,47.55,45.0,46.5
16-09-2019,46.05,46.85,45.1,45.4
17-09-2019,45.5,46.9,43.65,45.45
18-09-2019,45.5,45.9,44.8,45.4
19-09-2019,45.55,46.0,44.0,44.7
20-09-2019,46.0,46.45,43.0,45.25
23-09-2019,45.6,47.5,44.0,44.4
24-09-2019,45.0,45.6,43.95,44.65
25-09-2019,45.0,45.6,44.1,44.2
26-09-2019,45.0,45.35,43.15,43.75
27-09-2019,44.8,44.95,42.5,43.15
30-09-2019,44.5,44.9,41.9,42.0
01-10-2019,43.5,44.1,39.9,41.25
03-10-2019,42.0,42.45,39.3,40.95
04-10-2019,42.0,42.75,39.25,40.8
07-10-2019,42.0,42.0,39.55,41.0
09-10-2019,42.5,42.8,38.95,40.4
10-10-2019,40.9,41.45,38.5,39.4
11-10-2019,40.65,40.65,37.8,39.45
14-10-2019,40.0,40.0,37.9,38.95
15-10-2019,39.25,39.25,37.05,37.1
16-10-2019,37.7,37.9,35.25,35.25
17-10-2019,35.0,35.0,33.5,33.75
18-10-2019,34.0,35.4,32.1,32.1
22-10-2019,32.05,33.4,30.5,31.95
23-10-2019,31.0,32.45,31.0,31.75
24-10-2019,32.4,32.4,30.5,30.7
25-10-2019,31.0,31.9,30.5,31.2
27-10-2019,30.7,32.35,30.05,31.05
29-10-2019,31.25,32.6,30.5,31.95
30-10-2019,32.65,32.65,30.6,30.95
31-10-2019,32.0,32.0,30.7,30.75
01-11-2019,31.0,31.9,30.5,30.85
04-11-2019,31.9,31.9,30.1,30.3
05-11-2019,30.95,31.65,29.7,30.05
06-11-2019,31.0,31.35,29.7,30.6
07-11-2019,30.0,30.55,29.1,29.35
08-11-2019,30.0,30.7,28.7,29.65
11-11-2019,29.7,30.4,28.6,29.05
13-11-2019,30.45,30.45,27.6,27.75
14-11-2019,28.5,28.9,27.15,28.15
15-11-2019,29.55,29.55,27.4,28.7
18-11-2019,29.7,29.7,27.9,28.25
19-11-2019,29.5,29.5,27.1,28.1
20-11-2019,28.45,28.45,26.8,27.05
21-11-2019,27.7,27.7,26.5,27.15
22-11-2019,27.55,27.9,26.1,26.7
25-11-2019,27.9,27.9,26.1,26.6
26-11-2019,26.4,27.8,25.4,25.8
27-11-2019,25.75,26.45,24.55,24.55
28-11-2019,24.0,25.5,23.35,25.0
29-11-2019,26.2,26.2,24.0,25.85
02-12-2019,24.7,26.75,24.7,26.4
03-12-2019,26.4,27.4,25.7,26.4
04-12-2019,27.45,27.5,25.7,26.3
05-12-2019,27.3,27.3,25.7,26.6
06-12-2019,27.1,27.15,25.3,25.3
09-12-2019,24.5,25.45,24.5,24.8
10-12-2019,24.5,25.5,24.3,24.8
11-12-2019,25.0,25.0,23.6,23.65
12-12-2019,24.0,24.8,23.75,24.15
13-12-2019,24.35,24.85,24.25,24.5
16-12-2019,25.6,25.6,24.0,24.1
17-12-2019,24.95,25.25,23.5,23.85
18-12-2019,24.15,24.7,23.7,24.55
19-12-2019,24.85,24.85,23.7,24.0
