date,open,high,low,close
23-11-2022,60.0,64.0,58.35,59.1
24-11-2022,59.7,63.8,59.15,61.45
25-11-2022,61.9,62.8,61.0,62.3
28-11-2022,62.3,62.95,60.4,61.35
29-11-2022,60.75,62.4,60.05,60.45
30-11-2022,61.7,62.7,60.5,60.75
01-12-2022,61.1,61.8,60.05,60.35
02-12-2022,60.4,61.0,60.1,60.35
05-12-2022,60.35,60.75,59.0,59.25
06-12-2022,59.2,59.9,57.0,57.25
07-12-2022,57.25,58.8,57.15,57.75
08-12-2022,58.1,58.3,56.95,57.1
09-12-2022,57.15,57.5,54.0,55.4
12-12-2022,54.8,55.3,53.5,53.85
13-12-2022,53.75,55.5,53.7,54.25
14-12-2022,54.25,55.5,53.8,53.95
15-12-2022,53.95,55.4,53.85,54.6
16-12-2022,54.2,54.55,53.05,53.2
19-12-2022,53.2,53.2,48.6,49.35
20-12-2022,49.55,50.25,49.1,49.75
21-12-2022,50.0,50.1,46.3,47.8
22-12-2022,47.8,48.5,44.75,45.05
23-12-2022,44.4,44.4,40.5,40.85
26-12-2022,40.85,46.7,40.15,44.9
27-12-2022,45.75,46.15,43.05,43.9
28-12-2022,43.7,44.3,42.8,43.05
29-12-2022,43.3,49.25,43.05,46.8
30-12-2022,47.05,49.85,47.05,47.85
02-01-2023,48.1,48.65,46.65,47.0
03-01-2023,47.0,47.65,46.7,47.1
04-01-2023,47.1,47.45,45.55,46.15
05-01-2023,46.4,47.6,45.1,45.5
06-01-2023,45.6,45.75,44.15,44.7
09-01-2023,44.95,45.25,43.8,44.55
10-01-2023,44.5,45.65,44.45,44.7
11-01-2023,44.7,47.65,44.7,46.4
12-01-2023,46.65,47.65,46.2,47.1
13-01-2023,47.35,47.35,46.35,46.7
16-01-2023,46.35,47.45,45.75,46.45
17-01-2023,46.65,47.5,46.0,47.15
18-01-2023,47.4,48.45,46.75,47.8
19-01-2023,47.6,48.3,47.55,47.8
20-01-2023,47.8,54.7,47.65,52.8
23-01-2023,53.1,53.4,50.1,50.5
24-01-2023,50.75,52.3,50.1,50.6
25-01-2023,50.6,50.75,47.4,47.65
27-01-2023,47.9,49.05,45.35,46.1
30-01-2023,46.35,47.4,45.0,45.95
31-01-2023,46.2,48.6,45.8,48.15
01-02-2023,48.75,52.3,46.05,47.85
02-02-2023,47.95,49.8,46.0,46.85
03-02-2023,47.1,47.75,45.5,46.45
06-02-2023,45.3,48.3,45.3,47.1
07-02-2023,47.35,47.95,46.5,46.65
08-02-2023,46.9,47.25,46.5,46.95
09-02-2023,47.0,49.65,47.0,48.15
10-02-2023,48.4,48.4,46.55,47.0
