date,open,high,low,close
26-10-2023,477.25,483.7,450.0,473.15
27-10-2023,478.0,495.95,477.95,482.15
30-10-2023,485.5,485.8,470.0,472.6
31-10-2023,472.05,476.8,460.25,462.65
01-11-2023,463.5,464.65,443.0,444.1
02-11-2023,446.0,459.75,446.0,453.1
03-11-2023,456.5,456.5,447.8,449.35
06-11-2023,455.0,472.6,455.0,466.25
07-11-2023,467.9,478.3,461.65,471.7
08-11-2023,472.0,474.95,468.0,470.25
09-11-2023,471.0,473.8,455.05,460.7
10-11-2023,459.95,459.95,448.45,449.35
12-11-2023,456.0,460.0,455.05,458.25
13-11-2023,458.95,458.95,451.65,453.5
15-11-2023,454.1,458.25,445.05,446.3
16-11-2023,448.3,456.3,441.05,450.2
17-11-2023,448.35,451.5,444.05,447.1
20-11-2023,447.0,448.6,438.3,441.05
21-11-2023,441.0,444.95,436.0,437.0
22-11-2023,435.05,458.0,435.05,456.05
23-11-2023,451.2,468.2,451.0,465.4
24-11-2023,469.0,472.5,464.1,468.65
28-11-2023,468.0,471.15,458.8,464.7
29-11-2023,463.15,469.0,460.05,465.75
30-11-2023,466.05,470.1,456.0,458.95
01-12-2023,460.1,491.0,456.35,487.15
04-12-2023,497.0,497.0,475.4,478.05
05-12-2023,480.35,481.95,462.9,464.55
06-12-2023,465.0,469.0,457.0,458.0
07-12-2023,458.0,464.8,451.0,459.85
08-12-2023,459.5,463.25,456.0,458.2
11-12-2023,459.95,476.0,459.0,470.2
12-12-2023,471.05,475.0,460.4,462.7
13-12-2023,469.0,469.0,458.0,461.95
14-12-2023,460.05,466.95,455.25,456.95
15-12-2023,462.85,489.4,458.1,479.1
18-12-2023,478.95,485.0,467.45,473.0
19-12-2023,473.0,504.8,473.0,487.0
20-12-2023,490.6,490.6,462.0,467.55
21-12-2023,468.0,486.0,462.1,484.95
22-12-2023,488.7,528.8,483.05,522.7
26-12-2023,531.0,554.0,512.55,546.6
27-12-2023,557.85,564.3,543.55,551.3
28-12-2023,554.0,554.55,541.55,544.5
29-12-2023,549.65,549.65,534.2,538.15
01-01-2024,539.65,540.0,521.0,526.0
02-01-2024,525.8,526.8,509.25,520.6
03-01-2024,520.0,543.0,513.0,534.25
04-01-2024,535.0,546.15,525.0,532.1
05-01-2024,538.0,542.15,527.85,530.4
08-01-2024,530.0,549.7,528.3,542.05
09-01-2024,550.0,554.35,532.1,535.4
10-01-2024,539.8,544.15,528.0,537.9
11-01-2024,540.0,544.95,534.15,537.35
12-01-2024,540.0,547.9,534.0,545.0
15-01-2024,550.0,573.75,540.05,551.9
16-01-2024,552.0,561.85,535.55,540.75
17-01-2024,533.4,539.5,522.45,535.8
18-01-2024,541.0,542.4,522.5,535.75
19-01-2024,541.7,542.7,525.7,527.65
20-01-2024,529.0,537.5,520.0,524.25
23-01-2024,528.0,535.0,500.5,503.75
24-01-2024,509.0,523.0,500.0,512.2
25-01-2024,530.0,533.9,505.25,508.2
29-01-2024,514.9,514.9,505.55,507.9
30-01-2024,507.1,534.65,505.2,525.85
31-01-2024,525.8,540.95,524.5,539.15
01-02-2024,539.15,615.0,537.25,600.2
02-02-2024,604.9,608.0,578.0,589.2
05-02-2024,591.85,607.0,583.0,589.25
06-02-2024,592.9,594.7,580.0,582.85
07-02-2024,587.0,587.15,559.15,565.4
08-02-2024,566.0,593.9,563.35,588.8
09-02-2024,590.0,600.0,568.0,580.35
12-02-2024,564.1,584.55,512.5,523.55
13-02-2024,530.0,547.65,513.55,534.25
14-02-2024,525.05,569.8,519.55,550.0
15-02-2024,550.0,588.6,548.55,577.15
16-02-2024,581.0,588.4,560.0,564.3
19-02-2024,564.75,579.4,560.25,568.9
20-02-2024,574.0,578.05,562.55,563.45
21-02-2024,568.0,570.95,542.0,543.7
22-02-2024,543.8,552.0,532.95,546.0
23-02-2024,550.0,559.0,539.0,546.25
26-02-2024,550.0,587.7,549.0,573.95
27-02-2024,577.8,597.0,546.6,561.8
28-02-2024,565.7,570.4,545.0,553.15
29-02-2024,546.1,564.65,543.0,559.7
01-03-2024,569.7,569.7,555.0,564.5
02-03-2024,569.0,573.0,547.7,559.55
04-03-2024,555.05,570.75,555.05,565.15
05-03-2024,557.4,563.55,542.8,546.85
06-03-2024,546.85,546.9,505.0,509.55
07-03-2024,514.55,522.0,487.2,518.45
11-03-2024,506.65,517.35,493.0,495.5
12-03-2024,508.3,508.3,465.45,471.75
13-03-2024,476.0,483.75,440.0,445.5
14-03-2024,453.95,482.15,439.7,473.5
15-03-2024,480.0,488.9,461.95,485.4
18-03-2024,489.7,489.9,473.65,486.3
19-03-2024,486.3,486.45,470.6,479.45
20-03-2024,481.0,492.4,468.3,483.05
21-03-2024,492.0,504.0,484.0,497.6
22-03-2024,504.0,504.0,489.15,493.05
26-03-2024,490.0,490.0,456.65,462.55
27-03-2024,463.0,488.25,463.0,480.35
28-03-2024,482.05,494.0,467.0,469.3
01-04-2024,476.35,485.0,473.1,479.9
02-04-2024,479.9,487.8,479.1,483.35
03-04-2024,487.8,499.0,483.35,493.9
04-04-2024,501.05,501.05,485.0,486.65
05-04-2024,486.65,508.8,476.15,500.25
08-04-2024,500.3,505.3,492.35,495.45
