date,open,high,low,close
22-07-2019,23.0,23.5,22.4,23.25
23-07-2019,23.25,23.8,22.65,23.15
24-07-2019,23.6,23.6,22.75,23.15
25-07-2019,23.0,23.5,22.85,23.2
26-07-2019,23.1,24.2,23.0,23.85
29-07-2019,23.9,23.95,23.05,23.2
30-07-2019,22.9,22.9,19.5,19.75
31-07-2019,19.75,21.2,19.05,20.5
01-08-2019,20.4,20.6,19.5,20.05
02-08-2019,19.5,20.4,19.5,20.3
05-08-2019,20.3,20.3,19.3,19.45
06-08-2019,19.4,20.1,19.25,19.95
07-08-2019,19.9,20.1,19.4,19.7
08-08-2019,20.0,20.0,19.45,19.85
09-08-2019,20.0,20.95,19.9,20.1
13-08-2019,20.45,22.5,20.2,21.6
14-08-2019,22.1,22.65,21.9,22.35
16-08-2019,21.0,22.25,21.0,21.75
19-08-2019,21.95,22.25,21.5,21.95
20-08-2019,21.95,22.0,21.15,21.2
21-08-2019,21.45,21.45,19.85,20.35
22-08-2019,20.05,20.4,19.1,19.65
23-08-2019,20.15,20.2,18.9,19.55
26-08-2019,21.0,21.0,19.55,19.75
27-08-2019,20.15,20.45,19.95,20.1
28-08-2019,20.4,20.4,19.5,19.85
29-08-2019,19.95,19.95,19.4,19.55
30-08-2019,20.2,20.2,19.5,19.55
03-09-2019,19.8,19.8,19.2,19.4
04-09-2019,19.45,19.45,17.8,18.25
05-09-2019,18.65,19.0,18.3,18.8
06-09-2019,19.0,19.3,18.9,19.05
09-09-2019,19.45,19.95,19.1,19.7
11-09-2019,20.0,22.7,19.8,21.75
12-09-2019,20.95,22.5,20.9,21.6
13-09-2019,21.65,21.95,21.1,21.75
16-09-2019,21.6,24.2,21.05,23.25
17-09-2019,23.5,23.95,22.15,22.25
18-09-2019,22.15,23.15,22.15,22.8
19-09-2019,22.85,22.85,21.25,21.6
20-09-2019,21.65,22.5,21.05,21.85
23-09-2019,22.5,23.0,22.0,22.65
24-09-2019,22.7,23.5,22.65,22.95
25-09-2019,22.8,22.9,21.1,21.35
26-09-2019,21.5,21.65,20.9,21.15
27-09-2019,21.15,21.8,20.1,20.2
30-09-2019,20.55,21.0,19.05,19.4
01-10-2019,19.5,20.55,18.3,18.75
03-10-2019,18.75,19.2,18.4,18.55
04-10-2019,18.75,19.0,18.05,18.15
07-10-2019,18.55,18.6,16.75,17.0
09-10-2019,17.3,17.3,15.95,16.1
10-10-2019,15.55,15.8,13.2,14.1
11-10-2019,14.2,15.5,13.7,14.6
14-10-2019,13.9,14.45,13.0,13.55
15-10-2019,13.5,14.05,13.0,13.65
16-10-2019,13.3,13.45,12.55,12.8
17-10-2019,12.9,13.0,11.6,11.7
18-10-2019,11.8,12.1,10.6,11.25
22-10-2019,11.15,11.7,10.7,10.85
