date,open,high,low,close
22-07-2019,134.05,135.4,132.0,134.65
23-07-2019,135.0,139.4,133.05,137.85
24-07-2019,141.0,141.0,134.75,135.8
25-07-2019,134.05,137.7,133.15,134.5
26-07-2019,134.0,136.0,131.65,133.55
29-07-2019,133.0,134.95,130.0,131.95
30-07-2019,134.0,134.0,126.05,130.0
31-07-2019,126.0,130.8,122.15,126.4
01-08-2019,129.4,130.5,121.5,122.5
02-08-2019,121.55,123.45,120.0,121.7
05-08-2019,120.1,120.15,114.5,118.55
06-08-2019,120.0,135.0,116.45,128.8
07-08-2019,129.9,134.8,123.05,124.3
08-08-2019,125.85,129.4,121.4,126.8
09-08-2019,131.5,132.2,125.95,129.6
13-08-2019,133.0,140.0,129.05,131.05
14-08-2019,132.8,145.5,132.8,137.45
16-08-2019,136.9,138.8,134.25,136.05
19-08-2019,136.0,141.0,136.0,137.9
20-08-2019,138.0,138.9,129.6,130.65
21-08-2019,131.0,132.35,124.65,125.45
22-08-2019,126.95,128.0,113.1,115.4
23-08-2019,116.4,123.4,111.0,121.35
26-08-2019,123.95,126.85,114.7,118.75
27-08-2019,120.6,124.9,118.65,120.85
28-08-2019,121.85,127.45,119.0,123.7
29-08-2019,123.0,123.7,119.25,120.4
30-08-2019,121.0,122.0,115.45,117.9
03-09-2019,117.5,120.5,116.1,116.95
04-09-2019,117.6,118.05,111.0,114.6
05-09-2019,116.5,117.75,114.5,116.0
06-09-2019,116.5,122.0,116.5,121.45
09-09-2019,121.9,124.9,117.9,121.65
11-09-2019,122.3,126.9,121.5,125.4
12-09-2019,126.6,132.3,126.55,130.35
13-09-2019,130.0,134.9,128.85,132.05
16-09-2019,130.1,133.25,128.8,132.5
17-09-2019,132.0,134.2,125.3,127.6
18-09-2019,128.55,132.35,122.85,131.35
19-09-2019,132.25,132.8,126.25,127.5
20-09-2019,127.8,138.5,126.4,131.45
23-09-2019,133.95,144.45,132.0,143.1
24-09-2019,142.05,145.8,138.05,139.85
25-09-2019,137.25,139.0,133.3,134.6
26-09-2019,134.9,137.5,132.25,134.35
27-09-2019,135.55,136.35,132.65,133.5
30-09-2019,132.0,132.9,126.3,129.65
01-10-2019,129.65,131.35,125.1,128.6
03-10-2019,129.0,133.05,126.1,131.75
04-10-2019,129.15,134.25,129.15,130.7
07-10-2019,128.7,131.9,127.05,127.95
09-10-2019,142.0,153.5,141.15,143.85
10-10-2019,142.6,144.9,137.25,142.55
11-10-2019,143.95,143.95,138.5,140.55
14-10-2019,142.25,152.1,140.1,145.9
15-10-2019,145.0,147.7,141.7,147.15
16-10-2019,146.95,151.3,146.15,147.35
17-10-2019,147.35,153.5,146.95,148.55
18-10-2019,148.7,160.95,148.7,159.5
22-10-2019,159.9,162.9,156.0,157.45
23-10-2019,157.65,159.9,152.2,157.25
24-10-2019,157.9,158.8,153.3,154.65
25-10-2019,154.55,156.0,150.75,152.7
27-10-2019,153.85,155.0,148.0,153.6
29-10-2019,156.7,157.4,153.0,155.65
30-10-2019,156.9,166.55,154.0,158.35
31-10-2019,157.5,158.9,154.55,156.65
01-11-2019,156.7,156.85,153.05,155.9
04-11-2019,157.0,157.0,149.7,151.7
05-11-2019,151.15,153.0,149.15,150.95
06-11-2019,152.0,152.0,148.65,149.95
07-11-2019,151.15,159.9,150.2,158.0
08-11-2019,159.35,162.0,157.6,158.2
11-11-2019,156.0,159.1,152.5,153.55
13-11-2019,154.35,157.5,151.5,155.95
14-11-2019,156.0,158.9,153.6,157.85
15-11-2019,162.4,165.75,156.25,160.05
18-11-2019,161.4,162.9,157.25,158.95
19-11-2019,159.85,161.75,156.65,160.1
20-11-2019,160.15,169.9,156.7,166.45
21-11-2019,170.2,179.5,170.05,170.75
22-11-2019,171.0,174.0,167.85,170.35
25-11-2019,171.8,172.65,164.05,166.95
26-11-2019,167.5,169.9,161.0,162.8
27-11-2019,163.5,164.8,157.05,158.85
28-11-2019,157.6,161.75,154.25,157.3
29-11-2019,157.8,170.0,155.95,159.9
02-12-2019,160.5,160.5,153.65,155.2
03-12-2019,155.0,155.0,131.5,139.65
04-12-2019,135.65,147.0,135.65,143.9
05-12-2019,144.0,145.05,138.0,138.7
06-12-2019,138.5,140.05,130.4,134.85
09-12-2019,137.9,139.3,132.05,136.45
10-12-2019,136.0,138.9,134.1,137.65
11-12-2019,136.05,143.5,136.0,137.85
12-12-2019,139.25,142.0,138.45,141.3
13-12-2019,141.6,143.0,139.6,142.2
16-12-2019,142.2,143.55,140.0,141.0
17-12-2019,140.05,142.15,139.25,140.05
18-12-2019,139.05,142.25,138.0,138.7
19-12-2019,136.4,139.95,133.25,134.35
20-12-2019,134.9,137.3,134.7,136.35
23-12-2019,137.0,137.0,134.3,135.35
24-12-2019,136.25,136.25,134.4,134.8
26-12-2019,135.4,137.0,133.25,134.9
27-12-2019,133.65,137.5,133.65,135.7
30-12-2019,136.9,146.5,134.8,143.9
31-12-2019,143.5,143.55,139.4,140.9
01-01-2020,142.3,144.5,140.1,142.95
02-01-2020,143.75,152.95,143.0,151.4
03-01-2020,150.8,157.75,149.55,153.25
06-01-2020,152.9,153.95,143.95,145.35
07-01-2020,147.2,150.05,144.3,147.55
08-01-2020,143.15,153.9,132.0,150.75
09-01-2020,152.25,156.05,150.2,151.95
10-01-2020,150.65,158.1,150.65,156.3
13-01-2020,156.3,160.0,151.05,155.1
14-01-2020,155.8,155.8,152.2,154.35
15-01-2020,155.0,158.95,151.9,154.2
16-01-2020,156.0,156.0,153.65,154.25
17-01-2020,154.6,155.6,152.1,153.1
20-01-2020,156.4,156.4,152.0,152.95
21-01-2020,153.8,170.7,152.5,161.25
22-01-2020,162.6,162.7,156.25,157.1
23-01-2020,158.45,160.0,156.2,157.6
24-01-2020,158.3,159.0,154.5,155.25
27-01-2020,154.0,158.4,153.35,155.1
28-01-2020,156.65,157.3,153.45,154.65
29-01-2020,155.0,156.95,154.0,154.35
30-01-2020,154.4,155.95,151.8,153.5
31-01-2020,155.8,156.7,151.1,151.85
01-02-2020,155.75,158.0,143.25,145.5
03-02-2020,147.95,147.95,141.4,143.15
04-02-2020,143.95,149.75,143.95,148.2
05-02-2020,149.9,149.9,145.3,147.15
06-02-2020,147.15,151.65,145.25,148.0
07-02-2020,148.0,150.0,146.3,147.9
10-02-2020,147.9,149.7,145.05,146.25
11-02-2020,145.0,153.95,145.0,147.75
12-02-2020,149.0,153.3,146.0,150.65
13-02-2020,151.55,151.55,147.0,149.2
14-02-2020,146.3,149.15,144.05,147.1
17-02-2020,148.0,148.0,142.1,144.55
18-02-2020,142.85,143.7,137.15,141.1
19-02-2020,140.15,145.0,128.4,140.1
20-02-2020,140.85,142.25,136.55,138.35
24-02-2020,137.75,139.9,135.0,136.3
25-02-2020,136.9,138.4,133.0,133.95
26-02-2020,134.0,137.2,132.4,135.3
27-02-2020,135.7,135.7,131.0,132.3
28-02-2020,131.0,131.0,125.0,126.15
02-03-2020,127.5,129.75,125.05,126.6
03-03-2020,126.5,128.8,120.0,124.7
04-03-2020,124.9,127.95,120.45,121.5
05-03-2020,125.9,125.9,121.1,123.1
06-03-2020,119.0,120.0,116.8,118.2
09-03-2020,114.2,117.95,113.6,114.3
11-03-2020,117.7,117.7,112.0,113.45
12-03-2020,112.0,113.0,90.8,95.1
13-03-2020,84.0,99.0,76.1,96.35
16-03-2020,93.9,95.95,88.35,90.15
17-03-2020,92.9,92.9,83.95,86.55
18-03-2020,89.8,91.0,80.8,83.3
19-03-2020,80.2,84.1,71.25,82.35
20-03-2020,87.0,87.0,80.0,82.7
23-03-2020,71.0,74.9,66.9,67.55
24-03-2020,70.05,73.75,65.05,70.1
25-03-2020,65.2,77.0,65.2,76.0
26-03-2020,83.0,83.0,77.3,80.3
27-03-2020,84.4,86.1,79.1,80.15
30-03-2020,79.4,79.4,74.05,74.6
31-03-2020,76.0,77.0,74.0,75.25
01-04-2020,73.95,79.0,73.05,76.95
03-04-2020,77.0,77.9,74.1,74.6
07-04-2020,77.5,77.5,73.5,75.7
08-04-2020,74.2,78.15,74.2,77.4
09-04-2020,77.8,82.0,77.8,81.5
13-04-2020,81.5,81.5,77.5,79.6
15-04-2020,79.6,85.8,78.5,80.35
16-04-2020,80.2,89.0,78.5,80.75
17-04-2020,84.0,86.9,83.15,85.95
20-04-2020,92.8,96.6,87.3,89.15
21-04-2020,86.8,86.8,81.6,82.9
22-04-2020,84.9,88.0,82.1,83.65
23-04-2020,85.0,85.0,81.3,81.75
24-04-2020,81.6,81.6,75.2,76.65
27-04-2020,77.5,82.5,77.5,79.9
28-04-2020,80.25,81.5,79.1,80.05
29-04-2020,80.75,82.5,78.6,79.55
30-04-2020,80.7,81.4,79.0,79.6
04-05-2020,77.75,78.25,75.0,76.0
05-05-2020,76.4,77.4,74.45,75.35
06-05-2020,78.0,78.0,73.6,74.9
07-05-2020,74.9,79.0,72.1,77.0
08-05-2020,79.8,79.8,73.05,74.1
11-05-2020,74.0,77.85,74.0,74.75
12-05-2020,73.15,75.9,72.05,75.5
13-05-2020,78.9,80.7,77.2,78.9
14-05-2020,78.75,81.75,76.1,80.2
15-05-2020,80.5,85.9,78.4,83.1
18-05-2020,84.35,84.35,77.0,77.65
19-05-2020,76.55,78.65,75.2,76.9
20-05-2020,79.0,79.0,76.55,77.3
21-05-2020,79.0,79.0,76.3,77.05
22-05-2020,76.2,79.75,76.2,77.85
26-05-2020,79.45,79.45,77.1,77.35
27-05-2020,76.55,79.35,76.0,77.05
28-05-2020,77.05,80.7,77.05,79.7
29-05-2020,79.0,82.8,77.85,80.45
01-06-2020,80.65,83.4,80.65,82.1
02-06-2020,82.7,90.7,82.15,88.85
03-06-2020,90.75,91.75,86.85,88.4
04-06-2020,86.6,90.1,86.6,87.95
05-06-2020,88.75,95.0,88.05,93.8
08-06-2020,94.9,98.0,91.95,96.4
09-06-2020,98.5,100.65,93.0,93.35
10-06-2020,94.25,97.45,92.3,94.05
11-06-2020,95.2,95.25,89.4,89.95
12-06-2020,85.05,89.1,85.05,88.35
15-06-2020,89.1,91.75,86.0,87.45
16-06-2020,88.65,91.8,86.1,87.1
17-06-2020,85.6,88.8,85.0,87.0
18-06-2020,86.55,93.3,86.55,91.75
19-06-2020,92.5,97.75,92.15,95.6
22-06-2020,96.0,96.85,94.0,95.15
23-06-2020,95.35,102.5,95.35,100.5
24-06-2020,101.0,106.8,97.0,100.05
25-06-2020,98.5,101.5,96.75,99.2
26-06-2020,101.8,103.95,96.1,96.6
29-06-2020,97.0,97.55,93.0,93.35
30-06-2020,95.55,100.0,95.0,95.8
01-07-2020,96.4,97.45,94.15,96.15
02-07-2020,97.45,97.95,95.25,97.05
03-07-2020,98.95,101.4,97.35,99.25
