date,open,high,low,close
22-07-2019,18.6,19.9,18.6,18.7
23-07-2019,19.0,19.6,18.0,18.0
24-07-2019,18.0,18.7,17.25,18.65
25-07-2019,19.0,19.4,17.8,18.45
26-07-2019,17.65,18.8,17.65,17.65
29-07-2019,17.0,17.0,16.8,16.8
30-07-2019,16.5,17.0,16.0,16.0
31-07-2019,16.0,16.0,15.2,15.2
01-08-2019,14.45,15.5,14.45,15.5
02-08-2019,15.75,16.25,14.8,15.75
05-08-2019,16.35,16.35,15.0,15.0
06-08-2019,14.25,15.7,14.25,14.35
07-08-2019,15.05,15.05,13.7,15.05
08-08-2019,14.7,15.8,14.4,15.8
09-08-2019,15.8,16.55,15.15,16.55
13-08-2019,16.0,17.35,16.0,17.35
14-08-2019,17.35,18.15,16.65,17.1
16-08-2019,16.85,17.85,16.6,17.35
19-08-2019,18.0,18.2,18.0,18.2
20-08-2019,18.9,18.9,17.35,18.35
21-08-2019,17.45,17.45,17.45,17.45
22-08-2019,17.5,17.5,16.7,17.2
23-08-2019,16.5,18.05,16.35,16.35
26-08-2019,15.55,17.15,15.55,17.15
27-08-2019,17.15,17.15,17.15,17.15
28-08-2019,17.5,17.5,17.5,17.5
29-08-2019,16.8,16.8,16.65,16.8
30-08-2019,16.8,16.8,16.8,16.8
03-09-2019,17.25,17.25,16.05,16.05
04-09-2019,16.05,16.85,16.05,16.25
05-09-2019,16.25,17.0,16.05,16.05
06-09-2019,16.05,16.85,16.0,16.85
09-09-2019,16.15,17.45,16.15,17.45
11-09-2019,16.7,17.7,16.7,16.9
12-09-2019,16.5,17.7,16.5,17.2
13-09-2019,16.35,17.8,16.35,17.65
16-09-2019,16.9,17.45,16.85,17.25
17-09-2019,16.55,17.9,16.5,16.95
18-09-2019,16.8,17.75,16.2,17.75
19-09-2019,17.15,17.15,17.15,17.15
20-09-2019,16.3,17.1,16.3,17.1
23-09-2019,16.3,17.3,16.3,16.7
24-09-2019,16.0,17.2,15.9,17.2
25-09-2019,17.2,17.2,16.35,16.85
26-09-2019,16.35,16.35,16.05,16.05
27-09-2019,16.45,16.7,15.25,15.65
30-09-2019,15.65,16.4,14.9,14.95
01-10-2019,14.9,14.95,14.25,14.95
03-10-2019,14.95,14.95,14.95,14.95
04-10-2019,14.25,14.4,14.25,14.4
07-10-2019,14.4,14.5,14.4,14.5
09-10-2019,13.25,14.45,13.1,13.25
10-10-2019,12.8,14.5,12.75,12.9
11-10-2019,11.7,14.15,11.7,14.1
14-10-2019,13.5,14.8,12.7,14.65
15-10-2019,14.7,14.7,13.2,13.2
16-10-2019,13.2,13.2,11.9,12.1
17-10-2019,12.4,12.65,11.5,11.5
18-10-2019,11.3,12.05,11.25,12.05
22-10-2019,12.05,12.65,11.45,12.0
23-10-2019,12.55,12.55,11.4,12.4
24-10-2019,12.0,12.0,11.8,12.0
29-10-2019,12.0,12.15,11.4,11.6
30-10-2019,11.1,11.5,11.05,11.05
31-10-2019,10.5,11.4,10.5,10.9
01-11-2019,10.9,11.1,10.9,11.1
04-11-2019,11.1,11.65,10.55,11.65
05-11-2019,12.0,12.0,11.1,11.15
06-11-2019,11.45,11.45,10.6,11.05
07-11-2019,10.5,11.5,10.5,11.15
08-11-2019,11.45,11.45,10.8,11.15
11-11-2019,10.6,11.7,10.6,10.7
13-11-2019,11.0,11.0,10.5,11.0
14-11-2019,11.55,11.55,11.55,11.55
15-11-2019,11.0,12.1,11.0,11.9
18-11-2019,11.4,11.4,11.35,11.35
19-11-2019,11.0,11.0,10.8,10.8
20-11-2019,11.3,11.3,10.8,10.8
21-11-2019,11.2,11.2,10.8,10.8
22-11-2019,11.3,11.3,10.3,10.6
25-11-2019,11.0,11.1,10.6,11.1
26-11-2019,11.0,11.0,11.0,11.0
27-11-2019,10.55,11.45,10.45,10.5
28-11-2019,10.05,11.0,10.05,11.0
29-11-2019,11.0,11.2,11.0,11.2
02-12-2019,10.95,11.7,10.65,10.65
03-12-2019,10.15,11.1,10.15,10.55
04-12-2019,11.05,11.05,11.05,11.05
05-12-2019,11.6,11.6,11.6,11.6
06-12-2019,12.15,12.15,12.15,12.15
09-12-2019,12.75,12.75,12.0,12.15
10-12-2019,12.15,12.75,12.15,12.75
11-12-2019,12.7,12.7,12.7,12.7
12-12-2019,12.65,12.65,12.65,12.65
13-12-2019,12.2,13.2,12.2,12.65
16-12-2019,12.05,12.75,12.05,12.1
17-12-2019,11.5,12.5,11.5,12.0
18-12-2019,11.4,12.6,11.4,12.6
20-12-2019,12.6,12.6,12.5,12.5
23-12-2019,11.9,13.1,11.9,13.1
24-12-2019,13.1,13.75,12.45,13.05
26-12-2019,12.45,13.6,12.45,13.6
30-12-2019,13.6,14.25,12.95,14.25
31-12-2019,14.25,14.95,13.6,14.0
01-01-2020,14.0,14.0,13.45,13.5
02-01-2020,12.9,14.15,12.9,14.1
03-01-2020,14.15,14.8,13.7,14.8
06-01-2020,14.8,15.5,14.1,14.5
07-01-2020,15.0,15.0,13.9,14.95
08-01-2020,14.95,14.95,14.95,14.95
09-01-2020,14.95,14.95,14.25,14.25
10-01-2020,13.7,14.9,13.55,13.6
13-01-2020,13.2,14.2,13.2,14.15
14-01-2020,13.45,14.7,13.45,14.35
15-01-2020,14.25,14.7,14.25,14.3
16-01-2020,13.85,14.75,13.85,14.75
17-01-2020,14.75,15.0,14.35,14.4
20-01-2020,14.1,14.1,14.0,14.1
21-01-2020,14.65,14.65,14.0,14.1
22-01-2020,13.8,13.85,13.8,13.85
23-01-2020,13.8,13.8,13.8,13.8
24-01-2020,14.0,14.0,13.8,14.0
27-01-2020,14.0,14.4,13.8,14.3
28-01-2020,13.8,15.0,13.8,13.95
29-01-2020,14.0,14.6,14.0,14.55
31-01-2020,13.85,13.85,13.85,13.85
01-02-2020,13.75,14.45,13.75,14.1
03-02-2020,13.5,14.45,13.5,13.5
04-02-2020,12.95,13.6,12.95,13.2
05-02-2020,12.8,13.0,12.8,12.95
06-02-2020,12.8,12.8,12.35,12.6
07-02-2020,12.2,13.2,12.2,12.8
10-02-2020,12.8,12.8,12.4,12.6
11-02-2020,12.25,12.25,12.25,12.25
12-02-2020,12.15,12.2,12.15,12.2
13-02-2020,12.15,12.3,12.15,12.3
14-02-2020,12.3,12.9,12.3,12.9
17-02-2020,12.3,13.0,12.3,12.55
18-02-2020,12.0,12.0,12.0,12.0
19-02-2020,12.6,12.6,11.5,11.65
20-02-2020,11.15,12.2,11.15,11.3
24-02-2020,10.8,11.35,10.8,10.8
25-02-2020,10.75,10.9,10.75,10.9
26-02-2020,10.75,11.25,10.75,11.2
27-02-2020,11.25,11.75,11.25,11.75
28-02-2020,12.3,12.3,12.3,12.3
02-03-2020,12.3,12.3,12.3,12.3
03-03-2020,11.7,12.0,11.7,11.8
04-03-2020,11.25,11.75,11.25,11.75
05-03-2020,11.75,11.75,11.2,11.2
09-03-2020,11.3,11.3,10.65,10.65
11-03-2020,10.65,10.65,10.65,10.65
12-03-2020,10.65,10.65,10.65,10.65
16-03-2020,10.5,10.55,10.15,10.15
17-03-2020,10.0,10.15,10.0,10.0
18-03-2020,9.5,10.5,9.5,9.5
20-03-2020,9.3,9.3,9.3,9.3
23-03-2020,9.0,9.0,8.85,8.85
24-03-2020,8.45,8.45,8.45,8.45
25-03-2020,8.45,8.45,8.05,8.05
26-03-2020,7.65,7.9,7.65,7.65
27-03-2020,7.5,7.55,7.5,7.55
30-03-2020,7.5,7.5,7.5,7.5
31-03-2020,7.15,7.15,7.15,7.15
01-04-2020,7.5,7.5,7.5,7.5
03-04-2020,7.5,7.5,7.5,7.5
07-04-2020,7.5,7.85,7.15,7.8
08-04-2020,7.8,7.8,7.45,7.5
09-04-2020,7.15,7.85,7.15,7.85
13-04-2020,8.0,8.2,7.5,8.2
15-04-2020,8.3,8.6,8.3,8.5
16-04-2020,8.5,8.9,8.1,8.9
17-04-2020,8.9,9.3,8.5,9.3
20-04-2020,9.75,9.75,8.9,9.0
21-04-2020,8.6,8.6,8.55,8.6
22-04-2020,8.3,8.3,8.3,8.3
23-04-2020,8.35,8.45,8.35,8.4
24-04-2020,8.35,8.6,8.35,8.6
27-04-2020,9.0,9.0,8.35,8.6
28-04-2020,8.6,8.6,8.5,8.6
29-04-2020,8.65,9.0,8.2,9.0
30-04-2020,9.0,9.45,8.6,9.45
04-05-2020,9.5,9.5,9.0,9.0
05-05-2020,8.95,9.0,8.55,9.0
06-05-2020,9.0,9.45,8.7,8.85
07-05-2020,8.85,8.85,8.6,8.7
08-05-2020,8.5,9.1,8.5,9.1
11-05-2020,8.65,9.55,8.65,9.4
12-05-2020,8.95,8.95,8.95,8.95
13-05-2020,8.95,8.95,8.55,8.95
14-05-2020,8.8,9.25,8.65,9.25
15-05-2020,9.25,9.25,8.85,9.15
19-05-2020,9.15,9.15,9.15,9.15
20-05-2020,9.05,9.05,9.05,9.05
21-05-2020,9.05,9.05,9.05,9.05
22-05-2020,9.35,9.35,8.6,9.2
26-05-2020,9.6,9.6,8.75,8.95
27-05-2020,8.55,8.55,8.55,8.55
28-05-2020,8.15,8.95,8.15,8.3
29-05-2020,8.5,8.7,8.15,8.7
01-06-2020,9.1,9.1,9.1,9.1
02-06-2020,9.55,9.55,9.55,9.55
03-06-2020,10.0,10.0,9.55,10.0
04-06-2020,10.5,10.5,9.5,9.65
05-06-2020,9.65,9.65,9.65,9.65
08-06-2020,10.6,10.6,9.65,10.6
09-06-2020,11.1,11.65,10.6,11.65
10-06-2020,11.65,12.8,11.65,12.8
11-06-2020,13.4,13.4,13.4,13.4
12-06-2020,14.05,14.05,13.4,14.05
15-06-2020,14.75,14.75,14.75,14.75
16-06-2020,15.45,15.45,15.45,15.45
17-06-2020,16.2,16.2,16.2,16.2
18-06-2020,15.4,16.5,15.4,16.5
19-06-2020,17.25,17.3,16.5,17.3
22-06-2020,17.3,18.15,16.45,17.9
23-06-2020,18.15,18.7,17.05,18.55
24-06-2020,19.45,19.45,18.05,19.45
25-06-2020,19.45,20.4,19.45,20.35
26-06-2020,21.35,21.35,20.05,21.35
29-06-2020,22.4,22.4,20.35,20.35
30-06-2020,20.35,21.35,19.35,19.35
01-07-2020,18.5,18.5,18.4,18.4
02-07-2020,17.65,18.4,17.5,17.5
03-07-2020,17.5,18.35,16.65,17.0
06-07-2020,16.5,17.0,16.15,16.3
07-07-2020,17.1,17.1,15.5,15.8
08-07-2020,16.2,16.55,16.2,16.55
09-07-2020,15.75,17.35,15.75,16.25
10-07-2020,15.5,17.05,15.45,16.95
13-07-2020,16.15,16.15,16.15,16.15
14-07-2020,15.35,16.0,15.35,16.0
15-07-2020,15.2,15.25,15.2,15.2
16-07-2020,14.45,14.5,14.45,14.45
17-07-2020,14.45,14.45,13.75,13.8
20-07-2020,14.45,14.45,13.2,14.0
21-07-2020,14.0,14.05,14.0,14.05
22-07-2020,14.05,14.05,14.05,14.05
23-07-2020,14.0,14.75,13.35,14.75
24-07-2020,14.15,14.7,14.15,14.7
27-07-2020,14.05,14.1,14.05,14.05
28-07-2020,14.0,14.5,14.0,14.0
29-07-2020,13.35,14.35,13.35,13.35
30-07-2020,13.35,13.95,12.75,12.75
31-07-2020,12.75,12.75,12.75,12.75
03-08-2020,13.35,13.35,12.75,12.75
04-08-2020,12.15,13.35,12.15,13.35
05-08-2020,13.85,14.0,13.35,13.65
06-08-2020,13.05,13.5,13.05,13.05
07-08-2020,13.05,13.05,13.05,13.05
10-08-2020,13.7,13.7,13.7,13.7
11-08-2020,13.7,14.35,13.7,14.35
12-08-2020,15.05,15.05,14.35,14.35
13-08-2020,14.35,15.05,14.35,14.5
14-08-2020,15.15,15.2,13.85,15.2
17-08-2020,14.8,15.85,14.5,15.05
18-08-2020,15.75,15.75,14.4,15.0
19-08-2020,15.0,15.75,14.35,15.75
20-08-2020,16.45,16.5,16.45,16.5
21-08-2020,16.55,17.3,16.5,17.3
24-08-2020,17.35,18.15,17.35,18.1
25-08-2020,19.0,19.0,17.45,18.75
26-08-2020,18.95,19.0,17.9,17.95
27-08-2020,18.75,18.75,17.15,17.35
28-08-2020,17.35,18.2,16.55,17.3
31-08-2020,16.5,18.0,16.45,16.45
01-09-2020,15.65,17.2,15.65,16.5
02-09-2020,15.7,17.1,15.7,16.4
03-09-2020,15.75,17.2,15.75,16.55
04-09-2020,17.0,17.35,16.55,17.05
07-09-2020,17.85,17.9,16.25,16.25
08-09-2020,16.8,16.8,15.5,15.5
09-09-2020,14.8,14.8,14.75,14.75
10-09-2020,14.05,15.45,14.05,15.2
11-09-2020,15.0,15.45,14.45,14.85
14-09-2020,15.0,15.45,15.0,15.45
15-09-2020,15.3,15.45,14.7,15.15
16-09-2020,15.2,15.4,14.5,14.55
17-09-2020,14.5,15.15,14.5,14.55
18-09-2020,14.5,14.95,14.0,14.2
21-09-2020,14.2,14.8,14.05,14.6
22-09-2020,14.6,14.6,14.15,14.15
23-09-2020,14.0,14.8,13.9,14.0
24-09-2020,13.3,13.35,13.3,13.3
25-09-2020,13.35,13.9,13.35,13.9
28-09-2020,13.9,13.9,13.3,13.45
30-09-2020,14.1,14.1,13.4,13.4
01-10-2020,12.9,14.0,12.9,14.0
05-10-2020,14.0,14.0,13.3,13.3
06-10-2020,13.25,13.95,12.65,12.65
07-10-2020,12.65,13.25,12.65,12.65
08-10-2020,11.45,13.7,11.4,12.2
