date,open,high,low,close
22-07-2019,81.0,81.9,78.0,79.65
23-07-2019,80.0,81.1,78.0,79.45
24-07-2019,79.5,80.0,76.6,78.05
25-07-2019,78.0,78.0,76.5,77.95
26-07-2019,93.5,93.5,93.5,93.5
29-07-2019,111.0,112.2,102.3,112.2
30-07-2019,114.0,118.8,108.1,112.85
31-07-2019,110.0,113.75,106.55,109.85
01-08-2019,107.25,110.75,103.7,107.45
02-08-2019,103.25,118.15,103.0,118.15
05-08-2019,118.6,124.95,113.0,118.35
06-08-2019,118.5,125.9,118.5,123.3
07-08-2019,123.0,124.0,114.8,117.25
08-08-2019,116.8,121.95,116.05,119.65
09-08-2019,118.65,121.9,117.1,117.95
13-08-2019,118.05,118.05,115.0,115.75
14-08-2019,120.0,120.0,115.25,117.1
16-08-2019,114.0,118.25,108.05,111.6
19-08-2019,110.5,114.5,106.05,106.4
20-08-2019,109.95,109.95,101.1,101.1
21-08-2019,106.0,106.0,96.05,96.35
22-08-2019,92.1,99.0,92.1,93.9
23-08-2019,89.6,98.55,89.25,98.55
26-08-2019,103.1,103.45,103.1,103.45
27-08-2019,108.4,108.6,104.0,104.0
28-08-2019,104.0,104.7,98.8,98.8
29-08-2019,94.25,98.0,93.9,97.0
30-08-2019,95.05,98.65,92.15,93.0
03-09-2019,93.0,97.0,88.45,88.9
04-09-2019,91.3,91.3,84.55,84.75
05-09-2019,85.15,88.95,85.0,86.05
06-09-2019,89.55,89.55,84.7,88.7
09-09-2019,89.95,93.1,89.95,93.05
11-09-2019,90.0,97.5,90.0,96.95
12-09-2019,97.0,101.0,94.0,95.15
13-09-2019,99.15,99.9,92.3,99.25
16-09-2019,100.95,104.0,99.9,103.3
17-09-2019,104.95,108.45,100.65,103.8
18-09-2019,108.5,108.5,99.2,101.35
19-09-2019,101.6,103.5,97.3,98.95
20-09-2019,102.0,103.85,99.25,102.45
23-09-2019,105.0,107.55,105.0,107.55
24-09-2019,108.1,112.9,108.1,112.4
25-09-2019,117.45,117.5,108.5,114.45
26-09-2019,111.05,112.5,109.65,110.2
27-09-2019,110.2,113.1,106.2,111.6
30-09-2019,111.05,111.05,106.1,106.5
01-10-2019,105.45,105.45,101.35,101.8
03-10-2019,101.25,102.9,96.75,97.5
04-10-2019,96.8,102.35,96.65,102.35
07-10-2019,103.0,107.4,98.15,99.25
09-10-2019,99.05,103.0,98.3,99.9
10-10-2019,99.0,101.9,98.0,100.95
11-10-2019,100.0,100.0,97.7,99.2
14-10-2019,98.0,101.5,97.1,100.8
15-10-2019,99.95,100.8,95.8,96.85
16-10-2019,96.45,99.95,96.0,97.8
17-10-2019,97.3,102.0,96.0,100.45
18-10-2019,100.1,103.9,100.0,102.45
22-10-2019,102.45,105.3,100.1,103.6
23-10-2019,104.55,108.75,104.5,108.75
24-10-2019,113.9,114.15,107.0,108.3
25-10-2019,112.0,113.7,111.6,113.7
27-10-2019,119.35,119.35,113.55,114.75
29-10-2019,118.85,118.85,109.05,109.25
30-10-2019,111.05,114.7,109.8,113.65
31-10-2019,112.05,114.8,110.0,111.45
01-11-2019,112.95,115.4,112.0,113.5
04-11-2019,112.6,112.85,110.7,112.45
05-11-2019,112.1,118.05,111.15,113.4
06-11-2019,113.5,113.5,110.95,112.5
07-11-2019,111.3,113.95,108.0,111.05
08-11-2019,110.0,111.75,105.5,106.65
11-11-2019,107.9,108.0,101.35,101.5
13-11-2019,102.0,106.5,97.3,98.95
14-11-2019,98.8,100.0,95.75,98.25
15-11-2019,98.05,99.9,97.0,98.2
18-11-2019,97.25,103.1,97.2,103.1
19-11-2019,105.0,108.25,103.45,104.2
20-11-2019,103.1,104.9,101.4,103.4
21-11-2019,104.45,107.1,104.45,104.95
22-11-2019,102.15,105.45,100.2,101.05
25-11-2019,101.65,103.0,101.3,102.05
26-11-2019,101.75,103.55,99.05,101.15
27-11-2019,101.8,101.8,99.0,99.85
