date,open,high,low,close
22-07-2019,277.0,280.0,272.06,275.23
23-07-2019,276.5,279.0,274.12,274.84
24-07-2019,276.6,276.6,270.0,270.85
25-07-2019,272.6,274.09,270.8,272.57
26-07-2019,273.9,277.04,271.0,275.16
29-07-2019,276.9,276.9,270.05,271.32
30-07-2019,273.3,273.3,267.25,267.77
31-07-2019,269.4,270.12,264.05,269.12
01-08-2019,270.8,270.8,264.1,266.59
02-08-2019,266.0,268.74,262.15,267.02
05-08-2019,267.9,267.9,261.02,265.43
06-08-2019,266.4,268.4,265.13,267.7
07-08-2019,268.6,270.0,265.82,266.57
08-08-2019,268.7,269.99,265.77,269.11
09-08-2019,271.9,274.07,270.0,272.07
13-08-2019,272.9,273.9,265.25,265.88
14-08-2019,269.9,269.9,265.1,268.4
16-08-2019,269.9,270.2,265.61,269.53
19-08-2019,271.0,272.49,268.44,269.43
20-08-2019,270.43,270.43,266.15,266.46
21-08-2019,270.0,270.0,263.49,264.26
22-08-2019,265.9,265.9,260.73,261.1
23-08-2019,262.8,263.8,257.3,263.25
26-08-2019,268.0,273.8,260.74,267.85
27-08-2019,269.5,271.94,267.5,271.38
28-08-2019,272.8,273.9,268.2,269.23
29-08-2019,270.9,270.99,267.5,270.63
30-08-2019,269.6,273.9,269.37,273.31
03-09-2019,274.9,274.9,267.53,268.39
04-09-2019,299.0,299.0,264.12,267.7
05-09-2019,266.35,270.29,265.7,269.5
06-09-2019,271.5,274.4,268.01,269.98
09-09-2019,271.7,273.88,269.0,270.96
11-09-2019,269.0,273.77,269.0,272.79
12-09-2019,270.5,274.99,270.5,272.55
13-09-2019,272.55,274.0,270.75,273.68
16-09-2019,274.6,274.8,270.2,274.4
17-09-2019,275.95,275.95,269.5,269.98
18-09-2019,271.8,271.8,269.52,270.27
19-09-2019,271.4,271.9,268.0,269.03
20-09-2019,287.9,298.6,267.3,284.08
23-09-2019,278.4,295.1,278.4,288.56
24-09-2019,289.0,290.5,287.05,288.91
25-09-2019,283.1,289.9,283.1,285.38
26-09-2019,287.0,288.8,284.0,287.37
27-09-2019,289.9,289.9,284.1,288.85
30-09-2019,286.8,289.98,284.15,285.54
01-10-2019,289.9,289.9,279.3,281.97
03-10-2019,283.6,283.6,279.12,280.45
04-10-2019,282.4,282.4,276.31,276.88
07-10-2019,282.0,283.0,272.55,273.03
09-10-2019,278.5,281.0,270.01,276.7
10-10-2019,278.6,278.6,274.02,275.04
11-10-2019,277.0,277.0,274.0,276.09
14-10-2019,274.5,279.15,274.5,278.05
15-10-2019,280.0,280.4,277.79,279.45
16-10-2019,281.45,282.5,279.45,282.05
17-10-2019,283.0,286.38,281.58,285.71
18-10-2019,287.0,289.96,285.05,289.16
22-10-2019,289.16,293.5,287.0,290.8
23-10-2019,291.8,292.99,287.0,292.04
24-10-2019,292.04,293.0,288.88,290.48
25-10-2019,292.4,292.4,287.1,289.56
27-10-2019,294.4,294.4,288.2,291.2
29-10-2019,294.4,300.0,290.02,293.9
30-10-2019,333.0,333.0,288.2,295.97
31-10-2019,297.4,299.5,296.1,296.7
01-11-2019,298.6,299.98,296.0,297.75
04-11-2019,299.9,301.4,295.88,297.04
05-11-2019,298.8,298.8,293.41,293.84
06-11-2019,294.0,296.76,293.01,296.64
07-11-2019,299.0,299.4,295.0,296.59
08-11-2019,296.59,298.89,293.8,294.34
11-11-2019,296.0,296.0,292.89,295.62
13-11-2019,297.0,297.94,291.0,294.21
14-11-2019,295.0,296.0,290.71,292.77
15-11-2019,294.45,294.45,291.08,292.64
18-11-2019,290.55,294.5,290.55,292.41
19-11-2019,292.0,294.5,290.55,291.5
20-11-2019,291.5,294.33,290.4,293.26
21-11-2019,295.8,295.8,290.51,291.38
22-11-2019,293.2,293.2,289.55,290.7
25-11-2019,290.0,296.0,290.0,295.41
26-11-2019,297.0,297.5,292.71,293.81
27-11-2019,295.5,295.5,293.16,294.63
28-11-2019,297.3,298.7,292.5,297.6
29-11-2019,299.3,299.79,294.98,295.75
02-12-2019,295.0,297.72,294.5,296.69
03-12-2019,290.8,298.39,284.81,294.61
04-12-2019,295.46,299.2,292.5,294.89
05-12-2019,291.0,296.6,291.0,292.84
06-12-2019,295.7,295.7,288.25,289.9
09-12-2019,291.9,291.9,287.5,288.2
10-12-2019,289.67,289.67,285.05,285.74
11-12-2019,285.82,287.46,284.5,287.07
12-12-2019,289.8,289.8,286.43,289.0
13-12-2019,287.0,291.88,287.0,290.71
16-12-2019,292.0,292.4,290.0,290.34
17-12-2019,292.0,292.0,288.12,290.99
18-12-2019,292.5,292.67,290.0,291.88
19-12-2019,293.4,293.98,291.0,293.48
20-12-2019,294.44,294.9,288.85,293.92
23-12-2019,294.78,295.88,292.66,295.35
24-12-2019,296.5,296.5,293.5,295.12
26-12-2019,296.0,296.0,290.05,293.36
27-12-2019,291.05,296.66,291.05,296.18
30-12-2019,296.95,296.95,294.45,296.25
31-12-2019,296.95,296.95,292.79,293.75
01-01-2020,294.7,295.31,289.35,293.53
02-01-2020,294.85,296.87,294.05,295.77
03-01-2020,296.65,296.76,294.8,295.0
06-01-2020,295.85,295.9,289.27,290.1
07-01-2020,292.5,294.4,289.66,292.19
08-01-2020,287.05,294.88,287.05,291.14
09-01-2020,305.0,305.0,293.6,296.1
10-01-2020,296.77,298.34,295.05,296.87
13-01-2020,298.65,298.77,297.01,298.42
14-01-2020,299.35,299.49,296.25,298.79
15-01-2020,302.95,302.95,298.02,299.87
16-01-2020,300.75,301.51,298.25,300.83
17-01-2020,301.75,302.3,300.05,301.41
20-01-2020,302.35,303.4,298.74,299.07
21-01-2020,300.0,300.8,295.2,297.71
22-01-2020,300.45,300.5,297.0,297.41
23-01-2020,296.95,300.78,296.06,300.51
24-01-2020,301.45,305.59,299.61,303.96
27-01-2020,302.0,303.99,300.21,301.27
28-01-2020,297.95,302.46,296.15,300.54
29-01-2020,300.15,303.0,300.15,302.17
30-01-2020,302.95,302.95,295.52,296.87
31-01-2020,295.45,298.75,294.0,294.63
01-02-2020,295.88,297.06,285.2,286.27
03-02-2020,291.95,291.95,282.05,286.7
04-02-2020,290.45,292.9,286.7,291.87
05-02-2020,290.1,296.95,290.1,296.68
06-02-2020,290.7,302.55,284.85,299.18
07-02-2020,297.15,301.63,297.15,300.77
10-02-2020,301.65,302.0,299.21,300.46
11-02-2020,299.05,302.95,299.01,300.23
12-02-2020,301.95,301.95,298.3,300.1
13-02-2020,300.95,300.95,298.11,299.65
14-02-2020,301.45,301.45,295.41,296.57
17-02-2020,297.85,299.95,293.05,293.4
18-02-2020,293.95,294.0,289.0,292.05
19-02-2020,297.85,298.54,280.4,297.98
20-02-2020,298.9,301.75,294.05,298.52
24-02-2020,291.05,298.95,291.05,292.68
25-02-2020,295.75,295.79,289.76,290.57
26-02-2020,290.45,290.5,285.9,286.48
27-02-2020,288.95,288.95,282.05,285.69
28-02-2020,284.0,284.0,274.26,276.71
02-03-2020,283.95,283.95,274.0,275.84
03-03-2020,278.68,282.0,275.16,280.47
04-03-2020,281.95,282.0,275.25,278.07
05-03-2020,281.5,282.22,276.5,280.38
06-03-2020,271.0,278.74,270.0,274.28
09-03-2020,273.4,275.9,262.25,269.12
11-03-2020,269.0,269.0,260.05,260.76
12-03-2020,260.5,260.5,235.0,239.43
13-03-2020,239.0,259.0,225.0,240.19
16-03-2020,242.0,249.8,227.15,231.71
17-03-2020,236.3,239.79,227.0,232.72
18-03-2020,237.0,238.0,219.62,222.29
19-03-2020,222.3,222.3,205.2,211.15
20-03-2020,212.0,224.8,210.2,220.87
23-03-2020,205.1,216.8,199.05,200.42
24-03-2020,209.8,209.8,197.5,199.05
25-03-2020,204.0,215.45,180.4,205.31
26-03-2020,209.0,221.5,205.32,213.28
27-03-2020,217.5,222.4,212.0,214.2
30-03-2020,213.9,213.9,208.11,211.68
31-03-2020,217.0,218.9,211.68,217.88
01-04-2020,217.8,222.75,215.1,218.67
03-04-2020,213.2,224.85,212.2,214.73
07-04-2020,223.5,229.0,215.06,227.61
08-04-2020,227.0,236.0,221.05,233.25
09-04-2020,238.0,240.9,231.0,239.03
13-04-2020,246.2,246.49,224.7,236.77
