date,open,high,low,close
22-07-2019,460.0,463.0,436.25,442.7
23-07-2019,451.6,477.7,444.95,469.95
24-07-2019,470.3,484.8,431.0,439.0
25-07-2019,440.0,462.7,436.05,452.15
26-07-2019,451.95,468.0,440.05,447.7
29-07-2019,445.8,450.0,420.0,432.0
30-07-2019,427.95,434.9,401.1,411.05
31-07-2019,409.85,409.85,390.0,400.05
01-08-2019,400.05,409.7,377.05,392.6
02-08-2019,396.9,405.95,378.0,395.25
05-08-2019,385.6,385.6,347.1,349.55
06-08-2019,344.95,351.75,300.2,323.8
07-08-2019,323.8,337.4,310.25,313.5
08-08-2019,314.0,323.95,312.8,321.75
09-08-2019,324.95,369.3,322.2,365.8
13-08-2019,359.95,374.8,353.5,358.05
14-08-2019,353.75,373.7,351.5,360.0
16-08-2019,368.0,369.55,344.1,353.4
19-08-2019,350.7,372.5,350.7,362.1
20-08-2019,369.95,369.95,350.55,356.0
21-08-2019,351.0,360.25,330.25,337.85
22-08-2019,335.3,352.9,316.0,321.9
23-08-2019,315.0,327.05,302.0,319.95
26-08-2019,319.95,343.6,319.95,339.8
27-08-2019,340.9,357.7,332.6,351.85
28-08-2019,357.95,357.95,346.45,350.05
29-08-2019,354.65,364.95,332.1,350.1
30-08-2019,360.0,380.0,352.55,365.0
03-09-2019,355.7,362.0,354.0,356.55
04-09-2019,355.05,357.1,344.0,349.05
05-09-2019,354.85,369.3,342.2,349.15
06-09-2019,350.6,359.9,348.0,354.9
09-09-2019,350.1,362.9,335.6,356.05
11-09-2019,361.95,388.0,352.95,385.25
12-09-2019,388.95,412.2,382.85,396.15
13-09-2019,393.75,401.45,387.05,396.2
16-09-2019,395.0,403.85,387.15,393.15
17-09-2019,394.25,409.85,375.0,381.2
18-09-2019,387.0,387.0,373.0,375.05
19-09-2019,377.2,380.0,356.0,366.6
20-09-2019,365.9,393.05,362.95,370.5
23-09-2019,372.15,389.5,370.25,378.75
24-09-2019,379.05,384.7,367.15,380.05
25-09-2019,376.2,383.5,367.0,376.8
26-09-2019,379.5,394.4,373.25,382.75
27-09-2019,386.85,392.75,380.0,389.05
30-09-2019,390.15,402.7,382.15,398.9
01-10-2019,399.0,400.3,370.5,378.35
03-10-2019,380.1,386.75,370.1,374.35
04-10-2019,378.6,378.6,366.1,367.4
07-10-2019,369.75,385.6,349.1,352.8
09-10-2019,355.85,355.9,335.55,347.05
10-10-2019,350.0,362.0,338.1,342.7
11-10-2019,344.4,401.95,344.0,390.65
14-10-2019,390.0,424.9,380.0,399.0
15-10-2019,395.15,397.0,376.0,378.55
16-10-2019,378.0,383.1,362.25,369.9
17-10-2019,370.75,381.6,356.0,374.8
18-10-2019,375.6,412.0,374.45,401.15
22-10-2019,400.75,420.45,400.75,409.95
23-10-2019,409.45,430.15,401.45,416.85
24-10-2019,423.6,425.25,385.8,395.1
25-10-2019,393.0,393.0,368.0,374.6
27-10-2019,375.0,395.0,375.0,390.45
29-10-2019,388.95,392.5,378.0,388.35
30-10-2019,384.0,396.05,381.95,391.25
31-10-2019,396.1,419.95,391.15,415.8
01-11-2019,415.05,423.0,401.8,408.55
04-11-2019,412.5,412.5,395.0,403.05
05-11-2019,404.0,413.65,396.05,409.7
06-11-2019,414.9,414.9,397.45,406.65
07-11-2019,401.65,428.8,401.65,412.3
08-11-2019,417.05,423.0,401.0,404.6
11-11-2019,399.0,411.3,399.0,400.55
13-11-2019,402.35,407.5,376.25,385.2
14-11-2019,396.0,396.0,378.1,380.3
15-11-2019,391.0,391.0,366.35,370.45
18-11-2019,371.0,378.95,370.55,373.75
19-11-2019,373.75,380.5,368.0,370.5
20-11-2019,370.95,375.05,360.1,363.6
21-11-2019,363.95,367.9,351.2,354.15
22-11-2019,355.0,369.0,349.65,362.7
25-11-2019,362.7,365.95,355.0,359.5
26-11-2019,361.95,367.0,343.05,345.05
27-11-2019,346.4,349.5,343.4,344.95
28-11-2019,348.95,353.45,336.2,340.15
29-11-2019,341.05,357.0,341.0,351.35
02-12-2019,357.0,357.0,341.55,345.5
03-12-2019,344.95,349.0,337.3,345.1
04-12-2019,338.15,348.0,336.4,344.25
05-12-2019,351.45,352.0,338.0,341.0
06-12-2019,342.85,346.5,330.0,334.4
09-12-2019,324.0,331.7,324.0,328.5
10-12-2019,325.05,325.3,314.8,321.1
11-12-2019,323.45,324.8,306.6,310.2
12-12-2019,310.45,330.0,306.0,322.45
13-12-2019,325.85,338.0,322.6,335.5
16-12-2019,341.9,345.0,327.95,333.45
17-12-2019,335.9,335.9,323.1,325.1
18-12-2019,328.3,335.0,323.15,325.25
19-12-2019,327.9,344.0,324.15,326.9
20-12-2019,328.15,331.8,321.45,322.45
23-12-2019,326.85,341.0,322.0,326.3
24-12-2019,326.75,327.05,323.0,324.0
26-12-2019,324.0,365.6,322.25,335.95
27-12-2019,335.35,353.3,333.0,351.75
30-12-2019,350.0,363.0,342.0,357.65
31-12-2019,353.35,371.95,343.05,363.2
01-01-2020,370.85,391.1,359.05,372.75
02-01-2020,375.05,378.0,361.55,373.25
03-01-2020,375.05,375.05,361.1,367.7
06-01-2020,357.05,365.9,347.6,356.4
07-01-2020,357.0,364.0,346.0,349.15
08-01-2020,345.0,360.0,344.95,355.45
09-01-2020,359.3,368.7,351.05,355.0
10-01-2020,353.0,360.0,352.0,355.3
13-01-2020,359.9,360.95,356.2,359.85
14-01-2020,359.9,431.8,353.6,399.75
15-01-2020,393.0,412.95,385.25,389.05
16-01-2020,391.0,414.65,382.0,402.75
17-01-2020,409.0,418.95,391.25,396.8
20-01-2020,402.7,407.95,385.95,392.0
21-01-2020,393.0,433.8,386.4,429.5
22-01-2020,433.95,448.2,427.55,430.25
23-01-2020,434.85,434.9,413.0,418.85
24-01-2020,415.05,417.55,401.5,404.7
27-01-2020,408.9,417.0,403.0,412.95
28-01-2020,415.05,428.0,405.0,406.5
29-01-2020,408.15,423.9,391.5,398.7
30-01-2020,392.0,394.0,368.2,370.7
31-01-2020,378.85,378.85,344.05,352.2
01-02-2020,352.2,360.0,326.0,331.7
03-02-2020,324.0,342.85,324.0,336.7
04-02-2020,340.95,345.0,335.0,338.5
05-02-2020,339.5,347.7,327.5,336.25
06-02-2020,340.0,340.0,325.45,328.65
07-02-2020,328.65,332.0,325.0,326.8
10-02-2020,329.45,339.0,316.55,320.7
11-02-2020,325.0,329.95,321.1,323.75
12-02-2020,325.0,325.7,312.2,315.35
