date,open,high,low,close
22-07-2019,242.15,246.4,221.0,230.15
23-07-2019,231.0,232.0,225.7,231.0
24-07-2019,231.6,247.0,227.8,237.1
25-07-2019,234.8,235.65,225.05,228.8
26-07-2019,226.05,235.0,197.15,220.45
29-07-2019,221.5,229.0,221.4,226.45
30-07-2019,223.95,229.5,220.0,224.7
31-07-2019,224.7,230.0,208.3,226.35
01-08-2019,224.0,224.0,210.0,211.7
02-08-2019,211.0,215.0,192.5,193.25
05-08-2019,198.0,198.0,178.0,181.65
06-08-2019,185.0,195.0,178.0,193.1
07-08-2019,195.1,199.05,190.0,194.2
08-08-2019,193.0,201.0,189.95,198.6
09-08-2019,195.0,196.0,192.0,194.8
13-08-2019,194.0,194.0,186.05,188.55
14-08-2019,194.0,195.0,188.1,191.4
16-08-2019,191.4,195.4,187.55,191.9
19-08-2019,198.7,198.7,190.0,192.25
20-08-2019,194.0,197.0,189.0,191.9
21-08-2019,191.0,194.9,180.05,185.6
22-08-2019,184.0,185.6,176.0,180.15
23-08-2019,178.0,179.95,172.05,173.4
26-08-2019,187.0,187.0,167.0,169.35
27-08-2019,169.0,203.2,166.0,190.4
28-08-2019,194.0,194.0,184.75,188.55
29-08-2019,188.0,188.95,181.9,185.95
30-08-2019,182.2,185.7,182.2,184.95
03-09-2019,192.0,192.0,181.2,185.0
04-09-2019,182.65,185.35,182.6,184.95
05-09-2019,183.1,185.25,173.9,185.0
06-09-2019,190.0,190.0,181.0,183.35
09-09-2019,184.05,185.2,182.0,183.35
11-09-2019,190.0,206.05,183.0,199.45
12-09-2019,202.0,239.3,201.95,234.5
13-09-2019,247.4,281.4,247.4,269.45
16-09-2019,269.0,281.0,252.3,267.45
17-09-2019,267.0,271.0,243.3,247.95
18-09-2019,247.95,266.0,247.0,253.25
19-09-2019,258.45,258.45,234.0,238.25
20-09-2019,239.0,254.0,222.15,247.1
23-09-2019,254.0,254.0,240.0,247.1
24-09-2019,253.0,253.0,240.0,243.85
25-09-2019,244.95,244.95,228.0,229.95
26-09-2019,236.0,236.0,226.3,230.95
27-09-2019,230.95,234.0,222.0,224.55
30-09-2019,227.0,235.0,205.0,208.65
01-10-2019,209.8,229.5,208.65,222.95
03-10-2019,230.85,230.85,212.7,221.55
04-10-2019,228.85,235.0,215.0,225.25
07-10-2019,230.05,233.45,220.0,220.7
09-10-2019,221.2,235.0,221.2,228.85
10-10-2019,234.0,234.0,220.15,223.25
11-10-2019,221.55,228.45,216.5,221.1
14-10-2019,217.0,230.0,216.0,227.5
15-10-2019,223.0,229.5,221.0,228.9
16-10-2019,226.0,255.0,223.1,249.7
17-10-2019,259.0,265.0,246.4,249.7
18-10-2019,247.0,250.65,240.0,242.8
22-10-2019,237.1,247.0,235.2,237.3
23-10-2019,256.0,274.0,245.25,251.35
24-10-2019,251.0,254.65,238.2,240.45
25-10-2019,240.45,252.8,240.0,249.0
27-10-2019,249.85,255.0,246.3,253.4
29-10-2019,255.85,255.85,245.75,251.85
30-10-2019,249.1,259.9,248.0,254.1
31-10-2019,252.45,254.85,248.5,252.2
01-11-2019,255.0,255.0,248.0,249.55
04-11-2019,268.0,272.0,250.5,252.7
05-11-2019,259.9,259.9,243.3,249.8
06-11-2019,247.9,249.25,243.1,243.75
07-11-2019,243.0,246.15,234.3,238.15
08-11-2019,237.7,255.1,234.55,240.1
11-11-2019,231.8,231.8,221.75,223.95
13-11-2019,222.5,226.7,215.0,217.4
14-11-2019,215.0,215.0,209.7,210.5
15-11-2019,211.0,216.2,208.95,209.95
18-11-2019,210.0,214.95,202.05,204.4
19-11-2019,205.0,205.8,194.25,196.6
20-11-2019,196.4,196.5,183.7,184.75
21-11-2019,185.1,195.0,184.55,189.4
22-11-2019,189.4,196.0,185.0,186.25
25-11-2019,189.6,194.25,185.05,189.6
26-11-2019,189.35,192.15,185.0,185.25
27-11-2019,186.25,199.85,186.0,189.0
28-11-2019,189.9,191.0,186.5,187.15
29-11-2019,188.8,190.95,185.5,186.7
02-12-2019,186.65,188.7,181.5,182.65
03-12-2019,182.0,185.9,180.3,181.0
04-12-2019,181.0,183.45,180.1,182.65
05-12-2019,184.35,184.35,177.55,179.9
06-12-2019,179.95,190.95,179.9,182.8
09-12-2019,181.0,182.2,174.65,175.65
10-12-2019,177.6,179.55,168.0,169.15
11-12-2019,171.9,174.0,168.4,168.9
12-12-2019,171.25,171.25,165.15,166.1
13-12-2019,169.0,176.4,166.3,170.15
16-12-2019,174.85,182.0,170.25,171.0
17-12-2019,172.0,173.7,167.0,167.45
18-12-2019,169.0,170.0,165.55,166.8
19-12-2019,165.3,168.55,163.0,165.5
20-12-2019,167.5,178.3,164.0,174.55
23-12-2019,176.0,178.0,165.8,168.55
24-12-2019,167.0,175.0,167.0,173.75
26-12-2019,174.7,177.95,170.0,173.85
