date,open,high,low,close
25-07-2019,13.1,13.2,13.1,13.15
26-07-2019,12.5,13.8,12.5,13.8
13-08-2019,13.15,13.15,13.15,13.15
14-08-2019,12.5,12.5,12.5,12.5
16-08-2019,11.9,11.9,11.9,11.9
19-08-2019,11.9,11.9,11.9,11.9
20-08-2019,11.35,12.45,11.35,12.45
21-08-2019,11.85,11.85,11.85,11.85
22-08-2019,12.4,12.4,12.4,12.4
27-08-2019,11.8,13.0,11.8,13.0
28-08-2019,12.35,13.5,12.35,13.4
29-08-2019,12.75,14.0,12.75,14.0
30-08-2019,13.3,14.45,13.3,14.45
05-09-2019,15.0,15.0,15.0,15.0
12-09-2019,14.95,15.75,14.95,14.95
13-09-2019,15.65,15.65,15.65,15.65
16-09-2019,14.9,15.9,14.9,14.9
18-09-2019,14.2,14.2,14.2,14.2
20-09-2019,13.5,14.9,13.5,14.25
25-09-2019,14.95,14.95,14.95,14.95
30-09-2019,14.9,14.9,14.9,14.9
10-10-2019,14.2,14.2,14.2,14.2
11-10-2019,14.2,14.2,14.2,14.2
11-11-2019,13.95,13.95,13.55,13.95
14-11-2019,13.55,13.55,13.55,13.55
15-11-2019,13.55,13.55,13.55,13.55
19-11-2019,12.9,14.2,12.9,14.2
25-11-2019,13.5,13.5,13.5,13.5
02-12-2019,13.5,13.5,13.5,13.5
04-12-2019,13.5,13.5,13.5,13.5
16-12-2019,13.5,13.5,13.5,13.5
24-12-2019,14.15,14.15,14.15,14.15
31-12-2019,14.15,14.15,14.15,14.15
08-01-2020,13.45,13.45,13.45,13.45
13-01-2020,13.45,13.45,13.45,13.45
20-01-2020,13.5,14.05,13.5,14.05
28-01-2020,14.0,14.0,14.0,14.0
01-02-2020,14.0,14.0,14.0,14.0
03-02-2020,14.0,14.0,14.0,14.0
18-02-2020,13.9,13.9,13.9,13.9
11-03-2020,13.9,13.9,13.9,13.9
26-03-2020,13.25,13.25,13.25,13.25
01-04-2020,12.9,12.9,12.8,12.8
03-04-2020,12.5,12.5,12.5,12.5
07-04-2020,12.0,12.0,12.0,12.0
08-04-2020,11.5,11.5,11.5,11.5
09-04-2020,11.0,11.0,10.95,10.95
13-04-2020,10.95,11.3,10.95,11.3
15-04-2020,11.3,11.3,11.3,11.3
16-04-2020,11.25,11.6,11.25,11.6
17-04-2020,11.6,11.6,11.05,11.05
20-04-2020,11.05,11.05,10.5,11.05
21-04-2020,11.0,11.45,10.5,11.35
22-04-2020,11.35,11.35,11.35,11.35
23-04-2020,11.35,11.35,11.35,11.35
24-04-2020,11.35,11.35,11.35,11.35
27-04-2020,11.35,11.35,11.0,11.0
06-05-2020,11.35,11.35,10.5,11.35
07-05-2020,11.35,11.35,11.35,11.35
11-05-2020,10.8,10.8,10.8,10.8
15-05-2020,10.8,10.8,10.3,10.3
18-05-2020,10.0,10.55,10.0,10.55
20-05-2020,10.05,10.05,10.05,10.05
22-05-2020,10.05,10.05,10.05,10.05
26-05-2020,10.05,10.05,10.05,10.05
01-06-2020,10.05,10.1,10.0,10.0
02-06-2020,9.5,10.5,9.5,10.5
03-06-2020,10.75,10.75,10.55,10.55
04-06-2020,10.55,10.55,10.1,10.3
05-06-2020,9.85,10.8,9.8,10.8
08-06-2020,10.8,10.8,10.3,10.3
09-06-2020,9.8,10.1,9.8,10.05
10-06-2020,10.2,10.5,10.0,10.25
11-06-2020,9.95,10.45,9.9,10.35
12-06-2020,9.9,10.8,9.85,10.45
15-06-2020,10.9,10.95,9.95,10.0
16-06-2020,9.5,10.45,9.5,10.1
17-06-2020,10.6,10.6,9.6,10.3
18-06-2020,10.05,10.4,9.8,9.85
19-06-2020,10.3,10.3,9.4,10.3
22-06-2020,10.7,10.8,10.45,10.8
23-06-2020,11.25,11.3,10.75,11.3
24-06-2020,10.9,11.35,10.75,10.85
25-06-2020,11.1,11.1,10.35,10.85
26-06-2020,10.4,11.0,10.35,10.45
29-06-2020,10.05,10.75,10.0,10.75
30-06-2020,11.05,11.05,10.25,10.4
01-07-2020,10.05,10.85,10.0,10.65
02-07-2020,10.15,10.6,10.15,10.2
03-07-2020,10.5,10.55,10.45,10.5
06-07-2020,10.55,10.55,10.0,10.3
07-07-2020,9.8,10.8,9.8,10.7
08-07-2020,10.7,11.2,10.2,10.4
09-07-2020,9.95,10.4,9.9,9.95
10-07-2020,9.65,10.3,9.5,10.05
13-07-2020,10.0,10.1,9.8,10.05
14-07-2020,10.0,10.0,9.6,10.0
15-07-2020,9.5,10.4,9.5,9.6
16-07-2020,9.6,9.9,9.15,9.5
17-07-2020,9.9,9.9,9.5,9.75
20-07-2020,9.3,9.95,9.3,9.85
21-07-2020,9.45,9.85,9.4,9.4
22-07-2020,8.95,9.8,8.95,9.7
23-07-2020,9.75,10.0,9.75,9.8
24-07-2020,9.75,10.0,9.35,9.4
27-07-2020,9.5,9.5,9.0,9.5
28-07-2020,9.1,9.15,9.05,9.05
29-07-2020,8.6,9.4,8.6,9.35
30-07-2020,9.55,9.55,9.0,9.2
31-07-2020,9.2,9.2,9.2,9.2
03-08-2020,9.6,9.65,8.85,9.65
04-08-2020,9.25,10.0,9.2,9.25
05-08-2020,9.2,9.25,9.0,9.1
06-08-2020,8.65,9.55,8.65,9.55
07-08-2020,10.25,10.25,9.05,10.0
10-08-2020,10.0,10.0,9.2,9.35
11-08-2020,10.05,10.05,8.55,9.85
12-08-2020,9.85,9.85,9.6,9.6
13-08-2020,9.6,9.6,9.3,9.3
14-08-2020,9.8,9.85,9.0,9.0
17-08-2020,8.75,9.85,8.75,9.65
18-08-2020,9.75,10.3,8.8,9.9
19-08-2020,9.8,10.25,9.3,9.7
20-08-2020,9.45,10.25,9.45,9.7
21-08-2020,10.2,10.2,9.65,9.75
24-08-2020,9.75,10.4,8.85,9.65
25-08-2020,10.1,10.1,9.25,9.75
26-08-2020,9.25,9.85,9.25,9.75
27-08-2020,9.25,9.9,9.25,9.9
31-08-2020,9.85,9.85,9.15,9.3
01-09-2020,9.2,9.75,8.45,9.45
02-09-2020,9.65,9.85,9.2,9.2
03-09-2020,9.75,9.8,8.6,9.35
04-09-2020,10.1,10.1,9.05,9.7
07-09-2020,9.3,9.75,9.0,9.15
08-09-2020,9.15,9.2,9.15,9.15
09-09-2020,8.55,9.6,8.55,9.3
10-09-2020,9.05,9.55,9.0,9.05
11-09-2020,9.5,9.5,8.85,9.2
14-09-2020,9.05,9.5,9.05,9.1
15-09-2020,9.45,9.5,8.8,9.5
16-09-2020,9.5,9.55,9.0,9.45
17-09-2020,9.1,9.45,8.55,9.25
18-09-2020,9.05,9.5,8.7,9.15
21-09-2020,10.05,10.05,8.6,9.2
22-09-2020,8.85,9.2,8.5,9.0
23-09-2020,9.35,9.35,8.6,9.0
24-09-2020,9.0,9.0,8.5,8.9
25-09-2020,9.35,9.65,8.9,9.0
28-09-2020,9.35,9.4,8.75,8.9
29-09-2020,8.9,9.15,8.7,9.15
30-09-2020,8.85,9.1,8.25,8.45
01-10-2020,8.85,9.1,8.6,9.1
05-10-2020,9.3,9.3,8.7,8.7
07-10-2020,8.7,9.1,8.7,9.05
08-10-2020,8.8,9.05,8.7,8.7
09-10-2020,8.7,9.5,8.7,9.45
12-10-2020,9.1,9.45,8.1,8.95
13-10-2020,8.4,9.35,8.1,9.1
14-10-2020,8.8,9.9,7.45,9.05
15-10-2020,9.25,9.25,8.7,9.2
19-10-2020,9.45,9.6,8.8,9.5
20-10-2020,9.15,9.45,8.25,8.7
21-10-2020,9.1,9.1,8.3,9.05
22-10-2020,8.75,9.45,8.7,8.75
23-10-2020,9.1,9.1,8.8,8.8
26-10-2020,8.5,8.85,8.5,8.85
27-10-2020,9.3,10.6,8.85,10.2
28-10-2020,11.0,11.75,8.6,9.3
29-10-2020,9.5,9.95,8.6,8.7
30-10-2020,9.7,10.4,8.75,8.95
02-11-2020,9.35,9.7,8.9,8.95
03-11-2020,9.3,9.3,8.05,8.75
04-11-2020,9.75,9.95,8.75,9.0
05-11-2020,8.9,9.35,8.5,8.8
06-11-2020,9.35,9.35,8.8,8.85
09-11-2020,8.95,9.2,8.65,8.8
10-11-2020,8.55,9.95,8.55,9.1
11-11-2020,8.9,9.55,8.6,8.85
12-11-2020,9.3,9.3,8.6,8.95
13-11-2020,9.05,9.05,8.6,8.9
14-11-2020,9.15,9.4,9.15,9.25
17-11-2020,8.9,9.3,8.8,9.1
18-11-2020,9.2,9.2,8.75,9.2
19-11-2020,8.9,9.3,8.8,8.8
