date,open,high,low,close
22-07-2019,586.25,610.35,560.15,574.45
23-07-2019,607.0,618.8,588.05,601.2
24-07-2019,613.0,616.0,585.0,603.3
25-07-2019,595.05,609.9,595.05,606.0
26-07-2019,597.0,611.95,595.25,605.2
29-07-2019,614.9,634.25,603.0,617.95
30-07-2019,631.0,664.0,582.55,594.25
31-07-2019,594.9,606.85,576.0,593.65
01-08-2019,597.4,606.4,592.0,601.75
02-08-2019,607.0,619.0,590.0,613.0
05-08-2019,604.0,607.9,581.1,589.6
06-08-2019,586.65,615.0,586.65,596.3
07-08-2019,602.0,602.0,589.9,592.45
08-08-2019,587.0,598.35,580.0,590.05
09-08-2019,590.05,609.85,590.05,600.25
13-08-2019,590.0,602.4,586.45,599.95
14-08-2019,599.9,602.55,595.0,599.95
16-08-2019,595.4,611.0,595.35,601.55
19-08-2019,601.55,601.55,592.05,598.05
20-08-2019,600.1,600.1,595.0,598.0
21-08-2019,591.4,599.15,580.0,583.65
22-08-2019,576.4,582.0,554.45,559.65
23-08-2019,583.8,597.0,531.0,545.1
26-08-2019,548.05,580.0,545.2,576.75
27-08-2019,578.8,614.95,578.8,604.2
28-08-2019,602.0,609.0,584.0,586.95
29-08-2019,597.0,618.85,590.0,601.75
30-08-2019,596.5,624.0,586.6,613.05
03-09-2019,601.0,617.95,591.0,597.9
04-09-2019,598.5,604.45,588.05,603.25
05-09-2019,610.0,612.05,600.0,603.0
06-09-2019,613.95,615.0,603.2,606.85
09-09-2019,596.0,614.35,595.0,607.15
11-09-2019,608.9,629.0,601.65,622.75
12-09-2019,628.0,631.4,621.0,627.2
13-09-2019,629.4,630.0,622.4,628.95
16-09-2019,620.55,620.55,615.0,615.35
17-09-2019,619.15,620.0,585.0,594.95
18-09-2019,607.9,617.5,607.6,616.7
19-09-2019,616.7,616.7,603.1,608.7
20-09-2019,602.4,618.3,600.0,614.75
23-09-2019,614.75,665.0,614.75,643.1
24-09-2019,640.0,679.1,640.0,660.55
25-09-2019,667.4,668.0,645.95,656.35
26-09-2019,662.3,665.0,635.5,638.85
27-09-2019,632.45,650.0,631.0,633.05
30-09-2019,653.0,690.0,619.0,669.1
01-10-2019,658.15,680.0,650.0,652.5
03-10-2019,655.05,675.0,655.0,665.4
04-10-2019,670.0,682.0,655.0,661.1
07-10-2019,664.95,669.55,640.0,640.75
09-10-2019,635.0,654.4,635.0,651.05
10-10-2019,667.35,667.95,633.2,644.5
11-10-2019,638.0,661.45,629.15,637.5
14-10-2019,630.95,646.8,610.2,643.75
15-10-2019,664.0,697.4,621.0,626.8
16-10-2019,640.0,640.0,612.2,614.8
17-10-2019,628.75,628.75,608.1,621.65
18-10-2019,625.0,635.0,621.1,623.55
22-10-2019,632.9,650.0,614.0,630.85
23-10-2019,632.0,640.0,628.5,630.05
24-10-2019,624.05,640.0,622.5,634.3
25-10-2019,622.15,638.3,622.15,630.2
27-10-2019,630.2,640.0,615.15,630.9
29-10-2019,639.0,649.0,626.65,640.1
30-10-2019,654.9,654.9,631.05,634.1
31-10-2019,635.0,704.0,625.0,676.25
01-11-2019,690.0,710.0,667.4,687.9
04-11-2019,687.9,695.35,663.6,677.4
05-11-2019,690.0,707.0,670.05,682.8
06-11-2019,679.15,683.95,671.15,671.3
07-11-2019,679.65,679.95,666.0,671.8
08-11-2019,675.0,689.9,660.0,666.4
11-11-2019,667.0,680.0,635.15,647.55
13-11-2019,648.0,690.0,648.0,663.15
14-11-2019,669.95,669.95,615.0,619.85
15-11-2019,634.95,641.0,620.5,624.9
18-11-2019,621.1,638.4,621.1,626.35
19-11-2019,626.0,634.0,613.0,614.85
20-11-2019,615.0,628.1,612.25,615.3
21-11-2019,618.0,622.55,608.0,614.95
22-11-2019,611.05,623.85,608.65,617.45
25-11-2019,611.0,635.0,611.0,619.6
26-11-2019,615.6,630.0,615.6,621.9
27-11-2019,632.95,632.95,613.05,615.95
28-11-2019,624.9,642.0,615.3,631.65
29-11-2019,625.0,629.6,605.25,624.65
02-12-2019,617.4,623.0,607.8,619.1
03-12-2019,614.05,624.0,608.0,612.05
04-12-2019,611.1,618.35,602.0,611.95
05-12-2019,617.0,617.0,606.0,607.7
06-12-2019,605.15,612.0,595.0,596.25
09-12-2019,612.4,612.4,596.1,601.5
10-12-2019,612.0,612.0,585.0,594.55
11-12-2019,591.4,609.9,591.3,605.7
12-12-2019,609.45,610.0,601.05,608.45
13-12-2019,614.0,627.0,606.25,612.45
16-12-2019,621.95,621.95,605.0,609.35
17-12-2019,606.55,622.95,605.2,614.0
18-12-2019,614.0,624.3,610.5,615.95
19-12-2019,611.35,626.0,611.0,624.05
20-12-2019,616.6,619.0,616.1,617.85
