date,open,high,low,close
27-07-2022,31.5,31.5,31.5,31.5
28-07-2022,33.07,33.07,29.92,33.07
29-07-2022,34.69,34.69,34.69,34.69
01-08-2022,36.4,36.4,36.4,36.4
02-08-2022,38.2,38.2,38.2,38.2
03-08-2022,40.1,40.1,36.3,38.06
04-08-2022,36.58,39.96,36.17,39.17
05-08-2022,40.98,41.11,37.97,41.11
08-08-2022,43.15,43.15,41.99,43.15
10-08-2022,45.18,45.28,44.68,45.28
11-08-2022,47.5,47.5,47.5,47.5
12-08-2022,49.86,49.86,48.47,49.86
16-08-2022,52.31,52.31,52.31,52.31
17-08-2022,54.9,54.9,52.86,54.9
18-08-2022,57.63,57.63,57.63,57.63
19-08-2022,60.49,60.49,54.76,59.98
22-08-2022,61.97,62.94,57.44,62.94
23-08-2022,64.75,66.09,64.75,64.93
24-08-2022,64.75,68.17,61.7,65.12
25-08-2022,13.5,13.69,12.39,13.69
26-08-2022,13.97,14.34,13.0,14.34
29-08-2022,14.34,15.08,13.64,14.94
30-08-2022,15.17,15.63,14.24,14.94
01-09-2022,14.8,15.17,14.2,14.98
02-09-2022,14.98,15.12,14.24,14.24
05-09-2022,13.55,14.94,13.55,14.94
06-09-2022,14.89,14.89,14.29,14.8
07-09-2022,14.75,14.8,14.34,14.43
08-09-2022,14.11,14.8,14.11,14.52
09-09-2022,14.71,14.71,14.43,14.66
12-09-2022,14.38,15.4,14.34,15.4
13-09-2022,16.19,16.19,16.19,16.19
14-09-2022,16.97,16.97,16.97,16.97
15-09-2022,17.81,17.81,17.81,17.81
16-09-2022,18.68,18.68,18.59,18.68
19-09-2022,19.42,19.66,19.42,19.66
20-09-2022,20.26,20.63,20.16,20.63
21-09-2022,21.64,21.64,21.64,21.64
22-09-2022,21.83,22.57,20.72,21.23
23-09-2022,21.46,22.2,20.72,21.41
26-09-2022,21.27,21.64,20.35,21.55
27-09-2022,22.01,22.01,20.53,21.14
28-09-2022,20.16,22.2,20.16,22.2
29-09-2022,23.31,23.31,22.48,22.85
30-09-2022,21.74,23.86,21.74,23.08
03-10-2022,22.62,24.14,22.62,24.0
04-10-2022,25.16,25.16,24.0,24.79
06-10-2022,25.99,25.99,25.99,25.99
07-10-2022,27.29,27.29,27.29,27.29
10-10-2022,28.67,28.67,28.63,28.67
11-10-2022,30.06,30.11,30.06,30.11
12-10-2022,31.59,31.59,31.59,31.59
13-10-2022,33.16,33.16,33.16,33.16
14-10-2022,34.78,34.82,34.78,34.82
17-10-2022,36.54,36.54,36.54,36.54
18-10-2022,38.34,38.39,38.34,38.39
19-10-2022,40.28,40.28,40.28,40.28
20-10-2022,42.27,42.32,42.27,42.32
21-10-2022,44.4,44.4,44.4,44.4
24-10-2022,46.62,46.62,46.62,46.62
25-10-2022,48.93,48.98,48.93,48.98
27-10-2022,51.29,51.38,51.29,51.38
28-10-2022,53.83,53.93,53.83,53.93
31-10-2022,56.52,56.61,56.52,56.61
01-11-2022,59.34,59.43,59.34,59.43
02-11-2022,62.3,62.39,62.3,62.39
03-11-2022,65.39,65.49,65.39,65.49
04-11-2022,62.25,62.25,62.25,62.25
07-11-2022,59.15,59.15,59.15,59.15
09-11-2022,56.24,56.24,56.24,56.24
10-11-2022,53.46,53.46,53.46,53.46
11-11-2022,50.83,50.83,50.83,50.83
14-11-2022,48.33,48.33,48.33,48.33
15-11-2022,45.92,45.92,45.92,45.92
16-11-2022,43.66,43.66,43.66,43.66
17-11-2022,41.48,41.48,41.48,41.48
18-11-2022,39.45,39.45,39.45,39.45
21-11-2022,37.6,41.39,37.6,41.39
22-11-2022,43.33,43.43,43.33,43.43
23-11-2022,45.46,45.55,45.46,45.55
