date,open,high,low,close
22-07-2019,187.7,188.95,183.8,186.45
23-07-2019,187.5,192.0,186.5,187.2
24-07-2019,189.65,189.7,184.0,184.65
25-07-2019,184.65,186.45,181.2,181.95
26-07-2019,181.35,184.95,180.0,183.1
29-07-2019,182.0,183.95,177.95,178.7
30-07-2019,178.7,179.0,168.0,170.75
31-07-2019,171.2,171.2,161.85,170.05
01-08-2019,169.9,172.0,165.0,166.5
02-08-2019,166.0,171.95,161.9,170.15
05-08-2019,167.25,169.2,165.0,166.25
06-08-2019,167.0,172.0,165.05,171.1
07-08-2019,173.85,187.0,171.6,185.25
08-08-2019,188.0,188.8,183.05,187.0
09-08-2019,186.4,192.7,186.0,187.15
13-08-2019,189.1,189.1,183.05,185.7
14-08-2019,186.05,189.6,185.05,188.9
16-08-2019,185.15,187.75,180.0,185.4
19-08-2019,185.0,188.95,182.45,185.15
20-08-2019,184.0,185.8,180.5,182.45
21-08-2019,182.45,185.6,181.0,182.1
22-08-2019,180.25,180.3,176.5,177.2
23-08-2019,176.0,177.65,169.0,174.0
26-08-2019,175.8,178.4,175.05,177.05
27-08-2019,180.0,184.65,178.0,180.8
28-08-2019,181.45,188.0,179.95,180.1
29-08-2019,180.25,185.3,179.9,182.25
30-08-2019,182.95,187.45,180.15,181.65
03-09-2019,182.5,182.5,179.0,179.25
04-09-2019,178.4,180.9,178.4,180.0
05-09-2019,182.3,184.85,180.0,181.0
06-09-2019,185.0,187.0,181.25,184.6
09-09-2019,181.5,187.15,180.0,185.35
11-09-2019,186.65,193.5,185.05,192.75
12-09-2019,194.65,199.75,192.35,193.3
13-09-2019,198.85,198.85,193.45,194.5
16-09-2019,194.75,196.4,188.0,191.1
17-09-2019,193.0,196.45,186.5,187.1
18-09-2019,192.9,192.9,185.55,186.4
19-09-2019,188.8,188.8,179.9,182.25
20-09-2019,183.9,192.05,179.95,186.05
23-09-2019,194.7,196.0,190.35,192.35
24-09-2019,193.9,201.05,190.55,197.05
25-09-2019,197.0,203.0,193.3,195.1
26-09-2019,193.0,201.4,193.0,196.1
27-09-2019,199.65,199.9,193.5,194.95
30-09-2019,198.65,198.65,188.05,190.15
01-10-2019,192.0,193.45,185.05,185.55
03-10-2019,185.1,190.0,183.55,186.8
04-10-2019,188.85,188.85,185.0,185.1
07-10-2019,186.85,186.85,181.15,182.35
09-10-2019,185.55,188.45,181.0,186.5
10-10-2019,186.9,187.1,185.0,185.3
11-10-2019,185.7,189.25,183.0,183.65
14-10-2019,187.95,187.95,184.9,185.6
15-10-2019,184.2,194.0,184.2,189.0
16-10-2019,191.55,192.0,186.5,187.35
17-10-2019,188.0,188.95,185.0,185.5
18-10-2019,185.7,189.05,185.0,185.35
22-10-2019,185.3,192.75,185.0,186.15
23-10-2019,185.55,187.95,183.25,184.1
24-10-2019,184.1,186.2,181.0,182.25
25-10-2019,187.0,187.1,181.0,183.65
27-10-2019,186.75,187.2,183.75,185.1
29-10-2019,184.0,194.8,183.45,191.7
30-10-2019,192.7,198.05,190.0,190.5
31-10-2019,194.25,196.0,191.35,192.9
01-11-2019,192.6,212.4,192.6,206.4
04-11-2019,208.6,220.0,207.1,214.8
05-11-2019,215.95,217.5,204.6,212.3
06-11-2019,210.1,227.75,210.1,224.85
07-11-2019,226.5,228.65,218.65,224.95
