date,open,high,low,close
23-07-2019,13.5,13.5,13.5,13.5
24-07-2019,13.35,13.35,13.35,13.35
26-07-2019,13.4,13.5,13.4,13.5
29-07-2019,13.5,13.5,13.4,13.4
30-07-2019,13.3,13.3,13.3,13.3
31-07-2019,13.0,13.0,13.0,13.0
01-08-2019,12.7,12.7,12.4,12.45
02-08-2019,12.2,12.2,11.9,11.9
05-08-2019,11.6,11.6,11.4,11.5
06-08-2019,11.05,12.05,11.05,12.05
07-08-2019,11.5,11.5,11.5,11.5
13-08-2019,11.5,11.5,11.45,11.45
14-08-2019,11.6,11.6,11.6,11.6
16-08-2019,11.8,12.15,11.8,12.1
19-08-2019,12.0,12.0,12.0,12.0
20-08-2019,12.6,12.6,12.6,12.6
22-08-2019,12.0,12.0,12.0,12.0
04-09-2019,11.5,11.5,11.4,11.45
05-09-2019,10.9,10.9,10.9,10.9
06-09-2019,10.45,10.45,10.4,10.4
09-09-2019,10.9,10.9,10.9,10.9
11-09-2019,11.0,11.0,11.0,11.0
12-09-2019,11.0,11.0,10.75,10.75
17-09-2019,10.7,10.7,10.7,10.7
19-09-2019,11.2,11.2,11.2,11.2
23-09-2019,11.0,11.0,11.0,11.0
25-09-2019,10.7,10.7,10.7,10.7
07-10-2019,10.7,10.7,10.2,10.2
11-10-2019,10.5,10.7,10.5,10.7
15-10-2019,10.6,10.6,10.6,10.6
17-10-2019,10.6,10.6,10.6,10.6
18-10-2019,10.65,10.65,10.65,10.65
24-10-2019,11.15,11.15,11.15,11.15
30-10-2019,10.7,10.7,10.7,10.7
04-11-2019,10.5,11.2,10.5,11.2
05-11-2019,10.7,10.7,10.7,10.7
15-11-2019,10.25,10.25,10.25,10.25
19-11-2019,10.75,10.75,10.75,10.75
20-11-2019,10.5,10.5,10.5,10.5
29-11-2019,10.5,10.5,10.5,10.5
06-12-2019,10.5,10.5,10.5,10.5
09-12-2019,10.5,10.5,10.0,10.3
11-12-2019,10.5,10.5,10.5,10.5
12-12-2019,10.6,10.6,10.05,10.05
13-12-2019,10.4,10.4,10.4,10.4
17-12-2019,10.5,10.5,10.5,10.5
18-12-2019,10.15,10.5,10.15,10.5
19-12-2019,10.5,10.5,10.5,10.5
23-12-2019,10.5,10.5,10.5,10.5
