date,open,high,low,close
22-07-2019,59.65,59.65,58.85,59.05
23-07-2019,56.1,59.0,56.1,59.0
24-07-2019,59.0,60.95,56.05,60.95
26-07-2019,60.95,61.0,60.95,60.95
29-07-2019,60.95,63.0,60.9,63.0
31-07-2019,59.85,63.0,59.85,60.0
01-08-2019,57.5,60.35,57.5,59.6
02-08-2019,56.65,56.65,56.65,56.65
05-08-2019,53.85,59.35,53.85,58.05
06-08-2019,55.15,60.8,55.15,59.9
07-08-2019,59.9,59.9,57.0,57.0
08-08-2019,54.15,59.8,54.15,59.75
09-08-2019,62.6,62.7,57.1,62.7
13-08-2019,59.7,59.7,59.7,59.7
14-08-2019,56.8,62.4,56.8,60.55
16-08-2019,63.2,63.2,58.0,60.85
19-08-2019,57.85,62.9,57.85,57.85
20-08-2019,60.6,60.65,57.65,57.7
21-08-2019,60.5,60.5,54.85,54.9
22-08-2019,57.55,57.6,52.5,54.9
23-08-2019,57.5,57.5,52.2,57.0
26-08-2019,59.5,59.5,54.15,54.15
27-08-2019,56.85,56.85,56.85,56.85
28-08-2019,58.9,58.9,56.85,56.85
29-08-2019,55.0,56.85,54.05,54.05
30-08-2019,52.0,56.7,51.5,51.65
03-09-2019,50.2,50.2,50.1,50.1
04-09-2019,50.0,52.55,47.6,52.55
05-09-2019,52.55,54.9,49.95,54.8
06-09-2019,54.8,57.1,54.8,54.8
09-09-2019,52.1,57.5,52.1,54.6
11-09-2019,56.9,56.9,51.9,53.9
12-09-2019,55.7,55.7,51.3,51.45
16-09-2019,49.0,54.0,49.0,53.6
17-09-2019,55.95,55.95,50.95,51.0
18-09-2019,49.25,53.3,48.45,48.6
19-09-2019,48.45,50.9,46.2,48.6
20-09-2019,50.25,51.0,50.25,51.0
23-09-2019,53.2,53.2,53.2,53.2
24-09-2019,53.2,55.85,53.2,55.85
25-09-2019,53.1,58.5,53.1,58.4
26-09-2019,60.0,60.0,55.5,59.8
30-09-2019,56.85,56.85,56.85,56.85
01-10-2019,54.05,54.05,54.05,54.05
03-10-2019,54.0,54.0,54.0,54.0
04-10-2019,53.0,53.0,53.0,53.0
09-10-2019,52.9,52.9,52.9,52.9
14-10-2019,48.15,48.15,48.0,48.0
15-10-2019,52.8,52.8,48.1,50.05
17-10-2019,50.0,50.0,45.1,50.0
18-10-2019,46.1,55.0,46.05,48.7
22-10-2019,45.0,53.5,44.1,51.9
23-10-2019,46.95,56.7,46.95,51.0
24-10-2019,46.45,53.9,46.15,46.85
