date,open,high,low,close
22-07-2019,279.6,279.6,245.5,248.3
23-07-2019,245.1,270.9,241.4,259.0
24-07-2019,262.45,263.3,250.2,252.85
25-07-2019,255.95,259.15,245.3,247.15
26-07-2019,249.0,249.0,227.05,231.7
29-07-2019,232.15,233.6,223.35,225.15
30-07-2019,225.15,227.3,212.55,220.7
31-07-2019,220.35,238.9,205.0,227.1
01-08-2019,224.0,225.0,210.05,218.95
02-08-2019,216.05,237.0,212.55,233.95
05-08-2019,220.05,251.9,220.05,248.1
06-08-2019,248.1,267.7,241.0,256.35
07-08-2019,256.35,259.9,244.05,254.95
08-08-2019,252.85,269.8,246.85,267.6
09-08-2019,270.95,300.0,270.95,295.55
13-08-2019,302.9,319.05,293.9,313.2
14-08-2019,324.95,330.0,295.3,316.1
16-08-2019,310.1,329.0,305.0,324.2
19-08-2019,324.0,352.0,324.0,340.55
20-08-2019,342.0,351.0,324.2,343.65
21-08-2019,340.55,348.0,315.55,330.8
22-08-2019,331.0,338.95,315.0,332.8
23-08-2019,330.8,334.95,317.55,326.95
26-08-2019,326.95,351.0,320.0,341.95
27-08-2019,339.6,345.0,335.0,339.75
28-08-2019,339.0,343.0,331.5,341.5
29-08-2019,344.0,344.0,335.05,341.45
30-08-2019,342.0,342.0,328.0,333.65
03-09-2019,333.25,349.4,322.65,325.25
04-09-2019,328.15,339.1,313.0,324.0
05-09-2019,332.4,335.9,324.05,332.5
06-09-2019,333.0,333.0,313.9,326.15
09-09-2019,330.0,339.75,324.05,333.9
11-09-2019,338.75,338.75,326.3,330.2
12-09-2019,327.05,337.45,327.05,335.5
13-09-2019,330.2,340.0,329.0,335.3
16-09-2019,335.0,337.2,331.0,335.75
17-09-2019,342.0,349.6,331.75,341.2
18-09-2019,341.95,342.85,336.2,338.1
19-09-2019,347.8,347.8,311.0,320.65
20-09-2019,316.75,328.9,302.3,324.45
23-09-2019,336.0,347.4,325.0,328.95
24-09-2019,333.85,336.55,311.0,327.9
25-09-2019,325.0,336.9,325.0,333.95
26-09-2019,333.95,335.0,317.3,328.35
27-09-2019,325.05,327.75,316.45,319.25
30-09-2019,325.25,325.25,311.5,312.95
01-10-2019,312.95,319.0,301.1,305.4
03-10-2019,306.1,306.1,282.05,286.2
04-10-2019,298.95,298.95,272.5,276.5
07-10-2019,286.0,286.0,254.1,260.25
09-10-2019,269.45,269.95,255.9,265.35
10-10-2019,272.85,278.0,260.85,273.55
11-10-2019,278.0,278.0,265.2,266.8
14-10-2019,276.95,276.95,266.5,269.2
15-10-2019,278.95,278.95,272.0,275.25
16-10-2019,275.25,275.25,260.0,264.25
17-10-2019,277.95,277.95,257.85,264.25
18-10-2019,263.95,271.75,262.6,268.55
22-10-2019,278.8,278.8,255.15,261.15
23-10-2019,261.15,268.5,245.0,251.85
24-10-2019,253.05,258.0,239.5,244.25
25-10-2019,257.4,257.4,241.5,248.9
27-10-2019,250.0,261.0,249.05,259.45
29-10-2019,264.95,270.0,258.1,265.95
30-10-2019,274.0,289.0,268.1,284.75
31-10-2019,288.05,323.25,288.05,314.2
01-11-2019,319.85,327.15,314.0,315.5
04-11-2019,322.0,324.85,298.85,302.4
05-11-2019,303.0,305.0,296.0,297.95
06-11-2019,297.55,299.9,292.0,296.95
07-11-2019,309.7,309.7,292.0,293.55
08-11-2019,293.55,299.0,290.55,295.4
11-11-2019,290.1,295.65,281.45,284.55
13-11-2019,285.0,289.95,273.05,276.4
14-11-2019,279.0,288.8,273.25,280.9
15-11-2019,287.0,287.05,275.1,278.35
18-11-2019,278.0,278.0,266.5,270.15
19-11-2019,270.0,278.7,267.0,275.6
20-11-2019,275.6,279.5,270.85,271.15
21-11-2019,271.1,280.0,266.1,271.5
22-11-2019,271.1,277.5,267.1,269.9
25-11-2019,265.05,272.0,264.85,267.6
26-11-2019,265.25,271.55,265.25,268.15
27-11-2019,270.0,270.0,263.2,265.9
28-11-2019,273.9,273.9,262.85,265.55
29-11-2019,268.0,268.0,263.25,266.45
02-12-2019,265.05,267.05,265.0,265.45
03-12-2019,268.0,275.0,265.85,269.15
04-12-2019,270.05,272.95,265.0,266.45
05-12-2019,269.85,269.85,257.5,259.1
06-12-2019,260.0,264.35,246.3,251.9
09-12-2019,251.9,254.0,249.6,250.15
10-12-2019,251.0,251.0,242.4,244.8
11-12-2019,258.85,258.85,241.2,245.75
12-12-2019,243.5,254.5,241.0,242.35
13-12-2019,241.05,247.85,239.0,240.55
16-12-2019,240.0,246.6,235.95,239.7
17-12-2019,247.9,247.9,235.6,241.45
18-12-2019,243.95,247.0,239.0,240.2
19-12-2019,244.95,251.05,238.0,245.55
20-12-2019,249.8,260.0,245.7,253.6
23-12-2019,264.95,264.95,242.0,244.05
24-12-2019,251.0,251.4,241.3,249.85
26-12-2019,250.0,253.0,245.3,247.3
27-12-2019,247.3,264.75,247.3,251.5
30-12-2019,254.0,260.95,252.0,257.35
31-12-2019,258.0,264.9,256.0,263.0
01-01-2020,267.4,315.6,264.0,315.6
02-01-2020,331.0,369.9,330.5,358.5
03-01-2020,344.85,350.0,325.1,332.95
06-01-2020,321.3,326.9,300.0,301.95
07-01-2020,302.2,332.1,302.2,332.1
08-01-2020,327.7,353.7,320.55,338.4
09-01-2020,346.5,352.0,333.0,336.0
10-01-2020,342.0,342.0,321.0,327.65
13-01-2020,329.2,334.25,322.6,327.2
14-01-2020,327.0,329.9,320.0,321.95
