date,open,high,low,close
19-02-2024,48.77,49.74,48.02,48.46
20-02-2024,49.67,49.67,47.53,48.91
21-02-2024,50.13,51.38,48.04,48.32
22-02-2024,48.7,49.0,47.88,48.39
23-02-2024,49.48,49.48,47.21,48.32
26-02-2024,48.97,48.98,47.65,48.21
27-02-2024,47.5,48.89,47.5,48.08
28-02-2024,48.68,48.68,47.25,47.68
29-02-2024,48.27,48.27,46.03,47.15
01-03-2024,48.32,48.5,46.71,48.22
02-03-2024,48.95,48.95,46.6,48.57
04-03-2024,49.54,49.54,47.65,48.36
05-03-2024,49.56,49.56,47.0,47.23
06-03-2024,48.91,48.91,46.2,46.61
07-03-2024,47.54,48.38,45.6,47.9
11-03-2024,49.91,49.91,47.4,47.53
12-03-2024,49.68,49.68,46.31,46.73
13-03-2024,47.0,49.1,45.9,46.5
14-03-2024,47.27,49.0,44.1,47.78
15-03-2024,47.3,48.56,46.0,47.91
18-03-2024,48.48,48.48,46.5,47.22
19-03-2024,47.22,47.94,45.6,46.03
20-03-2024,46.03,48.2,45.5,46.15
21-03-2024,47.55,47.93,46.19,46.62
22-03-2024,46.62,47.32,46.4,47.25
26-03-2024,48.2,48.2,46.4,47.56
27-03-2024,48.48,48.48,47.08,48.19
28-03-2024,48.4,48.75,47.3,48.3
01-04-2024,47.89,49.37,46.99,48.14
02-04-2024,48.14,48.97,47.76,47.99
03-04-2024,48.14,49.4,47.5,48.15
04-04-2024,48.15,49.9,47.71,49.85
05-04-2024,50.0,50.0,48.14,49.67
08-04-2024,50.7,50.7,49.17,49.63
09-04-2024,49.62,50.41,49.41,49.91
10-04-2024,50.0,50.4,49.21,50.2
12-04-2024,52.47,52.47,50.14,50.38
15-04-2024,51.4,51.4,49.01,49.98
16-04-2024,50.01,50.02,49.21,49.55
18-04-2024,49.69,51.2,49.5,49.63
19-04-2024,50.65,50.65,49.0,49.59
22-04-2024,51.1,51.1,47.57,48.83
23-04-2024,48.83,50.25,48.83,49.91
24-04-2024,50.11,50.8,49.94,50.72
25-04-2024,50.72,50.72,50.0,50.62
26-04-2024,50.0,50.81,50.0,50.19
29-04-2024,51.7,51.7,50.0,50.41
30-04-2024,51.37,51.37,49.6,50.27
02-05-2024,51.7,51.7,49.99,50.09
03-05-2024,50.09,50.87,49.25,49.71
06-05-2024,51.47,51.47,48.73,49.41
07-05-2024,49.4,50.2,48.53,49.51
08-05-2024,48.55,49.99,48.55,49.55
09-05-2024,48.56,50.0,48.56,49.21
10-05-2024,50.7,50.8,48.71,49.48
13-05-2024,49.48,49.74,48.5,49.61
14-05-2024,50.97,50.97,49.13,49.97
15-05-2024,48.97,50.47,48.97,49.56
16-05-2024,50.77,50.77,49.51,49.85
17-05-2024,49.85,51.51,48.85,51.06
18-05-2024,51.0,51.0,49.02,50.54
21-05-2024,50.54,51.96,50.01,50.62
22-05-2024,51.47,51.48,49.51,51.22
23-05-2024,51.94,51.94,50.5,51.01
24-05-2024,51.97,51.97,50.55,50.98
27-05-2024,52.0,52.5,50.41,52.11
28-05-2024,52.7,52.7,50.5,51.5
29-05-2024,51.77,52.45,50.61,51.23
30-05-2024,52.49,52.5,49.8,50.43
31-05-2024,51.44,51.48,49.82,50.36
03-06-2024,51.35,53.0,50.54,51.85
04-06-2024,52.89,52.89,48.6,50.46
05-06-2024,50.46,51.9,49.19,49.81
06-06-2024,50.8,51.78,49.51,51.36
07-06-2024,52.33,52.34,50.45,51.78
10-06-2024,52.96,52.96,50.5,51.56
11-06-2024,50.53,52.95,50.53,52.08
12-06-2024,53.42,54.3,51.08,53.73
13-06-2024,53.7,55.66,52.5,53.75
14-06-2024,54.87,55.5,53.5,54.71
18-06-2024,55.67,57.0,53.5,56.27
19-06-2024,57.18,57.18,54.14,55.5
20-06-2024,55.5,56.1,55.2,55.76
21-06-2024,56.36,56.37,55.0,55.6
