date,open,high,low,close
22-07-2019,65.95,66.6,64.8,65.35
23-07-2019,65.0,67.7,65.0,66.55
24-07-2019,66.0,67.7,65.65,67.5
25-07-2019,69.0,69.0,65.6,67.0
26-07-2019,66.55,70.0,66.0,66.75
29-07-2019,68.7,68.75,64.55,65.7
30-07-2019,65.7,65.95,58.9,59.9
31-07-2019,59.9,59.9,57.55,58.4
01-08-2019,59.1,61.4,57.3,60.85
02-08-2019,61.9,62.5,56.05,62.1
05-08-2019,61.0,63.95,59.55,62.4
06-08-2019,60.95,65.35,60.95,64.85
07-08-2019,64.9,71.5,63.6,64.25
08-08-2019,63.75,66.95,62.6,63.55
09-08-2019,63.25,66.0,62.7,64.05
13-08-2019,65.4,71.0,65.4,67.75
14-08-2019,63.7,72.8,63.7,71.5
16-08-2019,71.4,71.5,66.2,68.0
19-08-2019,68.0,71.5,68.0,69.1
20-08-2019,70.8,70.9,66.3,68.05
21-08-2019,69.05,69.05,66.35,66.6
22-08-2019,69.9,69.95,61.1,61.9
23-08-2019,64.0,64.0,59.4,61.8
26-08-2019,62.5,64.95,61.0,62.75
27-08-2019,62.95,68.55,62.55,64.95
28-08-2019,65.85,65.85,62.4,62.95
29-08-2019,61.8,62.8,61.1,61.55
30-08-2019,63.8,63.8,61.15,61.9
03-09-2019,61.05,61.95,59.0,60.65
04-09-2019,60.35,62.0,60.05,61.25
05-09-2019,61.0,61.9,60.15,61.0
06-09-2019,61.1,65.0,60.35,63.2
09-09-2019,64.4,64.4,62.2,63.45
11-09-2019,64.0,69.2,62.95,66.95
12-09-2019,67.1,69.2,67.1,67.8
13-09-2019,69.45,69.8,66.45,69.0
16-09-2019,68.4,69.0,66.2,67.9
17-09-2019,68.7,73.7,68.15,69.5
18-09-2019,70.2,70.45,68.2,69.8
19-09-2019,70.0,71.2,64.0,66.2
20-09-2019,65.4,70.95,65.25,69.2
23-09-2019,70.8,72.7,68.8,70.0
24-09-2019,70.5,70.6,68.2,68.6
25-09-2019,69.15,69.2,67.0,67.95
26-09-2019,68.95,69.0,66.95,67.2
27-09-2019,68.7,68.7,66.0,66.7
30-09-2019,68.9,68.9,61.6,62.1
01-10-2019,64.55,66.7,59.1,59.95
03-10-2019,59.95,62.9,59.95,60.55
04-10-2019,62.25,62.5,61.0,61.5
07-10-2019,61.45,63.9,59.25,59.7
09-10-2019,59.7,61.0,57.1,58.4
10-10-2019,59.5,59.5,57.5,58.8
11-10-2019,58.0,59.25,56.65,57.45
14-10-2019,59.2,59.2,56.65,56.85
15-10-2019,56.5,58.3,56.1,56.4
16-10-2019,56.4,58.9,56.4,57.95
17-10-2019,57.9,58.35,57.2,57.5
18-10-2019,56.15,61.25,56.15,58.8
22-10-2019,58.8,61.75,58.8,60.9
23-10-2019,60.5,61.65,60.0,60.15
24-10-2019,60.1,61.2,59.0,59.45
25-10-2019,60.2,60.2,58.05,58.45
27-10-2019,58.5,59.8,58.5,59.4
29-10-2019,59.0,63.5,56.65,62.7
30-10-2019,63.5,64.5,63.0,63.4
31-10-2019,64.0,67.4,63.05,66.35
01-11-2019,66.4,67.65,65.0,66.6
04-11-2019,67.0,72.15,67.0,71.7
05-11-2019,71.85,71.85,68.0,68.65
06-11-2019,71.4,71.4,68.05,69.55
07-11-2019,71.35,71.35,68.0,68.3
08-11-2019,67.55,69.0,66.15,67.6
11-11-2019,69.5,69.5,67.55,68.75
13-11-2019,68.75,68.8,65.0,65.45
14-11-2019,65.7,70.5,63.35,65.85
15-11-2019,65.55,66.5,64.2,64.6
18-11-2019,64.2,65.0,63.35,63.6
19-11-2019,63.6,64.5,63.0,63.25
20-11-2019,64.0,65.5,62.0,62.55
21-11-2019,62.9,63.85,62.2,62.8
22-11-2019,62.95,63.05,60.0,61.35
25-11-2019,61.3,64.7,60.7,64.05
26-11-2019,64.6,67.7,63.05,65.5
27-11-2019,63.3,68.5,63.3,66.6
28-11-2019,67.4,67.4,64.95,65.8
29-11-2019,66.0,66.8,63.0,63.4
02-12-2019,62.2,69.0,62.2,68.35
03-12-2019,68.35,81.3,67.5,77.35
04-12-2019,74.75,75.5,70.6,71.8
05-12-2019,72.35,72.4,68.2,69.7
06-12-2019,69.0,70.85,67.55,68.15
09-12-2019,68.25,72.0,67.65,69.8
10-12-2019,69.8,69.85,68.0,68.4
11-12-2019,67.5,68.3,65.2,65.5
12-12-2019,65.0,67.6,65.0,65.9
13-12-2019,65.3,69.1,65.25,66.35
16-12-2019,66.9,68.45,65.35,66.5
17-12-2019,66.75,69.1,66.1,68.3
18-12-2019,68.95,71.9,67.7,70.65
19-12-2019,71.9,71.9,69.4,70.05
20-12-2019,69.8,80.45,69.4,75.75
23-12-2019,75.15,77.7,73.35,74.25
24-12-2019,74.35,75.65,72.8,73.6
26-12-2019,74.0,74.95,70.75,71.35
27-12-2019,72.0,76.8,71.3,73.75
30-12-2019,73.75,77.4,73.05,73.75
31-12-2019,73.9,76.95,73.65,75.2
01-01-2020,75.45,76.1,73.05,73.65
02-01-2020,74.7,80.1,73.9,75.4
03-01-2020,78.25,83.7,78.25,79.6
