date,open,high,low,close
26-07-2019,1285.0,1290.0,1285.0,1286.7
31-07-2019,1295.0,1295.0,1295.0,1295.0
01-08-2019,1280.0,1280.0,1280.0,1280.0
05-08-2019,1255.0,1255.0,1255.0,1255.0
06-08-2019,1255.0,1255.0,1255.0,1255.0
08-08-2019,1246.3,1246.3,1225.0,1225.0
22-08-2019,1248.75,1248.75,1248.75,1248.75
26-08-2019,1280.0,1280.0,1280.0,1280.0
27-08-2019,1279.88,1279.89,1279.88,1279.89
28-08-2019,1280.0,1280.0,1280.0,1280.0
06-09-2019,1260.0,1260.0,1260.0,1260.0
11-09-2019,1270.0,1270.0,1270.0,1270.0
13-09-2019,1240.0,1240.0,1240.0,1240.0
18-09-2019,1260.0,1260.0,1255.0,1255.0
19-09-2019,1269.0,1270.0,1269.0,1269.0
23-09-2019,1302.49,1302.49,1302.49,1302.49
26-09-2019,1280.0,1280.0,1280.0,1280.0
27-09-2019,1280.0,1280.0,1265.1,1274.3
01-10-2019,1309.99,1309.99,1270.0,1270.0
03-10-2019,1296.33,1300.0,1296.33,1300.0
04-10-2019,1320.0,1320.0,1295.0,1295.0
14-10-2019,1292.0,1292.0,1292.0,1292.0
15-10-2019,1292.0,1292.0,1292.0,1292.0
16-10-2019,1353.99,1353.99,1353.99,1353.99
17-10-2019,1270.05,1290.0,1270.05,1290.0
27-10-2019,1261.01,1290.0,1261.01,1284.82
31-10-2019,1290.8,1290.8,1290.8,1290.8
07-11-2019,1253.91,1295.0,1253.91,1295.0
08-11-2019,1300.0,1300.0,1300.0,1300.0
20-11-2019,1353.99,1353.99,1253.9,1253.9
03-12-2019,1315.5,1315.5,1315.5,1315.5
06-12-2019,1320.0,1329.9,1320.0,1329.9
09-12-2019,1371.99,1371.99,1299.35,1299.35
17-12-2019,1398.99,1399.0,1398.99,1399.0
19-12-2019,1340.0,1340.0,1340.0,1340.0
20-12-2019,1335.0,1335.0,1335.0,1335.0
24-12-2019,1335.0,1335.0,1335.0,1335.0
30-12-2019,1335.0,1335.0,1335.0,1335.0
06-01-2020,1330.0,1330.0,1330.0,1330.0
07-01-2020,1325.0,1325.0,1318.0,1318.0
08-01-2020,1331.0,1331.0,1331.0,1331.0
09-01-2020,1322.0,1322.0,1322.0,1322.0
17-01-2020,1330.55,1330.55,1330.55,1330.55
22-01-2020,1330.0,1330.0,1330.0,1330.0
27-01-2020,1350.0,1350.0,1350.0,1350.0
28-01-2020,1350.0,1350.0,1350.0,1350.0
29-01-2020,1355.0,1355.0,1355.0,1355.0
30-01-2020,1355.0,1360.0,1355.0,1356.66
01-02-2020,1360.0,1360.0,1355.0,1355.0
03-02-2020,1360.0,1360.0,1360.0,1360.0
04-02-2020,1360.0,1360.0,1360.0,1360.0
05-02-2020,1360.0,1360.0,1360.0,1360.0
06-02-2020,1360.0,1360.0,1360.0,1360.0
07-02-2020,1360.0,1360.0,1360.0,1360.0
28-02-2020,1337.6,1338.0,1330.0,1330.41
12-03-2020,1325.05,1325.05,1325.0,1325.0
13-03-2020,1320.0,1320.0,1100.0,1100.0
16-03-2020,1280.0,1280.0,1256.5,1256.5
17-03-2020,1251.05,1251.05,1251.05,1251.05
18-03-2020,1231.05,1231.05,1231.05,1231.05
23-03-2020,1100.0,1143.0,1085.0,1102.54
25-03-2020,1102.0,1123.0,1101.0,1122.04
01-04-2020,1202.0,1202.0,1200.0,1200.0
09-04-2020,1256.0,1256.0,1255.0,1255.0
13-04-2020,1287.0,1287.0,1287.0,1287.0
17-04-2020,1304.9,1304.9,1304.9,1304.9
20-04-2020,1300.0,1307.0,1300.0,1305.39
21-04-2020,1305.39,1320.0,1300.0,1305.0
24-04-2020,1295.0,1296.0,1295.0,1295.0
