date,open,high,low,close
22-07-2019,21.45,22.0,21.05,21.35
23-07-2019,21.45,22.3,21.15,21.7
24-07-2019,22.3,22.95,22.2,22.65
25-07-2019,24.2,25.3,23.5,23.9
26-07-2019,24.0,24.05,22.85,23.1
29-07-2019,23.25,23.3,22.3,22.4
30-07-2019,22.35,22.4,21.65,21.8
31-07-2019,21.6,23.5,20.45,23.0
01-08-2019,22.4,23.0,21.0,21.35
02-08-2019,21.35,22.2,21.0,21.75
05-08-2019,21.2,21.6,20.2,21.0
06-08-2019,21.0,21.6,21.0,21.2
07-08-2019,21.3,21.6,21.05,21.1
08-08-2019,20.9,21.25,20.65,20.9
09-08-2019,21.05,21.4,21.05,21.1
13-08-2019,21.1,21.75,20.8,21.2
14-08-2019,21.1,21.5,21.0,21.05
16-08-2019,20.65,21.5,20.65,20.85
19-08-2019,21.0,21.25,20.55,20.6
20-08-2019,20.7,20.7,20.2,20.3
21-08-2019,20.15,20.35,19.55,19.6
22-08-2019,19.2,19.2,18.3,18.5
23-08-2019,18.2,19.8,17.6,19.35
26-08-2019,19.8,20.95,19.15,19.75
27-08-2019,20.35,20.85,19.6,20.5
28-08-2019,20.5,20.5,19.1,19.5
29-08-2019,20.0,20.25,19.35,19.65
30-08-2019,19.8,19.95,19.4,19.45
03-09-2019,19.5,19.5,18.65,18.85
04-09-2019,18.65,18.95,18.6,18.75
05-09-2019,18.9,19.35,18.5,18.7
06-09-2019,19.0,19.3,18.8,19.15
09-09-2019,19.25,19.55,18.8,19.4
11-09-2019,19.85,21.95,19.5,20.85
12-09-2019,20.95,21.15,20.1,20.45
13-09-2019,20.45,22.0,20.1,21.85
16-09-2019,22.7,25.4,22.7,23.35
17-09-2019,23.4,23.5,21.4,21.55
18-09-2019,21.75,21.9,21.15,21.3
19-09-2019,20.85,21.3,19.85,20.15
20-09-2019,20.5,21.7,19.8,21.5
23-09-2019,24.4,24.4,22.05,22.65
24-09-2019,22.55,23.7,21.45,23.05
25-09-2019,23.45,23.8,22.4,22.65
26-09-2019,22.7,24.4,22.15,24.1
27-09-2019,24.3,24.3,22.3,22.6
30-09-2019,22.5,22.5,21.4,21.7
01-10-2019,22.6,23.0,21.1,21.95
03-10-2019,21.6,21.8,21.2,21.55
