date,open,high,low,close
22-07-2019,34.05,34.7,31.65,32.5
23-07-2019,31.8,33.0,31.8,32.45
24-07-2019,31.1,32.5,31.1,32.3
25-07-2019,31.6,32.5,30.1,30.95
26-07-2019,30.15,32.35,30.15,31.4
29-07-2019,31.45,31.5,30.35,30.5
30-07-2019,30.0,31.0,29.6,29.9
31-07-2019,29.05,32.4,28.2,30.95
01-08-2019,29.5,31.95,29.4,30.15
02-08-2019,29.2,31.4,29.2,31.0
05-08-2019,29.8,31.8,29.8,31.25
06-08-2019,30.6,32.0,30.6,31.85
07-08-2019,32.5,32.5,30.6,31.25
08-08-2019,30.8,32.45,30.55,30.85
09-08-2019,32.0,32.3,31.5,31.5
13-08-2019,31.3,31.85,28.65,29.15
14-08-2019,30.9,31.4,30.1,30.85
16-08-2019,30.55,31.7,30.25,31.15
19-08-2019,32.4,32.4,30.6,31.9
20-08-2019,31.9,31.9,29.45,30.25
21-08-2019,31.0,31.35,30.05,30.8
22-08-2019,31.65,31.65,29.05,29.55
23-08-2019,30.8,30.8,29.2,30.55
26-08-2019,32.45,32.45,29.5,30.35
27-08-2019,31.4,31.4,29.45,30.3
28-08-2019,31.55,31.55,29.4,29.75
29-08-2019,29.8,30.65,29.8,30.35
30-08-2019,30.5,31.2,30.45,30.8
03-09-2019,30.65,32.45,30.65,31.3
04-09-2019,30.6,31.8,30.5,31.65
05-09-2019,32.2,32.2,29.75,32.0
06-09-2019,31.95,32.55,31.15,31.4
09-09-2019,31.5,32.5,31.3,32.35
11-09-2019,32.85,33.95,32.6,33.8
12-09-2019,34.6,35.95,33.7,35.1
13-09-2019,37.85,39.75,35.75,38.65
16-09-2019,38.75,38.75,36.15,36.7
17-09-2019,36.7,37.5,33.8,35.8
18-09-2019,35.45,35.7,34.25,34.75
19-09-2019,35.5,36.45,32.6,33.0
20-09-2019,33.15,36.0,33.15,35.35
23-09-2019,38.95,38.95,34.5,35.95
24-09-2019,36.25,36.95,35.5,35.85
25-09-2019,35.65,36.7,35.0,35.0
26-09-2019,36.15,36.7,35.05,36.1
27-09-2019,36.3,37.8,35.1,35.3
30-09-2019,35.0,36.6,33.9,35.1
01-10-2019,35.1,35.55,34.4,34.45
03-10-2019,33.55,34.9,33.55,33.6
04-10-2019,32.5,33.6,32.1,32.35
07-10-2019,32.65,33.05,32.0,32.1
09-10-2019,32.0,34.15,32.0,32.55
10-10-2019,32.75,33.0,32.1,32.55
11-10-2019,32.8,33.0,32.0,32.4
14-10-2019,32.2,33.0,32.2,32.95
15-10-2019,32.7,32.7,30.55,31.65
16-10-2019,31.0,32.75,31.0,32.5
17-10-2019,32.25,32.9,31.05,31.55
18-10-2019,31.75,33.45,31.5,32.85
22-10-2019,32.1,34.5,32.1,33.2
23-10-2019,34.7,34.7,32.75,34.0
24-10-2019,34.75,35.0,32.55,33.95
25-10-2019,34.0,35.0,33.2,34.5
27-10-2019,33.6,35.25,33.4,33.95
29-10-2019,33.55,34.8,33.55,34.35
30-10-2019,33.55,34.9,33.55,34.15
31-10-2019,34.75,34.75,33.6,34.1
01-11-2019,33.25,36.5,33.25,34.35
04-11-2019,36.0,39.8,34.35,37.65
05-11-2019,38.9,39.45,37.5,38.35
06-11-2019,38.3,38.8,37.15,38.2
07-11-2019,39.5,40.95,38.3,39.7
08-11-2019,39.55,39.55,38.15,38.2
11-11-2019,38.95,40.8,38.45,38.85
13-11-2019,40.5,40.8,39.25,39.55
14-11-2019,40.05,40.1,39.35,39.8
15-11-2019,40.15,40.3,39.5,40.05
18-11-2019,40.05,41.25,40.0,40.5
19-11-2019,40.9,40.9,39.55,39.85
20-11-2019,37.15,37.4,35.3,36.45
21-11-2019,34.4,36.1,33.8,34.3
22-11-2019,34.1,34.8,33.2,34.4
25-11-2019,34.5,34.9,33.55,34.75
26-11-2019,34.8,34.95,33.85,34.0
27-11-2019,34.1,34.8,33.85,34.5
28-11-2019,34.6,35.0,34.1,34.85
29-11-2019,34.25,35.0,34.1,34.75
02-12-2019,35.0,35.45,34.15,34.85
03-12-2019,34.5,35.1,33.6,33.8
04-12-2019,34.4,34.45,33.2,33.7
05-12-2019,33.7,34.15,33.0,33.5
06-12-2019,33.9,34.0,33.1,33.25
09-12-2019,33.9,33.9,33.25,33.3
10-12-2019,33.65,33.65,32.8,33.4
11-12-2019,33.05,33.3,32.8,33.0
12-12-2019,33.35,33.95,32.25,33.6
13-12-2019,34.15,34.15,33.0,33.15
16-12-2019,32.6,33.85,32.6,33.05
17-12-2019,33.45,33.5,32.2,33.35
18-12-2019,33.4,33.5,32.75,32.9
19-12-2019,33.2,33.45,32.75,33.25
20-12-2019,32.4,33.5,32.35,32.85
23-12-2019,34.85,34.85,32.1,33.1
24-12-2019,34.7,34.7,32.2,33.05
26-12-2019,33.15,34.5,32.55,34.2
27-12-2019,34.25,34.8,33.65,34.1
30-12-2019,34.7,34.7,33.45,33.9
31-12-2019,34.6,34.6,33.75,33.95
01-01-2020,34.45,34.6,33.6,33.7
02-01-2020,34.55,35.0,33.7,34.0
03-01-2020,35.0,35.2,34.0,34.75
06-01-2020,33.5,35.35,33.5,34.6
07-01-2020,36.8,36.8,32.0,34.85
08-01-2020,35.75,35.75,33.5,34.4
09-01-2020,35.5,35.5,34.2,34.85
10-01-2020,35.5,35.5,34.1,34.7
13-01-2020,34.7,36.2,34.15,34.95
14-01-2020,36.4,36.4,34.25,35.55
15-01-2020,36.35,36.35,34.95,35.55
16-01-2020,35.9,37.25,35.1,36.65
17-01-2020,37.75,37.75,36.0,36.25
20-01-2020,37.5,37.5,35.2,35.8
21-01-2020,36.85,36.85,34.2,34.95
22-01-2020,35.95,35.95,34.6,34.75
23-01-2020,35.85,36.45,34.05,35.4
24-01-2020,35.95,35.95,34.5,34.7
27-01-2020,35.9,35.9,34.7,34.8
28-01-2020,35.7,35.7,34.35,35.4
29-01-2020,35.4,35.6,34.25,34.55
30-01-2020,34.55,34.55,33.55,34.1
31-01-2020,33.05,34.15,33.05,34.0
01-02-2020,33.2,34.25,33.2,34.0
03-02-2020,35.45,35.45,33.55,34.05
04-02-2020,35.0,35.3,34.05,34.8
05-02-2020,34.55,36.9,34.0,36.6
06-02-2020,38.5,38.5,36.55,36.9
07-02-2020,36.0,38.65,36.0,37.55
10-02-2020,37.15,38.95,37.15,38.55
11-02-2020,38.0,38.0,36.25,37.25
12-02-2020,37.8,44.7,37.5,42.45
13-02-2020,41.7,44.65,41.0,43.2
14-02-2020,44.15,44.15,43.0,43.5
17-02-2020,43.5,43.9,41.65,43.5
18-02-2020,43.5,49.0,43.1,45.85
19-02-2020,45.9,48.5,45.0,46.1
20-02-2020,45.0,47.4,43.5,44.0
24-02-2020,46.0,46.0,42.5,43.4
25-02-2020,43.0,44.85,43.0,43.6
26-02-2020,43.7,46.5,43.7,44.65
27-02-2020,46.9,46.9,43.15,44.85
28-02-2020,44.0,46.95,42.25,44.0
02-03-2020,52.8,52.8,47.7,49.4
03-03-2020,51.8,53.4,48.65,51.65
04-03-2020,49.25,51.5,49.1,49.65
05-03-2020,42.0,42.0,40.05,40.7
06-03-2020,40.25,40.5,38.7,38.7
09-03-2020,36.8,36.8,36.8,36.8
11-03-2020,35.0,35.0,35.0,35.0
12-03-2020,33.25,33.25,33.25,33.25
13-03-2020,31.6,31.6,31.6,31.6
16-03-2020,30.05,30.05,30.05,30.05
17-03-2020,28.55,31.5,28.55,30.6
18-03-2020,29.35,30.85,29.1,29.95
19-03-2020,28.5,31.35,28.5,29.55
20-03-2020,30.7,31.0,30.15,31.0
23-03-2020,30.0,32.0,29.45,29.45
24-03-2020,29.45,30.0,28.0,28.1
25-03-2020,29.5,29.5,26.9,28.8
26-03-2020,29.9,29.9,27.4,27.8
27-03-2020,28.1,29.0,27.8,28.1
30-03-2020,27.45,28.0,26.7,27.05
31-03-2020,27.95,28.3,26.8,27.15
01-04-2020,27.05,28.5,27.0,28.35
03-04-2020,29.0,29.75,28.0,29.75
07-04-2020,31.2,31.2,31.0,31.2
08-04-2020,32.7,32.75,31.6,32.4
09-04-2020,32.6,33.9,32.05,32.9
13-04-2020,32.9,33.75,31.3,32.5
15-04-2020,32.5,34.0,31.0,33.25
16-04-2020,31.9,34.0,31.9,33.85
17-04-2020,35.4,35.4,33.0,33.25
20-04-2020,34.9,34.9,33.7,33.95
21-04-2020,34.45,34.5,33.0,33.8
22-04-2020,34.25,34.25,32.15,32.3
23-04-2020,32.1,33.9,31.1,33.9
24-04-2020,34.0,35.0,32.45,32.65
27-04-2020,33.9,33.9,32.55,32.8
28-04-2020,33.0,33.6,32.0,32.8
29-04-2020,32.0,33.55,31.4,32.15
30-04-2020,32.2,33.7,32.0,32.4
04-05-2020,32.3,33.0,31.35,32.8
05-05-2020,33.0,33.05,31.6,32.05
06-05-2020,31.85,33.0,31.25,32.9
07-05-2020,33.0,33.0,32.05,32.9
08-05-2020,33.95,33.95,31.3,32.0
11-05-2020,32.0,32.5,30.9,32.0
12-05-2020,30.6,32.45,30.6,32.2
13-05-2020,31.0,32.35,30.6,31.9
14-05-2020,33.2,33.2,31.05,31.5
15-05-2020,31.0,32.4,31.0,32.0
18-05-2020,31.75,32.7,30.7,31.15
19-05-2020,31.1,32.0,31.0,31.5
20-05-2020,31.5,32.35,31.05,32.25
21-05-2020,31.15,32.45,31.15,31.75
22-05-2020,31.75,31.75,30.9,31.35
26-05-2020,31.75,31.85,30.0,30.6
27-05-2020,30.15,32.0,29.5,31.0
28-05-2020,30.55,32.4,30.2,31.05
29-05-2020,30.75,30.95,29.9,30.4
01-06-2020,29.8,31.9,29.8,31.7
02-06-2020,31.8,32.85,31.65,32.0
03-06-2020,32.0,32.95,31.75,32.5
04-06-2020,33.95,33.95,31.8,32.25
05-06-2020,32.25,35.45,32.25,35.35
08-06-2020,37.0,38.75,36.0,37.05
09-06-2020,38.05,38.5,36.1,36.2
10-06-2020,38.7,38.7,34.2,36.2
11-06-2020,37.0,37.0,34.5,35.1
12-06-2020,38.6,38.6,33.95,37.15
15-06-2020,39.5,39.5,36.15,37.1
16-06-2020,37.15,38.0,35.55,36.25
17-06-2020,36.0,37.25,35.15,36.55
18-06-2020,38.7,38.7,35.5,37.0
19-06-2020,37.5,40.6,37.35,39.8
22-06-2020,40.35,42.0,38.45,39.8
23-06-2020,42.0,42.25,39.35,40.65
24-06-2020,41.35,41.35,38.75,39.35
25-06-2020,38.55,39.65,38.1,39.05
26-06-2020,38.55,40.0,37.85,38.0
29-06-2020,37.0,40.5,37.0,38.45
30-06-2020,39.05,39.65,36.9,37.25
01-07-2020,36.3,37.9,36.05,36.7
02-07-2020,37.1,37.95,34.2,35.0
03-07-2020,34.6,36.9,34.6,35.45
06-07-2020,36.15,37.2,35.45,36.5
07-07-2020,36.55,36.55,35.3,35.5
08-07-2020,35.0,36.85,31.95,32.5
09-07-2020,33.5,34.45,32.55,34.2
10-07-2020,35.45,35.45,34.05,34.2
13-07-2020,35.0,36.0,33.95,35.3
14-07-2020,35.25,35.3,34.1,34.45
15-07-2020,34.5,34.7,33.3,34.05
16-07-2020,34.6,34.6,32.55,33.3
17-07-2020,33.3,34.55,33.3,33.8
20-07-2020,34.95,34.95,33.35,33.95
21-07-2020,34.2,34.25,33.5,33.95
22-07-2020,33.7,34.2,33.65,33.85
23-07-2020,33.4,34.4,33.4,34.0
24-07-2020,34.0,34.25,33.6,34.05
27-07-2020,35.75,35.75,33.7,33.75
28-07-2020,33.9,34.55,33.5,34.05
29-07-2020,33.65,34.5,33.2,33.55
30-07-2020,33.95,34.4,33.0,33.1
31-07-2020,33.75,35.2,33.05,34.45
03-08-2020,35.7,35.7,33.6,33.8
04-08-2020,35.15,35.15,33.0,33.3
05-08-2020,34.85,34.85,33.05,33.95
