date,open,high,low,close
01-07-2022,200.0,208.0,200.0,205.15
04-07-2022,210.0,210.0,164.15,202.1
05-07-2022,239.4,239.4,190.8,196.3
06-07-2022,198.25,217.0,193.95,205.75
07-07-2022,202.5,206.55,199.0,202.05
08-07-2022,209.8,213.8,198.8,200.95
11-07-2022,203.0,205.15,198.0,201.7
12-07-2022,201.15,203.65,197.0,198.7
13-07-2022,198.7,205.0,198.4,201.25
14-07-2022,205.0,209.8,199.4,204.2
15-07-2022,205.65,206.6,200.0,204.45
18-07-2022,209.8,228.0,204.05,223.75
19-07-2022,230.0,265.55,225.1,257.75
20-07-2022,269.6,271.8,237.15,243.25
21-07-2022,236.0,246.0,236.0,243.45
22-07-2022,240.0,242.2,233.75,237.2
25-07-2022,240.65,248.85,233.8,236.15
26-07-2022,234.35,235.95,226.15,229.1
27-07-2022,230.1,233.5,219.0,221.0
28-07-2022,221.4,228.95,220.25,224.85
29-07-2022,225.6,227.1,221.1,223.85
01-08-2022,228.3,228.3,212.45,219.25
02-08-2022,224.0,234.8,213.2,217.4
03-08-2022,217.9,224.2,213.0,222.1
04-08-2022,220.1,229.6,219.75,228.15
05-08-2022,230.15,234.9,225.55,232.0
08-08-2022,236.6,246.75,232.8,243.0
10-08-2022,238.0,246.6,236.2,239.45
11-08-2022,240.2,241.5,234.0,239.95
12-08-2022,250.0,250.0,237.8,241.75
16-08-2022,247.25,247.25,240.0,244.2
17-08-2022,242.25,244.8,240.0,241.35
18-08-2022,242.65,242.8,237.35,240.8
19-08-2022,246.35,250.0,222.35,231.45
22-08-2022,239.3,239.3,228.65,236.9
23-08-2022,228.4,239.8,228.4,237.2
24-08-2022,243.9,254.8,237.2,249.85
25-08-2022,249.85,259.8,243.65,254.05
26-08-2022,258.8,260.45,249.2,251.4
29-08-2022,245.65,259.0,241.2,254.95
30-08-2022,246.0,264.0,246.0,256.45
01-09-2022,256.1,265.0,240.7,244.65
02-09-2022,244.65,251.1,239.0,241.3
05-09-2022,247.4,249.0,240.7,247.5
06-09-2022,250.0,255.0,245.7,252.3
07-09-2022,254.0,254.0,249.9,253.45
08-09-2022,254.8,254.8,248.4,251.15
09-09-2022,253.0,256.8,250.0,254.7
12-09-2022,255.2,263.0,252.0,254.6
13-09-2022,255.95,256.0,249.4,251.35
