date,open,high,low,close
22-07-2019,16.05,16.3,15.15,16.15
23-07-2019,16.6,18.45,15.85,16.75
24-07-2019,16.65,16.7,15.85,16.1
25-07-2019,16.85,16.9,15.95,16.25
26-07-2019,16.35,16.5,15.7,15.8
29-07-2019,15.8,16.7,15.35,15.7
30-07-2019,15.7,16.55,15.2,15.5
31-07-2019,15.15,16.0,14.35,15.05
01-08-2019,15.2,15.6,14.65,15.1
02-08-2019,14.5,15.7,14.4,14.85
05-08-2019,14.8,15.5,14.45,14.55
06-08-2019,15.4,15.95,14.6,15.75
07-08-2019,15.95,16.9,15.45,16.6
08-08-2019,16.05,16.8,15.3,15.65
09-08-2019,15.25,16.75,15.25,15.95
13-08-2019,16.65,16.9,15.0,16.3
14-08-2019,15.55,16.25,13.9,14.35
16-08-2019,15.3,15.3,13.8,14.5
19-08-2019,14.95,14.95,13.7,14.1
20-08-2019,14.5,14.5,13.6,14.3
21-08-2019,14.05,14.25,13.5,13.7
22-08-2019,13.95,14.1,13.25,13.85
23-08-2019,13.35,13.9,12.7,13.1
26-08-2019,14.3,14.35,12.95,13.65
27-08-2019,14.7,14.75,13.5,13.55
28-08-2019,13.95,14.1,12.85,13.2
29-08-2019,13.05,13.25,12.85,13.2
30-08-2019,13.05,13.25,12.65,13.1
03-09-2019,12.6,13.3,12.6,13.0
04-09-2019,12.95,12.95,12.5,12.9
05-09-2019,13.2,13.3,12.6,13.15
06-09-2019,13.0,13.95,13.0,13.75
09-09-2019,13.8,13.9,12.95,13.7
11-09-2019,13.5,15.15,13.05,14.5
12-09-2019,15.9,15.9,14.65,15.0
13-09-2019,14.55,18.0,13.55,17.9
16-09-2019,19.7,21.0,18.3,19.65
17-09-2019,19.6,19.8,18.55,18.75
18-09-2019,19.5,19.5,16.9,17.6
19-09-2019,17.6,18.05,16.45,16.5
20-09-2019,16.35,17.45,16.0,17.2
23-09-2019,18.45,18.45,15.6,16.3
24-09-2019,17.45,17.45,16.15,16.5
25-09-2019,16.5,16.55,15.5,15.9
26-09-2019,15.5,17.4,15.05,17.0
27-09-2019,16.55,17.5,16.25,16.45
30-09-2019,16.45,16.45,14.9,15.05
01-10-2019,15.45,15.5,13.7,13.9
03-10-2019,14.55,14.55,13.65,13.8
04-10-2019,13.85,14.45,13.65,14.45
07-10-2019,14.8,14.8,13.75,14.4
09-10-2019,14.4,14.4,13.7,13.7
10-10-2019,14.2,14.2,13.15,13.3
11-10-2019,13.4,13.75,12.65,12.95
14-10-2019,12.7,13.55,12.5,13.0
15-10-2019,13.45,13.5,12.6,13.05
16-10-2019,13.05,13.25,12.7,13.25
17-10-2019,13.6,13.6,13.2,13.3
18-10-2019,12.8,13.9,12.8,13.4
22-10-2019,13.95,14.05,13.5,14.0
23-10-2019,13.6,14.2,13.3,13.45
24-10-2019,13.9,14.0,12.9,13.75
25-10-2019,13.8,14.05,13.5,13.95
27-10-2019,13.4,14.5,13.4,14.25
29-10-2019,14.8,14.8,13.55,13.9
30-10-2019,13.5,14.55,13.5,14.5
31-10-2019,14.7,14.8,14.55,14.6
01-11-2019,15.0,15.0,14.65,14.85
04-11-2019,15.0,15.55,14.85,15.55
05-11-2019,16.25,16.3,15.45,15.65
06-11-2019,15.5,15.9,15.35,15.35
07-11-2019,15.35,16.1,15.35,16.1
08-11-2019,16.0,16.0,15.4,15.45
11-11-2019,14.75,15.9,14.7,14.7
13-11-2019,14.0,14.65,14.0,14.0
14-11-2019,14.7,14.7,13.35,13.6
15-11-2019,14.15,14.25,13.1,14.0
18-11-2019,13.35,14.5,13.3,13.6
19-11-2019,13.95,13.95,12.95,13.0
20-11-2019,13.5,13.5,13.05,13.05
21-11-2019,13.5,13.5,12.65,13.35
22-11-2019,13.65,13.65,13.25,13.55
25-11-2019,14.0,14.2,13.5,14.05
26-11-2019,14.7,14.75,13.85,14.25
27-11-2019,14.85,14.9,14.0,14.55
28-11-2019,15.25,15.25,14.2,14.35
29-11-2019,14.85,15.05,14.55,14.85
02-12-2019,15.0,15.5,14.5,15.15
03-12-2019,15.15,15.5,14.4,14.55
04-12-2019,14.45,14.5,13.4,14.45
05-12-2019,14.5,14.5,13.85,14.4
06-12-2019,14.9,14.9,13.7,13.7
09-12-2019,15.0,15.0,13.5,13.75
10-12-2019,14.7,14.7,13.0,14.2
