date,open,high,low,close
22-07-2019,78.5,82.55,78.45,80.15
23-07-2019,82.75,82.95,76.45,78.0
24-07-2019,81.75,81.8,74.0,75.8
25-07-2019,75.65,76.9,74.0,74.25
26-07-2019,76.85,76.85,74.2,75.15
29-07-2019,74.5,81.95,74.0,80.4
30-07-2019,81.85,81.9,73.6,76.55
31-07-2019,75.0,76.8,72.3,75.25
01-08-2019,75.25,75.25,71.55,72.9
02-08-2019,73.05,75.95,72.05,73.95
05-08-2019,81.95,81.95,70.0,74.8
06-08-2019,72.0,75.65,72.0,74.1
07-08-2019,76.0,77.65,74.0,74.05
08-08-2019,75.05,78.0,73.1,75.8
09-08-2019,73.5,77.8,70.9,74.1
13-08-2019,71.0,76.65,71.0,74.55
14-08-2019,74.05,76.0,74.0,75.95
16-08-2019,74.15,77.8,72.3,76.6
19-08-2019,76.0,78.0,75.3,77.9
20-08-2019,75.0,76.9,64.05,69.35
21-08-2019,68.05,71.7,66.9,67.5
22-08-2019,70.85,71.5,61.0,63.1
23-08-2019,62.15,64.95,62.0,63.95
26-08-2019,66.2,68.9,64.5,65.55
27-08-2019,67.05,69.0,66.05,67.25
28-08-2019,70.95,70.95,64.5,65.9
29-08-2019,65.05,65.95,62.0,65.7
30-08-2019,66.0,66.35,62.15,64.2
03-09-2019,63.5,64.8,58.0,59.3
04-09-2019,58.05,64.3,57.0,63.3
05-09-2019,64.7,67.0,63.7,65.95
06-09-2019,71.6,71.65,65.4,66.75
09-09-2019,65.6,68.85,65.05,65.85
11-09-2019,67.3,79.0,67.0,78.6
12-09-2019,78.05,84.5,75.0,79.15
13-09-2019,77.0,81.4,75.4,77.3
16-09-2019,92.0,92.0,83.25,84.55
17-09-2019,88.9,88.9,79.1,79.5
18-09-2019,80.0,81.9,77.0,78.2
19-09-2019,76.5,80.75,73.1,78.45
20-09-2019,82.8,82.8,74.0,78.25
23-09-2019,81.85,87.95,79.85,82.3
24-09-2019,84.75,84.75,78.2,82.35
25-09-2019,80.0,82.05,76.4,80.45
26-09-2019,88.5,88.5,78.5,79.6
27-09-2019,78.05,83.9,78.05,81.9
30-09-2019,78.2,80.0,75.55,77.0
01-10-2019,78.35,81.55,75.2,77.0
03-10-2019,79.35,79.35,72.65,76.2
04-10-2019,77.8,77.85,72.6,72.85
07-10-2019,75.95,76.0,71.55,72.75
09-10-2019,71.05,74.8,67.6,72.75
10-10-2019,76.35,76.35,71.0,74.9
11-10-2019,72.05,74.0,70.0,70.75
14-10-2019,69.45,72.95,69.0,69.8
15-10-2019,69.05,70.0,66.0,68.95
16-10-2019,69.0,72.4,67.1,71.1
17-10-2019,72.7,73.8,70.1,70.35
18-10-2019,69.0,76.0,68.8,73.05
22-10-2019,81.1,81.1,72.15,73.6
23-10-2019,77.9,77.9,71.4,75.55
24-10-2019,74.0,76.0,72.45,75.0
25-10-2019,72.05,74.95,69.35,71.15
27-10-2019,71.1,71.5,69.0,70.25
29-10-2019,69.05,84.3,67.2,84.3
30-10-2019,89.4,91.85,82.0,83.95
31-10-2019,80.45,85.0,80.2,81.4
01-11-2019,83.95,87.65,76.2,78.25
04-11-2019,77.05,82.3,77.0,78.25
05-11-2019,83.3,83.3,76.7,77.3
06-11-2019,80.95,84.0,78.2,82.45
07-11-2019,86.9,90.0,80.6,81.6
08-11-2019,80.05,83.5,78.4,81.1
11-11-2019,80.05,81.45,77.2,78.0
13-11-2019,77.55,81.75,77.55,78.9
14-11-2019,79.65,79.9,77.55,77.75
15-11-2019,80.25,80.55,77.1,77.8
18-11-2019,75.1,77.6,75.05,76.5
19-11-2019,77.35,77.4,73.1,73.85
20-11-2019,77.8,77.8,72.25,72.5
21-11-2019,73.95,75.35,73.0,73.15
22-11-2019,73.75,73.8,70.95,71.7
25-11-2019,72.95,76.9,70.45,71.15
26-11-2019,73.0,73.05,69.05,69.9
27-11-2019,68.35,71.8,68.3,69.65
28-11-2019,73.0,83.55,68.25,83.55
29-11-2019,87.8,94.4,86.05,87.2
02-12-2019,85.95,88.45,81.1,84.1
03-12-2019,86.85,97.0,82.5,85.75
04-12-2019,84.05,87.75,82.4,85.5
05-12-2019,85.45,86.75,83.0,84.55
06-12-2019,84.0,84.9,80.35,80.95
09-12-2019,79.15,83.45,76.2,80.85
10-12-2019,79.2,81.7,75.5,76.4
11-12-2019,80.0,80.0,71.15,72.4
12-12-2019,71.85,79.6,71.85,76.75
13-12-2019,81.65,81.7,73.45,75.4
16-12-2019,73.05,76.95,71.6,74.25
17-12-2019,73.65,75.75,73.05,73.7
18-12-2019,74.95,88.0,74.95,77.15
19-12-2019,77.3,77.35,74.15,75.8
20-12-2019,75.2,79.35,73.55,73.95
23-12-2019,78.85,79.0,71.55,73.45
24-12-2019,72.95,75.3,70.5,73.35
26-12-2019,76.7,84.0,73.65,76.05
27-12-2019,77.9,82.0,74.3,75.25
30-12-2019,78.9,78.9,74.75,76.5
31-12-2019,76.0,78.95,74.25,75.1
01-01-2020,74.1,79.8,74.05,75.05
02-01-2020,78.2,80.9,74.05,80.1
03-01-2020,80.75,80.75,76.2,77.3
06-01-2020,80.95,81.0,73.05,75.75
07-01-2020,79.55,79.55,75.65,76.4
08-01-2020,75.65,77.35,75.65,76.25
09-01-2020,78.85,84.65,75.5,83.3
10-01-2020,98.0,99.95,93.75,97.15
13-01-2020,95.75,96.0,90.55,92.9
14-01-2020,94.0,95.0,88.0,89.0
15-01-2020,89.9,93.5,86.0,91.9
16-01-2020,93.4,98.95,91.55,97.0
17-01-2020,98.0,98.55,95.0,95.5
20-01-2020,98.0,98.0,90.7,91.95
21-01-2020,92.0,94.0,89.6,92.35
22-01-2020,94.75,94.8,90.7,91.2
23-01-2020,91.6,96.75,90.55,94.45
24-01-2020,94.05,95.75,92.25,93.7
27-01-2020,93.15,95.4,93.1,93.75
28-01-2020,92.95,98.45,91.25,98.1
29-01-2020,98.0,104.6,97.65,101.85
30-01-2020,105.55,105.6,94.15,95.7
31-01-2020,100.6,102.0,97.2,98.4
01-02-2020,100.0,103.0,86.0,87.95
03-02-2020,87.0,87.95,82.05,82.4
04-02-2020,83.05,87.85,83.05,87.05
05-02-2020,86.0,92.95,86.0,90.2
06-02-2020,93.2,97.75,91.5,96.1
07-02-2020,94.0,94.75,88.95,91.35
10-02-2020,92.3,92.9,88.0,89.7
11-02-2020,92.75,93.75,88.8,89.75
12-02-2020,88.15,92.0,88.1,88.85
13-02-2020,87.45,92.0,84.0,85.3
14-02-2020,86.6,90.0,81.65,83.35
17-02-2020,85.95,85.95,80.6,82.0
18-02-2020,83.65,83.7,76.05,78.1
19-02-2020,81.5,82.0,78.0,81.5
20-02-2020,82.95,87.85,80.0,87.7
24-02-2020,86.0,86.0,81.05,84.3
25-02-2020,85.25,85.25,79.65,83.3
26-02-2020,81.0,82.6,76.2,78.25
27-02-2020,81.9,81.9,76.0,77.95
28-02-2020,76.95,76.95,68.6,71.95
02-03-2020,74.9,79.6,71.05,71.95
03-03-2020,75.85,75.9,71.3,74.6
04-03-2020,72.0,74.05,70.55,71.55
05-03-2020,70.6,76.85,70.6,74.9
06-03-2020,70.0,77.55,68.55,76.05
09-03-2020,75.5,75.5,68.55,72.95
11-03-2020,71.05,74.75,70.8,71.65
12-03-2020,70.0,71.75,61.0,61.7
13-03-2020,56.0,64.0,50.25,58.9
16-03-2020,60.05,60.05,50.55,52.0
17-03-2020,54.9,57.7,50.35,52.0
18-03-2020,52.15,54.65,46.2,49.4
19-03-2020,48.3,49.95,43.2,46.55
20-03-2020,49.85,51.7,45.0,48.8
23-03-2020,43.0,54.95,40.0,42.4
24-03-2020,43.05,47.45,40.0,43.0
25-03-2020,45.6,45.6,37.5,41.15
26-03-2020,43.95,45.25,39.1,41.7
27-03-2020,44.9,45.8,40.1,40.7
30-03-2020,41.85,43.95,39.0,39.7
31-03-2020,42.45,42.45,40.55,41.4
01-04-2020,43.4,43.55,40.65,41.5
03-04-2020,42.75,44.4,40.6,43.35
07-04-2020,46.95,46.95,40.75,46.05
08-04-2020,49.8,49.8,43.55,44.0
09-04-2020,47.45,48.4,44.3,48.4
13-04-2020,52.8,52.8,45.35,48.4
15-04-2020,51.0,52.0,46.5,47.95
16-04-2020,46.65,52.7,44.0,52.15
17-04-2020,56.9,57.35,56.9,57.35
20-04-2020,57.35,60.2,56.0,57.2
21-04-2020,54.5,58.9,54.35,54.35
22-04-2020,55.45,55.5,51.65,51.65
23-04-2020,51.6,53.0,49.75,52.0
24-04-2020,50.05,50.95,49.4,49.4
27-04-2020,48.0,50.25,46.95,47.45
28-04-2020,47.95,48.0,45.3,45.55
29-04-2020,46.2,46.95,43.6,44.8
30-04-2020,45.85,47.0,44.9,45.3
04-05-2020,43.1,45.45,43.1,44.15
05-05-2020,43.6,45.4,42.5,43.05
06-05-2020,43.15,43.9,42.3,43.6
07-05-2020,42.3,45.0,42.15,44.75
08-05-2020,45.85,46.95,44.5,44.6
11-05-2020,46.4,46.45,43.05,44.35
12-05-2020,45.25,45.3,43.0,44.8
13-05-2020,45.05,46.65,43.5,46.25
14-05-2020,44.5,45.95,44.15,44.5
15-05-2020,44.6,44.8,43.35,43.95
18-05-2020,43.9,43.9,42.25,43.6
19-05-2020,43.0,45.15,43.0,43.9
20-05-2020,44.55,46.05,43.15,45.65
21-05-2020,45.65,47.9,44.1,45.0
22-05-2020,45.0,45.0,43.5,43.65
26-05-2020,45.8,45.8,42.5,43.7
27-05-2020,44.55,44.65,42.7,43.4
28-05-2020,44.0,44.8,43.5,43.6
29-05-2020,43.55,45.5,43.1,45.4
01-06-2020,45.4,47.65,45.4,47.65
02-06-2020,49.9,49.9,47.0,49.3
03-06-2020,49.7,50.0,47.0,47.45
04-06-2020,47.4,48.0,45.85,47.9
05-06-2020,50.5,52.65,44.2,52.65
08-06-2020,52.65,57.9,51.95,57.45
09-06-2020,58.85,60.0,52.45,53.7
10-06-2020,55.8,55.85,53.0,54.6
11-06-2020,58.45,58.45,51.35,52.2
12-06-2020,48.1,52.75,48.1,51.85
15-06-2020,51.95,52.7,48.3,49.3
16-06-2020,49.6,52.35,49.0,49.15
17-06-2020,51.65,54.0,49.25,52.5
18-06-2020,54.75,56.05,50.6,55.65
19-06-2020,52.55,60.75,52.55,59.75
22-06-2020,65.0,65.7,61.5,64.65
23-06-2020,66.5,67.0,62.1,63.25
24-06-2020,63.25,65.25,60.25,60.55
25-06-2020,61.4,61.4,57.65,58.7
26-06-2020,58.75,58.8,55.8,55.8
29-06-2020,55.8,55.8,53.2,54.15
30-06-2020,55.5,55.5,52.1,52.2
01-07-2020,54.0,54.0,50.0,50.1
02-07-2020,52.45,52.45,49.2,50.8
03-07-2020,52.7,52.7,49.55,50.55
06-07-2020,51.1,53.0,50.55,52.7
07-07-2020,54.4,54.4,52.2,54.1
08-07-2020,52.1,54.5,51.4,51.85
09-07-2020,53.9,53.9,50.05,50.7
10-07-2020,51.0,51.65,49.55,50.75
13-07-2020,51.0,52.6,48.75,50.8
14-07-2020,49.45,51.75,49.4,50.15
15-07-2020,48.6,51.45,48.6,50.1
16-07-2020,50.0,51.4,48.3,49.7
17-07-2020,50.0,51.3,47.55,48.75
20-07-2020,50.9,50.9,48.5,49.75
21-07-2020,49.8,50.8,48.6,50.25
22-07-2020,48.6,51.4,48.6,49.9
23-07-2020,49.95,52.35,49.15,52.35
24-07-2020,53.65,54.95,51.0,52.0
27-07-2020,50.75,53.2,50.05,51.65
28-07-2020,50.0,52.0,50.0,50.9
29-07-2020,50.95,52.2,50.05,51.0
30-07-2020,51.95,52.7,48.8,48.9
31-07-2020,50.0,50.0,47.55,48.25
03-08-2020,47.3,49.8,47.3,49.0
04-08-2020,51.0,51.0,48.0,48.4
05-08-2020,48.8,48.8,47.5,47.95
06-08-2020,48.9,50.3,48.65,50.3
07-08-2020,50.55,54.5,49.25,51.3
10-08-2020,52.95,52.95,49.55,51.1
11-08-2020,50.85,51.9,49.8,50.0
12-08-2020,53.0,53.7,49.5,52.8
13-08-2020,53.95,58.05,51.1,58.05
14-08-2020,63.85,63.85,58.6,60.7
17-08-2020,65.0,65.0,58.2,61.75
18-08-2020,62.5,66.7,58.3,64.15
19-08-2020,64.5,66.95,61.5,62.55
20-08-2020,61.0,62.5,59.45,61.25
21-08-2020,63.7,63.7,59.25,59.85
24-08-2020,60.0,60.0,56.9,57.45
25-08-2020,57.75,58.95,55.25,56.1
26-08-2020,56.5,58.9,56.35,58.9
27-08-2020,61.8,61.8,61.8,61.8
28-08-2020,64.85,64.85,62.2,64.6
31-08-2020,65.75,65.75,61.4,61.4
01-09-2020,58.8,60.85,58.35,58.35
02-09-2020,58.35,60.85,56.5,58.85
03-09-2020,58.1,60.1,58.0,58.5
04-09-2020,56.25,58.5,55.65,56.35
07-09-2020,55.05,58.0,54.1,56.5
08-09-2020,55.4,57.95,55.15,56.95
09-09-2020,56.95,58.95,54.6,55.95
10-09-2020,55.05,57.5,54.65,56.3
11-09-2020,55.1,56.75,55.05,55.9
14-09-2020,57.8,58.65,56.8,58.65
15-09-2020,61.0,61.15,57.0,57.45
16-09-2020,57.6,57.9,56.2,57.0
17-09-2020,56.05,58.35,56.0,56.7
18-09-2020,58.35,58.35,55.15,55.7
21-09-2020,57.0,57.0,53.2,55.15
22-09-2020,54.95,55.0,52.4,52.4
23-09-2020,54.4,54.4,50.65,52.5
24-09-2020,53.5,53.5,49.9,49.9
25-09-2020,50.1,51.9,49.1,50.8
28-09-2020,50.0,52.25,50.0,52.15
29-09-2020,54.2,54.2,51.15,52.55
30-09-2020,51.55,53.0,50.35,51.15
01-10-2020,53.65,53.65,50.1,52.3
05-10-2020,50.05,53.25,50.05,51.8
06-10-2020,53.9,54.3,51.3,51.8
07-10-2020,50.75,53.4,50.75,52.25
08-10-2020,53.25,53.3,51.0,52.3
09-10-2020,51.35,53.75,51.25,52.0
12-10-2020,52.0,52.7,51.1,51.55
13-10-2020,51.55,51.9,49.5,50.0
14-10-2020,49.9,50.0,48.1,49.75
15-10-2020,51.95,54.7,50.15,52.8
16-10-2020,52.95,54.95,50.3,51.75
19-10-2020,53.95,54.0,50.0,51.2
20-10-2020,53.25,53.25,47.6,50.6
21-10-2020,52.6,55.65,49.65,55.15
22-10-2020,55.65,59.95,55.65,57.8
23-10-2020,57.8,58.95,56.95,57.05
26-10-2020,57.95,60.0,53.75,55.05
27-10-2020,53.0,57.5,52.45,53.4
28-10-2020,57.0,57.0,53.4,53.6
29-10-2020,51.55,54.65,51.45,52.75
30-10-2020,51.5,54.95,49.2,50.4
02-11-2020,51.4,55.0,50.15,53.8
03-11-2020,53.05,55.7,51.7,53.65
04-11-2020,52.65,56.2,51.6,54.15
05-11-2020,54.9,55.5,52.15,54.0
06-11-2020,54.85,55.45,51.6,54.15
09-11-2020,52.75,58.95,52.05,56.15
10-11-2020,60.8,61.75,59.05,60.5
11-11-2020,61.75,62.85,58.1,60.1
12-11-2020,60.0,66.1,59.05,65.75
13-11-2020,65.9,72.3,64.05,72.3
14-11-2020,71.9,74.95,68.7,74.3
17-11-2020,75.45,77.25,70.6,72.9
18-11-2020,72.5,73.8,69.65,70.55
19-11-2020,70.5,74.05,68.55,72.0
20-11-2020,74.8,74.8,69.1,70.55
23-11-2020,70.2,73.8,68.1,72.5
24-11-2020,75.1,76.1,72.0,75.75
25-11-2020,77.9,78.0,73.15,74.6
26-11-2020,73.5,77.1,73.35,75.5
27-11-2020,75.7,76.8,72.25,75.4
01-12-2020,77.85,78.65,74.1,77.3
02-12-2020,78.0,81.15,75.6,79.6
03-12-2020,83.35,83.35,77.15,82.15
04-12-2020,82.25,83.2,80.2,81.7
07-12-2020,84.5,89.45,81.25,86.95
08-12-2020,89.7,92.0,81.2,84.15
09-12-2020,85.85,92.35,82.05,86.8
10-12-2020,85.0,88.75,83.25,85.95
11-12-2020,84.05,93.4,84.05,91.45
14-12-2020,95.95,100.55,95.95,100.55
15-12-2020,106.0,107.95,95.3,103.85
16-12-2020,104.5,105.95,100.15,104.35
17-12-2020,107.75,107.75,99.15,99.15
18-12-2020,98.0,99.0,94.2,97.7
21-12-2020,94.5,97.7,92.85,92.85
22-12-2020,88.65,94.0,88.25,92.0
23-12-2020,93.7,96.6,92.0,96.6
24-12-2020,97.95,101.0,92.15,95.3
28-12-2020,98.2,100.05,96.0,98.7
29-12-2020,96.0,101.0,95.0,96.45
30-12-2020,95.7,98.65,94.6,97.1
31-12-2020,98.0,101.95,96.55,101.6
01-01-2021,103.0,103.0,99.0,100.1
04-01-2021,104.0,104.0,97.1,99.4
05-01-2021,97.5,99.95,97.5,98.9
06-01-2021,98.2,100.9,97.15,98.1
07-01-2021,102.6,103.0,99.25,100.45
08-01-2021,99.65,102.65,95.45,96.25
11-01-2021,98.5,98.65,92.1,93.7
12-01-2021,92.0,95.0,89.05,89.9
13-01-2021,90.3,92.95,86.95,90.95
14-01-2021,91.95,92.5,87.1,89.65
15-01-2021,90.5,90.6,88.0,89.7
18-01-2021,90.05,91.05,87.3,88.75
19-01-2021,91.5,91.5,87.35,88.5
20-01-2021,87.55,88.75,85.3,86.15
21-01-2021,87.7,87.8,83.15,85.65
22-01-2021,86.0,87.45,81.4,83.3
25-01-2021,83.5,86.8,81.0,85.15
27-01-2021,84.15,84.95,82.2,84.65
28-01-2021,83.25,84.45,80.45,81.4
29-01-2021,81.95,81.95,77.35,77.35
01-02-2021,73.5,73.5,73.5,73.5
02-02-2021,69.85,76.75,69.85,73.0
03-02-2021,74.05,74.95,72.05,74.25
04-02-2021,74.0,77.95,74.0,76.6
05-02-2021,77.95,78.45,75.05,76.5
08-02-2021,76.55,80.3,75.25,78.6
09-02-2021,76.65,78.65,76.1,76.95
10-02-2021,76.95,77.3,73.55,74.45
11-02-2021,74.95,78.15,73.3,77.5
12-02-2021,77.5,79.0,76.0,77.9
15-02-2021,77.9,81.0,75.1,76.65
16-02-2021,76.0,76.75,72.85,72.85
17-02-2021,69.25,74.9,69.25,73.9
18-02-2021,74.9,74.95,71.6,72.4
19-02-2021,73.9,74.4,72.15,72.75
22-02-2021,74.7,76.35,72.5,75.9
23-02-2021,75.15,78.8,74.95,76.15
24-02-2021,75.45,77.5,74.9,76.3
25-02-2021,76.1,79.0,75.7,78.1
26-02-2021,77.0,80.9,74.2,76.75
01-03-2021,80.55,80.55,74.2,80.55
02-03-2021,84.4,84.55,82.8,83.95
03-03-2021,85.3,85.3,79.8,80.1
04-03-2021,79.0,80.0,76.1,76.95
05-03-2021,78.7,79.75,75.2,78.3
08-03-2021,80.9,80.9,74.6,74.95
