date,open,high,low,close
24-07-2019,5865.0,5865.0,5725.3,5768.0
25-07-2019,5789.1,5844.95,5701.05,5756.75
26-07-2019,5728.0,5955.0,5683.9,5805.65
29-07-2019,5770.0,5770.0,5540.0,5561.25
30-07-2019,5562.0,5644.85,5492.0,5507.15
31-07-2019,5525.8,5582.3,5446.05,5469.7
01-08-2019,5469.7,5615.0,5450.0,5572.6
02-08-2019,5539.6,5724.0,5485.0,5689.35
05-08-2019,5600.0,5695.0,5452.0,5670.35
06-08-2019,5640.0,5849.0,5640.0,5833.3
07-08-2019,5833.95,5867.0,5735.7,5775.0
08-08-2019,5725.0,5947.0,5725.0,5902.25
09-08-2019,5937.65,6155.0,5927.2,6099.9
13-08-2019,6099.7,6123.0,5791.55,5815.45
14-08-2019,5792.0,5933.4,5710.0,5816.0
16-08-2019,5805.0,5995.0,5590.0,5975.05
19-08-2019,5999.0,6024.4,5911.6,5982.55
20-08-2019,6003.0,6233.0,5959.05,6190.95
21-08-2019,6223.0,6276.0,6141.0,6228.9
22-08-2019,6200.0,6298.5,6168.0,6208.55
23-08-2019,6160.0,6279.6,6040.0,6254.35
26-08-2019,6460.0,6466.7,6116.15,6255.55
27-08-2019,6297.5,6340.0,6256.0,6277.75
28-08-2019,6248.0,6248.0,6070.0,6103.4
29-08-2019,6103.4,6198.0,6065.0,6110.2
30-08-2019,6144.0,6159.25,6052.9,6123.75
03-09-2019,6035.0,6130.0,6002.25,6049.7
04-09-2019,6062.0,6076.2,5800.0,5830.75
05-09-2019,5805.0,5998.0,5791.25,5968.65
06-09-2019,5997.7,6220.0,5962.1,6186.95
09-09-2019,6085.0,6366.95,6040.0,6335.5
11-09-2019,6330.0,6630.0,6285.1,6597.3
12-09-2019,6565.0,6640.0,6370.0,6392.05
13-09-2019,6434.0,6512.8,6340.0,6450.3
16-09-2019,6349.9,6489.0,6340.1,6412.75
17-09-2019,6410.0,6445.85,6110.0,6130.4
18-09-2019,6165.0,6211.8,5986.6,6095.05
19-09-2019,6139.0,6175.0,5942.4,5971.75
20-09-2019,6015.0,6949.8,5982.45,6591.95
23-09-2019,6676.1,7000.0,6676.1,6897.85
24-09-2019,6935.0,7177.9,6855.0,7009.1
25-09-2019,7000.0,7000.0,6602.0,6638.5
26-09-2019,6700.0,6899.9,6681.05,6857.45
27-09-2019,6860.0,6915.0,6735.0,6773.7
30-09-2019,6773.0,6809.6,6640.0,6715.8
01-10-2019,6720.0,6850.0,6650.0,6782.0
03-10-2019,6786.6,6794.95,6680.0,6754.05
04-10-2019,6793.0,6845.9,6618.4,6649.6
07-10-2019,6674.7,6699.0,6558.15,6629.85
09-10-2019,6628.0,6743.8,6590.0,6719.55
10-10-2019,6700.0,6742.1,6558.25,6605.45
11-10-2019,6626.3,6720.0,6626.3,6698.9
14-10-2019,6697.95,6874.55,6696.05,6821.1
15-10-2019,6811.0,7019.0,6809.0,6985.75
16-10-2019,7003.45,7013.9,6895.0,6975.0
17-10-2019,6977.0,7155.55,6940.0,7123.9
18-10-2019,7081.3,7450.0,7061.65,7302.3
22-10-2019,7333.0,7392.0,7232.0,7256.25
23-10-2019,7201.05,7472.0,7200.0,7440.25
24-10-2019,7460.0,7475.0,7271.0,7391.4
25-10-2019,7396.5,7509.0,7353.85,7471.15
27-10-2019,7477.0,7500.0,7392.05,7422.1
29-10-2019,7416.0,7758.7,7381.85,7721.3
30-10-2019,7744.0,7753.65,7539.7,7556.95
31-10-2019,7612.9,7645.0,7502.0,7559.4
01-11-2019,7599.95,7649.0,7545.1,7618.65
04-11-2019,7550.0,7625.0,7407.45,7424.0
05-11-2019,7429.95,7541.95,7325.0,7389.0
06-11-2019,7395.0,7415.0,7295.0,7311.15
07-11-2019,7357.0,7357.0,7241.0,7287.15
08-11-2019,7286.45,7370.0,7178.05,7200.55
11-11-2019,7160.0,7237.45,7074.0,7137.3
13-11-2019,7130.0,7169.85,7095.0,7154.6
14-11-2019,7160.0,7270.0,7160.0,7247.15
15-11-2019,7300.0,7359.0,7116.2,7147.2
18-11-2019,7150.0,7177.0,7075.0,7098.45
19-11-2019,7146.0,7155.0,7032.0,7045.45
20-11-2019,7120.0,7218.0,7044.0,7152.75
21-11-2019,7150.0,7200.0,7004.8,7019.05
22-11-2019,7034.0,7077.45,7000.0,7060.45
25-11-2019,7075.2,7263.5,7040.3,7236.1
26-11-2019,7238.0,7274.0,7084.0,7125.0
27-11-2019,7166.6,7300.0,7166.6,7294.4
28-11-2019,7299.8,7321.1,7220.95,7261.25
29-11-2019,7254.0,7293.85,7132.0,7245.85
02-12-2019,7291.0,7294.85,7106.75,7139.35
03-12-2019,7142.65,7240.0,7060.0,7138.8
04-12-2019,7129.8,7170.0,7052.0,7076.1
05-12-2019,7090.0,7125.15,6990.55,7012.85
06-12-2019,7012.85,7050.0,6864.1,6886.7
09-12-2019,7007.0,7108.0,6952.35,6994.75
10-12-2019,7019.0,7048.95,6905.0,6963.65
11-12-2019,7000.0,7035.0,6955.2,6993.2
12-12-2019,7030.4,7045.95,6975.5,6999.8
13-12-2019,7043.95,7249.0,7030.15,7214.95
16-12-2019,7240.0,7257.7,7125.0,7140.05
17-12-2019,7209.9,7276.5,7166.0,7195.15
18-12-2019,7220.0,7254.95,7164.0,7240.65
19-12-2019,7248.95,7310.0,7166.0,7240.65
20-12-2019,7240.65,7304.35,7227.5,7261.5
23-12-2019,7275.0,7378.6,7250.1,7360.9
24-12-2019,7397.0,7423.7,7302.0,7327.8
26-12-2019,7334.0,7343.45,7222.0,7240.9
27-12-2019,7268.0,7368.5,7251.4,7344.9
30-12-2019,7378.0,7431.95,7341.6,7416.25
31-12-2019,7412.5,7412.5,7355.25,7368.6
01-01-2020,7377.0,7409.95,7282.05,7311.7
02-01-2020,7327.6,7368.0,7312.0,7329.85
03-01-2020,7328.95,7332.0,7226.0,7254.25
06-01-2020,7200.0,7210.0,7026.5,7042.4
07-01-2020,7100.0,7165.6,7026.4,7073.6
08-01-2020,7060.0,7116.65,6980.45,7035.2
09-01-2020,7140.0,7240.0,7102.0,7227.9
10-01-2020,7261.4,7349.9,7234.4,7330.5
13-01-2020,7332.0,7370.0,7279.8,7352.7
14-01-2020,7355.0,7412.4,7325.6,7386.8
15-01-2020,7388.95,7505.0,7353.0,7482.95
16-01-2020,7456.5,7521.0,7421.2,7462.65
17-01-2020,7469.0,7569.9,7432.55,7520.15
20-01-2020,7521.25,7529.5,7421.05,7449.6
21-01-2020,7411.5,7434.65,7287.8,7302.65
22-01-2020,7340.0,7374.95,7107.95,7135.6
23-01-2020,7145.4,7220.0,7123.15,7147.1
24-01-2020,7148.8,7210.0,7111.25,7128.45
27-01-2020,7101.5,7225.0,7061.0,7148.8
28-01-2020,7179.95,7219.95,6963.0,6997.05
29-01-2020,7010.0,7116.25,6975.0,7010.3
30-01-2020,7020.0,7049.0,6981.0,7020.45
31-01-2020,7035.0,7064.0,6895.55,6913.5
01-02-2020,6915.0,7109.8,6740.3,6812.65
03-02-2020,6780.0,7044.85,6780.0,7011.3
04-02-2020,7020.0,7215.0,7001.0,7199.6
05-02-2020,7215.0,7231.6,7025.6,7040.9
06-02-2020,7075.0,7120.35,6976.8,7021.6
07-02-2020,7039.0,7050.0,6935.0,6971.75
10-02-2020,6975.0,6989.1,6851.1,6892.9
11-02-2020,6950.0,7089.0,6912.3,7033.75
12-02-2020,7056.1,7110.0,7007.95,7043.3
13-02-2020,7050.0,7056.0,6925.0,7005.05
14-02-2020,7000.05,7088.95,6901.0,6913.8
17-02-2020,6920.0,6980.0,6880.0,6906.75
18-02-2020,6925.0,6930.0,6735.8,6781.1
19-02-2020,6850.0,6854.95,6624.6,6756.6
20-02-2020,6761.0,6807.55,6720.0,6757.6
24-02-2020,6710.0,6710.0,6439.8,6470.4
25-02-2020,6505.4,6510.0,6376.55,6414.55
26-02-2020,6350.0,6368.85,6186.05,6234.85
27-02-2020,6230.0,6338.05,6166.8,6289.8
