date,open,high,low,close
22-07-2019,2.25,2.45,2.25,2.4
23-07-2019,2.5,2.5,2.4,2.5
24-07-2019,2.5,2.5,2.4,2.4
25-07-2019,2.45,2.5,2.3,2.5
26-07-2019,2.5,2.6,2.4,2.6
29-07-2019,2.7,2.7,2.7,2.7
30-07-2019,2.8,2.8,2.8,2.8
31-07-2019,2.9,2.9,2.8,2.9
01-08-2019,3.0,3.0,3.0,3.0
02-08-2019,3.15,3.15,3.15,3.15
05-08-2019,3.3,3.3,3.3,3.3
06-08-2019,3.45,3.45,3.45,3.45
07-08-2019,3.6,3.6,3.6,3.6
08-08-2019,3.75,3.75,3.75,3.75
09-08-2019,3.9,3.9,3.9,3.9
13-08-2019,4.05,4.05,3.75,4.05
14-08-2019,4.25,4.25,4.25,4.25
16-08-2019,4.45,4.45,4.45,4.45
19-08-2019,4.65,4.65,4.65,4.65
20-08-2019,4.85,4.85,4.85,4.85
21-08-2019,5.05,5.05,5.05,5.05
22-08-2019,5.3,5.3,4.85,5.2
23-08-2019,5.4,5.45,4.95,4.95
26-08-2019,4.75,4.95,4.75,4.75
27-08-2019,4.7,4.95,4.55,4.9
28-08-2019,5.1,5.1,4.75,4.95
29-08-2019,5.05,5.1,4.75,5.0
30-08-2019,4.75,5.2,4.75,5.1
03-09-2019,5.0,5.0,4.85,4.85
04-09-2019,4.65,4.65,4.65,4.65
05-09-2019,4.45,4.85,4.45,4.8
06-09-2019,4.65,4.65,4.6,4.6
09-09-2019,4.4,4.75,4.4,4.7
11-09-2019,4.9,4.9,4.5,4.6
12-09-2019,4.6,4.6,4.4,4.4
13-09-2019,4.4,4.5,4.2,4.2
16-09-2019,4.2,4.2,4.0,4.0
17-09-2019,4.0,4.05,3.8,3.95
18-09-2019,4.1,4.1,3.8,3.8
19-09-2019,3.95,3.95,3.65,3.7
20-09-2019,3.55,3.8,3.55,3.55
23-09-2019,3.45,3.7,3.4,3.45
24-09-2019,3.35,3.6,3.3,3.45
25-09-2019,3.6,3.6,3.4,3.6
