date,open,high,low,close
16-11-2022,401.0,424.65,390.55,415.3
17-11-2022,417.0,455.7,410.35,417.65
18-11-2022,417.35,422.8,406.65,414.15
21-11-2022,413.8,431.95,407.25,429.75
22-11-2022,428.0,438.9,424.0,435.5
23-11-2022,437.9,457.45,435.5,450.9
24-11-2022,453.9,487.75,442.0,460.15
25-11-2022,462.45,469.0,450.25,451.8
28-11-2022,452.0,474.7,451.05,471.3
29-11-2022,471.95,479.5,462.05,464.3
30-11-2022,466.9,468.5,452.0,462.25
01-12-2022,465.0,467.9,453.6,459.2
02-12-2022,459.0,464.7,455.0,457.45
05-12-2022,459.75,469.0,452.55,456.45
06-12-2022,455.0,462.4,454.75,456.65
07-12-2022,454.4,475.7,452.1,465.55
08-12-2022,467.8,475.0,463.25,467.55
09-12-2022,467.0,474.85,457.0,463.25
12-12-2022,460.0,461.3,437.0,455.25
13-12-2022,455.25,459.25,449.5,450.25
14-12-2022,450.0,455.8,449.05,450.45
15-12-2022,448.5,453.4,443.2,447.65
16-12-2022,444.8,451.4,430.1,446.5
19-12-2022,445.95,448.3,441.45,445.25
20-12-2022,440.1,455.4,440.1,446.9
21-12-2022,448.0,449.95,444.3,447.25
22-12-2022,449.5,461.0,444.5,446.9
23-12-2022,446.6,455.05,435.0,444.55
26-12-2022,446.8,461.9,445.15,458.4
27-12-2022,460.0,472.5,456.25,459.1
28-12-2022,460.8,466.0,455.2,459.65
29-12-2022,460.95,468.0,456.25,465.9
30-12-2022,465.9,484.8,464.15,468.8
02-01-2023,470.0,476.85,456.1,460.1
03-01-2023,460.1,464.4,456.2,458.9
04-01-2023,460.95,465.95,449.5,455.55
05-01-2023,452.5,473.8,452.5,470.7
06-01-2023,470.9,470.9,456.0,457.3
09-01-2023,459.6,462.0,452.4,457.1
10-01-2023,458.7,461.7,454.65,457.3
11-01-2023,459.55,459.55,452.0,454.2
12-01-2023,456.0,456.0,443.3,449.0
13-01-2023,449.95,457.0,443.2,452.5
16-01-2023,451.3,454.65,445.35,446.35
17-01-2023,448.3,455.95,444.1,453.6
18-01-2023,455.3,458.05,447.55,449.3
19-01-2023,450.85,450.85,445.0,446.35
20-01-2023,446.45,453.7,446.45,451.8
23-01-2023,448.4,454.0,445.0,445.95
24-01-2023,446.5,450.75,442.1,445.05
25-01-2023,446.85,459.55,436.45,456.7
27-01-2023,457.9,459.0,435.0,437.55
30-01-2023,426.15,448.0,426.15,442.0
31-01-2023,432.15,447.95,432.15,444.05
01-02-2023,447.7,452.4,426.25,430.4
02-02-2023,432.6,445.7,431.6,439.9
03-02-2023,442.1,443.7,432.15,438.45
06-02-2023,439.75,450.0,435.3,442.6
07-02-2023,442.95,449.9,440.8,447.45
08-02-2023,450.35,459.55,447.55,456.1
09-02-2023,447.4,455.7,447.4,449.95
10-02-2023,449.95,463.8,448.05,454.8
13-02-2023,455.95,460.0,451.0,456.75
14-02-2023,460.0,463.9,454.2,457.1
15-02-2023,456.7,462.7,454.5,459.75
16-02-2023,462.0,510.0,459.2,503.8
