date,open,high,low,close
15-03-2022,10.75,10.8,10.32,10.47
16-03-2022,10.78,10.78,10.55,10.57
17-03-2022,10.88,10.88,10.75,10.85
21-03-2022,11.17,11.5,10.85,10.86
22-03-2022,11.02,11.02,10.75,10.83
23-03-2022,11.02,11.02,10.86,10.9
24-03-2022,10.88,10.99,10.88,10.95
25-03-2022,10.99,11.03,10.9,10.9
28-03-2022,10.93,10.97,10.82,10.91
29-03-2022,10.99,11.01,10.92,10.99
30-03-2022,10.67,11.31,10.67,11.08
31-03-2022,11.12,11.81,11.06,11.13
01-04-2022,11.14,11.28,11.1,11.26
04-04-2022,11.27,11.93,11.26,11.42
05-04-2022,11.5,11.62,11.48,11.57
06-04-2022,13.55,13.55,11.58,11.64
07-04-2022,11.65,11.7,11.51,11.52
08-04-2022,11.75,11.75,11.57,11.65
11-04-2022,11.7,11.77,11.66,11.72
12-04-2022,13.5,13.5,11.41,11.53
13-04-2022,11.59,11.62,11.51,11.51
18-04-2022,11.44,11.44,11.3,11.38
19-04-2022,11.3,11.5,11.13,11.29
20-04-2022,11.32,11.38,11.26,11.3
21-04-2022,11.41,11.45,11.36,11.43
22-04-2022,11.43,11.44,11.31,11.33
25-04-2022,11.39,11.39,11.11,11.14
26-04-2022,11.25,11.31,11.21,11.27
27-04-2022,11.33,11.33,11.12,11.16
28-04-2022,11.33,11.33,11.16,11.25
29-04-2022,11.34,11.35,11.16,11.19
02-05-2022,11.25,11.25,11.07,11.11
04-05-2022,11.29,11.29,10.85,10.9
05-05-2022,11.99,11.99,10.86,10.9
06-05-2022,10.89,11.15,10.63,10.72
09-05-2022,10.95,10.95,10.47,10.54
10-05-2022,10.57,10.64,10.33,10.34
11-05-2022,10.55,10.55,10.08,10.27
12-05-2022,10.16,10.2,9.98,10.05
13-05-2022,10.35,10.35,10.12,10.15
16-05-2022,10.77,10.77,10.12,10.28
17-05-2022,10.88,11.0,10.31,10.5
18-05-2022,10.75,10.75,10.51,10.53
19-05-2022,10.65,10.65,10.2,10.24
20-05-2022,10.37,10.46,10.37,10.43
23-05-2022,10.98,10.98,10.36,10.41
24-05-2022,10.41,10.46,10.33,10.35
25-05-2022,10.35,10.39,10.1,10.11
26-05-2022,10.16,10.26,9.92,10.19
27-05-2022,10.55,10.55,10.27,10.36
30-05-2022,10.44,10.6,10.44,10.57
31-05-2022,10.6,10.69,10.56,10.6
01-06-2022,10.65,10.72,10.58,10.64
02-06-2022,10.85,10.85,10.59,10.67
03-06-2022,10.79,10.79,10.53,10.54
06-06-2022,10.5,10.54,10.39,10.52
07-06-2022,10.75,10.75,10.29,10.45
08-06-2022,10.25,10.49,10.25,10.38
09-06-2022,10.6,10.6,10.32,10.45
10-06-2022,10.55,10.55,10.32,10.36
13-06-2022,10.0,10.39,9.98,10.1
14-06-2022,10.22,10.22,10.02,10.07
15-06-2022,10.25,10.25,10.08,10.11
16-06-2022,10.29,10.29,9.84,9.88
17-06-2022,9.83,9.88,9.72,9.77
20-06-2022,9.98,9.98,9.5,9.59
21-06-2022,9.7,9.89,9.63,9.87
22-06-2022,9.85,9.85,9.73,9.73
23-06-2022,9.78,9.88,9.73,9.84
24-06-2022,10.13,10.25,9.91,9.98
27-06-2022,10.75,10.75,10.05,10.09
28-06-2022,10.01,10.14,9.99,10.13
29-06-2022,10.43,10.43,10.01,10.09
30-06-2022,10.15,10.16,10.01,10.04
01-07-2022,9.99,10.1,9.92,10.09
04-07-2022,10.1,10.15,10.04,10.14
05-07-2022,10.16,10.25,10.11,10.14
06-07-2022,10.18,10.34,10.14,10.29
07-07-2022,10.5,10.5,10.36,10.44
08-07-2022,10.65,10.65,10.43,10.49
11-07-2022,10.7,10.7,10.41,10.59
12-07-2022,10.56,10.62,10.51,10.52
13-07-2022,10.57,10.62,10.52,10.52
14-07-2022,9.75,10.86,8.93,10.53
15-07-2022,10.59,10.62,10.51,10.61
18-07-2022,10.66,10.74,10.66,10.72
19-07-2022,10.4,10.85,10.4,10.84
20-07-2022,10.84,10.93,10.76,10.86
21-07-2022,10.88,10.99,10.82,10.94
22-07-2022,11.2,11.2,10.95,11.0
25-07-2022,11.0,11.03,10.94,11.0
26-07-2022,11.02,11.02,10.88,10.88
27-07-2022,11.09,11.09,10.82,10.98
28-07-2022,11.05,13.05,10.95,11.38
29-07-2022,11.66,11.66,11.0,11.19
01-08-2022,11.29,11.42,11.21,11.39
02-08-2022,11.38,11.45,11.33,11.42
03-08-2022,11.69,11.69,11.3,11.39
04-08-2022,11.66,11.66,11.25,11.42
05-08-2022,11.76,11.76,11.45,11.49
