date,open,high,low,close
22-07-2019,29.93,29.93,29.93,29.93
23-07-2019,28.64,28.64,28.64,28.64
24-07-2019,29.33,30.02,27.52,29.24
25-07-2019,30.23,30.23,30.23,30.23
26-07-2019,30.15,30.92,30.06,30.92
30-07-2019,30.1,30.19,30.1,30.1
02-08-2019,30.15,30.15,30.15,30.15
05-08-2019,30.53,30.53,30.53,30.53
06-08-2019,30.96,30.96,30.96,30.96
22-08-2019,29.46,29.46,29.46,29.46
26-08-2019,28.04,28.04,28.04,28.04
27-08-2019,29.24,29.24,28.21,29.24
28-08-2019,29.24,30.1,28.21,28.21
29-08-2019,29.59,29.59,29.59,29.59
03-09-2019,29.24,29.24,29.24,29.24
04-09-2019,29.24,29.24,29.24,29.24
05-09-2019,28.38,28.38,28.38,28.38
13-09-2019,29.67,29.67,29.67,29.67
16-09-2019,31.13,31.13,31.13,31.13
24-09-2019,32.68,32.68,32.68,32.68
30-09-2019,34.32,34.32,34.32,34.32
10-10-2019,35.26,35.26,35.26,35.26
15-11-2019,36.98,36.98,36.98,36.98
21-11-2019,35.26,35.26,35.26,35.26
28-11-2019,36.98,37.03,36.98,37.03
09-12-2019,36.81,36.81,36.81,36.81
20-12-2019,35.26,35.26,35.26,35.26
31-12-2019,34.4,34.4,34.4,34.4
03-01-2020,35.26,35.26,35.26,35.26
16-01-2020,35.26,35.26,35.26,35.26
20-01-2020,35.26,35.26,35.26,35.26
11-02-2020,36.98,36.98,36.98,36.98
14-02-2020,36.12,36.12,36.12,36.12
17-02-2020,36.04,36.04,36.04,36.04
24-03-2020,34.27,34.27,34.27,34.27
15-06-2020,34.32,34.32,34.32,34.32
24-07-2020,32.64,32.64,32.64,32.64
19-08-2020,31.82,31.82,31.82,31.82
25-11-2020,31.39,31.82,31.39,31.82
02-12-2020,31.82,33.37,31.82,31.82
08-12-2020,33.41,33.41,33.41,33.41
09-12-2020,33.54,33.54,33.54,33.54
11-12-2020,33.54,33.54,33.54,33.54
15-12-2020,33.54,33.54,33.54,33.54
18-12-2020,33.54,33.59,33.54,33.54
22-12-2020,33.54,33.54,33.54,33.54
31-12-2020,34.83,35.22,33.67,33.67
01-01-2021,33.54,34.83,33.54,34.83
08-01-2021,33.54,33.54,33.54,33.54
03-02-2021,34.83,34.83,34.83,34.83
05-02-2021,34.83,34.83,34.83,34.83
08-02-2021,34.83,34.83,34.83,34.83
09-02-2021,34.83,34.83,34.83,34.83
10-02-2021,35.69,35.69,35.69,35.69
11-02-2021,33.97,33.97,33.97,33.97
12-02-2021,33.97,33.97,33.97,33.97
15-02-2021,33.97,33.97,33.97,33.97
16-02-2021,34.83,34.83,34.83,34.83
26-02-2021,34.83,34.83,34.83,34.83
02-03-2021,34.83,34.83,34.83,34.83
03-03-2021,34.83,34.83,34.83,34.83
04-03-2021,34.83,35.05,34.83,34.92
05-03-2021,34.96,35.05,34.96,35.05
08-03-2021,35.05,35.05,35.05,35.05
09-03-2021,35.05,35.05,35.05,35.05
10-03-2021,35.05,35.05,35.05,35.05
16-03-2021,35.05,35.13,35.05,35.13
17-03-2021,35.13,35.26,35.13,35.26
18-03-2021,34.4,34.4,34.4,34.4
19-03-2021,35.05,35.05,35.05,35.05
23-03-2021,35.05,35.05,35.05,35.05
24-03-2021,35.05,35.09,35.05,35.05
25-03-2021,35.05,35.09,35.05,35.09
26-03-2021,35.09,35.09,35.09,35.09
30-03-2021,35.09,35.09,35.09,35.09
31-03-2021,35.26,35.26,35.26,35.26
01-04-2021,35.26,35.26,35.26,35.26
06-04-2021,35.26,35.26,35.26,35.26
