date,open,high,low,close
14-02-2024,21.0,21.0,21.0,21.0
16-02-2024,22.05,22.05,22.05,22.05
19-02-2024,23.15,23.15,23.15,23.15
20-02-2024,24.3,24.3,24.3,24.3
21-02-2024,25.5,25.5,25.5,25.5
22-02-2024,26.75,26.75,26.75,26.75
23-02-2024,28.05,28.05,28.05,28.05
26-02-2024,29.45,29.45,29.45,29.45
27-02-2024,30.9,30.9,30.9,30.9
28-02-2024,32.4,32.4,32.4,32.4
29-02-2024,34.0,34.0,34.0,34.0
01-03-2024,35.7,35.7,35.7,35.7
02-03-2024,37.45,37.45,37.45,37.45
04-03-2024,39.3,39.3,39.3,39.3
05-03-2024,41.25,41.25,41.25,41.25
06-03-2024,43.3,43.3,43.3,43.3
07-03-2024,45.45,45.45,45.45,45.45
11-03-2024,47.7,47.7,47.7,47.7
12-03-2024,50.05,50.05,50.05,50.05
13-03-2024,51.05,51.05,51.05,51.05
14-03-2024,52.05,52.05,52.05,52.05
15-03-2024,53.05,53.05,53.05,53.05
18-03-2024,54.1,54.1,54.1,54.1
19-03-2024,55.15,55.15,55.15,55.15
20-03-2024,56.25,56.25,56.25,56.25
21-03-2024,57.35,57.35,57.35,57.35
27-03-2024,58.45,58.45,58.45,58.45
10-04-2024,59.6,59.6,59.6,59.6
12-04-2024,60.75,60.75,60.75,60.75
15-04-2024,61.95,61.95,61.95,61.95
16-04-2024,60.75,60.75,60.75,60.75
18-04-2024,59.55,59.55,59.55,59.55
19-04-2024,58.35,60.7,58.35,60.7
22-04-2024,59.5,59.5,59.5,59.5
23-04-2024,58.35,58.4,58.35,58.35
24-04-2024,57.35,59.5,57.35,59.5
25-04-2024,60.65,60.65,60.65,60.65
26-04-2024,61.85,61.85,61.85,61.85
29-04-2024,64.9,64.9,64.0,64.7
30-04-2024,67.0,67.0,62.3,65.05
02-05-2024,66.45,66.5,62.3,64.5
03-05-2024,64.8,64.8,62.3,62.3
06-05-2024,63.55,65.4,62.3,65.4
07-05-2024,66.0,68.65,66.0,68.65
08-05-2024,72.05,72.05,71.75,71.8
09-05-2024,75.3,75.35,71.0,73.9
10-05-2024,73.9,75.5,70.2,71.7
13-05-2024,70.4,73.5,68.15,68.15
14-05-2024,66.8,66.8,66.8,66.8
15-05-2024,65.5,65.5,65.5,65.5
16-05-2024,64.2,64.2,64.2,64.2
17-05-2024,64.0,64.0,62.95,62.95
18-05-2024,61.7,61.7,61.7,61.7
21-05-2024,60.5,60.5,60.5,60.5
22-05-2024,59.3,59.35,59.3,59.35
23-05-2024,58.3,58.3,58.2,58.3
24-05-2024,57.15,59.4,57.15,59.4
27-05-2024,59.4,60.4,59.4,60.4
28-05-2024,60.4,60.4,59.2,59.2
29-05-2024,58.05,58.3,58.05,58.3
30-05-2024,58.3,58.3,57.15,57.15
31-05-2024,56.0,56.0,56.0,56.0
03-06-2024,54.9,54.9,54.9,54.9
04-06-2024,53.8,53.8,53.8,53.8
05-06-2024,52.75,52.75,52.75,52.75
06-06-2024,51.7,51.7,51.7,51.7
07-06-2024,51.7,51.7,50.7,50.7
10-06-2024,49.8,51.71,49.8,51.71
11-06-2024,52.74,52.74,52.74,52.74
12-06-2024,53.79,53.79,53.79,53.79
13-06-2024,54.86,54.86,54.86,54.86
14-06-2024,55.95,55.95,55.9,55.95
18-06-2024,56.9,56.9,56.9,56.9
19-06-2024,56.9,57.26,56.9,57.26
20-06-2024,57.5,57.5,57.5,57.5
21-06-2024,58.65,58.65,58.65,58.65
