date,open,high,low,close
22-07-2019,50.55,53.0,49.5,52.05
23-07-2019,51.95,53.0,50.25,51.35
24-07-2019,53.35,54.25,50.5,51.1
25-07-2019,51.55,53.45,49.5,50.05
26-07-2019,51.9,51.95,49.15,50.55
29-07-2019,51.0,52.7,50.0,50.0
30-07-2019,50.3,51.0,48.6,48.95
31-07-2019,48.7,50.0,48.05,49.7
01-08-2019,49.7,49.9,48.35,49.45
02-08-2019,53.0,53.0,48.1,48.95
05-08-2019,51.5,51.5,48.0,49.4
06-08-2019,49.35,49.5,48.6,49.15
07-08-2019,49.25,49.8,48.6,48.7
08-08-2019,48.9,49.95,48.6,48.95
09-08-2019,49.65,53.5,49.5,50.35
13-08-2019,49.55,51.8,49.5,51.25
14-08-2019,51.7,51.75,49.5,50.2
16-08-2019,49.55,51.0,49.0,49.45
19-08-2019,50.0,50.9,49.75,49.8
20-08-2019,51.85,51.9,49.0,49.65
21-08-2019,50.65,50.7,48.95,49.0
22-08-2019,48.05,50.95,46.15,46.85
23-08-2019,46.1,47.95,44.55,46.0
26-08-2019,49.75,51.9,46.3,51.0
27-08-2019,51.9,53.95,49.5,49.65
28-08-2019,52.0,52.0,49.15,49.6
29-08-2019,49.65,50.0,48.65,49.85
30-08-2019,49.1,50.75,48.0,48.7
03-09-2019,50.45,50.6,47.85,49.0
04-09-2019,53.0,53.0,48.15,48.25
05-09-2019,48.65,49.55,48.0,48.1
06-09-2019,47.6,49.5,47.6,48.3
09-09-2019,48.05,49.0,48.05,48.35
11-09-2019,49.7,51.15,48.0,49.2
12-09-2019,50.95,50.95,49.7,49.9
13-09-2019,50.4,50.5,49.4,50.1
16-09-2019,50.05,51.0,49.95,50.75
17-09-2019,51.15,51.4,50.3,51.2
18-09-2019,51.2,51.85,50.0,51.0
19-09-2019,50.8,53.9,50.15,51.0
20-09-2019,53.0,53.0,47.8,51.6
23-09-2019,52.0,54.8,50.15,52.7
24-09-2019,52.2,53.7,51.4,53.3
25-09-2019,53.0,54.0,52.05,53.35
26-09-2019,53.9,56.2,53.15,55.8
27-09-2019,56.95,57.4,55.25,55.6
30-09-2019,55.5,55.5,51.35,52.65
01-10-2019,53.2,53.5,49.3,50.65
03-10-2019,52.9,52.95,50.0,50.65
04-10-2019,52.15,52.9,50.8,52.2
07-10-2019,53.45,53.45,51.05,51.75
09-10-2019,52.75,52.75,50.7,50.95
10-10-2019,51.95,53.5,51.0,52.0
11-10-2019,51.0,53.55,51.0,53.1
14-10-2019,52.35,53.05,51.5,51.7
15-10-2019,54.25,54.25,51.45,51.55
16-10-2019,51.55,52.45,51.25,51.5
17-10-2019,52.25,52.5,51.55,51.7
18-10-2019,53.95,53.95,51.1,51.5
22-10-2019,50.05,54.0,50.05,51.25
23-10-2019,53.65,53.7,50.55,51.3
24-10-2019,52.95,52.95,51.0,51.1
25-10-2019,51.1,52.4,50.4,50.65
27-10-2019,53.95,53.95,50.15,50.4
29-10-2019,52.5,52.55,50.6,50.75
30-10-2019,50.8,51.5,50.15,50.75
31-10-2019,51.3,51.95,50.05,50.55
01-11-2019,50.0,51.9,50.0,51.15
04-11-2019,51.2,53.0,51.0,51.5
05-11-2019,51.1,52.5,51.05,51.8
06-11-2019,52.55,52.55,49.2,49.85
07-11-2019,49.85,50.8,48.9,49.55
08-11-2019,49.05,51.0,48.65,49.95
11-11-2019,52.5,52.5,48.15,49.5
13-11-2019,49.5,49.65,47.1,48.85
14-11-2019,48.15,51.95,47.6,50.35
15-11-2019,51.0,51.0,48.2,49.5
18-11-2019,49.0,50.55,49.0,49.45
19-11-2019,50.9,50.95,48.3,48.85
20-11-2019,48.05,49.25,47.7,48.95
21-11-2019,50.6,53.6,48.3,51.85
22-11-2019,52.9,52.9,50.1,50.2
25-11-2019,49.95,52.5,49.55,49.55
26-11-2019,49.6,49.95,49.2,49.25
27-11-2019,51.5,51.55,49.0,49.7
28-11-2019,50.0,52.5,48.45,51.65
29-11-2019,53.75,53.75,49.0,49.9
02-12-2019,49.05,52.85,48.4,48.6
03-12-2019,49.5,50.5,48.85,50.0
04-12-2019,50.05,50.95,49.45,50.65
05-12-2019,50.05,51.0,49.4,49.45
06-12-2019,49.1,50.7,47.25,47.65
09-12-2019,48.05,49.15,47.25,47.45
10-12-2019,47.6,48.7,47.1,47.15
11-12-2019,47.15,48.65,46.55,47.6
12-12-2019,48.45,49.7,47.5,47.6
13-12-2019,48.85,49.8,46.25,46.9
16-12-2019,47.65,48.7,45.0,45.4
17-12-2019,46.3,47.5,45.75,46.8
18-12-2019,46.55,47.9,45.65,46.2
19-12-2019,47.45,47.45,45.75,46.6
20-12-2019,47.9,47.9,46.4,46.7
23-12-2019,46.05,47.4,46.05,46.2
24-12-2019,46.05,47.3,45.6,45.7
26-12-2019,45.6,47.15,45.6,46.25
27-12-2019,46.05,47.5,45.5,46.2
30-12-2019,46.2,55.0,45.55,48.95
31-12-2019,50.1,50.1,48.15,48.75
01-01-2020,51.8,51.8,47.85,48.5
02-01-2020,51.5,51.6,48.15,48.9
03-01-2020,48.25,49.8,48.2,48.95
06-01-2020,48.6,50.0,48.2,49.35
07-01-2020,49.75,50.0,48.75,49.85
08-01-2020,49.5,50.95,48.6,50.2
09-01-2020,48.1,50.5,48.1,50.1
10-01-2020,49.25,51.4,48.5,50.8
13-01-2020,50.4,51.8,49.0,49.1
14-01-2020,50.4,50.45,48.0,48.45
15-01-2020,48.05,49.55,48.0,49.15
16-01-2020,48.55,54.7,48.5,52.2
17-01-2020,54.9,54.9,51.5,52.3
20-01-2020,53.65,54.0,50.2,50.6
21-01-2020,49.25,51.0,49.25,50.2
22-01-2020,51.45,51.95,50.2,50.7
23-01-2020,50.45,50.45,49.5,49.7
24-01-2020,51.55,51.6,49.55,49.95
27-01-2020,51.45,51.85,48.05,50.5
28-01-2020,48.2,51.5,48.2,49.4
29-01-2020,49.4,50.95,49.35,49.55
30-01-2020,49.4,50.0,48.1,49.05
31-01-2020,49.05,49.45,47.5,47.9
01-02-2020,51.9,51.9,46.1,46.9
03-02-2020,49.9,49.9,46.3,47.7
04-02-2020,47.1,49.7,47.05,47.5
05-02-2020,47.5,48.65,47.5,47.65
06-02-2020,47.25,48.65,46.8,47.0
07-02-2020,47.3,47.6,46.0,46.3
10-02-2020,46.95,47.8,46.4,47.45
11-02-2020,47.0,47.5,46.5,46.55
12-02-2020,46.55,47.95,46.25,46.55
13-02-2020,46.2,47.1,45.75,46.1
14-02-2020,46.05,46.95,45.85,45.95
17-02-2020,46.9,47.05,46.0,46.2
18-02-2020,46.25,46.7,45.85,46.0
19-02-2020,46.5,47.45,45.0,46.35
20-02-2020,45.5,47.5,45.1,45.65
24-02-2020,45.65,46.35,44.5,45.2
25-02-2020,45.8,45.8,44.35,44.95
26-02-2020,46.75,46.75,44.1,44.5
27-02-2020,45.35,45.35,43.55,44.05
28-02-2020,45.0,45.0,42.6,44.35
02-03-2020,45.85,46.6,43.35,43.55
03-03-2020,43.65,45.5,43.2,43.25
04-03-2020,44.65,44.65,42.75,43.05
05-03-2020,44.5,44.75,42.75,43.35
06-03-2020,42.75,42.75,39.3,40.5
09-03-2020,40.45,41.75,38.55,40.7
11-03-2020,40.7,40.95,39.25,40.0
12-03-2020,39.15,41.8,36.0,36.7
13-03-2020,39.3,41.1,30.2,38.25
16-03-2020,42.8,42.8,36.2,38.0
17-03-2020,38.05,39.0,36.25,37.4
18-03-2020,37.8,39.05,36.0,36.85
19-03-2020,39.8,39.8,33.0,33.15
20-03-2020,36.15,37.75,33.45,35.6
