date,open,high,low,close
22-07-2019,53.7,53.7,53.2,53.6
23-07-2019,53.65,54.0,53.6,53.9
24-07-2019,54.0,54.3,53.3,54.1
25-07-2019,54.1,54.3,53.8,54.0
26-07-2019,54.0,54.2,53.7,54.1
29-07-2019,54.2,54.6,54.0,54.55
30-07-2019,54.5,54.7,54.1,54.35
31-07-2019,54.3,54.7,54.0,54.6
01-08-2019,53.5,54.9,53.1,53.7
02-08-2019,53.55,53.8,53.0,53.8
05-08-2019,53.8,54.5,52.5,52.9
06-08-2019,52.5,52.95,51.55,52.9
07-08-2019,52.85,53.0,52.35,52.95
08-08-2019,52.55,53.4,52.4,53.4
09-08-2019,53.4,54.1,53.4,54.0
13-08-2019,54.0,54.0,53.0,53.25
14-08-2019,53.9,54.5,53.7,54.2
16-08-2019,53.9,53.9,52.45,53.4
19-08-2019,52.9,54.3,51.25,54.0
20-08-2019,55.1,55.1,54.05,54.5
21-08-2019,54.9,54.9,54.1,54.7
22-08-2019,54.8,55.0,54.5,54.9
23-08-2019,55.0,55.2,54.5,55.05
26-08-2019,54.0,54.45,53.0,53.65
27-08-2019,53.85,54.05,53.7,53.9
28-08-2019,53.9,54.1,53.2,53.95
29-08-2019,53.8,54.65,53.0,54.4
30-08-2019,54.5,54.9,54.5,54.9
03-09-2019,54.9,55.0,54.6,54.95
04-09-2019,55.0,55.3,54.65,55.2
05-09-2019,55.3,56.05,55.0,55.65
06-09-2019,55.6,56.2,55.25,56.05
09-09-2019,55.95,56.0,55.5,55.9
11-09-2019,55.9,55.9,55.05,55.4
12-09-2019,55.6,56.0,55.5,55.9
13-09-2019,55.8,56.0,55.3,55.45
16-09-2019,55.5,55.5,53.8,55.35
17-09-2019,55.35,55.65,55.1,55.5
18-09-2019,55.5,55.5,55.1,55.25
19-09-2019,55.1,55.2,54.9,55.05
20-09-2019,55.1,55.5,54.8,55.35
23-09-2019,55.0,55.0,54.4,54.55
24-09-2019,54.7,54.9,54.5,54.85
25-09-2019,54.6,54.6,53.7,53.95
26-09-2019,54.2,54.6,53.0,53.6
27-09-2019,54.0,54.2,53.5,54.1
30-09-2019,54.0,54.1,53.6,53.95
01-10-2019,54.0,54.7,54.0,54.45
03-10-2019,54.45,54.45,53.0,53.2
04-10-2019,53.6,54.0,52.65,53.1
07-10-2019,53.4,54.1,53.4,53.85
09-10-2019,52.75,53.8,52.5,53.6
10-10-2019,53.6,53.8,53.4,53.45
11-10-2019,53.8,54.6,53.8,54.2
14-10-2019,57.5,57.5,53.5,54.75
15-10-2019,55.0,55.5,54.6,55.25
16-10-2019,55.6,55.9,55.4,55.9
17-10-2019,55.8,55.8,55.55,55.8
18-10-2019,55.8,55.9,55.4,55.6
22-10-2019,55.8,55.9,55.1,55.45
23-10-2019,55.9,55.9,54.7,54.8
24-10-2019,54.8,55.4,54.7,55.35
25-10-2019,55.4,55.9,55.35,55.55
27-10-2019,56.7,61.7,55.6,55.85
29-10-2019,56.0,56.6,55.9,56.6
30-10-2019,59.8,59.8,56.2,56.3
31-10-2019,56.5,56.75,56.25,56.75
01-11-2019,56.0,56.9,55.6,56.75
04-11-2019,57.85,57.85,56.0,56.95
05-11-2019,57.0,57.5,56.6,57.4
06-11-2019,57.5,57.5,57.2,57.45
07-11-2019,57.45,57.6,57.05,57.2
08-11-2019,57.6,58.0,56.75,56.9
11-11-2019,58.05,63.2,56.8,57.8
13-11-2019,58.95,62.8,57.8,58.0
14-11-2019,59.15,61.5,58.3,58.55
15-11-2019,58.8,58.8,58.4,58.5
18-11-2019,59.65,64.95,58.5,58.75
19-11-2019,59.0,59.0,58.75,58.95
20-11-2019,59.1,59.5,58.5,58.75
21-11-2019,59.9,60.0,57.0,58.45
22-11-2019,58.5,58.75,58.3,58.4
25-11-2019,58.5,58.8,58.4,58.55
26-11-2019,58.7,60.0,58.35,59.0
27-11-2019,59.5,59.8,58.7,59.0
28-11-2019,59.5,59.5,59.15,59.35
29-11-2019,59.35,59.6,59.0,59.5
02-12-2019,59.7,59.8,59.2,59.45
03-12-2019,59.4,59.4,58.6,58.8
04-12-2019,58.85,58.85,58.2,58.6
05-12-2019,58.6,58.7,58.05,58.1
06-12-2019,58.0,58.6,58.0,58.55
09-12-2019,58.55,59.0,57.5,58.8
10-12-2019,58.5,58.9,58.0,58.4
11-12-2019,58.7,58.7,58.15,58.15
12-12-2019,59.3,60.5,58.2,58.5
13-12-2019,58.9,59.2,58.7,59.1
16-12-2019,59.1,59.9,58.0,59.45
17-12-2019,60.65,60.65,59.3,59.95
18-12-2019,59.9,60.0,59.5,59.6
19-12-2019,59.5,59.95,59.3,59.95
20-12-2019,59.9,60.5,59.7,60.3
