date,open,high,low,close
26-12-2023,275.3,281.0,265.5,266.15
27-12-2023,268.45,272.0,262.75,263.95
28-12-2023,265.0,266.0,255.25,255.7
29-12-2023,255.7,258.0,250.4,251.15
01-01-2024,251.5,256.95,251.5,254.35
02-01-2024,254.4,255.45,250.15,252.35
03-01-2024,253.5,256.35,251.2,252.85
04-01-2024,253.95,255.0,250.2,251.2
05-01-2024,252.3,253.85,251.0,251.75
08-01-2024,251.75,252.9,247.6,248.15
09-01-2024,249.1,249.65,241.25,241.5
10-01-2024,242.05,243.25,240.0,241.6
11-01-2024,242.1,244.4,240.1,240.5
12-01-2024,241.05,243.55,240.25,241.2
15-01-2024,241.95,243.4,240.0,240.3
16-01-2024,240.0,240.75,235.0,235.65
17-01-2024,233.95,237.7,232.2,233.1
18-01-2024,232.9,234.2,227.45,230.2
19-01-2024,231.65,233.8,230.5,231.05
20-01-2024,232.0,241.7,230.5,237.4
23-01-2024,239.0,239.0,231.0,231.15
24-01-2024,232.05,233.5,229.25,230.5
25-01-2024,231.25,233.1,230.1,231.15
29-01-2024,234.6,236.25,231.35,233.8
30-01-2024,247.0,266.8,245.0,254.3
31-01-2024,260.0,262.0,253.05,253.75
01-02-2024,254.85,254.85,241.0,242.15
02-02-2024,243.1,245.35,240.15,240.55
05-02-2024,245.95,249.25,241.95,243.6
06-02-2024,247.9,247.9,242.05,244.5
07-02-2024,245.0,246.95,244.0,244.65
08-02-2024,248.85,254.9,242.05,243.7
09-02-2024,243.65,243.9,238.2,241.35
12-02-2024,241.35,242.9,231.05,233.3
13-02-2024,234.05,238.5,233.2,234.4
14-02-2024,233.0,238.7,230.95,234.85
15-02-2024,236.0,237.8,233.0,234.35
16-02-2024,236.0,248.8,235.0,239.15
19-02-2024,239.9,247.1,239.35,245.65
20-02-2024,246.0,246.65,241.15,242.15
21-02-2024,242.15,242.85,236.5,237.85
22-02-2024,237.9,239.0,236.3,238.25
23-02-2024,240.5,240.55,236.05,236.75
26-02-2024,236.9,237.95,233.3,235.2
27-02-2024,235.05,236.2,233.0,234.05
28-02-2024,234.9,235.85,229.0,229.65
29-02-2024,230.35,230.7,228.0,229.3
01-03-2024,230.0,237.1,230.0,235.8
02-03-2024,236.0,236.0,232.85,233.85
04-03-2024,234.9,234.95,229.85,230.25
05-03-2024,230.8,234.75,229.05,229.7
06-03-2024,229.7,230.35,225.0,226.5
07-03-2024,226.65,228.2,224.95,225.3
11-03-2024,225.5,225.95,218.9,219.95
12-03-2024,220.45,221.75,212.0,213.3
13-03-2024,215.0,216.0,196.6,199.45
14-03-2024,199.5,206.55,197.95,204.95
15-03-2024,205.3,207.95,200.6,204.4
18-03-2024,205.9,208.85,203.5,204.55
19-03-2024,205.0,206.0,201.0,201.4
20-03-2024,203.0,206.0,197.5,197.95
21-03-2024,200.9,201.1,198.05,198.6
22-03-2024,199.3,202.2,198.0,200.35
26-03-2024,201.5,206.7,199.0,199.45
27-03-2024,199.95,209.65,198.5,202.1
28-03-2024,203.5,204.95,199.0,199.75
01-04-2024,200.5,213.3,200.5,211.05
02-04-2024,210.0,228.2,210.0,226.2
03-04-2024,227.4,229.75,222.55,228.85
04-04-2024,230.0,231.65,227.15,230.2
05-04-2024,229.0,234.05,228.2,233.15
08-04-2024,245.0,246.2,233.6,236.7
09-04-2024,241.0,243.5,237.0,240.05
10-04-2024,240.05,240.25,232.45,233.85
12-04-2024,232.1,238.2,231.7,235.9
15-04-2024,227.0,231.0,224.15,229.5
16-04-2024,229.05,231.75,227.15,230.9
18-04-2024,233.9,239.2,231.85,235.25
19-04-2024,241.05,241.05,232.05,237.65
22-04-2024,239.8,241.35,235.6,239.6
23-04-2024,239.75,241.95,237.45,241.35
24-04-2024,241.5,244.0,231.05,235.7
25-04-2024,238.5,238.9,233.0,235.0
26-04-2024,237.0,237.0,233.55,234.25
29-04-2024,235.95,238.6,232.95,233.45
30-04-2024,235.4,241.4,234.15,239.45
02-05-2024,239.5,243.5,239.5,242.05
03-05-2024,244.95,244.95,240.0,241.7
06-05-2024,242.0,247.8,240.95,244.7
07-05-2024,247.9,252.7,234.0,235.8
08-05-2024,234.0,239.3,232.15,236.2
09-05-2024,235.95,235.95,221.05,222.25
10-05-2024,226.4,226.75,218.9,226.1
13-05-2024,227.05,227.05,218.95,219.7
14-05-2024,221.0,223.0,217.95,220.05
15-05-2024,222.15,224.45,218.7,219.45
16-05-2024,220.95,223.55,220.4,222.65
17-05-2024,223.2,226.3,221.25,224.55
18-05-2024,224.6,229.4,224.6,226.25
21-05-2024,225.2,227.5,223.1,224.0
22-05-2024,224.1,227.5,222.0,224.4
23-05-2024,224.4,225.15,223.0,223.25
24-05-2024,223.5,226.25,222.7,224.0
27-05-2024,223.15,225.9,221.0,221.3
28-05-2024,223.85,225.0,218.85,220.8
29-05-2024,219.5,220.7,217.9,219.25
30-05-2024,220.95,221.0,216.55,217.3
31-05-2024,218.5,220.3,215.3,217.15
03-06-2024,225.0,225.0,215.3,216.1
04-06-2024,216.8,216.8,204.6,209.05
05-06-2024,210.05,215.8,207.5,213.45
06-06-2024,216.0,221.6,215.15,220.75
07-06-2024,224.85,226.8,219.55,220.1
10-06-2024,221.4,223.29,220.1,221.46
11-06-2024,221.45,223.8,219.8,222.17
12-06-2024,222.1,225.9,221.33,225.15
13-06-2024,225.15,232.05,225.15,231.12
14-06-2024,233.0,234.4,230.1,232.99
18-06-2024,235.8,243.0,235.0,242.28
19-06-2024,246.0,246.0,239.33,242.47
20-06-2024,246.1,252.0,245.2,250.52
21-06-2024,254.5,256.45,246.72,250.15
