date,open,high,low,close
22-07-2019,29.0,29.0,28.1,28.7
23-07-2019,28.9,28.9,28.2,28.65
24-07-2019,28.3,29.0,27.65,28.0
25-07-2019,28.0,28.75,27.75,27.8
26-07-2019,28.65,28.65,27.5,27.9
29-07-2019,27.05,28.05,27.0,27.8
30-07-2019,27.45,28.5,26.05,26.5
31-07-2019,26.55,27.5,25.6,26.8
01-08-2019,26.9,27.0,26.5,26.9
02-08-2019,26.55,26.95,26.05,26.45
05-08-2019,26.0,26.45,25.5,26.05
06-08-2019,25.5,27.05,25.5,26.35
07-08-2019,26.15,26.95,25.9,26.0
08-08-2019,25.4,27.95,25.0,25.95
09-08-2019,26.8,27.5,25.75,26.75
13-08-2019,26.4,27.35,25.6,25.8
14-08-2019,25.75,26.25,25.75,25.95
16-08-2019,25.2,27.75,25.15,27.5
19-08-2019,27.55,28.7,26.75,27.75
20-08-2019,27.35,28.5,26.1,27.0
21-08-2019,27.5,27.85,26.1,26.6
22-08-2019,26.45,26.45,25.6,25.9
23-08-2019,26.1,27.3,25.95,27.0
26-08-2019,27.5,27.55,26.35,27.5
27-08-2019,27.4,28.3,26.75,27.9
28-08-2019,28.85,28.85,26.5,26.95
29-08-2019,27.0,27.0,26.5,26.6
30-08-2019,26.95,28.45,26.6,26.95
03-09-2019,27.7,27.7,26.0,26.15
04-09-2019,27.45,27.45,25.15,25.7
05-09-2019,26.55,26.55,25.75,26.3
06-09-2019,26.0,27.5,25.7,26.9
09-09-2019,28.45,28.45,26.15,27.45
11-09-2019,28.0,28.0,27.1,27.35
12-09-2019,27.15,27.5,26.5,26.8
13-09-2019,27.2,27.3,26.5,27.2
16-09-2019,26.55,27.95,26.3,27.55
17-09-2019,28.9,28.95,27.15,27.2
18-09-2019,27.35,28.45,27.1,27.15
19-09-2019,28.35,28.4,26.65,27.4
20-09-2019,27.65,30.7,26.75,27.75
23-09-2019,28.45,28.5,27.4,27.95
24-09-2019,28.75,28.75,27.25,28.15
25-09-2019,27.5,29.0,26.75,28.15
26-09-2019,27.65,28.75,27.3,28.35
27-09-2019,28.3,28.75,27.65,27.95
30-09-2019,27.6,28.8,26.6,27.05
01-10-2019,27.4,28.0,27.0,27.15
03-10-2019,28.65,30.0,26.75,29.25
04-10-2019,29.5,30.0,28.0,28.25
07-10-2019,28.9,28.95,27.65,28.5
09-10-2019,28.9,28.9,27.6,28.05
10-10-2019,28.0,28.3,27.0,27.65
11-10-2019,27.6,28.5,27.5,27.95
14-10-2019,27.9,28.5,26.6,27.55
15-10-2019,27.65,28.2,25.8,26.7
16-10-2019,26.5,26.95,25.75,26.45
17-10-2019,26.8,28.0,25.8,27.7
18-10-2019,28.2,28.75,27.5,28.0
22-10-2019,28.0,28.2,26.2,27.0
23-10-2019,27.65,28.0,27.25,27.75
24-10-2019,28.45,28.45,27.35,27.85
25-10-2019,28.0,28.55,27.6,28.2
27-10-2019,28.25,28.85,28.0,28.1
29-10-2019,28.05,29.5,27.2,29.35
30-10-2019,29.9,29.9,28.05,28.35
31-10-2019,28.75,29.95,27.55,29.25
01-11-2019,29.8,29.8,28.2,28.35
04-11-2019,28.7,30.0,28.0,29.9
05-11-2019,30.0,30.5,28.5,28.65
06-11-2019,27.75,28.95,27.75,28.65
07-11-2019,28.85,28.9,27.5,27.7
08-11-2019,27.75,28.05,27.0,27.25
11-11-2019,27.2,27.95,26.8,26.95
13-11-2019,25.65,27.25,25.65,26.9
14-11-2019,27.0,27.0,25.75,26.6
15-11-2019,26.8,26.9,26.05,26.45
