date,open,high,low,close
22-07-2019,29.2,29.8,28.5,29.0
23-07-2019,29.9,30.0,28.45,29.1
24-07-2019,28.9,29.3,28.3,28.4
25-07-2019,28.0,29.8,27.8,27.85
26-07-2019,27.85,29.55,27.75,28.6
29-07-2019,27.1,28.4,27.1,28.05
30-07-2019,27.0,27.05,24.2,25.35
31-07-2019,24.1,26.95,24.1,26.85
01-08-2019,26.0,26.45,25.0,25.55
02-08-2019,25.0,26.9,24.55,26.25
05-08-2019,24.6,26.25,24.0,26.2
06-08-2019,26.0,26.9,26.0,26.6
07-08-2019,25.75,28.0,25.75,27.75
08-08-2019,27.0,28.5,26.4,28.45
09-08-2019,28.5,29.55,27.2,27.7
13-08-2019,26.6,30.5,26.6,28.9
14-08-2019,29.75,31.75,29.7,31.35
16-08-2019,31.2,35.0,30.55,33.3
19-08-2019,34.8,39.6,34.05,35.05
20-08-2019,36.85,37.4,33.4,36.95
21-08-2019,37.5,37.5,34.25,34.55
22-08-2019,33.75,34.2,32.1,32.15
23-08-2019,31.95,34.8,30.55,31.95
26-08-2019,32.55,34.15,32.0,32.7
27-08-2019,31.8,35.8,31.8,34.0
28-08-2019,34.9,36.0,32.9,33.3
29-08-2019,32.5,33.9,31.65,32.5
30-08-2019,32.2,32.4,30.05,31.6
03-09-2019,31.6,32.85,31.6,31.8
04-09-2019,31.95,31.95,30.6,31.3
05-09-2019,31.35,32.35,31.05,32.25
06-09-2019,32.5,32.5,31.5,32.1
09-09-2019,32.05,35.0,31.7,33.25
11-09-2019,33.15,34.65,32.2,34.2
12-09-2019,33.5,34.0,30.75,33.05
13-09-2019,34.4,34.9,33.8,34.0
16-09-2019,34.4,36.2,34.4,35.9
17-09-2019,37.0,37.0,33.5,34.65
18-09-2019,34.0,36.0,34.0,34.7
19-09-2019,35.95,35.95,32.75,33.5
20-09-2019,34.9,35.5,33.05,34.75
23-09-2019,33.7,36.0,33.7,35.95
24-09-2019,35.0,36.25,34.1,35.4
25-09-2019,35.0,35.35,33.1,33.8
26-09-2019,33.45,35.5,33.45,34.6
27-09-2019,36.0,36.4,34.0,34.15
30-09-2019,36.25,36.25,33.5,34.3
01-10-2019,36.35,36.35,34.0,34.0
03-10-2019,33.5,34.9,33.5,33.6
04-10-2019,33.55,35.0,33.55,33.85
07-10-2019,35.2,35.2,33.0,33.95
09-10-2019,34.75,34.8,33.25,33.35
10-10-2019,33.3,34.95,33.0,33.05
11-10-2019,34.05,34.5,32.1,33.0
14-10-2019,34.3,34.3,32.15,32.75
15-10-2019,32.85,34.0,32.8,33.5
