date,open,high,low,close
24-07-2019,2175.0,2178.7,2140.0,2145.8
25-07-2019,2169.0,2261.95,2154.65,2245.15
26-07-2019,2240.0,2288.65,2210.0,2226.6
29-07-2019,2225.0,2260.0,2210.05,2233.75
30-07-2019,2240.0,2270.0,2215.0,2229.85
31-07-2019,2227.0,2260.0,2196.05,2244.9
01-08-2019,2243.9,2254.45,2210.0,2217.15
02-08-2019,2210.0,2214.85,2173.05,2185.4
05-08-2019,2179.0,2214.95,2146.05,2153.45
06-08-2019,2144.0,2188.0,2141.0,2151.05
07-08-2019,2159.8,2195.0,2148.6,2153.4
08-08-2019,2157.0,2183.0,2150.05,2174.8
09-08-2019,2176.0,2249.95,2175.0,2206.9
13-08-2019,2222.0,2222.0,2142.7,2177.6
14-08-2019,2199.9,2207.95,2118.0,2179.4
16-08-2019,2170.0,2200.9,2170.0,2187.7
19-08-2019,2179.05,2250.0,2159.05,2179.7
20-08-2019,2179.75,2190.0,2116.5,2162.8
21-08-2019,2151.0,2185.0,2130.0,2139.3
22-08-2019,2140.0,2150.95,2039.0,2053.45
23-08-2019,2015.0,2025.05,1905.2,1939.35
26-08-2019,1962.0,1974.9,1831.5,1907.3
27-08-2019,1939.0,2020.0,1881.1,2003.3
28-08-2019,2011.9,2048.0,1970.35,2004.35
29-08-2019,1999.6,2040.0,1981.0,2002.4
30-08-2019,2002.0,2039.35,2002.0,2026.75
03-09-2019,2032.8,2077.0,2005.6,2036.5
04-09-2019,2049.2,2164.9,2018.95,2118.0
05-09-2019,2133.0,2208.95,2120.6,2174.7
06-09-2019,2174.0,2174.0,2024.15,2055.05
09-09-2019,2045.0,2095.0,1986.95,2075.45
11-09-2019,2070.0,2070.0,1950.0,1963.1
12-09-2019,1950.5,1962.75,1840.0,1862.3
13-09-2019,1880.0,1911.0,1835.8,1897.75
16-09-2019,1890.0,1949.7,1861.1,1941.45
17-09-2019,1944.1,1953.55,1916.0,1925.2
18-09-2019,1926.0,1997.95,1897.15,1983.3
19-09-2019,1995.65,2024.7,1920.0,1928.5
20-09-2019,1934.95,2098.0,1910.35,2082.55
23-09-2019,2100.0,2115.0,2048.05,2095.45
24-09-2019,2079.0,2136.0,2062.05,2082.2
25-09-2019,2069.95,2095.0,2020.05,2057.15
26-09-2019,2050.0,2093.85,2049.8,2067.75
27-09-2019,2078.95,2095.0,2026.0,2050.75
30-09-2019,2055.0,2069.0,2000.0,2021.15
01-10-2019,2031.0,2077.0,2001.0,2064.0
03-10-2019,2079.95,2159.0,2075.0,2122.0
04-10-2019,2135.25,2326.4,2135.2,2270.25
07-10-2019,2267.0,2398.15,2238.2,2334.7
09-10-2019,2309.0,2422.0,2292.95,2392.8
10-10-2019,2400.0,2407.75,2270.0,2283.65
11-10-2019,2283.65,2313.95,2227.05,2259.45
14-10-2019,2259.95,2294.1,2220.2,2265.2
15-10-2019,2273.0,2369.0,2253.05,2314.25
16-10-2019,2328.0,2359.95,2240.35,2258.65
17-10-2019,2272.75,2298.0,2263.1,2285.7
18-10-2019,2299.9,2357.55,2286.0,2299.95
22-10-2019,2304.9,2448.0,2285.35,2397.75
23-10-2019,2406.0,2412.75,2315.0,2349.35
24-10-2019,2363.55,2374.0,2300.0,2306.95
25-10-2019,2318.0,2318.0,2245.4,2264.75
27-10-2019,2265.0,2315.0,2265.0,2305.55
29-10-2019,2300.0,2430.0,2300.0,2406.95
30-10-2019,2414.9,2482.6,2370.6,2431.9
31-10-2019,2432.0,2597.4,2406.5,2569.0
01-11-2019,2551.0,2669.8,2528.5,2616.3
04-11-2019,2617.8,2617.8,2511.65,2527.4
05-11-2019,2539.9,2562.0,2444.05,2492.0
06-11-2019,2494.0,2570.35,2474.2,2524.1
07-11-2019,2524.1,2546.15,2461.95,2491.55
08-11-2019,2600.0,2625.0,2483.7,2515.05
11-11-2019,2521.0,2639.1,2516.0,2563.5
13-11-2019,2601.05,2685.0,2571.3,2599.9
14-11-2019,2609.9,2680.0,2585.0,2610.5
15-11-2019,2626.8,2664.5,2595.55,2638.5
18-11-2019,2649.0,2740.0,2649.0,2727.25
19-11-2019,2726.2,2726.2,2580.0,2638.95
20-11-2019,2636.0,2673.75,2531.0,2591.2
21-11-2019,2607.3,2619.95,2553.0,2576.5
22-11-2019,2598.9,2629.95,2568.6,2605.0
25-11-2019,2602.0,2660.0,2579.8,2631.7
26-11-2019,2639.0,2689.0,2500.0,2590.95
27-11-2019,2501.95,2567.0,2479.65,2548.15
28-11-2019,2549.9,2564.4,2524.0,2542.9
29-11-2019,2547.85,2664.0,2534.05,2633.75
02-12-2019,2613.1,2613.1,2490.1,2514.15
03-12-2019,2522.0,2560.0,2511.0,2553.05
04-12-2019,2540.9,2562.45,2368.0,2446.0
05-12-2019,2459.7,2496.0,2435.55,2449.4
06-12-2019,2469.0,2488.0,2435.45,2444.45
09-12-2019,2459.65,2528.85,2459.65,2485.6
10-12-2019,2493.8,2525.0,2480.05,2499.45
11-12-2019,2498.9,2621.65,2486.25,2563.65
12-12-2019,2579.65,2588.0,2506.05,2525.75
13-12-2019,2539.0,2688.9,2530.6,2621.5
16-12-2019,2650.0,2670.4,2612.05,2642.65
17-12-2019,2640.0,2678.0,2583.3,2606.1
18-12-2019,2616.0,2641.85,2585.0,2629.8
19-12-2019,2613.4,2613.4,2555.0,2592.75
20-12-2019,2575.05,2672.0,2561.0,2642.3
23-12-2019,2637.7,2645.0,2576.0,2592.55
24-12-2019,2592.65,2600.05,2552.25,2563.55
26-12-2019,2573.55,2579.55,2511.0,2528.95
27-12-2019,2541.9,2584.4,2532.0,2566.75
30-12-2019,2580.0,2580.0,2527.65,2543.85
31-12-2019,2548.0,2571.0,2521.95,2530.05
01-01-2020,2533.3,2590.0,2530.0,2565.6
02-01-2020,2550.0,2564.45,2521.15,2535.2
03-01-2020,2535.2,2580.0,2533.05,2567.45
06-01-2020,2567.45,2567.45,2501.1,2519.85
07-01-2020,2522.0,2578.0,2522.0,2539.6
08-01-2020,2525.0,2554.0,2523.8,2549.7
09-01-2020,2560.2,2570.0,2535.0,2558.8
10-01-2020,2552.0,2567.45,2521.0,2548.8
13-01-2020,2564.65,2568.0,2478.0,2529.35
14-01-2020,2509.0,2552.0,2505.6,2545.85
15-01-2020,2540.0,2558.0,2493.45,2521.9
16-01-2020,2536.8,2620.0,2470.0,2580.85
17-01-2020,2555.0,2615.0,2555.0,2600.45
20-01-2020,2605.0,2620.0,2569.15,2591.7
21-01-2020,2600.0,2675.0,2525.05,2567.9
22-01-2020,2569.8,2574.4,2504.7,2531.8
23-01-2020,2538.8,2604.0,2530.35,2591.5
24-01-2020,2603.95,2757.45,2597.6,2708.05
27-01-2020,2708.0,2750.0,2671.1,2700.0
28-01-2020,2701.0,2805.1,2701.0,2765.35
29-01-2020,2780.0,2849.85,2780.0,2832.85
30-01-2020,2845.0,2880.0,2785.0,2824.55
31-01-2020,2842.15,2935.0,2825.05,2847.65
01-02-2020,2840.0,2846.95,2641.0,2676.1
03-02-2020,2676.1,2924.25,2675.6,2811.1
04-02-2020,2799.8,2993.1,2799.8,2961.75
05-02-2020,2978.3,3024.0,2935.0,2987.3
06-02-2020,2980.0,3095.2,2960.0,3071.3
07-02-2020,3090.4,3130.0,3040.0,3078.3
10-02-2020,3097.5,3128.0,2980.0,3013.75
11-02-2020,3032.55,3058.0,2961.05,2999.35
12-02-2020,3013.95,3048.95,2933.0,2955.75
13-02-2020,2938.0,2939.95,2829.65,2864.75
14-02-2020,2864.75,2967.0,2820.0,2850.15
17-02-2020,2836.0,2850.0,2772.0,2819.6
18-02-2020,2815.95,2911.05,2751.1,2787.1
19-02-2020,2832.0,2901.15,2808.8,2849.95
20-02-2020,2855.05,2890.0,2825.0,2840.45
24-02-2020,2839.55,2839.55,2694.55,2709.15
25-02-2020,2761.0,2810.0,2631.05,2649.6
26-02-2020,2648.95,2698.0,2550.0,2610.3
27-02-2020,2591.0,2665.0,2555.0,2567.2
28-02-2020,2495.0,2650.0,2323.3,2593.35
02-03-2020,2648.0,2750.0,2628.0,2685.25
03-03-2020,2715.2,2805.0,2714.5,2788.8
04-03-2020,2780.0,2802.55,2640.0,2654.35
05-03-2020,2625.3,2738.0,2558.15,2704.25
06-03-2020,2599.0,2670.0,2550.0,2648.3
09-03-2020,2575.0,2598.2,2520.0,2530.7
11-03-2020,2505.0,2607.5,2465.5,2548.2
12-03-2020,2478.0,2479.0,2350.0,2364.15
13-03-2020,2132.0,2350.0,2131.55,2292.45
16-03-2020,2231.0,2272.1,2172.65,2182.95
17-03-2020,2181.0,2199.95,2069.2,2101.9
18-03-2020,2101.35,2169.5,1970.0,1983.85
19-03-2020,1831.0,2069.8,1740.0,1977.95
20-03-2020,1950.5,2072.0,1856.65,1951.6
23-03-2020,1800.0,1848.4,1581.1,1691.25
24-03-2020,1676.0,1860.0,1674.35,1772.85
25-03-2020,1750.0,1859.5,1700.0,1828.3
26-03-2020,1929.0,2193.95,1855.5,2028.3
27-03-2020,2149.0,2196.0,1980.0,2050.45
30-03-2020,2000.1,2160.0,1900.0,2145.8
31-03-2020,2162.0,2167.25,2017.95,2035.05
01-04-2020,2048.0,2100.6,1981.35,2013.95
03-04-2020,2028.0,2054.1,1931.0,2006.65
07-04-2020,2050.0,2407.95,2050.0,2358.1
08-04-2020,2310.0,2403.85,2202.0,2253.85
09-04-2020,2290.0,2340.55,2205.0,2241.95
13-04-2020,2222.0,2359.9,2140.5,2161.3
15-04-2020,2215.0,2418.0,2186.0,2361.95
16-04-2020,2370.3,2420.0,2326.0,2348.45
17-04-2020,2410.0,2524.0,2410.0,2486.55
20-04-2020,2495.0,2545.85,2369.0,2444.85
21-04-2020,2400.05,2461.0,2363.0,2387.15
22-04-2020,2370.0,2507.45,2370.0,2496.65
23-04-2020,2510.1,2556.0,2410.0,2462.85
24-04-2020,2420.0,2454.95,2303.0,2327.1
27-04-2020,2360.25,2404.9,2302.15,2322.75
28-04-2020,2370.0,2417.6,2289.3,2392.25
29-04-2020,2420.75,2499.75,2405.45,2434.75
30-04-2020,2472.45,2577.5,2419.0,2547.6
04-05-2020,2488.0,2547.55,2461.15,2500.75
05-05-2020,2535.15,2659.0,2525.75,2591.55
06-05-2020,2608.15,2675.0,2583.0,2646.85
07-05-2020,2659.9,2680.0,2560.0,2593.3
08-05-2020,2608.0,2742.15,2583.3,2697.95
11-05-2020,2679.6,2718.65,2550.1,2570.95
12-05-2020,2570.0,2623.85,2500.0,2525.45
13-05-2020,2649.0,2650.0,2575.0,2616.15
14-05-2020,2611.3,2712.5,2577.15,2695.8
15-05-2020,2699.0,2699.0,2575.05,2591.65
18-05-2020,2590.0,2590.0,2205.0,2403.9
19-05-2020,2449.9,2512.25,2415.0,2462.6
20-05-2020,2440.05,2456.1,2316.3,2397.05
21-05-2020,2412.05,2490.0,2405.0,2456.05
