date,open,high,low,close
30-07-2020,55.0,57.75,55.0,57.75
31-07-2020,60.6,60.6,60.6,60.6
03-08-2020,63.65,63.65,60.0,63.3
04-08-2020,63.5,63.5,60.1,60.1
05-08-2020,60.65,60.65,57.1,57.2
06-08-2020,55.0,60.05,54.35,60.05
07-08-2020,60.0,62.5,57.05,60.2
10-08-2020,57.55,63.2,57.5,63.2
11-08-2020,63.0,66.3,63.0,66.3
12-08-2020,69.5,69.6,66.5,69.6
13-08-2020,80.5,83.55,75.1,83.55
14-08-2020,94.4,100.25,90.1,100.25
17-08-2020,107.4,110.3,102.5,110.3
18-08-2020,115.0,121.3,115.0,121.3
19-08-2020,132.0,133.4,128.5,133.4
20-08-2020,140.1,140.1,140.1,140.1
21-08-2020,142.35,142.5,133.1,133.1
24-08-2020,126.4,126.4,126.4,126.4
25-08-2020,120.1,120.1,120.1,120.1
26-08-2020,114.1,114.1,114.1,114.1
27-08-2020,108.4,108.4,108.4,108.4
28-08-2020,103.0,113.8,103.0,103.3
31-08-2020,98.8,107.2,98.1,98.1
01-09-2020,94.1,96.0,93.2,93.2
02-09-2020,88.6,92.0,88.6,88.6
03-09-2020,85.8,93.0,85.0,90.4
04-09-2020,86.05,89.5,85.9,86.0
07-09-2020,86.35,86.35,82.1,83.25
08-09-2020,83.2,83.2,79.1,79.1
09-09-2020,75.15,78.65,75.15,75.65
10-09-2020,76.95,76.95,71.9,72.2
11-09-2020,71.7,74.0,70.1,71.9
14-09-2020,70.6,74.5,70.6,72.6
15-09-2020,76.2,76.2,73.1,76.2
16-09-2020,79.4,80.0,79.4,80.0
17-09-2020,84.0,84.0,84.0,84.0
18-09-2020,87.45,88.2,80.8,85.0
21-09-2020,84.2,84.2,80.8,80.8
22-09-2020,76.75,76.75,76.75,76.75
23-09-2020,73.5,75.5,72.9,72.9
24-09-2020,69.3,69.3,69.3,69.3
25-09-2020,67.05,71.85,65.85,69.8
28-09-2020,69.8,72.95,66.8,72.3
29-09-2020,72.3,73.45,69.0,69.9
30-09-2020,67.5,70.9,66.45,66.85
01-10-2020,66.85,70.0,63.55,64.8
05-10-2020,67.5,67.5,65.1,65.9
06-10-2020,66.55,67.5,64.2,66.5
07-10-2020,67.0,67.0,64.5,64.9
08-10-2020,62.5,66.0,62.5,63.7
09-10-2020,65.55,65.8,62.5,63.35
12-10-2020,66.0,67.4,62.5,62.9
13-10-2020,61.0,66.5,60.0,63.65
14-10-2020,65.6,65.6,61.0,63.2
15-10-2020,61.7,64.9,61.0,62.45
16-10-2020,62.5,64.7,61.0,62.4
19-10-2020,64.2,64.2,60.3,61.65
20-10-2020,61.5,63.0,60.55,61.5
21-10-2020,63.3,64.0,60.5,62.7
22-10-2020,61.0,63.0,61.0,62.7
