date,open,high,low,close
22-07-2019,114.5,114.6,114.3,114.3
23-07-2019,114.77,114.96,114.4,114.4
24-07-2019,114.0,114.0,113.75,113.75
25-07-2019,113.87,113.87,113.75,113.75
26-07-2019,113.54,114.11,113.54,114.11
29-07-2019,113.3,113.3,112.44,112.58
30-07-2019,113.19,113.19,112.14,112.14
31-07-2019,111.55,111.55,111.55,111.55
01-08-2019,111.3,111.3,110.68,110.68
02-08-2019,111.32,111.36,111.12,111.36
05-08-2019,111.0,111.0,109.0,110.27
06-08-2019,110.78,110.78,110.78,110.78
08-08-2019,110.16,110.16,110.16,110.16
09-08-2019,112.13,112.13,112.13,112.13
13-08-2019,112.05,112.05,111.13,111.13
14-08-2019,111.19,111.19,111.19,111.19
16-08-2019,111.11,111.81,110.92,111.4
19-08-2019,112.62,112.62,112.21,112.21
20-08-2019,111.65,111.65,111.65,111.65
22-08-2019,110.3,110.3,108.4,108.4
23-08-2019,108.3,109.04,107.88,109.04
26-08-2019,109.3,111.55,109.3,111.55
28-08-2019,111.94,111.94,111.94,111.94
29-08-2019,111.32,111.32,110.37,110.37
30-08-2019,111.03,111.03,109.82,109.82
03-09-2019,110.0,110.0,110.0,110.0
04-09-2019,109.3,109.84,108.44,109.84
09-09-2019,111.0,111.46,110.97,111.46
11-09-2019,111.91,111.91,111.32,111.76
13-09-2019,111.37,111.76,111.27,111.76
17-09-2019,110.37,110.37,109.07,109.07
19-09-2019,108.7,108.7,108.02,108.02
20-09-2019,108.52,108.52,108.52,108.52
23-09-2019,111.0,117.57,111.0,117.2
24-09-2019,117.87,117.87,117.2,117.2
25-09-2019,117.0,117.0,115.88,116.1
26-09-2019,117.19,117.19,116.41,116.74
30-09-2019,116.21,116.21,116.21,116.21
01-10-2019,115.3,115.3,114.74,114.74
07-10-2019,113.67,113.67,112.18,112.18
09-10-2019,112.82,112.82,112.82,112.82
10-10-2019,114.23,114.23,114.23,114.23
11-10-2019,114.09,114.09,114.09,114.09
15-10-2019,115.12,115.12,115.12,115.12
