date,open,high,low,close
22-07-2019,145.35,148.5,140.9,143.0
23-07-2019,143.5,145.0,138.0,142.8
24-07-2019,144.8,147.5,122.5,128.0
25-07-2019,132.5,143.0,129.0,138.75
26-07-2019,137.1,147.5,137.1,144.7
29-07-2019,145.0,153.0,143.0,149.7
30-07-2019,150.5,151.2,143.35,147.8
31-07-2019,145.0,152.4,145.0,148.85
01-08-2019,145.5,149.0,141.1,142.4
02-08-2019,140.0,146.75,139.1,146.0
05-08-2019,140.5,149.7,140.5,149.05
06-08-2019,148.5,149.7,146.1,147.8
07-08-2019,147.8,150.7,147.05,148.5
08-08-2019,147.5,148.9,144.8,145.5
09-08-2019,145.5,150.5,144.4,149.7
13-08-2019,149.5,151.55,145.1,146.9
14-08-2019,147.5,150.0,141.6,147.35
16-08-2019,147.35,150.1,145.0,149.65
19-08-2019,149.75,150.3,148.1,149.6
20-08-2019,149.2,150.3,147.4,150.1
21-08-2019,147.6,150.0,147.5,148.7
22-08-2019,149.0,149.0,144.5,145.5
23-08-2019,146.0,146.2,141.0,145.1
26-08-2019,148.0,148.0,142.5,145.3
27-08-2019,147.5,148.75,142.6,145.0
28-08-2019,146.3,146.3,141.5,142.9
29-08-2019,142.5,145.0,141.5,142.4
30-08-2019,143.1,145.6,140.5,142.6
03-09-2019,144.95,144.95,137.0,138.9
04-09-2019,143.0,145.0,137.0,141.35
05-09-2019,139.75,142.5,138.7,141.9
06-09-2019,144.5,145.2,140.0,144.8
09-09-2019,144.8,144.8,139.55,141.0
11-09-2019,140.0,142.4,138.7,139.7
12-09-2019,139.5,142.5,139.5,140.9
13-09-2019,139.05,141.95,137.5,138.0
16-09-2019,137.0,139.95,135.6,136.7
17-09-2019,139.8,139.8,130.0,131.5
18-09-2019,132.5,135.0,132.0,134.7
19-09-2019,137.0,137.45,131.0,132.2
20-09-2019,132.5,135.7,130.0,130.55
23-09-2019,132.5,135.5,130.0,131.7
24-09-2019,131.25,135.0,131.1,134.3
25-09-2019,134.3,135.0,132.5,133.8
26-09-2019,132.6,137.5,132.6,135.7
27-09-2019,137.4,137.4,135.1,136.15
30-09-2019,137.0,137.0,133.0,133.55
01-10-2019,136.9,137.0,131.55,132.5
03-10-2019,135.0,135.0,131.7,132.3
04-10-2019,134.5,136.0,133.0,134.3
07-10-2019,135.0,137.0,132.5,133.15
09-10-2019,135.0,135.5,132.5,133.7
10-10-2019,135.0,135.5,133.5,134.4
11-10-2019,134.5,135.0,132.55,134.1
14-10-2019,135.0,136.0,133.0,133.6
15-10-2019,134.7,134.8,132.5,132.7
16-10-2019,134.4,135.5,132.6,134.55
17-10-2019,134.9,134.9,133.0,133.9
18-10-2019,133.5,134.5,132.85,133.85
22-10-2019,132.55,133.9,123.0,124.8
23-10-2019,125.95,125.95,99.85,100.1
24-10-2019,102.5,105.0,88.05,89.8
25-10-2019,90.3,93.9,89.0,90.35
27-10-2019,91.8,91.8,81.8,89.3
29-10-2019,91.5,91.7,88.55,89.3
30-10-2019,90.0,94.25,89.0,89.65
31-10-2019,90.0,91.1,87.8,88.35
01-11-2019,88.45,92.5,87.5,90.8
04-11-2019,92.5,93.0,89.0,89.6
05-11-2019,90.5,94.75,89.5,91.95
06-11-2019,90.75,94.1,90.75,93.1
07-11-2019,93.1,102.4,92.5,101.05
08-11-2019,101.4,104.3,99.8,101.65
11-11-2019,101.0,102.0,98.0,98.9
13-11-2019,100.0,100.0,92.5,93.15
14-11-2019,93.05,96.5,92.0,93.0
15-11-2019,94.85,97.0,93.75,94.7
18-11-2019,95.0,95.6,91.1,92.2
19-11-2019,92.0,93.85,90.5,91.0
20-11-2019,91.4,91.4,82.6,87.0
21-11-2019,89.45,92.4,86.0,91.4
22-11-2019,91.8,94.45,90.0,93.8
25-11-2019,92.7,93.8,91.1,93.0
26-11-2019,92.5,93.4,92.3,92.8
27-11-2019,93.45,94.1,92.15,92.7
28-11-2019,92.7,94.0,91.05,92.5
29-11-2019,93.95,97.5,93.9,96.55
02-12-2019,100.0,101.7,97.1,99.55
03-12-2019,100.0,100.0,96.55,97.6
04-12-2019,97.1,98.85,95.15,97.9
05-12-2019,97.75,99.2,96.6,98.1
06-12-2019,99.0,101.0,95.5,97.5
09-12-2019,97.5,99.7,94.25,95.5
10-12-2019,94.5,100.6,94.3,97.5
11-12-2019,98.25,98.25,94.5,96.5
12-12-2019,99.5,99.5,94.4,98.9
13-12-2019,99.5,99.5,97.0,98.9
16-12-2019,98.5,99.2,95.05,95.9
17-12-2019,96.0,97.4,95.1,97.1
18-12-2019,98.7,100.0,97.6,99.7
19-12-2019,99.5,100.5,95.5,98.3
20-12-2019,98.5,100.5,97.2,99.75
23-12-2019,98.65,99.8,97.3,98.3
24-12-2019,99.0,99.2,97.2,98.3
26-12-2019,99.7,100.0,97.5,98.3
27-12-2019,97.5,99.4,97.5,97.6
30-12-2019,96.3,98.7,96.3,97.3
31-12-2019,98.45,99.5,96.9,97.5
01-01-2020,99.4,99.4,95.8,97.5
02-01-2020,97.5,99.5,96.6,97.6
03-01-2020,99.4,99.5,97.5,99.3
06-01-2020,97.5,101.5,97.5,98.75
07-01-2020,98.5,99.6,98.0,98.4
08-01-2020,98.0,98.5,97.5,97.5
09-01-2020,98.0,100.5,98.0,98.9
10-01-2020,99.0,101.6,99.0,100.05
13-01-2020,100.5,100.5,99.5,99.7
14-01-2020,100.0,101.5,99.0,99.95
15-01-2020,101.45,105.5,99.2,101.95
16-01-2020,102.5,103.0,100.3,100.8
17-01-2020,102.2,103.8,100.0,102.9
20-01-2020,103.0,104.5,100.75,102.25
21-01-2020,101.1,121.85,98.3,119.65
22-01-2020,118.85,122.5,112.0,115.85
23-01-2020,115.95,124.9,114.0,120.1
24-01-2020,120.5,123.25,118.75,120.2
27-01-2020,116.25,122.35,116.0,117.2
28-01-2020,117.3,118.45,111.15,114.8
29-01-2020,117.4,120.8,114.05,117.25
30-01-2020,119.0,119.0,115.0,115.6
31-01-2020,115.75,117.0,111.0,112.5
01-02-2020,111.5,114.4,106.5,110.7
03-02-2020,109.5,113.0,105.5,110.8
04-02-2020,111.5,113.7,110.3,112.4
05-02-2020,109.0,112.0,109.0,109.9
06-02-2020,109.9,111.0,106.8,108.0
07-02-2020,107.5,111.85,107.5,111.0
10-02-2020,111.05,111.05,107.0,107.9
11-02-2020,109.45,110.0,105.6,106.6
12-02-2020,107.0,107.5,101.0,101.95
13-02-2020,102.25,105.0,102.25,103.5
14-02-2020,100.8,104.3,100.5,101.7
17-02-2020,103.4,103.45,96.5,97.5
18-02-2020,97.5,100.1,97.5,99.95
19-02-2020,100.0,100.6,98.1,99.0
20-02-2020,98.15,109.5,98.15,105.95
24-02-2020,105.4,110.1,103.0,103.3
25-02-2020,103.85,105.3,100.1,102.0
26-02-2020,102.5,107.5,98.4,99.0
27-02-2020,99.0,101.95,98.1,101.1
28-02-2020,99.5,99.7,96.0,98.35
02-03-2020,99.0,102.2,95.0,97.15
03-03-2020,101.0,103.5,98.5,99.6
04-03-2020,101.0,103.0,96.6,97.6
05-03-2020,97.6,98.65,90.0,95.9
06-03-2020,92.6,99.7,90.05,98.65
09-03-2020,95.5,95.5,85.55,90.3
11-03-2020,90.4,91.1,89.0,89.3
12-03-2020,90.0,90.0,75.9,78.85
13-03-2020,71.4,92.35,63.1,71.75
16-03-2020,66.5,70.0,62.65,68.95
17-03-2020,67.8,82.5,66.0,67.3
18-03-2020,68.75,72.4,60.0,60.9
19-03-2020,54.0,63.4,50.5,53.1
20-03-2020,53.0,57.5,52.5,53.3
23-03-2020,50.0,55.0,48.0,49.2
24-03-2020,48.5,51.45,48.5,50.05
25-03-2020,48.5,52.55,48.5,51.5
26-03-2020,51.55,56.65,51.55,53.7
27-03-2020,57.5,57.5,53.05,54.65
30-03-2020,50.5,57.5,50.5,51.5
