date,open,high,low,close
05-02-2024,58.0,66.07,58.0,62.89
06-02-2024,58.8,66.14,58.8,66.14
07-02-2024,66.06,66.06,66.06,66.06
08-02-2024,66.07,66.07,66.06,66.06
09-02-2024,66.1,66.1,66.1,66.1
12-02-2024,66.08,66.08,66.0,66.0
13-02-2024,65.96,65.96,65.96,65.96
14-02-2024,66.03,66.03,66.0,66.0
15-02-2024,66.01,66.01,54.5,64.49
16-02-2024,65.9,65.9,64.0,64.0
19-02-2024,65.6,65.6,63.9,64.03
20-02-2024,54.5,66.03,54.5,65.73
21-02-2024,65.73,66.0,64.42,66.0
22-02-2024,66.01,66.01,65.0,66.0
23-02-2024,55.5,58.5,55.15,55.36
26-02-2024,56.52,56.52,55.2,55.23
27-02-2024,56.52,56.52,55.01,55.15
28-02-2024,55.15,55.86,53.89,55.13
29-02-2024,56.5,56.5,54.6,54.82
01-03-2024,54.0,56.22,54.0,55.85
02-03-2024,56.0,56.0,56.0,56.0
04-03-2024,56.87,56.87,53.2,55.7
05-03-2024,56.7,56.7,55.0,55.91
06-03-2024,55.93,55.93,54.8,54.89
07-03-2024,56.26,56.42,54.8,55.89
11-03-2024,56.84,56.84,55.2,55.89
12-03-2024,56.1,56.1,55.0,55.74
13-03-2024,54.95,55.67,54.95,55.67
14-03-2024,55.74,55.75,55.74,55.75
15-03-2024,55.75,55.75,55.54,55.54
18-03-2024,55.54,55.54,54.85,55.5
19-03-2024,55.5,55.5,54.41,54.43
20-03-2024,54.9,55.48,54.85,55.48
21-03-2024,55.48,55.48,54.85,55.46
22-03-2024,55.0,55.4,55.0,55.0
26-03-2024,55.85,55.85,55.0,55.0
27-03-2024,55.0,55.0,54.01,54.98
28-03-2024,55.0,56.5,55.0,56.19
01-04-2024,56.19,56.19,54.8,55.87
02-04-2024,56.05,56.09,54.8,55.66
03-04-2024,55.66,56.15,55.0,55.95
04-04-2024,55.92,55.94,55.41,55.94
05-04-2024,55.4,56.0,55.01,55.95
08-04-2024,55.4,56.8,54.68,55.7
09-04-2024,55.9,56.85,55.01,56.3
10-04-2024,55.91,56.2,55.5,55.79
12-04-2024,55.85,56.15,55.2,56.15
15-04-2024,56.15,56.15,55.01,56.1
16-04-2024,55.4,56.09,54.86,55.87
18-04-2024,56.12,56.12,54.86,55.02
19-04-2024,55.02,56.09,55.02,56.09
22-04-2024,56.09,56.09,54.85,55.89
24-04-2024,55.4,55.88,55.0,55.79
25-04-2024,55.2,55.76,55.0,55.07
26-04-2024,55.4,55.97,55.0,55.85
29-04-2024,56.12,56.12,54.7,55.91
30-04-2024,56.8,56.8,55.0,55.09
02-05-2024,55.4,56.03,55.0,55.8
03-05-2024,55.25,55.79,55.25,55.25
06-05-2024,56.48,56.48,55.25,55.25
07-05-2024,56.11,56.11,55.5,55.51
08-05-2024,55.51,56.12,55.5,55.5
09-05-2024,55.5,56.1,55.5,55.5
10-05-2024,55.5,56.08,55.5,55.5
13-05-2024,55.5,56.0,55.5,55.99
14-05-2024,55.5,56.12,55.5,55.98
15-05-2024,55.98,56.2,55.5,55.66
16-05-2024,55.5,56.0,55.5,56.0
21-05-2024,56.0,56.0,55.5,56.0
22-05-2024,56.0,56.1,55.75,55.75
23-05-2024,56.1,56.1,55.7,55.81
24-05-2024,55.81,56.12,55.7,56.07
27-05-2024,55.75,55.75,55.75,55.75
28-05-2024,55.7,56.5,55.7,55.7
29-05-2024,56.5,56.5,55.7,56.5
30-05-2024,56.5,56.5,55.8,56.5
31-05-2024,56.0,56.5,55.8,56.5
03-06-2024,55.8,56.44,55.8,55.92
04-06-2024,55.8,57.55,55.8,55.8
05-06-2024,55.8,56.5,55.8,55.8
06-06-2024,56.5,56.5,55.8,55.8
07-06-2024,55.8,56.5,55.8,56.5
10-06-2024,56.5,56.5,55.81,56.5
11-06-2024,56.5,56.5,56.5,56.5
12-06-2024,56.5,56.5,55.8,56.5
13-06-2024,56.5,56.5,55.8,56.5
14-06-2024,56.01,56.63,56.0,56.0
18-06-2024,56.1,56.1,56.1,56.1
19-06-2024,56.11,56.65,56.1,56.64
20-06-2024,56.1,56.64,56.1,56.63
21-06-2024,56.64,56.64,56.1,56.63
