date,open,high,low,close
22-07-2019,117.94,119.9,116.67,117.13
23-07-2019,117.55,117.81,116.61,116.83
24-07-2019,117.0,117.12,116.2,116.73
25-07-2019,116.35,117.68,116.35,116.74
26-07-2019,116.62,117.0,116.1,116.89
29-07-2019,116.81,116.88,115.58,116.18
30-07-2019,116.1,116.46,114.8,114.93
31-07-2019,115.0,115.14,114.0,114.7
01-08-2019,114.25,114.5,112.78,113.86
02-08-2019,113.7,114.9,112.39,113.92
05-08-2019,113.92,113.92,111.8,112.75
06-08-2019,112.75,113.98,112.35,113.21
07-08-2019,113.0,113.5,109.0,112.68
08-08-2019,113.27,114.45,112.47,114.11
09-08-2019,113.0,115.48,113.0,115.06
13-08-2019,115.0,115.5,110.5,113.29
14-08-2019,113.4,114.83,112.99,114.17
16-08-2019,114.0,114.5,113.01,114.4
19-08-2019,113.25,115.19,113.25,113.89
20-08-2019,114.3,114.5,113.65,114.0
21-08-2019,114.0,114.25,113.1,113.35
22-08-2019,113.09,113.09,111.33,111.53
23-08-2019,111.14,113.0,110.5,112.76
26-08-2019,115.0,117.3,111.64,114.42
27-08-2019,114.19,115.38,114.05,114.88
28-08-2019,114.7,115.1,113.75,114.15
29-08-2019,115.0,115.0,113.4,113.98
30-08-2019,113.95,114.4,112.75,113.58
03-09-2019,111.3,113.42,111.0,111.82
04-09-2019,112.0,112.81,111.68,112.5
05-09-2019,112.81,113.3,111.98,112.41
06-09-2019,112.5,113.35,112.1,112.9
09-09-2019,113.0,114.19,112.4,113.52
11-09-2019,114.05,114.45,113.5,114.22
12-09-2019,114.0,114.9,113.7,113.72
13-09-2019,113.72,114.5,113.05,114.33
16-09-2019,114.27,114.49,113.46,113.95
17-09-2019,113.5,113.86,111.85,112.15
18-09-2019,112.7,112.85,111.9,112.26
19-09-2019,112.35,112.4,110.94,111.07
20-09-2019,113.0,117.4,110.8,116.37
23-09-2019,120.0,125.0,118.0,120.59
24-09-2019,120.59,123.0,119.31,119.93
25-09-2019,118.55,119.95,118.55,118.88
26-09-2019,119.2,120.25,119.2,119.62
27-09-2019,120.0,120.15,119.3,119.52
30-09-2019,119.56,119.7,118.23,119.46
01-10-2019,119.51,120.0,117.0,117.49
03-10-2019,117.01,117.79,116.5,117.08
04-10-2019,117.4,117.9,115.95,116.03
07-10-2019,116.15,116.7,115.36,115.82
09-10-2019,118.1,128.6,115.25,116.97
10-10-2019,116.82,117.08,116.06,116.45
11-10-2019,116.69,117.47,115.81,116.7
14-10-2019,117.0,117.9,116.8,117.31
15-10-2019,117.6,118.4,117.3,118.0
16-10-2019,115.6,118.7,105.0,118.18
17-10-2019,118.02,119.64,118.02,119.49
18-10-2019,118.95,121.0,118.95,120.36
22-10-2019,120.61,121.0,119.75,119.98
23-10-2019,120.0,120.5,119.5,119.6
24-10-2019,120.06,120.78,119.5,119.91
25-10-2019,119.99,120.6,119.5,120.34
27-10-2019,121.11,121.11,119.91,120.29
29-10-2019,120.16,122.0,120.12,121.74
30-10-2019,121.7,122.68,121.7,122.12
31-10-2019,122.39,123.2,122.2,122.52
01-11-2019,122.5,123.68,122.26,122.84
04-11-2019,123.17,123.89,122.49,123.28
05-11-2019,123.1,123.55,122.6,123.22
06-11-2019,123.0,124.0,122.56,123.59
07-11-2019,123.6,124.3,123.5,124.0
08-11-2019,123.8,124.65,123.0,123.27
11-11-2019,123.11,123.72,122.47,123.19
13-11-2019,123.39,123.55,122.17,122.34
14-11-2019,122.68,123.0,121.9,122.48
15-11-2019,124.9,125.0,122.52,123.09
18-11-2019,123.31,123.32,122.74,122.77
19-11-2019,123.3,123.5,122.55,123.36
20-11-2019,120.9,125.8,109.8,123.78
21-11-2019,124.0,124.4,122.15,123.9
22-11-2019,123.9,123.9,122.9,122.99
25-11-2019,123.23,124.62,122.92,124.57
26-11-2019,124.65,124.95,124.04,124.74
27-11-2019,124.62,124.97,124.6,124.86
28-11-2019,124.74,126.45,124.74,126.3
29-11-2019,126.22,126.22,124.8,125.34
02-12-2019,124.81,125.56,123.75,125.01
03-12-2019,125.05,125.05,123.67,124.19
04-12-2019,126.7,129.2,123.7,124.75
05-12-2019,125.99,125.99,124.02,124.28
06-12-2019,124.77,124.8,123.65,124.25
09-12-2019,126.7,129.2,123.5,123.94
10-12-2019,125.9,125.9,122.58,123.21
11-12-2019,124.0,124.0,122.8,123.11
12-12-2019,123.11,124.57,123.11,123.95
13-12-2019,124.24,125.45,124.21,125.12
16-12-2019,125.0,125.48,124.6,124.77
17-12-2019,124.8,125.86,124.8,125.73
18-12-2019,125.95,126.3,125.56,126.15
19-12-2019,126.35,126.5,125.72,126.39
20-12-2019,126.39,126.78,126.39,126.49
23-12-2019,140.4,149.3,126.1,126.44
24-12-2019,126.4,126.97,126.1,126.37
26-12-2019,127.39,127.39,125.05,125.4
27-12-2019,125.5,127.0,125.2,126.56
30-12-2019,129.1,130.0,126.49,127.46
31-12-2019,126.6,127.46,126.25,126.82
01-01-2020,127.79,130.0,125.89,126.47
02-01-2020,135.3,135.3,126.41,127.01
03-01-2020,127.01,132.46,126.14,126.33
06-01-2020,126.0,126.38,124.45,124.65
07-01-2020,124.71,126.3,124.71,125.24
08-01-2020,125.24,125.24,123.91,124.82
09-01-2020,125.59,126.74,125.55,126.47
10-01-2020,127.05,127.5,126.45,126.72
13-01-2020,127.14,127.69,127.14,127.5
14-01-2020,128.5,128.5,127.28,127.87
15-01-2020,127.7,128.0,127.2,127.98
16-01-2020,136.9,139.5,116.5,127.84
17-01-2020,127.84,128.34,127.48,128.09
20-01-2020,128.09,128.09,126.91,127.02
21-01-2020,127.02,127.07,126.05,126.25
22-01-2020,126.95,126.95,125.5,125.74
23-01-2020,125.95,126.61,125.4,126.35
24-01-2020,126.07,127.4,125.79,127.33
27-01-2020,126.53,126.95,125.65,126.09
28-01-2020,127.38,127.38,125.0,125.27
29-01-2020,125.9,126.29,125.02,125.68
30-01-2020,125.4,125.65,124.6,125.36
31-01-2020,125.5,125.54,123.99,124.0
01-02-2020,123.81,125.0,122.31,122.77
03-02-2020,121.64,122.18,121.1,121.33
04-02-2020,123.48,124.5,122.0,124.38
05-02-2020,124.4,125.5,124.0,125.25
06-02-2020,125.31,125.95,125.14,125.6
07-02-2020,125.12,125.95,125.01,125.44
10-02-2020,125.44,125.44,124.16,124.69
11-02-2020,124.89,126.15,124.89,125.48
12-02-2020,126.0,128.7,125.9,126.6
13-02-2020,126.55,126.55,125.72,126.01
14-02-2020,126.9,126.9,125.1,125.29
17-02-2020,131.8,131.8,124.73,125.2
18-02-2020,124.7,124.79,123.77,124.41
19-02-2020,125.35,125.74,124.76,125.69
20-02-2020,125.69,125.75,125.04,125.44
24-02-2020,127.9,130.5,122.75,123.09
25-02-2020,123.1,123.5,122.48,122.56
26-02-2020,122.0,122.3,120.77,121.39
27-02-2020,121.2,121.2,120.15,120.55
28-02-2020,119.5,119.5,116.15,116.78
02-03-2020,118.28,118.59,116.23,116.79
03-03-2020,119.1,121.5,116.15,117.43
04-03-2020,117.34,117.78,115.5,116.87
