date,open,high,low,close
23-07-2019,76.1,76.1,74.4,74.4
24-07-2019,76.0,76.0,74.4,74.4
25-07-2019,75.2,75.2,75.2,75.2
26-07-2019,78.0,78.0,76.0,76.0
29-07-2019,76.0,77.55,76.0,77.55
30-07-2019,78.3,81.0,76.8,79.05
31-07-2019,80.0,81.6,78.0,80.7
01-08-2019,83.6,83.6,80.0,80.8
02-08-2019,83.2,85.1,80.1,80.1
05-08-2019,80.0,80.0,77.7,77.7
06-08-2019,79.2,79.7,79.2,79.7
07-08-2019,79.2,79.2,79.2,79.2
09-08-2019,78.4,82.4,78.4,82.4
13-08-2019,79.2,79.2,78.55,78.55
14-08-2019,79.2,79.2,79.2,79.2
16-08-2019,79.6,79.6,79.6,79.6
19-08-2019,79.2,79.2,77.6,77.6
20-08-2019,79.2,79.2,78.8,78.8
21-08-2019,78.8,79.75,78.4,79.3
22-08-2019,79.2,79.2,77.6,77.6
23-08-2019,78.4,78.4,78.4,78.4
26-08-2019,78.8,78.8,78.8,78.8
27-08-2019,78.4,78.4,78.4,78.4
28-08-2019,78.4,80.8,78.4,80.8
29-08-2019,79.2,79.2,79.2,79.2
06-09-2019,77.6,77.6,77.6,77.6
12-09-2019,77.6,77.6,77.6,77.6
17-09-2019,77.6,77.6,75.3,75.3
23-09-2019,75.2,76.0,73.6,73.6
24-09-2019,73.6,73.6,73.6,73.6
25-09-2019,74.4,74.4,74.4,74.4
27-09-2019,75.2,77.6,75.2,76.4
09-10-2019,77.0,77.0,77.0,77.0
10-10-2019,78.0,78.0,78.0,78.0
11-10-2019,77.0,77.0,77.0,77.0
14-10-2019,76.0,76.0,76.0,76.0
15-10-2019,76.0,76.0,76.0,76.0
22-10-2019,78.0,78.0,78.0,78.0
27-10-2019,75.0,75.0,75.0,75.0
30-10-2019,74.0,74.0,74.0,74.0
01-11-2019,74.0,74.0,74.0,74.0
06-11-2019,72.05,72.05,72.05,72.05
13-11-2019,71.0,71.0,71.0,71.0
14-11-2019,70.0,70.0,70.0,70.0
15-11-2019,66.5,70.0,66.5,69.0
08-01-2020,67.0,67.0,67.0,67.0
09-01-2020,66.0,66.0,66.0,66.0
10-01-2020,65.0,65.0,65.0,65.0
13-01-2020,64.0,64.0,64.0,64.0
04-02-2020,62.0,62.0,62.0,62.0
06-02-2020,61.0,64.95,61.0,64.95
07-02-2020,65.0,65.0,65.0,65.0
14-02-2020,62.0,62.0,62.0,62.0
18-02-2020,61.0,61.0,61.0,61.0
