date,open,high,low,close
22-07-2019,166.35,168.0,147.05,160.0
23-07-2019,160.05,192.0,160.05,192.0
24-07-2019,204.9,223.7,204.9,211.25
25-07-2019,202.2,204.4,181.0,183.6
26-07-2019,183.5,194.85,183.5,187.85
29-07-2019,180.1,183.6,175.05,176.7
30-07-2019,178.0,180.0,156.1,160.2
31-07-2019,168.95,177.0,160.0,167.15
01-08-2019,173.8,179.0,168.0,170.7
02-08-2019,173.5,173.7,169.0,171.05
05-08-2019,166.1,169.5,156.35,167.7
06-08-2019,166.0,199.6,165.1,182.3
07-08-2019,182.5,191.0,176.1,180.35
08-08-2019,179.05,185.65,176.6,177.9
09-08-2019,184.95,187.7,178.1,185.1
13-08-2019,185.5,187.95,173.9,176.4
14-08-2019,176.6,184.7,176.6,180.85
16-08-2019,180.05,184.0,178.0,181.15
19-08-2019,187.05,187.15,175.2,177.35
20-08-2019,185.05,185.05,174.55,175.35
21-08-2019,176.85,176.95,169.2,170.65
22-08-2019,169.0,172.55,160.0,160.4
23-08-2019,160.05,169.85,159.0,167.6
26-08-2019,179.8,188.0,170.05,186.85
27-08-2019,186.9,224.2,186.8,224.2
28-08-2019,229.0,233.8,207.6,210.85
29-08-2019,206.25,222.95,204.4,215.7
30-08-2019,221.95,232.0,212.5,216.6
03-09-2019,211.0,216.6,201.0,202.6
04-09-2019,202.0,209.9,198.25,202.65
05-09-2019,203.0,209.0,198.6,203.6
06-09-2019,211.5,225.0,208.0,220.2
09-09-2019,222.5,249.9,215.0,243.55
11-09-2019,256.0,289.9,245.0,276.3
12-09-2019,281.9,298.8,271.0,275.1
13-09-2019,284.8,284.8,254.0,261.1
16-09-2019,261.15,267.4,251.1,259.1
17-09-2019,255.65,269.8,251.3,253.1
18-09-2019,258.0,263.4,241.05,256.7
19-09-2019,262.5,274.65,254.1,258.0
20-09-2019,268.0,268.0,257.05,264.7
23-09-2019,269.0,273.45,258.2,270.6
24-09-2019,266.0,274.0,262.05,264.45
25-09-2019,269.85,273.95,260.35,268.25
26-09-2019,276.2,291.0,276.2,280.15
27-09-2019,282.0,286.45,276.5,282.2
30-09-2019,283.2,292.0,280.3,282.6
01-10-2019,283.0,284.25,263.1,269.95
03-10-2019,266.0,266.0,243.0,245.05
04-10-2019,244.0,249.85,229.25,233.55
07-10-2019,232.0,232.95,221.25,226.3
09-10-2019,239.95,239.95,221.35,224.75
10-10-2019,233.75,233.75,223.0,224.75
11-10-2019,232.95,232.95,221.2,225.85
14-10-2019,223.0,237.95,221.0,223.4
15-10-2019,230.95,230.95,221.1,225.25
16-10-2019,229.9,238.45,221.6,231.9
17-10-2019,231.9,234.0,225.1,227.9
18-10-2019,228.55,239.85,228.3,234.9
22-10-2019,242.0,248.9,228.15,230.25
23-10-2019,249.7,249.7,215.3,223.6
24-10-2019,231.95,234.0,223.25,230.4
25-10-2019,225.15,236.0,225.15,230.05
27-10-2019,238.6,238.6,217.25,232.2
29-10-2019,230.0,236.9,229.0,232.85
30-10-2019,231.0,240.05,228.95,235.65
31-10-2019,232.3,239.0,230.0,233.1
01-11-2019,236.0,236.0,225.45,228.7
04-11-2019,229.0,235.0,226.3,231.1
