date,open,high,low,close
20-02-2023,30.25,31.75,30.25,31.75
21-02-2023,33.3,33.3,33.3,33.3
22-02-2023,34.95,34.95,34.0,34.95
23-02-2023,35.6,36.2,33.4,33.55
24-02-2023,33.65,33.95,31.9,31.95
27-02-2023,31.35,33.5,30.4,32.5
28-02-2023,32.4,33.75,32.2,33.35
01-03-2023,33.5,35.0,32.4,35.0
02-03-2023,36.45,36.75,35.75,36.75
03-03-2023,38.55,38.55,37.75,38.25
06-03-2023,38.15,39.4,36.4,38.3
08-03-2023,38.05,38.4,37.5,38.0
09-03-2023,38.65,38.9,38.0,38.3
10-03-2023,38.15,38.25,37.0,37.45
13-03-2023,37.85,37.9,35.6,36.2
14-03-2023,36.45,36.5,34.85,35.05
15-03-2023,35.8,35.8,35.05,35.25
16-03-2023,35.05,36.25,33.55,35.95
17-03-2023,36.5,36.5,34.25,34.8
20-03-2023,34.1,34.6,33.65,33.75
21-03-2023,33.95,33.95,32.8,33.1
22-03-2023,33.15,33.45,33.0,33.05
23-03-2023,33.1,33.25,32.7,32.8
24-03-2023,33.0,33.1,32.4,32.55
27-03-2023,32.6,32.85,30.8,31.1
28-03-2023,31.25,31.8,30.7,30.8
29-03-2023,30.45,31.1,29.75,30.65
31-03-2023,31.5,31.6,30.9,31.05
03-04-2023,31.3,31.3,30.55,30.8
05-04-2023,30.9,30.9,30.5,30.65
06-04-2023,30.65,33.2,30.4,32.75
10-04-2023,33.25,33.4,32.35,32.55
11-04-2023,32.55,33.3,32.2,32.35
12-04-2023,32.7,32.85,32.2,32.25
13-04-2023,32.35,32.4,31.6,31.7
17-04-2023,31.7,32.25,31.1,32.0
18-04-2023,32.05,32.45,31.8,32.05
19-04-2023,33.1,35.0,32.65,33.6
20-04-2023,33.85,38.3,33.4,36.8
21-04-2023,37.0,37.25,35.75,36.0
24-04-2023,36.45,36.45,35.05,35.25
25-04-2023,35.3,36.45,35.1,36.05
26-04-2023,36.3,37.5,36.0,37.05
27-04-2023,37.2,37.2,36.55,37.0
28-04-2023,37.0,37.45,36.65,36.9
02-05-2023,37.4,38.75,36.9,38.4
03-05-2023,38.35,39.9,37.95,38.2
04-05-2023,38.35,39.1,38.2,38.45
05-05-2023,38.35,38.7,36.9,37.7
08-05-2023,37.95,38.2,37.55,37.85
09-05-2023,37.95,38.2,36.1,36.5
10-05-2023,36.6,37.4,36.45,37.15
11-05-2023,37.3,37.4,36.75,37.15
12-05-2023,37.2,38.3,37.2,37.55
15-05-2023,37.75,37.95,37.0,37.15
16-05-2023,37.2,37.3,36.5,36.55
17-05-2023,36.3,36.95,36.15,36.55
18-05-2023,36.85,37.3,36.75,36.9
19-05-2023,36.95,37.4,36.85,37.05
22-05-2023,37.05,37.95,36.9,37.85
23-05-2023,37.95,38.9,37.55,38.25
24-05-2023,38.05,38.85,37.8,38.4
25-05-2023,38.4,41.55,38.1,40.95
26-05-2023,40.95,42.25,40.6,40.8
29-05-2023,41.2,41.3,40.2,40.5
30-05-2023,40.5,41.4,40.3,40.45
31-05-2023,40.45,44.55,40.3,43.7
01-06-2023,44.8,46.0,44.25,44.5
02-06-2023,44.7,44.9,43.5,44.45
05-06-2023,44.7,44.9,43.0,43.35
06-06-2023,43.4,46.25,43.3,45.25
07-06-2023,45.4,46.5,43.75,44.15
08-06-2023,44.45,44.6,43.5,44.0
09-06-2023,44.25,45.0,43.55,43.95
12-06-2023,44.2,44.85,44.15,44.4
13-06-2023,44.6,45.0,44.25,44.85
14-06-2023,45.2,45.45,44.25,44.35
15-06-2023,44.35,44.55,43.5,44.1
16-06-2023,44.35,44.6,42.55,42.9
19-06-2023,44.45,45.0,43.05,43.7
20-06-2023,43.7,44.0,43.3,43.75
21-06-2023,43.9,44.1,43.5,43.7
22-06-2023,43.8,44.0,43.25,43.8
23-06-2023,43.75,43.8,42.75,42.85
26-06-2023,42.95,42.95,42.0,42.65
27-06-2023,42.65,42.95,42.5,42.7
28-06-2023,42.85,43.45,42.4,42.85
30-06-2023,43.1,44.2,42.7,43.5
03-07-2023,44.4,44.6,43.8,44.0
04-07-2023,44.2,44.45,42.6,43.1
05-07-2023,42.95,43.95,42.85,43.85
06-07-2023,43.85,44.1,43.55,43.9
07-07-2023,43.8,44.05,43.45,43.65
10-07-2023,43.6,44.0,43.3,43.7
11-07-2023,43.8,44.5,43.3,44.3
12-07-2023,44.4,44.95,44.1,44.45
13-07-2023,44.7,44.85,43.0,43.8
14-07-2023,44.0,44.4,43.6,44.15
17-07-2023,44.3,44.45,43.8,43.95
18-07-2023,44.05,47.2,43.9,45.65
19-07-2023,46.05,46.8,45.7,45.95
20-07-2023,46.05,46.1,44.85,45.0
21-07-2023,44.8,45.6,44.4,44.8
24-07-2023,45.1,46.25,44.65,45.0
25-07-2023,45.1,46.55,45.0,45.6
26-07-2023,45.7,47.85,45.7,46.1
27-07-2023,46.1,46.95,45.35,45.6
28-07-2023,45.7,48.75,45.65,47.3
31-07-2023,47.9,49.2,47.65,47.9
01-08-2023,48.5,48.65,47.05,47.25
02-08-2023,47.25,47.35,44.6,46.1
03-08-2023,46.0,47.35,45.8,47.05
04-08-2023,47.45,47.65,46.7,47.2
07-08-2023,47.15,48.15,46.65,47.55
08-08-2023,47.65,48.7,47.0,47.25
09-08-2023,47.7,47.7,46.5,46.85
10-08-2023,46.85,47.6,46.5,46.8
11-08-2023,47.0,47.95,46.0,46.2
14-08-2023,46.7,47.6,46.3,46.8
16-08-2023,47.0,47.3,46.25,46.5
17-08-2023,46.45,47.0,45.8,46.05
18-08-2023,46.15,46.85,46.05,46.45
21-08-2023,47.0,53.1,46.95,52.25
22-08-2023,52.75,53.7,51.35,53.3
23-08-2023,53.3,54.5,52.35,53.95
24-08-2023,54.1,54.9,52.55,53.05
