date,open,high,low,close
10-11-2021,336.35,374.65,333.35,367.65
11-11-2021,368.95,373.45,340.6,368.9
12-11-2021,374.65,401.65,363.35,393.05
15-11-2021,376.85,388.75,364.15,380.35
16-11-2021,378.0,385.0,371.35,372.8
17-11-2021,373.35,376.5,350.15,353.85
18-11-2021,351.65,363.0,348.35,354.2
22-11-2021,355.85,362.0,347.0,349.6
23-11-2021,345.0,357.9,342.95,355.8
24-11-2021,358.35,386.45,354.35,374.6
25-11-2021,374.55,405.2,374.5,399.6
26-11-2021,397.5,428.95,384.65,406.2
29-11-2021,403.5,422.85,391.65,414.4
30-11-2021,413.0,426.35,396.85,406.75
01-12-2021,412.5,422.5,410.0,415.5
02-12-2021,422.5,426.65,402.05,406.35
03-12-2021,406.55,410.85,380.35,387.45
06-12-2021,388.35,392.35,362.05,365.2
07-12-2021,371.35,376.25,354.15,359.0
08-12-2021,341.5,374.85,337.75,363.8
09-12-2021,362.35,376.5,358.5,360.55
10-12-2021,360.6,363.2,350.0,352.45
13-12-2021,354.15,359.95,345.0,346.95
14-12-2021,346.65,346.95,330.0,335.95
15-12-2021,344.85,357.95,343.65,354.8
16-12-2021,356.5,362.5,338.65,361.0
17-12-2021,358.95,361.65,344.2,349.8
20-12-2021,343.35,344.05,318.35,325.45
21-12-2021,331.35,342.95,325.35,327.25
22-12-2021,331.65,337.35,329.4,335.05
23-12-2021,338.3,355.65,335.85,353.6
24-12-2021,353.35,354.15,338.0,340.8
27-12-2021,340.0,354.0,331.65,351.15
28-12-2021,351.65,360.9,351.65,358.85
29-12-2021,356.65,362.9,350.55,360.0
30-12-2021,356.65,363.35,349.05,351.25
31-12-2021,354.0,355.3,348.4,350.25
03-01-2022,350.85,355.8,346.5,347.7
04-01-2022,350.0,355.85,349.25,352.3
05-01-2022,353.5,353.7,339.15,340.5
06-01-2022,340.0,340.0,332.55,333.85
07-01-2022,335.0,339.35,332.8,334.2
10-01-2022,337.5,339.15,333.75,334.25
11-01-2022,334.25,336.65,326.75,330.35
12-01-2022,333.15,337.85,331.25,335.15
13-01-2022,337.3,344.65,333.95,343.25
14-01-2022,343.15,346.15,339.7,342.95
17-01-2022,342.65,348.15,341.65,345.2
18-01-2022,345.5,347.35,341.65,342.6
19-01-2022,339.25,342.8,334.5,337.65
20-01-2022,337.5,344.15,337.5,341.8
21-01-2022,337.5,342.35,323.1,333.05
24-01-2022,329.15,331.35,281.85,289.3
25-01-2022,288.15,290.8,267.65,276.75
27-01-2022,273.75,279.0,261.85,270.3
28-01-2022,273.5,282.1,270.15,273.95
31-01-2022,279.85,279.85,265.85,275.25
01-02-2022,279.15,288.0,276.7,283.95
02-02-2022,285.4,306.15,281.55,303.75
03-02-2022,301.65,308.0,291.7,306.05
04-02-2022,304.15,314.85,299.5,313.05
07-02-2022,314.15,319.6,307.7,315.85
08-02-2022,316.0,317.35,305.0,310.3
09-02-2022,310.35,312.0,307.5,308.3
10-02-2022,295.5,301.65,282.5,285.25
11-02-2022,285.05,285.8,270.0,274.15
14-02-2022,266.9,267.5,248.65,252.45
15-02-2022,258.35,262.0,246.25,248.9
16-02-2022,256.65,260.5,242.5,250.65
17-02-2022,248.55,253.05,228.6,241.3
18-02-2022,239.5,241.4,232.5,233.35
21-02-2022,231.5,231.5,218.65,221.25
22-02-2022,214.45,225.5,203.15,221.85
23-02-2022,230.65,234.4,225.0,228.6
24-02-2022,216.65,221.3,214.0,217.4
25-02-2022,224.65,225.0,214.35,215.8
28-02-2022,216.15,219.95,212.5,215.2
02-03-2022,214.15,238.85,213.5,235.4
03-03-2022,240.85,252.4,233.35,250.75
04-03-2022,249.0,256.65,243.65,251.6
07-03-2022,243.65,245.0,221.85,224.55
08-03-2022,229.15,233.05,224.35,226.75
09-03-2022,229.15,236.3,227.0,233.4
10-03-2022,240.65,242.7,230.45,232.45
11-03-2022,231.5,239.3,228.45,231.3
14-03-2022,232.35,234.3,227.0,230.75
15-03-2022,230.1,238.35,230.0,237.15
16-03-2022,241.35,251.15,239.0,249.35
17-03-2022,254.15,260.5,251.9,258.4
21-03-2022,262.5,262.5,250.0,250.55
22-03-2022,252.55,260.35,248.65,258.1
23-03-2022,258.1,260.25,253.35,256.55
24-03-2022,256.65,266.1,256.55,263.8
25-03-2022,264.65,268.65,263.5,266.25
28-03-2022,268.5,268.5,265.0,266.6
29-03-2022,266.65,274.15,265.65,270.75
30-03-2022,274.15,286.5,271.35,283.5
31-03-2022,282.5,283.35,276.35,281.6
01-04-2022,281.6,289.15,280.7,282.4
04-04-2022,285.35,300.65,285.3,298.3
05-04-2022,300.65,304.15,294.15,299.65
06-04-2022,296.3,302.95,295.4,298.4
07-04-2022,298.05,302.5,296.1,299.2
08-04-2022,300.0,311.55,300.0,309.65
11-04-2022,309.35,315.45,308.5,312.9
12-04-2022,312.15,314.05,294.15,297.8
13-04-2022,301.2,312.65,300.6,303.45
18-04-2022,301.3,308.15,296.95,305.2
19-04-2022,308.6,311.15,300.5,305.05
20-04-2022,307.85,309.6,296.05,299.35
21-04-2022,304.85,311.55,302.3,303.3
22-04-2022,301.35,308.35,298.65,303.85
25-04-2022,303.35,303.35,278.5,281.15
26-04-2022,286.35,290.35,275.0,285.0
27-04-2022,279.35,287.4,279.35,282.9
28-04-2022,286.05,287.4,281.95,285.35
29-04-2022,288.5,288.85,277.45,282.35
02-05-2022,279.25,288.3,278.35,286.95
04-05-2022,287.2,289.6,268.35,274.45
05-05-2022,284.15,284.15,264.35,265.85
06-05-2022,251.85,266.8,244.2,256.5
09-05-2022,256.25,256.25,237.5,240.75
10-05-2022,237.65,242.75,221.65,226.15
11-05-2022,226.15,230.8,208.35,211.9
12-05-2022,211.65,219.35,201.25,214.35
13-05-2022,220.85,232.15,215.35,218.2
16-05-2022,220.85,240.35,218.65,237.05
17-05-2022,241.65,248.35,237.65,244.8
18-05-2022,246.65,253.3,243.65,249.25
19-05-2022,237.5,247.35,235.0,243.95
20-05-2022,250.35,256.45,242.1,245.45
23-05-2022,248.75,251.4,241.65,243.15
24-05-2022,245.6,247.5,231.35,233.35
25-05-2022,236.5,237.65,226.65,227.85
26-05-2022,230.6,233.35,218.2,227.45
27-05-2022,232.0,233.35,222.85,225.25
30-05-2022,225.15,237.6,222.1,233.55
31-05-2022,233.35,251.15,230.4,249.1
01-06-2022,250.15,257.15,236.7,242.55
02-06-2022,242.55,246.35,237.0,245.35
03-06-2022,247.95,248.95,241.65,243.35
06-06-2022,244.45,244.85,233.85,238.5
07-06-2022,236.85,243.7,232.25,242.05
08-06-2022,243.75,247.35,234.15,237.35
09-06-2022,234.35,241.85,232.2,240.4
10-06-2022,236.65,242.5,233.4,241.0
13-06-2022,235.0,245.0,235.0,242.65
14-06-2022,243.35,245.85,235.85,242.65
15-06-2022,242.65,245.85,241.65,243.7
16-06-2022,246.6,248.0,234.6,237.95
17-06-2022,235.35,243.85,218.65,230.0
20-06-2022,229.15,230.8,221.0,228.55
21-06-2022,233.0,235.65,230.0,232.0
22-06-2022,231.6,237.5,224.2,226.0
23-06-2022,226.6,241.65,226.6,238.65
24-06-2022,241.85,244.65,236.95,239.4
27-06-2022,244.4,247.3,241.85,245.4
28-06-2022,244.65,244.65,237.65,239.95
29-06-2022,238.25,244.1,232.6,237.9
30-06-2022,239.4,241.65,229.5,234.5
01-07-2022,233.3,236.65,230.25,235.65
04-07-2022,233.65,236.35,230.85,232.6
05-07-2022,235.0,236.65,229.0,230.55
06-07-2022,231.65,234.45,231.05,233.7
07-07-2022,236.9,245.0,236.65,242.2
08-07-2022,243.5,245.0,230.8,232.3
11-07-2022,234.65,236.7,231.35,235.05
12-07-2022,233.65,234.8,232.15,233.5
13-07-2022,235.65,241.45,233.65,239.3
14-07-2022,239.4,240.25,234.65,236.0
15-07-2022,236.65,237.35,232.7,234.85
18-07-2022,236.65,237.15,231.75,233.55
19-07-2022,233.15,234.65,231.65,232.65
20-07-2022,235.65,237.15,232.85,234.3
21-07-2022,235.8,236.65,233.5,235.0
22-07-2022,235.85,244.05,235.85,242.3
