date,open,high,low,close
24-07-2019,566.8,573.55,545.1,549.9
25-07-2019,524.95,558.0,515.2,545.55
26-07-2019,548.95,555.0,534.65,549.9
29-07-2019,550.0,565.0,545.0,550.65
30-07-2019,549.0,554.9,543.85,548.45
31-07-2019,545.2,550.0,540.5,549.6
01-08-2019,549.75,574.5,545.75,562.55
02-08-2019,558.6,569.0,549.35,552.55
05-08-2019,548.5,554.0,543.2,549.1
06-08-2019,549.0,566.5,544.6,561.6
07-08-2019,561.0,567.9,544.0,550.1
08-08-2019,554.85,560.0,543.05,552.65
09-08-2019,554.0,564.9,544.25,548.2
13-08-2019,550.85,554.0,530.8,536.25
14-08-2019,544.8,546.75,535.0,537.6
16-08-2019,539.6,544.0,532.0,534.9
19-08-2019,537.0,547.2,534.5,545.5
20-08-2019,542.5,553.7,515.35,525.6
21-08-2019,520.0,520.0,452.1,512.6
22-08-2019,500.0,503.95,475.3,484.55
23-08-2019,475.5,482.0,456.35,460.75
26-08-2019,469.05,493.8,450.0,487.9
27-08-2019,490.9,498.1,481.25,491.25
28-08-2019,496.2,542.6,495.1,538.35
29-08-2019,542.65,557.0,533.1,549.5
30-08-2019,549.55,573.85,549.55,567.95
03-09-2019,567.95,578.85,527.65,540.55
04-09-2019,533.4,543.9,527.2,533.75
05-09-2019,539.75,546.15,511.0,514.4
06-09-2019,519.45,524.35,496.0,500.7
09-09-2019,507.9,516.5,501.05,513.55
11-09-2019,516.5,568.8,512.2,564.3
12-09-2019,566.3,572.35,537.1,544.55
13-09-2019,550.0,582.5,496.1,546.85
16-09-2019,539.5,553.7,534.0,539.85
17-09-2019,537.0,545.1,506.1,515.5
18-09-2019,527.0,530.9,518.65,524.0
19-09-2019,525.0,534.5,519.25,526.9
20-09-2019,515.9,539.8,501.55,531.8
23-09-2019,538.0,562.0,536.9,556.9
24-09-2019,551.0,559.75,540.0,546.3
25-09-2019,550.8,550.8,514.6,521.2
26-09-2019,518.0,526.4,508.55,520.1
27-09-2019,523.35,523.35,504.2,505.95
30-09-2019,505.95,517.0,480.55,507.6
01-10-2019,507.6,511.0,485.0,490.4
03-10-2019,492.0,507.9,486.65,489.85
04-10-2019,492.9,499.5,485.0,488.4
07-10-2019,487.95,494.5,481.2,483.85
09-10-2019,482.8,504.45,467.25,500.15
10-10-2019,499.75,506.8,490.0,495.4
11-10-2019,498.5,507.4,482.1,496.15
14-10-2019,491.6,509.0,491.05,495.95
15-10-2019,496.0,507.5,495.35,504.95
16-10-2019,505.0,509.7,503.1,507.1
17-10-2019,507.0,517.45,503.55,515.35
18-10-2019,517.9,545.0,516.8,540.05
22-10-2019,527.0,527.0,502.25,512.9
23-10-2019,514.8,518.35,492.05,494.25
24-10-2019,495.0,503.5,486.05,500.0
25-10-2019,500.0,508.7,486.2,504.8
27-10-2019,504.5,509.0,495.5,499.85
29-10-2019,498.8,503.95,491.5,500.1
30-10-2019,500.1,501.95,488.15,492.05
31-10-2019,501.05,514.45,490.0,506.9
01-11-2019,510.05,519.7,502.05,511.0
04-11-2019,516.0,518.9,498.0,500.55
05-11-2019,501.0,505.75,495.6,500.1
06-11-2019,504.0,514.95,498.0,505.0
07-11-2019,520.0,520.8,506.5,509.45
08-11-2019,507.4,516.8,503.55,515.05
11-11-2019,511.0,529.65,510.9,522.95
13-11-2019,518.0,533.25,515.6,520.4
14-11-2019,518.4,521.0,513.5,516.25
15-11-2019,516.0,518.4,508.0,510.65
18-11-2019,511.0,512.9,503.2,507.55
19-11-2019,507.0,520.2,501.3,514.25
20-11-2019,514.15,536.0,511.0,515.4
21-11-2019,516.7,519.5,502.0,506.55
22-11-2019,506.0,508.45,500.1,504.8
25-11-2019,515.05,520.0,502.1,506.2
26-11-2019,508.0,509.8,499.9,501.6
27-11-2019,499.9,506.6,491.0,496.3
28-11-2019,496.6,512.0,496.2,507.8
29-11-2019,507.9,521.0,500.75,516.9
02-12-2019,516.9,518.4,508.0,513.5
03-12-2019,514.0,543.8,510.4,535.3
04-12-2019,534.8,548.7,528.3,541.95
05-12-2019,541.5,557.5,541.0,554.4
06-12-2019,554.0,559.75,542.0,558.45
09-12-2019,560.0,571.8,540.65,551.3
10-12-2019,543.0,548.65,520.25,523.75
11-12-2019,523.0,525.65,506.3,508.3
12-12-2019,511.45,516.0,505.5,508.75
13-12-2019,511.2,532.0,510.05,523.75
16-12-2019,522.8,531.5,516.0,524.4
17-12-2019,524.4,527.85,512.0,514.35
18-12-2019,515.85,523.85,515.0,517.1
19-12-2019,518.4,541.9,515.15,518.9
20-12-2019,520.1,524.1,515.2,517.95
23-12-2019,517.9,523.65,515.45,522.0
24-12-2019,524.75,528.5,519.0,521.05
26-12-2019,521.1,524.95,515.0,519.65
27-12-2019,521.65,527.5,520.0,523.85
30-12-2019,525.95,534.95,522.1,528.5
31-12-2019,528.5,534.0,525.0,530.65
01-01-2020,530.65,530.7,521.0,522.95
02-01-2020,523.0,534.85,521.35,528.85
03-01-2020,528.9,532.0,523.05,525.85
06-01-2020,525.0,525.0,510.2,515.05
07-01-2020,519.5,522.75,514.5,517.85
08-01-2020,513.6,523.9,507.0,511.5
09-01-2020,514.95,527.1,514.95,522.05
10-01-2020,530.0,564.0,521.0,540.65
13-01-2020,548.7,549.0,537.05,541.75
14-01-2020,542.65,544.0,533.2,539.5
15-01-2020,536.0,573.0,535.55,554.65
16-01-2020,557.9,558.75,537.15,548.75
17-01-2020,547.0,561.8,540.2,543.8
20-01-2020,549.0,552.2,540.0,543.4
21-01-2020,540.0,552.7,537.0,549.75
22-01-2020,552.0,558.0,542.9,548.2
23-01-2020,551.0,565.0,547.05,553.7
24-01-2020,556.95,570.05,553.7,565.05
27-01-2020,565.0,584.0,555.5,566.0
28-01-2020,561.95,564.95,550.05,552.95
29-01-2020,556.65,559.15,542.2,553.5
30-01-2020,560.0,560.0,530.25,554.65
31-01-2020,558.1,563.0,541.1,545.55
01-02-2020,540.7,554.0,513.95,520.4
03-02-2020,520.4,534.0,500.05,524.7
04-02-2020,528.95,544.0,525.05,540.3
05-02-2020,540.8,559.0,532.8,537.75
06-02-2020,539.9,549.0,528.45,537.9
07-02-2020,537.9,539.8,526.0,533.7
10-02-2020,537.0,537.0,518.7,524.95
11-02-2020,526.1,532.95,515.2,519.5
12-02-2020,520.0,525.95,516.5,520.7
13-02-2020,519.5,523.7,511.05,517.3
14-02-2020,518.45,523.0,506.0,507.1
17-02-2020,508.35,511.75,492.95,502.4
18-02-2020,499.9,519.8,499.0,510.55
19-02-2020,518.7,518.7,506.2,510.2
20-02-2020,510.1,524.0,509.55,517.95
24-02-2020,516.9,531.0,512.3,518.15
25-02-2020,521.0,525.75,519.0,520.05
26-02-2020,518.8,518.8,506.65,513.4
27-02-2020,512.0,519.5,508.05,514.7
28-02-2020,500.0,521.95,487.6,509.95
02-03-2020,512.3,522.0,512.05,516.0
03-03-2020,524.0,524.7,506.7,516.6
04-03-2020,515.0,519.5,492.65,505.9
05-03-2020,506.2,512.0,493.0,496.1
06-03-2020,481.0,512.0,476.1,499.7
09-03-2020,492.0,495.95,480.65,492.95
11-03-2020,486.3,492.95,476.0,485.1
