date,open,high,low,close
22-07-2019,185.0,188.95,185.0,185.75
23-07-2019,187.9,188.0,180.2,185.9
24-07-2019,185.1,186.4,181.5,184.75
25-07-2019,193.0,195.0,186.35,188.3
26-07-2019,189.0,191.75,184.2,187.6
29-07-2019,200.0,205.0,195.0,196.0
30-07-2019,199.7,199.7,184.2,189.1
31-07-2019,189.0,192.0,182.8,190.7
01-08-2019,189.75,192.0,185.0,189.05
02-08-2019,189.05,199.5,187.0,196.1
05-08-2019,196.95,199.0,186.95,196.75
06-08-2019,198.8,198.8,191.5,193.5
07-08-2019,192.0,197.0,189.0,190.6
08-08-2019,195.85,195.85,187.9,191.0
09-08-2019,192.8,211.0,192.8,204.85
13-08-2019,202.2,207.3,196.0,198.85
14-08-2019,200.0,201.7,194.0,194.9
16-08-2019,195.0,195.55,189.65,191.35
19-08-2019,190.0,194.0,190.0,192.05
20-08-2019,189.5,194.0,187.0,190.25
21-08-2019,191.45,192.4,187.2,189.8
22-08-2019,189.8,190.0,179.0,181.25
23-08-2019,181.0,182.45,175.8,179.1
26-08-2019,181.9,182.8,177.0,177.9
27-08-2019,180.0,181.7,174.5,175.35
28-08-2019,176.8,180.0,169.05,171.55
29-08-2019,172.8,172.8,165.25,167.95
30-08-2019,171.4,171.4,165.4,166.25
03-09-2019,165.0,170.0,160.0,161.55
04-09-2019,160.0,163.1,147.6,151.45
05-09-2019,153.35,160.3,153.25,157.3
06-09-2019,160.9,187.75,157.05,175.8
09-09-2019,177.7,206.9,168.25,197.85
11-09-2019,205.5,211.2,193.65,197.1
12-09-2019,196.4,197.45,182.0,183.2
13-09-2019,183.0,195.0,181.1,191.2
16-09-2019,189.9,196.8,186.25,191.7
17-09-2019,194.0,194.7,185.65,187.25
18-09-2019,190.0,191.95,187.0,190.3
19-09-2019,191.0,195.0,185.4,186.2
20-09-2019,187.15,195.9,184.2,192.25
23-09-2019,191.25,210.7,191.1,201.9
24-09-2019,212.45,218.95,208.0,210.45
25-09-2019,211.0,211.0,196.95,200.1
26-09-2019,204.3,208.0,199.1,200.75
27-09-2019,202.65,204.4,199.0,201.5
30-09-2019,204.0,204.0,191.6,194.6
01-10-2019,196.8,198.95,186.0,187.75
03-10-2019,187.75,207.0,187.75,201.75
04-10-2019,205.0,208.0,196.0,197.75
07-10-2019,195.3,198.4,190.0,191.1
09-10-2019,191.9,198.7,188.5,196.7
10-10-2019,194.9,199.0,192.0,194.45
11-10-2019,196.9,197.45,189.35,190.45
14-10-2019,190.3,193.1,187.0,187.65
15-10-2019,186.6,189.15,182.0,183.55
16-10-2019,184.15,190.9,184.15,187.4
17-10-2019,188.5,189.9,184.1,186.1
18-10-2019,186.15,187.1,184.0,185.1
22-10-2019,185.5,186.75,179.15,181.3
23-10-2019,180.1,184.5,177.1,181.8
24-10-2019,182.0,184.45,181.5,182.6
25-10-2019,182.2,182.7,179.0,179.35
27-10-2019,182.8,187.5,182.05,186.4
29-10-2019,186.4,189.0,181.2,185.85
30-10-2019,185.85,189.45,184.5,184.9
31-10-2019,186.8,197.05,186.25,193.5
01-11-2019,196.8,196.8,190.2,190.9
04-11-2019,192.8,195.2,190.5,191.35
05-11-2019,193.45,195.0,190.0,190.5
06-11-2019,191.25,192.85,187.0,189.5
07-11-2019,190.0,199.0,190.0,192.3
