date,open,high,low,close
22-07-2019,16.95,16.95,15.5,15.95
23-07-2019,16.1,16.55,16.0,16.1
24-07-2019,16.15,16.75,15.8,16.45
25-07-2019,16.45,16.65,15.4,15.8
26-07-2019,15.75,16.5,15.3,16.1
29-07-2019,16.9,16.9,14.8,15.05
30-07-2019,15.1,16.0,14.4,14.8
31-07-2019,14.85,15.0,13.9,14.75
01-08-2019,14.3,15.0,13.4,13.85
02-08-2019,13.35,16.3,13.3,15.95
05-08-2019,16.0,16.0,14.65,15.25
06-08-2019,16.05,16.05,14.7,14.9
07-08-2019,15.2,17.0,15.05,15.7
08-08-2019,16.0,17.45,15.25,16.35
09-08-2019,17.35,17.6,15.1,16.6
13-08-2019,16.1,16.9,15.7,16.4
14-08-2019,16.5,17.8,16.4,16.5
16-08-2019,16.75,17.0,16.0,16.5
19-08-2019,16.6,17.75,16.45,17.1
20-08-2019,17.5,17.8,16.75,17.55
21-08-2019,17.55,17.7,16.1,16.6
22-08-2019,16.2,16.35,14.5,14.95
23-08-2019,14.8,15.3,14.4,14.65
26-08-2019,15.45,15.45,14.1,14.8
27-08-2019,14.6,15.3,14.4,15.05
28-08-2019,15.5,15.55,14.6,14.9
29-08-2019,14.8,15.05,14.15,14.35
30-08-2019,14.7,15.0,14.15,14.9
03-09-2019,14.7,15.2,13.55,14.45
04-09-2019,14.9,14.95,13.6,14.6
05-09-2019,15.8,15.8,14.55,14.95
06-09-2019,14.9,15.45,14.9,15.1
09-09-2019,15.45,16.9,15.25,16.55
11-09-2019,16.85,17.75,16.8,17.65
12-09-2019,17.75,18.35,17.5,17.8
13-09-2019,18.0,18.85,17.0,18.8
16-09-2019,18.95,20.0,18.9,19.9
17-09-2019,20.9,22.85,20.05,20.65
18-09-2019,21.4,21.55,19.6,20.2
19-09-2019,20.0,20.5,18.7,19.55
20-09-2019,19.75,21.3,19.15,20.45
23-09-2019,21.2,21.2,19.4,20.5
24-09-2019,20.5,21.7,20.05,21.5
25-09-2019,21.5,21.8,20.5,21.0
26-09-2019,21.0,21.45,19.75,20.15
27-09-2019,20.05,20.45,18.3,18.7
30-09-2019,18.8,19.55,17.1,18.65
01-10-2019,18.65,20.65,18.2,18.65
03-10-2019,19.7,19.7,17.8,18.35
04-10-2019,19.2,19.2,17.5,17.55
07-10-2019,18.2,18.75,17.5,18.1
09-10-2019,18.0,19.25,18.0,19.1
10-10-2019,19.0,20.1,18.75,20.0
11-10-2019,20.6,21.2,19.7,20.55
14-10-2019,20.55,21.95,19.15,21.1
15-10-2019,21.45,21.65,19.55,19.95
16-10-2019,20.0,20.3,18.8,19.1
17-10-2019,19.65,19.95,18.8,19.2
18-10-2019,18.5,19.8,18.5,19.65
22-10-2019,19.7,21.9,19.25,20.15
23-10-2019,20.15,20.9,18.65,19.35
24-10-2019,19.1,20.0,19.0,19.35
25-10-2019,19.4,19.4,17.75,18.55
27-10-2019,19.75,19.8,18.2,18.55
29-10-2019,19.75,19.75,18.5,19.45
30-10-2019,20.0,21.0,19.05,19.3
31-10-2019,19.1,21.0,18.7,20.05
01-11-2019,20.1,21.0,19.9,20.5
04-11-2019,20.3,21.15,20.05,20.5
05-11-2019,20.5,21.1,20.35,20.9
06-11-2019,21.15,21.15,19.45,20.75
07-11-2019,20.75,21.85,20.5,20.9
08-11-2019,20.6,25.05,20.6,24.95
11-11-2019,24.95,29.7,24.95,26.95
13-11-2019,27.4,27.4,23.35,24.35
14-11-2019,24.4,24.45,23.0,23.05
15-11-2019,23.0,23.0,20.1,20.85
18-11-2019,21.75,21.75,20.0,20.75
19-11-2019,20.7,21.5,20.7,21.1
20-11-2019,21.1,23.15,20.75,21.0
21-11-2019,21.15,21.9,20.5,20.8
22-11-2019,21.6,21.65,19.65,20.05
25-11-2019,20.8,21.75,20.1,20.9
26-11-2019,21.4,21.4,20.6,20.75
27-11-2019,21.0,22.4,20.7,21.85
28-11-2019,22.6,26.2,21.8,22.45
29-11-2019,23.4,24.3,22.1,23.75
02-12-2019,24.75,26.25,24.25,25.35
03-12-2019,25.7,26.7,24.75,25.15
04-12-2019,25.0,25.0,23.25,23.8
05-12-2019,24.25,24.25,23.0,23.3
06-12-2019,23.65,23.75,22.5,23.05
09-12-2019,23.25,24.5,22.2,24.35
10-12-2019,24.45,25.35,23.45,24.85
11-12-2019,25.75,25.8,24.35,24.9
12-12-2019,25.75,25.8,24.15,24.5
13-12-2019,25.45,25.45,23.3,23.9
16-12-2019,24.7,24.7,21.85,22.0
17-12-2019,21.9,22.85,21.9,22.5
18-12-2019,22.5,22.7,21.6,21.85
19-12-2019,21.8,23.6,21.6,22.75
20-12-2019,22.95,23.75,22.6,23.3
23-12-2019,23.1,23.8,22.4,22.6
24-12-2019,23.35,23.5,21.7,22.2
26-12-2019,22.9,22.9,21.7,22.1
27-12-2019,23.25,23.5,21.7,22.25
30-12-2019,22.3,22.75,21.2,22.5
31-12-2019,22.5,22.75,22.15,22.4
01-01-2020,22.15,22.8,22.1,22.55
02-01-2020,22.6,23.4,22.5,22.85
03-01-2020,22.9,23.5,22.75,23.25
06-01-2020,22.25,24.0,22.1,22.55
07-01-2020,23.35,23.5,22.7,23.15
08-01-2020,23.2,23.35,22.0,22.45
09-01-2020,23.0,23.25,22.35,23.0
10-01-2020,23.0,24.3,22.25,23.55
13-01-2020,24.4,24.5,23.05,23.6
14-01-2020,24.8,24.8,23.35,23.8
15-01-2020,23.8,24.15,23.05,23.75
16-01-2020,24.35,27.0,23.35,24.75
17-01-2020,24.45,26.9,24.45,25.9
20-01-2020,26.45,26.8,24.8,25.15
21-01-2020,25.65,25.65,24.2,24.5
22-01-2020,24.45,24.85,23.65,23.95
23-01-2020,23.85,24.45,23.0,23.05
24-01-2020,23.8,23.8,23.15,23.65
27-01-2020,23.2,24.3,22.75,24.2
28-01-2020,24.0,24.75,23.25,23.5
29-01-2020,24.15,24.2,23.6,23.85
30-01-2020,23.8,24.25,22.95,23.3
31-01-2020,23.15,24.35,23.15,23.75
01-02-2020,23.45,24.5,22.5,23.25
03-02-2020,23.1,23.45,22.0,22.7
04-02-2020,23.0,23.3,22.15,22.55
05-02-2020,22.55,23.2,22.55,22.95
06-02-2020,23.65,23.65,21.2,21.85
07-02-2020,22.75,26.2,21.9,25.4
10-02-2020,26.15,27.4,25.8,26.4
11-02-2020,26.05,26.5,24.15,24.5
12-02-2020,24.25,24.8,23.45,23.75
13-02-2020,23.35,24.6,22.4,23.25
14-02-2020,23.3,24.9,22.15,23.8
17-02-2020,23.25,24.0,22.5,22.7
18-02-2020,22.5,23.45,22.0,23.0
19-02-2020,23.05,23.75,22.7,23.15
20-02-2020,23.45,23.45,21.85,22.15
24-02-2020,22.1,22.4,20.65,20.8
