date,open,high,low,close
22-07-2019,104.4,104.75,100.2,100.9
23-07-2019,101.8,103.2,101.15,101.45
24-07-2019,102.4,103.15,93.85,94.8
25-07-2019,94.9,98.6,94.0,96.8
26-07-2019,97.3,102.4,96.6,101.1
29-07-2019,101.9,102.8,96.0,99.6
30-07-2019,97.4,98.0,93.25,93.95
31-07-2019,95.0,96.9,93.55,95.85
01-08-2019,95.1,96.0,93.7,94.9
02-08-2019,94.1,95.5,91.4,92.85
05-08-2019,91.9,92.8,90.35,92.1
06-08-2019,91.0,94.0,91.0,93.05
07-08-2019,95.8,95.8,90.35,91.1
08-08-2019,91.3,93.85,90.25,92.15
09-08-2019,93.0,95.75,91.25,91.7
13-08-2019,92.8,92.8,87.2,88.65
14-08-2019,88.1,88.95,86.1,87.65
16-08-2019,87.05,88.35,85.5,86.45
19-08-2019,87.5,90.0,86.7,87.75
20-08-2019,87.05,88.6,86.55,87.0
21-08-2019,87.0,87.05,83.2,84.0
22-08-2019,84.0,85.0,79.95,81.75
23-08-2019,80.5,82.95,78.0,81.8
26-08-2019,85.95,85.95,81.2,81.95
27-08-2019,84.4,85.15,80.65,81.5
28-08-2019,82.9,84.1,78.3,83.8
29-08-2019,83.8,83.8,80.2,80.6
30-08-2019,81.25,82.85,80.5,81.9
03-09-2019,80.0,81.2,79.1,79.15
04-09-2019,79.5,80.95,79.05,80.7
05-09-2019,80.2,82.5,80.2,82.2
06-09-2019,83.5,87.0,82.95,86.15
09-09-2019,87.05,88.25,86.5,87.4
11-09-2019,89.4,92.0,89.4,91.1
12-09-2019,92.05,94.65,88.4,89.7
13-09-2019,88.5,96.9,88.5,94.95
16-09-2019,95.5,99.7,94.95,96.6
17-09-2019,96.6,97.05,90.0,90.8
18-09-2019,91.45,92.7,90.1,92.0
19-09-2019,92.5,92.5,88.3,89.95
20-09-2019,90.0,95.8,90.0,94.5
23-09-2019,97.55,100.0,94.0,99.4
24-09-2019,99.45,100.1,93.85,95.45
25-09-2019,95.7,96.8,93.5,94.25
26-09-2019,93.05,95.5,92.9,94.45
27-09-2019,93.1,95.2,92.1,92.65
30-09-2019,94.4,94.4,85.7,89.85
01-10-2019,89.5,91.8,86.5,88.8
03-10-2019,90.9,90.9,86.85,87.2
04-10-2019,89.7,91.0,86.5,87.4
07-10-2019,87.75,88.25,85.6,86.2
09-10-2019,88.0,89.0,86.25,88.65
10-10-2019,87.65,89.1,86.05,86.3
11-10-2019,87.0,88.5,83.0,85.2
14-10-2019,84.5,86.5,83.95,85.1
15-10-2019,84.55,84.7,81.1,82.3
16-10-2019,83.6,86.45,83.3,84.75
17-10-2019,85.0,85.6,83.5,84.35
18-10-2019,85.3,90.0,84.5,89.2
22-10-2019,83.0,84.6,81.8,82.3
23-10-2019,84.0,84.0,78.0,79.6
24-10-2019,80.0,82.0,78.0,78.25
25-10-2019,78.9,79.6,76.2,76.75
27-10-2019,77.8,79.0,76.5,78.55
29-10-2019,80.0,80.0,77.65,78.5
30-10-2019,78.1,79.6,77.7,78.65
31-10-2019,78.65,81.55,78.5,79.45
01-11-2019,79.3,79.5,77.35,77.9
04-11-2019,78.0,81.7,78.0,80.2
05-11-2019,80.25,82.0,80.25,81.6
06-11-2019,81.8,83.65,81.0,81.5
07-11-2019,83.0,83.0,79.35,79.85
08-11-2019,79.35,81.15,79.05,79.65
