date,open,high,low,close
22-07-2019,150.2,154.0,147.2,151.35
23-07-2019,152.8,152.8,148.0,151.0
24-07-2019,152.9,152.9,149.0,149.75
25-07-2019,149.0,157.45,149.0,156.0
26-07-2019,157.5,157.5,152.5,153.1
29-07-2019,154.9,156.2,149.05,155.0
30-07-2019,152.0,157.7,147.2,151.45
31-07-2019,152.0,154.0,147.05,153.15
01-08-2019,151.95,157.5,149.0,154.5
02-08-2019,152.0,155.35,145.95,154.8
05-08-2019,153.0,154.25,146.35,150.85
06-08-2019,149.5,154.9,149.5,152.85
07-08-2019,149.5,155.75,149.5,155.0
08-08-2019,150.8,161.95,150.8,160.9
09-08-2019,162.0,169.95,160.95,169.55
13-08-2019,166.25,173.7,160.1,164.0
14-08-2019,163.5,163.5,157.95,161.15
16-08-2019,158.6,164.8,158.6,162.2
19-08-2019,161.1,167.65,161.1,162.15
20-08-2019,160.9,162.55,158.95,159.4
21-08-2019,158.25,159.4,152.3,154.2
22-08-2019,152.15,154.4,148.7,152.7
23-08-2019,149.0,151.9,146.95,150.3
26-08-2019,154.0,154.0,136.8,152.3
27-08-2019,153.45,168.85,151.25,152.55
28-08-2019,152.0,153.8,150.0,152.5
29-08-2019,150.55,155.8,150.55,153.75
30-08-2019,153.75,159.65,151.55,157.35
03-09-2019,155.0,156.95,151.25,154.35
04-09-2019,151.6,156.15,151.6,153.85
05-09-2019,152.1,156.0,152.1,153.6
06-09-2019,152.1,154.95,151.25,152.1
09-09-2019,151.5,155.75,151.5,154.05
11-09-2019,153.0,156.45,152.25,153.65
12-09-2019,154.95,154.95,152.1,153.8
13-09-2019,153.35,158.9,152.85,155.05
16-09-2019,154.0,154.8,151.75,152.55
17-09-2019,155.0,155.75,151.9,152.8
18-09-2019,154.5,159.55,151.25,157.65
19-09-2019,158.9,158.9,155.1,157.1
20-09-2019,156.75,162.5,152.9,160.1
23-09-2019,164.0,169.9,160.7,168.5
24-09-2019,169.8,169.9,162.15,166.8
25-09-2019,166.8,171.0,164.65,167.25
26-09-2019,166.55,168.35,162.6,163.95
27-09-2019,169.8,169.8,162.7,166.8
