date,open,high,low,close
22-07-2019,26.1,26.1,25.5,26.05
23-07-2019,25.5,25.5,25.5,25.5
24-07-2019,25.5,25.5,25.5,25.5
29-07-2019,24.5,24.5,24.5,24.5
01-08-2019,24.05,24.05,24.05,24.05
05-08-2019,22.35,24.45,22.35,24.0
07-08-2019,23.25,23.25,23.25,23.25
08-08-2019,23.95,24.75,23.9,24.75
13-08-2019,23.5,23.5,23.5,23.5
21-08-2019,24.15,24.15,24.15,24.15
23-08-2019,24.35,24.35,23.75,23.75
29-08-2019,23.25,23.25,23.25,23.25
30-08-2019,23.25,23.25,23.25,23.25
11-09-2019,22.5,22.5,22.5,22.5
12-09-2019,23.95,23.95,23.95,23.95
20-09-2019,22.8,22.8,22.8,22.8
27-09-2019,23.75,23.75,23.25,23.25
04-10-2019,23.75,23.75,23.75,23.75
09-10-2019,23.85,23.85,23.85,23.85
14-10-2019,23.7,23.7,23.7,23.7
15-10-2019,22.0,22.0,22.0,22.0
17-10-2019,21.8,22.1,21.8,22.0
18-10-2019,22.25,22.25,22.25,22.25
22-10-2019,21.5,22.0,21.5,22.0
25-10-2019,22.0,23.45,22.0,23.45
27-10-2019,22.1,22.1,22.1,22.1
30-10-2019,22.5,22.5,22.5,22.5
31-10-2019,23.8,23.8,23.8,23.8
01-11-2019,22.25,22.25,22.25,22.25
07-11-2019,21.65,22.0,21.65,22.0
08-11-2019,21.55,22.45,21.55,22.45
13-11-2019,23.75,25.4,23.75,24.95
14-11-2019,23.4,24.2,23.4,24.2
18-11-2019,23.8,23.8,23.75,23.75
20-11-2019,23.5,23.5,23.5,23.5
27-11-2019,22.75,22.75,22.75,22.75
28-11-2019,22.05,22.05,22.05,22.05
02-12-2019,22.0,22.0,22.0,22.0
04-12-2019,22.0,23.0,22.0,22.25
06-12-2019,21.75,21.75,21.75,21.75
09-12-2019,22.65,22.65,22.65,22.65
10-12-2019,22.2,23.2,22.0,22.85
12-12-2019,22.95,22.95,22.95,22.95
16-12-2019,22.45,22.45,22.45,22.45
23-12-2019,21.6,21.6,21.05,21.45
26-12-2019,19.55,19.55,19.55,19.55
27-12-2019,22.5,22.5,19.45,20.0
30-12-2019,21.0,21.0,21.0,21.0
31-12-2019,22.0,22.05,22.0,22.05
06-01-2020,20.25,20.25,20.0,20.0
08-01-2020,19.15,19.15,18.65,18.9
09-01-2020,19.25,19.25,19.25,19.25
13-01-2020,18.6,19.0,18.6,19.0
14-01-2020,19.0,19.8,18.5,19.25
15-01-2020,18.5,19.9,18.5,19.2
17-01-2020,18.5,19.0,18.5,19.0
23-01-2020,19.25,19.25,19.25,19.25
28-01-2020,18.75,18.75,18.5,18.5
05-02-2020,17.5,17.5,17.5,17.5
06-02-2020,19.0,19.05,18.95,19.05
07-02-2020,18.5,18.55,18.35,18.5
10-02-2020,17.55,17.6,17.55,17.6
12-02-2020,18.95,19.0,18.95,19.0
17-02-2020,17.3,18.35,17.3,18.35
19-02-2020,18.9,19.0,18.9,18.95
25-02-2020,17.75,17.75,17.4,17.65
26-02-2020,17.25,17.5,17.0,17.0
27-02-2020,17.4,19.8,17.4,18.7
28-02-2020,18.85,18.95,18.1,18.9
02-03-2020,19.15,20.5,19.15,20.1
03-03-2020,20.75,20.75,19.25,19.5
04-03-2020,18.5,18.5,18.5,18.5
05-03-2020,19.4,20.4,19.05,20.4
09-03-2020,20.15,20.2,18.4,19.75
11-03-2020,20.0,21.4,20.0,21.4
12-03-2020,19.0,19.5,18.5,18.5
20-03-2020,18.0,18.5,18.0,18.0
23-03-2020,16.7,16.7,15.2,15.45
25-03-2020,13.5,16.7,13.5,16.7
26-03-2020,15.25,16.95,13.4,16.65
27-03-2020,13.75,14.75,13.75,14.3
30-03-2020,13.1,14.75,13.1,14.5
