date,open,high,low,close
01-10-2021,469.0,492.45,460.0,492.45
04-10-2021,517.05,517.05,517.05,517.05
05-10-2021,542.9,542.9,542.9,542.9
06-10-2021,570.0,570.0,570.0,570.0
07-10-2021,598.5,598.5,598.5,598.5
08-10-2021,628.4,628.4,628.4,628.4
11-10-2021,659.8,659.8,659.8,659.8
12-10-2021,692.75,692.75,626.85,626.85
13-10-2021,595.55,595.55,595.55,595.55
14-10-2021,575.45,625.3,575.45,625.3
18-10-2021,643.9,750.35,617.15,750.35
19-10-2021,831.0,900.4,811.8,900.4
20-10-2021,978.0,990.4,825.65,990.4
21-10-2021,990.4,1089.4,935.35,1089.4
22-10-2021,1178.7,1198.3,1153.6,1198.3
25-10-2021,1245.0,1258.2,1138.4,1138.4
26-10-2021,1081.5,1081.5,1081.5,1081.5
27-10-2021,1062.1,1078.0,1027.45,1027.45
28-10-2021,976.1,976.1,976.1,976.1
29-10-2021,927.3,927.3,927.3,927.3
01-11-2021,880.95,880.95,880.95,880.95
02-11-2021,836.95,836.95,836.95,836.95
03-11-2021,839.0,878.75,795.15,798.2
04-11-2021,813.9,825.0,780.05,815.6
08-11-2021,820.0,824.8,774.85,774.85
09-11-2021,754.3,813.55,742.35,813.55
10-11-2021,813.0,837.5,798.0,804.65
11-11-2021,808.0,812.0,782.4,789.6
12-11-2021,798.0,807.0,784.65,789.05
15-11-2021,812.0,820.0,785.7,789.15
16-11-2021,790.0,798.0,775.0,776.25
17-11-2021,778.0,778.0,751.0,753.3
18-11-2021,755.2,768.2,716.1,721.35
22-11-2021,726.0,727.3,685.3,685.3
23-11-2021,665.2,706.9,651.05,682.45
24-11-2021,686.7,716.55,684.05,716.55
25-11-2021,734.95,752.35,732.95,752.35
26-11-2021,768.0,789.95,755.0,774.15
29-11-2021,755.0,758.65,735.45,735.45
30-11-2021,710.0,732.7,702.3,705.25
01-12-2021,716.0,727.9,706.25,711.9
02-12-2021,711.9,747.45,710.0,747.45
03-12-2021,763.0,784.8,747.0,759.9
06-12-2021,760.2,767.95,726.8,730.7
07-12-2021,746.0,760.8,731.75,738.25
08-12-2021,744.8,756.0,733.95,736.0
09-12-2021,746.0,746.95,735.0,736.7
10-12-2021,738.0,743.95,727.4,731.35
13-12-2021,736.4,750.0,725.0,728.5
14-12-2021,729.0,744.0,722.0,725.85
15-12-2021,726.15,731.7,711.0,715.7
16-12-2021,714.0,724.35,700.0,702.5
17-12-2021,714.0,714.0,683.5,691.9
20-12-2021,685.4,690.0,650.15,663.75
21-12-2021,666.1,694.0,666.1,680.15
22-12-2021,689.0,714.0,689.0,699.7
23-12-2021,707.0,713.0,695.05,698.15
24-12-2021,697.4,704.45,683.0,686.0
27-12-2021,651.0,754.6,651.0,732.9
28-12-2021,770.0,789.9,741.45,753.55
29-12-2021,758.0,758.7,734.5,738.1
30-12-2021,738.1,775.0,733.2,742.5
31-12-2021,748.0,751.65,738.0,743.0
03-01-2022,743.0,756.0,735.35,740.7
04-01-2022,744.0,745.9,731.05,733.45
05-01-2022,734.0,738.8,722.4,724.75
06-01-2022,710.5,736.95,710.5,726.45
07-01-2022,734.7,746.0,723.0,726.6
10-01-2022,728.0,732.35,719.3,722.55
11-01-2022,724.7,754.8,718.65,736.45
12-01-2022,740.0,746.9,728.75,732.1
13-01-2022,739.0,739.0,720.0,725.1
14-01-2022,725.1,742.0,721.55,732.25
17-01-2022,738.3,739.45,728.5,729.8
18-01-2022,732.95,734.75,710.0,712.6
19-01-2022,710.0,710.0,690.0,698.4
20-01-2022,694.0,704.65,693.95,697.7
21-01-2022,698.9,703.95,685.3,689.1
24-01-2022,684.85,685.05,655.0,663.6
25-01-2022,650.0,684.5,640.0,679.35
27-01-2022,680.0,680.0,662.0,672.0
28-01-2022,672.0,680.75,665.0,666.95
31-01-2022,685.0,722.0,671.9,711.95
01-02-2022,720.0,735.0,694.45,702.45
02-02-2022,711.9,723.9,706.05,711.7
03-02-2022,715.0,717.0,701.7,702.55
04-02-2022,702.0,705.75,693.05,694.95
07-02-2022,704.0,704.7,686.6,690.15
08-02-2022,692.0,699.1,673.05,680.2
09-02-2022,686.0,698.55,686.0,691.5
10-02-2022,715.0,715.5,677.15,681.9
11-02-2022,676.9,685.0,670.0,671.25
14-02-2022,665.0,668.65,648.0,652.65
15-02-2022,655.0,669.05,650.45,663.65
16-02-2022,670.0,675.8,660.0,664.2
17-02-2022,670.0,673.3,656.55,659.6
18-02-2022,659.6,659.6,652.25,654.05
21-02-2022,654.0,654.0,630.0,631.85
22-02-2022,624.5,624.5,607.0,612.95
23-02-2022,615.0,627.95,615.0,618.45
24-02-2022,590.0,603.4,560.7,565.6
25-02-2022,575.6,613.4,575.6,604.9
28-02-2022,605.0,642.0,591.1,632.4
02-03-2022,625.0,649.85,622.35,641.3
03-03-2022,658.5,658.5,640.0,640.85
04-03-2022,640.0,640.65,620.1,626.6
07-03-2022,614.8,629.85,606.65,620.35
08-03-2022,620.0,648.0,618.05,631.55
09-03-2022,645.0,645.6,635.0,642.4
10-03-2022,655.0,656.6,641.0,642.65
11-03-2022,650.0,657.9,645.0,651.75
14-03-2022,651.75,657.7,643.0,644.5
15-03-2022,651.65,657.0,632.85,637.25
16-03-2022,640.0,666.0,640.0,644.25
17-03-2022,651.95,660.0,645.0,649.05
21-03-2022,655.95,664.85,640.9,651.6
22-03-2022,654.6,657.4,635.5,640.1
23-03-2022,674.95,709.0,668.95,684.6
24-03-2022,683.8,683.8,665.2,668.75
25-03-2022,674.95,682.6,650.0,651.8
28-03-2022,655.9,656.7,636.0,638.5
29-03-2022,643.7,649.5,625.0,628.6
30-03-2022,636.9,646.65,630.0,631.9
31-03-2022,632.9,639.95,623.0,625.7
01-04-2022,628.0,648.8,626.4,643.9
04-04-2022,648.8,709.0,645.0,687.1
05-04-2022,692.4,705.1,675.0,687.65
06-04-2022,680.0,694.7,675.55,682.6
