date,open,high,low,close
22-07-2019,4.45,4.75,4.45,4.45
23-07-2019,4.25,4.45,4.25,4.25
24-07-2019,4.3,4.4,4.05,4.05
25-07-2019,3.85,4.0,3.85,3.85
26-07-2019,3.7,3.8,3.7,3.7
29-07-2019,3.55,3.85,3.55,3.6
30-07-2019,3.5,3.55,3.45,3.45
31-07-2019,3.4,3.5,3.3,3.3
01-08-2019,3.3,3.45,3.15,3.2
02-08-2019,3.05,3.35,3.05,3.3
05-08-2019,3.3,3.45,3.2,3.4
06-08-2019,3.45,3.55,3.25,3.5
07-08-2019,3.35,3.65,3.35,3.5
08-08-2019,3.65,3.65,3.35,3.5
09-08-2019,3.65,3.65,3.35,3.45
13-08-2019,3.6,3.6,3.3,3.3
14-08-2019,3.4,3.45,3.2,3.3
16-08-2019,3.25,3.45,3.15,3.25
19-08-2019,3.4,3.4,3.35,3.4
20-08-2019,3.55,3.55,3.25,3.5
21-08-2019,3.65,3.65,3.4,3.45
22-08-2019,3.3,3.5,3.3,3.35
23-08-2019,3.5,3.5,3.2,3.25
26-08-2019,3.2,3.4,3.2,3.4
27-08-2019,3.45,3.5,3.25,3.3
28-08-2019,3.3,3.4,3.3,3.3
29-08-2019,3.45,3.45,3.2,3.2
30-08-2019,3.35,3.35,3.05,3.15
03-09-2019,3.1,3.3,3.0,3.1
04-09-2019,3.0,3.2,2.95,3.0
05-09-2019,2.95,3.1,2.85,2.95
06-09-2019,2.85,3.05,2.85,2.85
09-09-2019,2.9,2.95,2.75,2.85
11-09-2019,2.95,2.95,2.8,2.95
12-09-2019,2.85,3.05,2.85,3.0
13-09-2019,3.15,3.15,2.85,3.05
16-09-2019,3.15,3.15,2.95,2.95
17-09-2019,3.05,3.05,2.95,2.95
18-09-2019,2.95,3.0,2.9,2.95
19-09-2019,3.0,3.0,2.85,2.9
20-09-2019,2.95,2.95,2.8,2.85
23-09-2019,2.9,2.9,2.8,2.9
24-09-2019,2.85,2.95,2.8,2.9
25-09-2019,2.9,2.95,2.8,2.85
26-09-2019,2.8,2.85,2.75,2.75
27-09-2019,2.75,2.75,2.65,2.65
30-09-2019,2.7,2.7,2.55,2.55
01-10-2019,2.5,2.5,2.45,2.45
03-10-2019,2.4,2.5,2.35,2.4
04-10-2019,2.35,2.5,2.3,2.5
07-10-2019,2.6,2.6,2.5,2.5
09-10-2019,2.55,2.55,2.4,2.45
10-10-2019,2.45,2.5,2.4,2.45
11-10-2019,2.4,2.55,2.35,2.5
14-10-2019,2.5,2.55,2.4,2.5
15-10-2019,2.5,2.6,2.45,2.6
16-10-2019,2.55,2.7,2.55,2.6
17-10-2019,2.55,2.7,2.5,2.65
18-10-2019,2.7,2.7,2.55,2.6
22-10-2019,2.65,2.65,2.5,2.6
23-10-2019,2.55,2.6,2.5,2.5
24-10-2019,2.6,2.6,2.45,2.5
25-10-2019,2.55,2.6,2.45,2.6
27-10-2019,2.6,2.7,2.6,2.7
29-10-2019,2.8,2.8,2.6,2.65
30-10-2019,2.6,2.65,2.55,2.55
31-10-2019,2.55,2.65,2.5,2.5
01-11-2019,2.5,2.5,2.4,2.45
04-11-2019,2.45,2.55,2.4,2.45
