date,open,high,low,close
22-07-2019,289.0,292.45,281.3,287.35
23-07-2019,286.5,290.5,286.0,289.0
24-07-2019,288.0,290.0,276.9,280.8
25-07-2019,282.0,292.05,280.0,281.0
26-07-2019,277.3,284.5,267.75,282.15
29-07-2019,279.0,282.25,266.5,267.5
30-07-2019,267.55,268.45,234.4,251.85
31-07-2019,251.0,262.5,246.6,260.3
01-08-2019,262.5,262.55,252.4,259.0
02-08-2019,259.0,267.0,252.5,264.7
05-08-2019,261.5,265.9,256.0,257.3
06-08-2019,257.5,269.0,254.7,265.6
07-08-2019,266.25,269.7,261.05,264.0
08-08-2019,264.5,269.75,264.0,268.15
09-08-2019,271.75,279.5,266.15,269.0
13-08-2019,270.0,270.0,265.0,265.85
14-08-2019,265.0,267.0,255.5,259.35
16-08-2019,256.8,259.0,251.5,255.5
19-08-2019,255.5,268.3,255.0,265.85
20-08-2019,263.2,282.0,263.2,277.35
21-08-2019,277.5,278.0,269.0,271.7
22-08-2019,269.0,292.5,265.9,285.65
23-08-2019,285.5,288.1,263.5,270.55
26-08-2019,271.0,274.0,258.8,265.15
27-08-2019,265.5,269.9,265.1,266.35
28-08-2019,272.5,272.5,268.0,269.9
29-08-2019,274.5,274.5,265.55,267.15
30-08-2019,269.85,273.1,264.8,271.0
03-09-2019,271.0,279.3,265.5,277.0
04-09-2019,279.0,281.0,277.5,280.25
05-09-2019,278.75,281.7,277.95,281.25
06-09-2019,287.25,287.25,278.0,284.9
09-09-2019,284.9,286.0,278.5,280.55
11-09-2019,279.4,283.5,279.4,282.1
12-09-2019,284.0,286.0,280.95,284.55
13-09-2019,285.0,287.0,283.3,286.5
16-09-2019,287.0,294.25,286.0,291.0
17-09-2019,293.9,294.4,287.1,287.45
18-09-2019,290.0,299.6,287.5,294.2
19-09-2019,295.0,299.25,292.25,297.3
20-09-2019,300.0,306.0,292.2,299.5
23-09-2019,299.5,312.5,295.0,309.7
24-09-2019,309.5,309.5,295.25,300.4
25-09-2019,300.4,304.95,283.2,285.05
26-09-2019,287.9,290.5,281.5,284.15
27-09-2019,287.15,289.2,282.85,286.35
30-09-2019,286.35,288.5,283.5,285.0
01-10-2019,288.0,289.25,278.0,280.5
03-10-2019,280.5,283.0,278.0,278.8
04-10-2019,280.0,290.0,275.5,278.7
07-10-2019,278.4,292.5,273.3,287.9
09-10-2019,290.25,291.0,277.2,287.2
10-10-2019,289.15,289.15,283.0,283.7
11-10-2019,283.4,289.0,280.0,287.9
14-10-2019,282.0,295.0,275.75,292.2
15-10-2019,296.4,296.8,288.6,294.15
16-10-2019,297.5,301.7,292.55,300.1
17-10-2019,296.7,309.5,296.7,303.4
18-10-2019,305.0,314.5,298.6,311.3
22-10-2019,310.0,317.5,304.25,309.4
23-10-2019,310.0,316.5,300.5,301.3
24-10-2019,302.0,312.0,300.3,304.3
25-10-2019,306.0,307.35,292.0,301.3
27-10-2019,305.0,305.0,297.6,299.7
29-10-2019,300.0,305.0,295.25,302.05
30-10-2019,303.5,305.0,300.0,301.0
