date,open,high,low,close
14-05-2021,104.0,104.9,102.75,102.99
17-05-2021,103.45,104.85,103.45,104.59
18-05-2021,104.89,107.9,104.59,107.33
19-05-2021,107.9,111.7,107.9,110.37
20-05-2021,111.3,112.15,110.55,112.02
21-05-2021,112.2,113.0,110.32,110.97
24-05-2021,111.45,113.1,110.84,111.21
25-05-2021,111.99,112.49,111.05,112.08
26-05-2021,112.46,112.88,111.52,112.26
27-05-2021,112.8,112.9,112.28,112.48
28-05-2021,112.48,112.7,112.02,112.22
31-05-2021,112.7,112.8,111.5,111.95
01-06-2021,111.58,112.1,111.58,111.86
02-06-2021,111.85,112.65,111.73,112.4
03-06-2021,112.5,112.78,112.1,112.54
04-06-2021,112.6,112.85,112.25,112.49
07-06-2021,112.9,113.1,112.26,113.0
08-06-2021,113.1,113.75,112.75,113.49
09-06-2021,113.5,115.2,113.0,114.17
10-06-2021,114.0,115.4,113.41,113.62
11-06-2021,113.62,114.98,113.5,114.0
14-06-2021,115.24,115.24,113.9,113.99
15-06-2021,114.0,114.98,113.71,113.87
16-06-2021,114.0,114.78,113.53,113.98
17-06-2021,113.98,114.23,112.51,113.11
18-06-2021,113.5,113.98,111.1,111.95
21-06-2021,112.69,113.89,111.9,112.0
22-06-2021,112.9,112.99,111.75,112.01
23-06-2021,111.92,113.0,111.92,112.06
24-06-2021,111.95,113.0,111.95,112.42
25-06-2021,112.5,112.95,111.99,112.26
28-06-2021,112.26,112.82,112.17,112.34
29-06-2021,112.6,113.49,112.54,113.23
30-06-2021,113.81,114.1,112.31,113.29
01-07-2021,114.0,114.0,113.0,113.28
02-07-2021,113.2,113.28,112.75,112.98
05-07-2021,113.87,113.87,113.1,113.47
06-07-2021,113.44,113.8,113.2,113.48
07-07-2021,113.71,113.9,113.22,113.7
08-07-2021,113.75,113.95,113.1,113.72
09-07-2021,113.65,114.0,112.9,113.24
12-07-2021,113.0,113.5,112.85,112.99
13-07-2021,112.99,113.99,112.99,113.49
14-07-2021,113.95,114.9,113.5,114.53
15-07-2021,114.75,116.18,114.0,115.96
16-07-2021,117.0,117.44,115.9,117.1
19-07-2021,117.5,118.5,113.0,117.88
20-07-2021,117.88,119.2,117.8,118.76
22-07-2021,117.2,119.24,117.2,118.28
23-07-2021,118.31,120.21,117.56,119.58
26-07-2021,118.5,120.49,117.05,117.18
27-07-2021,117.55,118.0,116.4,116.99
28-07-2021,116.52,118.64,115.0,118.0
29-07-2021,119.2,119.74,116.91,117.96
30-07-2021,118.0,120.0,117.7,118.96
02-08-2021,119.0,120.2,118.5,120.0
03-08-2021,120.0,120.85,117.73,118.61
04-08-2021,117.55,120.1,117.55,119.83
05-08-2021,119.05,121.45,119.05,120.0
06-08-2021,119.3,121.99,119.1,120.94
09-08-2021,120.99,121.2,118.6,120.45
10-08-2021,120.96,121.39,119.62,121.03
11-08-2021,120.9,122.5,120.1,122.04
12-08-2021,122.5,123.5,122.15,122.83
13-08-2021,123.0,123.5,121.53,123.25
16-08-2021,123.89,124.95,123.0,124.68
17-08-2021,124.5,125.15,120.9,123.54
18-08-2021,124.25,124.88,122.03,123.09
20-08-2021,124.44,124.44,122.2,122.89
23-08-2021,123.46,123.49,121.0,121.79
24-08-2021,121.79,122.95,121.5,122.44
25-08-2021,122.5,122.99,119.55,121.44
26-08-2021,121.44,122.95,121.01,122.53
27-08-2021,122.98,122.98,121.5,121.98
30-08-2021,122.01,122.95,121.01,121.7
31-08-2021,122.49,122.74,120.25,121.39
01-09-2021,121.5,122.05,121.25,121.75
02-09-2021,122.39,122.42,120.25,121.43
03-09-2021,121.99,121.99,118.75,119.24
06-09-2021,119.6,120.0,119.0,119.5
07-09-2021,120.5,120.8,119.2,119.97
08-09-2021,120.74,120.74,119.05,119.85
09-09-2021,120.6,121.01,119.51,120.85
13-09-2021,121.3,121.3,120.0,120.66
14-09-2021,120.9,121.48,120.0,120.84
15-09-2021,121.2,121.49,119.9,120.18
16-09-2021,120.2,121.2,119.95,120.04
17-09-2021,120.6,120.98,119.79,119.99
20-09-2021,120.2,120.85,119.5,119.94
21-09-2021,120.3,120.3,119.33,119.99
22-09-2021,119.99,120.47,119.41,119.74
23-09-2021,120.4,120.6,118.9,119.13
24-09-2021,120.0,120.0,118.6,119.66
27-09-2021,120.0,123.65,119.66,121.26
28-09-2021,121.6,122.0,120.02,121.29
29-09-2021,121.8,121.89,119.99,120.89
30-09-2021,121.49,121.49,120.11,120.46
01-10-2021,120.99,121.75,120.01,121.37
04-10-2021,121.4,122.84,120.51,121.69
05-10-2021,121.85,121.99,120.8,121.54
06-10-2021,121.95,121.95,120.11,120.67
07-10-2021,120.7,121.49,120.5,120.85
08-10-2021,121.4,122.0,119.9,121.66
11-10-2021,121.6,121.85,120.2,121.19
12-10-2021,120.3,121.65,120.3,121.4
13-10-2021,121.4,121.65,120.68,120.89
14-10-2021,120.92,121.49,120.6,121.29
18-10-2021,121.2,121.65,121.02,121.51
19-10-2021,121.3,121.65,121.0,121.39
20-10-2021,121.7,122.25,121.1,121.44
21-10-2021,121.44,121.8,121.05,121.66
22-10-2021,121.66,121.7,121.11,121.46
25-10-2021,121.8,121.85,121.01,121.35
26-10-2021,121.25,121.69,121.2,121.39
27-10-2021,121.7,121.7,121.2,121.31
28-10-2021,121.55,121.65,121.05,121.32
29-10-2021,121.7,121.79,121.01,121.05
01-11-2021,121.68,121.68,121.0,121.15
02-11-2021,121.5,121.65,121.1,121.23
03-11-2021,121.21,122.2,121.21,121.42
04-11-2021,121.5,122.28,121.5,121.76
08-11-2021,121.75,121.85,121.51,121.76
09-11-2021,121.9,122.0,121.7,121.83
10-11-2021,122.0,122.5,121.05,122.39
11-11-2021,122.5,123.0,122.01,122.77
12-11-2021,120.94,120.94,118.5,119.92
15-11-2021,120.35,120.99,120.0,120.57
16-11-2021,120.65,121.04,120.5,120.7
17-11-2021,120.7,120.97,119.75,120.39
18-11-2021,120.5,120.76,120.1,120.13
22-11-2021,120.49,120.5,118.5,119.09
23-11-2021,119.99,120.47,119.25,120.08
24-11-2021,120.69,120.69,119.75,119.8
25-11-2021,120.35,120.4,119.6,119.82
26-11-2021,120.0,120.5,119.53,119.64
29-11-2021,119.56,121.4,119.44,120.05
30-11-2021,120.9,120.9,119.75,120.16
01-12-2021,120.2,120.5,120.0,120.06
02-12-2021,120.0,120.3,119.85,119.97
03-12-2021,120.15,120.5,119.8,120.46
06-12-2021,120.5,120.5,120.01,120.13
07-12-2021,120.35,120.36,118.75,120.26
08-12-2021,119.53,120.5,119.53,120.41
09-12-2021,120.23,120.5,120.02,120.44
10-12-2021,120.35,120.5,119.81,120.25
13-12-2021,120.28,120.7,119.8,120.56
14-12-2021,120.25,120.7,120.0,120.52
15-12-2021,120.14,120.7,120.14,120.44
16-12-2021,120.4,120.85,120.2,120.74
17-12-2021,120.71,121.0,118.81,119.72
20-12-2021,119.5,120.8,118.91,119.0
21-12-2021,119.12,120.25,119.12,119.59
22-12-2021,119.59,119.9,119.25,119.43
23-12-2021,119.48,120.49,119.26,119.37
24-12-2021,120.24,121.25,119.26,120.88
27-12-2021,119.76,121.05,119.76,120.83
28-12-2021,120.28,121.0,120.23,120.82
29-12-2021,120.82,121.1,120.51,120.97
30-12-2021,120.7,121.0,120.56,120.88
31-12-2021,120.75,121.0,120.67,120.96
