date,open,high,low,close
07-07-2021,17.44,17.44,13.37,14.49
08-07-2021,14.6,15.0,14.3,14.32
09-07-2021,17.35,17.35,14.32,14.42
12-07-2021,16.7,16.7,14.32,14.42
13-07-2021,14.32,14.59,14.2,14.5
14-07-2021,14.8,14.8,14.23,14.54
15-07-2021,14.8,14.8,14.33,14.53
16-07-2021,15.0,15.0,14.53,14.68
19-07-2021,14.95,14.98,14.65,14.72
20-07-2021,14.9,14.9,14.5,14.54
22-07-2021,14.88,15.5,14.5,14.64
23-07-2021,15.2,15.2,14.56,14.66
26-07-2021,14.66,14.84,14.6,14.65
27-07-2021,14.8,14.8,13.95,14.09
28-07-2021,14.9,14.9,13.85,14.03
29-07-2021,14.28,14.28,13.92,13.98
30-07-2021,14.25,14.49,14.01,14.43
02-08-2021,14.7,14.8,14.32,14.44
03-08-2021,14.44,14.75,14.33,14.59
04-08-2021,14.59,14.73,14.55,14.61
05-08-2021,14.75,14.75,14.5,14.66
06-08-2021,15.1,16.0,14.43,14.59
09-08-2021,14.75,14.75,14.33,14.57
10-08-2021,14.75,14.78,14.44,14.51
11-08-2021,14.78,14.78,14.22,14.36
12-08-2021,14.6,14.6,14.19,14.2
13-08-2021,14.66,14.66,14.05,14.14
16-08-2021,14.28,14.28,13.98,14.05
17-08-2021,14.12,14.21,14.01,14.1
18-08-2021,14.27,14.27,13.95,14.16
20-08-2021,14.24,14.24,13.72,13.8
23-08-2021,14.04,14.06,13.6,13.8
24-08-2021,14.21,14.21,13.68,13.97
25-08-2021,14.66,14.66,13.81,13.91
26-08-2021,13.91,14.2,13.8,13.82
27-08-2021,13.9,14.0,13.8,13.97
30-08-2021,14.25,14.35,13.82,14.31
31-08-2021,14.48,14.48,14.25,14.36
01-09-2021,14.36,14.5,14.33,14.36
02-09-2021,14.5,14.59,14.35,14.55
03-09-2021,14.7,14.7,14.46,14.52
06-09-2021,14.65,14.65,14.46,14.57
07-09-2021,14.73,14.73,14.35,14.47
08-09-2021,14.6,14.68,14.35,14.41
09-09-2021,14.6,14.68,14.26,14.39
13-09-2021,14.5,14.58,14.3,14.43
14-09-2021,14.6,14.6,14.32,14.47
15-09-2021,14.47,14.55,14.34,14.49
16-09-2021,14.6,14.7,14.35,14.55
17-09-2021,14.74,14.75,14.4,14.45
20-09-2021,14.6,14.6,14.17,14.2
21-09-2021,14.4,14.4,14.0,14.15
22-09-2021,14.3,14.8,14.15,14.44
23-09-2021,14.6,14.6,14.14,14.41
24-09-2021,14.5,14.5,14.23,14.37
27-09-2021,14.58,14.58,14.17,14.24
28-09-2021,14.5,14.9,14.0,14.26
29-09-2021,14.05,14.59,14.05,14.45
30-09-2021,14.61,14.8,14.42,14.53
01-10-2021,14.83,14.83,14.2,14.58
04-10-2021,14.74,15.09,14.58,14.88
05-10-2021,14.98,15.02,14.7,14.83
06-10-2021,14.8,14.98,14.52,14.54
07-10-2021,14.7,14.7,14.45,14.55
08-10-2021,14.7,14.7,14.5,14.54
11-10-2021,14.7,14.7,14.42,14.62
12-10-2021,14.8,14.8,14.53,14.59
13-10-2021,14.79,14.79,14.63,14.75
14-10-2021,14.97,14.97,14.74,14.75
18-10-2021,14.77,14.9,14.6,14.65
19-10-2021,14.78,14.85,14.44,14.5
20-10-2021,14.69,14.75,14.21,14.28
21-10-2021,14.39,14.39,14.07,14.22
22-10-2021,14.49,14.49,13.63,13.94
25-10-2021,13.7,14.24,13.7,14.1
26-10-2021,14.2,14.2,13.97,14.03
27-10-2021,14.1,14.22,14.0,14.07
28-10-2021,14.14,14.19,13.86,13.92
29-10-2021,14.2,14.35,13.64,14.05
01-11-2021,14.05,14.18,13.95,14.05
02-11-2021,14.05,14.12,13.96,14.07
03-11-2021,14.01,14.14,13.83,13.89
04-11-2021,15.0,15.0,13.89,14.05
08-11-2021,14.05,14.15,13.75,13.88
09-11-2021,14.02,14.08,13.85,13.93
10-11-2021,14.05,14.05,13.95,14.0
11-11-2021,14.0,14.08,13.77,13.79
12-11-2021,13.9,13.9,13.73,13.78
15-11-2021,13.85,14.0,13.8,13.97
16-11-2021,14.05,14.05,13.85,13.9
17-11-2021,14.0,14.0,13.68,13.7
18-11-2021,13.79,13.85,13.48,13.54
22-11-2021,13.54,13.64,13.28,13.33
23-11-2021,13.6,13.6,13.26,13.55
24-11-2021,13.69,13.69,13.4,13.5
25-11-2021,13.71,13.71,13.44,13.59
26-11-2021,13.84,14.05,13.5,13.93
29-11-2021,16.33,16.33,13.6,13.71
30-11-2021,13.89,13.9,13.61,13.79
01-12-2021,13.95,13.95,13.5,13.56
02-12-2021,13.56,13.74,13.51,13.6
03-12-2021,13.6,13.73,13.5,13.52
06-12-2021,13.6,13.65,13.25,13.3
07-12-2021,13.4,13.41,13.2,13.3
08-12-2021,13.4,13.54,13.31,13.46
09-12-2021,13.55,13.55,13.4,13.48
